1,2,3,4,5,6,7,8,9,10,11,12,13
42,"Govt Girls Primary School, PattanKhurd",Pattan Khurd,22031313,,,,456,400,856,1,1,2
,,,,,,,,,,,,
43,"Govt Girls Primary School, PattanKhurd",Pattan Khurd,22031314,,,,363,338,701,1,1,2
,,,,,,,,,,,,
44,Govt Primary School Thalla,Namal,22030809,,,,507,400,907,1,1,2
,,,,,,,507,400,907,,,
45,"Basic Health Unit , Namal",Namal,22030810,,,,610,567,1177,2,1,3
,,,,,,,610,567,1177,,,
46,"Govt Primary School, Kurli",Namal,22030811,,,,385,335,720,1,1,2
,,,,,,,,,,,,
47,"Govt Primary School, Kurli",Nammal,22030812,,,,502,418,920,2,1,3
,,,,,,,,,,,,
48,"Govt Girls Middle School, PandKurli",Namal,22030813,,,,751,591,1342,2,1,3
,,,,,,,751,591,1342,,,
49,"Govt Girls Primary School, Payan",Majuhan,22030801,,,,519,442,961,2,1,3
,,,,,,,519,442,961,,,
50,"Govt Primary School, Majhot",Majuhan,22030802,,,,404,310,714,1,1,2
,,,,,,,404,310,714,,,
51,"Govt Middle School School,Beribagla",Majuhan,22030803,,,,886,637,1523,2,2,4
,,,,,,,886,637,1523,,,
52,"Govt High School, Majuhan",Majuhan,22030804,,,,384,317,701,1,1,2
,,,,,,,,,,,,
53,Govt Primary School Majuhan,Majuhan,22030807,,,,508,418,926,2,1,3
,,,,,,,,,,,,
54,"Govt Primary School, Bandian",Majuhan,22030805,,,,435,320,755,1,1,2
,,,,,,,435,320,755,,,
55,"Govt Girls Primary School, Tarech",Majuhan,22030806,,,,406,321,727,1,1,2
,,,,,,,406,321,727,,,
56,"Govt Primary School, Nakhaitar",Majuhan,22030808,,,,662,499,1161,2,1,3
,,,,,,,662,499,1161,,,
57,"Govt Middle School, Salol Bandi",Pattan Kalan,22030701,,,,889,732,1621,2,2,4
,,,,,,,889,732,1621,,,
58,Govt primary school Sangra,Pattan Kalan,22030710,,,,746,597,1343,2,1,3
,,,,,,,746,597,1343,,,
59,"Govt Girls Primary School, Kutlian",Pattan Kalan,22030703,,,,600,493,1093,2,1,3
,,,,,,,600,493,1093,,,
60,"Govt Girls Primary School, Danna",Pattan Kalan,22030704,,,,628,543,1171,2,1,3
,,,,,,,628,543,1171,,,
61,"Govt Girls Primery School,TarlaKhaiter",Pattan Kalan,22030705,,,,443,360,803,1,1,2
,,,,,,,443,360,803,,,
62,"Govt Primary School, PattanKalan,",Pattan Kalan,22030706,,,,486,453,939,1,1,2
,,,,,,,486,453,939,,,
63,"Govt Girls Primary School,Barwala",Pattan Kalan,22030707,,,,435,358,793,1,1,2
,,,,,,,435,358,793,,,
64,"Govt Girls Primary School,Maseena Kalan",Pattan Kalan,22030708,,,,629,540,1169,2,1,3
,,,,,,,629,540,1169,,,
65,"Govt Girls Primary School, KhohiBagla",Pattan Kalan,22030702,,,,374,320,694,2,2,4
,,Pattan Kalan,22030709,,,,321,281,602,,,
,,,,,,,695,601,1296,,,
66,"Govt Middle School, Sialkot",Siyalkot,22030504,,,,499,461,960,1,1,2
,,,,,,,,,,,,
67,"Govt Girls High School, Sialkot",Siyalkot,22030505,,,,815,648,1463,2,2,4
,,,,,,,,,,,,
68,"Govt Girls Primary School, Kotla",Siyalkot,22030506,,,,607,490,1097,2,1,3
,,,,,,,607,490,1097,,,
69,"Govt Primary School, Khokhriala",Khokhriala,22030501,,,,322,314,636,1,1,2
,,Khokhriala,22030502,,,,158,151,309,,,
,,,,,,,480,465,945,,,
