38,"195. Govt: Centinial Model School ForGirls Thana (PS-1)",,,Thana Khass,12110108,,728,,728,4,0,4
"",,,,12110111,,754,,754,,,,
39,"196. Govt: Centinial Model School ForGirls Thana(PS-II)",,,Thana Khass,12110108,,,562,562,0,3,3
"",,,,12110111,,,584,584,,,,
40,197. Civil Hospital Thana (PS-I),,,"Thana Khass(G.Hazrat Khel)",12110109,,866,,866,4,0,4
"",,,,"Thana Khass(G.Hazrat Khel)",12110112,,447,,447,,,
"",,,,"Thana Khass(Shaheedan)",12110113,,234,,234,,,
41,198. Civel Hospital Thana (P.S-2),,,Thana Khass,12110109,,,745,745,0,4,4
"",,,,12110112,,,359,359,,,,
"",,,,12110113,,,196,196,,,,
42,"199. Govt:Girls Primary School ChapaiThana",,,Thana Bandaja,12120106,,1711,,"1,711",4,0,4
43,200. Govt: Primary School Maizara Thana,,,Thana Bandajat,12120106,,,1282,"1,282",0,4,4
44,"201. Govt: Girls Primary School . MaizaraThana",,,Thana Bandajat,12120101,,573,,573,3,0,3
"",,,,12120102,,303,,303,,,,
45,"202. Govt: Primary School, Bakhta Thana",,,Thana Bandajat,12120101,,,430,430,0,4,4
"",,1  2  1   0  1  1  02,,,224,224,,,,,,
"",,12120103,,,782,782,,,,,,
"",,12120111,,457,,457,,,,,,
"",,,,12120112,,593,,593,,,,
47,204. Govt Degree College Thana,,,Thana Bandajat,12120103,,999,,999,3,0,3
48,205. Govt Girls Middle School Gunyar,,,Thana Bandajaat,12120111,,,370,370,0,3,3
"",,,,12120112,,,480,480,,,,
49,"206. Govt: Primary School, CollegeColoney",,,Thana Bandajat,12120104,,717,,717,4,0,4
"",,,,12120113,,501,,501,,,,
50,"207. Govt: Girls Primary School, CollegeColoney",,,Thana Bandajat,12120104,,,592,592,0,3,3
"",,,,12120113,,,328,328,,,,
51,"208. Govt: Commerce College Thana (P.S-1)",,,Thana Bandajat,12120105,,5175,,"5,175",4,0,4
52,"209. Govt: Commerce College Thana (PS-II)",,,Thana Bandajat,12120105,,,1229,"1,229",0,4,4
53,210. Govt: High School Nal,,,Thana Bandajat,12120107,,291,,291,3,0,3
"",,,,12120108,,630,,630,,,,
54,211. Govt Girls Middle School Nal,,,Thana Bandajaat,12120109,,570,,570,3,0,3
"",,,,12120110,,371,,371,,,,
55,212. Govt: Primary School Nal,,,Thana Bandajat,12120107,,,209,209,0,4,4
"",,,,12120108,,,483,483,,,,
"",,,,12120109,,,400,400,,,,
"",,,,12120110,,,270,270,,,,
56,213. Govt: Primary School No.2 Thana,,,Thana Jadeed,12130101,,243,,243,3,0,3
"",,,,12130109,,740,,740,,,,
