1,2,3,4,5,6,7,8,9,10,11,12,13
40,Government Primary School Muslim Abad,Koshgram,21020501,,,,796,658,1454,2,1,3
,,,,,,796,658,1454,,,,
41,Government Primary School Koshgram,Koshgram,21020502,,,,312,220,532,1,1,2
,,,,,,312,220,532,,,,
42,Government Middle School Dhoondara,Barray,21020505,,,,538,471,1009,1,1,2
,,,,,,538,471,1009,,,,
43,Government Primary School Barray,Barray,21020506,,,,815,689,1504,2,1,3
,,,,,815,689,1504,,,,,
Asharban,21020503,,,,439,0,439,,,,,
Asharban,21020504,,,,726,0,726,,,,,
,,,,,,1165,0,1165,,,,
45,Government Primary School Asharban,Asharban,21020503,,,,0,312,312,0,1,1
,Asharban,21020504,,,,0,603,603,,,,
,,,,,,0,915,915,,,,
46,Basic Health Unit Biari,Biari,21010405,,,,583,0,583,3,0,3
,Biari,21010406,,,,159,0,159,,,,
,Biari,21010407,,,,421,0,421,,,,
,,,,,,1163,0,1163,,,,
47,Government Girls Primary School Biari,Biari,21010405,,,,0,434,434,0,1,1
,Biari,21010406,,,,0,123,123,,,,
,Biari,21010407,,,,0,315,315,,,,
,,,,,,0,872,872,,,,
48,Government Primary School Biari,Biari,21010408,,,,189,136,325,1,1,2
,Biari,21010409,,,,199,112,311,,,,
,Biari,21010410,,,,145,82,227,,,,
,,,,,,533,330,863,,,,
49,Government Primary School Kar Pokal,Pokal,21010401,,,,299,0,299,3,0,3
,Pokal,21010403,,,,412,0,412,,,,
,Pokal,21010404,,,,294,0,294,,,,
,,,,,,1005,0,1005,,,,
50,Government Primary School Pokal,Pokal,20010402,,,,614,510,1124,1,1,2
,,,,,,614,510,1124,,,,
51,Government Girls Primary School Pokal,Pokal,21010401,,,,0,228,228,0,1,1
,Pokal,21010403,,,,0,269,269,,,,
,Pokal,21010404,,,,0,215,215,,,,
,,,,,,0,712,712,,,,
52,Government Primary School Karg Bala,Karg,21010501,,,,886,614,1500,1,1,2
,,,,,,886,614,1500,,,,
53,Government Primary School Karg Payeen,Karg,21010502,,,,652,420,1072,1,1,2
,,,,,,652,420,1072,,,,
54,Government Girls Primary School Karg,Karg,21010503,,,,443,267,710,1,1,2
,,,,,,443,267,710,,,,
55,Government Primary School Bandi Khanimola,Rabat,21010504,,,,340,254,594,1,1,2
,,,,,,340,254,594,,,,
56,Government Primary School Umray,Rabat,21010505,,,,395,262,657,1,1,2
,,,,,,395,262,657,,,,
57,Government Primary School Syed Abad Sar,Rabat,21010507,,,,520,361,881,1,1,2
,,,,,,520,361,881,,,,
58,Government Middle School Rabat,Rabat,21010506,,,,612,471,1083,1,1,2
,,,,,,612,471,1083,,,,
59,Government Primary School Rashang,Rashang,21010201,,,,855,603,1458,1,1,2
,,,,,,855,603,1458,,,,
60,Government Girls Primary School Rashang,Rashang,21010202,,,,148,97,245,1,1,2
,,,,,,148,97,245,,,,
61,Government High School Rashang P.S 1,Rashang,21010203,,,,230,148,378,1,1,2
,Rashang,21010204,,,,442,298,740,,,,
,,,,,,672,446,1118,,,,
62,Government High School Rashang P.S 2,Rashang,21010205,,,,211,141,352,1,1,2
Rashang,21010206,,,,297,186,483,,,,,
,,,,,508,327,835,,,,,
Gangwal,21010101,,,,0,583,583,,,,,
,,Gangwal,21010102,,,,0,197,197,,,
,,Gangwal,21010103,,,,0,130,130,,,
,,Gangwal,21010104,,,,0,238,238,,,
,,,,,,,0,1148,1148,,,
64,"Government Girls Primary School KassGangwal P.S 1",Gangwal,21010101,,,,902,0,902,3,0,3
,,Gangwal,21010102,,,,314,0,314,,,
,,,,,,,1216,0,1216,,,
65,"Government Girls Primary School KassGangwal P.S 2",Gangwal,21010103,,,,199,0,199,1,0,1
,,Gangwal,21010104,,,,379,0,379,,,
,,,,,,,578,0,578,,,
66,Government Primary School loy Killi Gantar,Gantar,21020804,,,,480,0,480,3,0,3
,,Gantar,21020805,,,,220,0,220,,,
,,Gantar,21020806,,,,730,0,730,,,
,,,,,,,1430,0,1430,,,
67,Government Girls Primary School Gantar,Gantar,21020804,,,,0,361,361,0,2,2
,,Gantar,21020805,,,,0,145,145,,,
,,Gantar,21020806,,,,0,536,536,,,
,,,,,,,0,1042,1042,,,
68,"Government Primary School Qallah Gantar P.S1",Gantar,21020807,,,,320,247,567,1,1,2
,,Gantar,21020809,,,,309,196,505,,,
,,,,,,,629,443,1072,,,
69,"Government Primary School Qallah Gantar P.S2",Gantar,21020808,,,,611,436,1047,1,1,2
,,,,,,,611,436,1047,,,
70,Government Primary School Kuz Neher,Nehr,21020801,,,,265,0,265,3,0,3
,,Nehr,21020802,,,,430,0,430,,,
,,Nehr,21020803,,,,457,0,457,,,
,,,,,,,1152,0,1152,,,
71,Government High School Nehr,Nehr,21020801,,,,0,220,220,0,1,1
,,Nehr,21020802,,,,0,379,379,,,
,,Nehr,21020803,,,,0,345,345,,,
,,,,,,,0,944,944,,,
72,Basic Health Unit Bateela P.S 1,Bateela,21020701,,,,852,0,852,2,0,2
,,,,,,,852,0,852,,,
73,Basic Health Unit Bateela P.S 2,Bateela,21020702,,,,459,0,459,2,0,2
,,Bateela,21020703,,,,422,0,422,,,
,,,,,,,881,0,881,,,
74,"Government Primary School Dheri MuzammilShah",Bateela,21020701,,,,0,664,664,0,1,1
,,Bateela,21020702,,,,0,375,375,,,
,,Bateela,21020703,,,,0,291,291,,,
,,,,,,,0,1330,1330,,,
75,Government Primary School Bojri P.S1,Bojri,21020705,,,,839,622,1461,2,1,3
,,,,,,,839,622,1461,,,
76,Government Primary School Bojri P.S 2,Bojri,21020704,,,,273,209,482,1,1,2
,,,,,,,273,209,482,,,
77,Government Primary School Shahtoot,Bojri,21020706,,,,336,269,605,1,1,2
,,,,,,,336,269,605,,,
78,Government Primary School Nogram P.S 1,Nogram,21010301,,,,607,443,1050,1,1,2
,,,,,,,607,443,1050,,,
79,Government Primary School Nogram P.S 2,Nogram,21010302,,,,373,274,647,1,1,2
,,,,,373,274,647,,,,,
Nogram,21010305,,,,201,159,360,,,,,
,Nogram,21010306,,,,324,235,559,,,,
,,,,,,525,394,919,,,,
81,Basic Health Unit Ropkani at Deshwal,Nogram,21010303,,,,213,167,380,1,1,2
,Nogram,21010304,,,,176,124,300,,,,
,,,,,,389,291,680,,,,
82,Government High School Ropkani Bandi,Ropkani Bandi,21010307,,,,276,189,465,2,1,3
,Ropkani Bandi,21010308,,,,437,295,732,,,,
,Ropkani Bandi,21010309,,,,161,90,251,,,,
,,,,,,874,574,1448,,,,
83,Government Girls Primary School Toba Pashto,Pashto,21020403,,,,300,176,476,1,1,2
,Pashto,21020404,,,,263,210,473,,,,
,,,,,,563,386,949,,,,
84,Basic Helath Unit Pashto,Pashto,21020405,,,,0,848,848,0,1,1
,,,,,,0,848,848,,,,
85,Government Primary School Pashto,Pashto,21020405,,,,1203,0,1203,3,0,3
,,,,,,1203,0,1203,,,,
86,Government Primary School Mir Ali,Mir Ali Qallah,21020406,,,,400,330,730,1,1,2
,,,,,,400,330,730,,,,
87,Governement Middle School Mir Ali,Mir Ali Qallah,21020407,,,,502,401,903,1,1,2
,,,,,,502,401,903,,,,
88,Government High School Batangi P.S 1,Batangi,21020401,,,,744,547,1291,1,1,2
,,,,,,744,547,1291,,,,
89,Government High School Batangi P.S 2,Batangi,21020402,,,,380,260,640,1,1,2
,,,,,,380,260,640,,,,
90,Government Primary School Null,Null,21020301,,,,532,428,960,1,1,2
,,,,,,532,428,960,,,,
91,Government Middle School Barachar,Null,21020302,,,,709,468,1177,2,1,3
,,,,,,709,468,1177,,,,
92,Government Primary School  Pakka,Pakka Baig,21020303,,,,450,312,762,1,1,2
,,,,,,450,312,762,,,,
93,"Government Primary School Kaar Patay PakkaBaig",Pakka Baig,21020304,,,,577,360,937,1,1,2
,,,,,,577,360,937,,,,
94,Government Middle School Jhangri,Jhangri,21020305,,,,582,383,965,1,1,2
,,,,,,582,383,965,,,,
95,Government Primary School Sakargah Bala,Sakargah Bala,21020103,,,,251,186,437,2,1,3
,Sakargah Bala,21020104,,,,486,317,803,,,,
,,,,,,737,503,1240,,,,
96,Government Primary School Jabari,Jabri,21020105,,,,150,109,259,1,1,2
,Jabri,21020106,,,,202,135,337,,,,
,,,,,,352,244,596,,,,
97,Government Primary School Sakargah Payen,Sakargah Payeen,21020101,,,,228,174,402,1,1,2
,Sakargah Payeen,21020102,,,,327,238,565,,,,
,,,,,,555,412,967,,,,
98,Government Primary School Dirkad,Dirkad,21020107,,,,353,290,643,1,1,2
,Dirkad,21020108,,,,165,119,284,,,,
,,,,,,518,409,927,,,,
99,Government Middle School Pazang P.S 1,Pazang,21020109,,,,319,211,530,1,1,2
Pazang,21020110,,,,255,133,388,,,,,
,,,,,574,344,918,,,,,
Pazang,21020111,,,,130,65,195,,,,,
Pazang,21020112,,,,308,213,521,,,,,
,,,,,,438,278,716,,,,
101,Government Primary School Pazang,Pazang,21020113,,,,686,354,1040,1,1,2
,,,,,,686,354,1040,,,,
102,Government Primary School Tandool Bala P.S 1,Tandol Bala,21020205,,,,1135,,1135,3,0,1
,,,,,,1135,0,1135,,,,
103,Government Primary School Tandool Bala P.S 2,Tandool Bala,21020205,,,,0,765,765,2,1,3
,Tandool Bala,21020206,,,,523,333,856,,,,
,,,,,,963,305,1268,,,,
104,Government Primary School Kuz Tandool,Tandol Payeen,21020204,,,,685,483,1168,1,1,2
