1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,"Eid GahRoad/Malakabad.",046020302,,,431,,,,
39,Govt:Primary School No.4 Hangu(M),,,"Naway KilliHayat abad",046020201,,431,,"1,284",3,0,3
"",,,,"Naway KilliSanghir",046020202,,318,,,,,
"",,,,"Naway KilliSanghir",046020203,,535,,,,,
40,"Govt:Girls Primary School SanghirHangu(F)",,,"Naway KilliHayat abad",046020201,,,317,942,0,2,2
"",,,,"Naway KilliSanghir",046020202,,,217,,,,
"",,,,"Naway KilliSanghir",046020203,,,408,,,,
41,Govt:High School No.2 Hangu (M) PS-1,,,"Naway Kalli Aliabad",046020204,,792,,"1,477",3,0,3
"",,,,"Naway Kalli Aliabad",046020208,,22,,,,,
"",,,,"SangirhGanjano Kalli",046020206,,663,,,,,
42,Govt:High School No.2 Hangu (F) PS-2,,,"Naway Killi Aliabad",046020204,,,636,"1,149",0,2,2
"",,,,"Naway Killi Aliabad",046020208,,,11,,,,
"",,,,"SanghirGanjano Killi",046020206,,,502,,,,
43,"Govt:Middle School Warasta RoadHangu(M)",,,Alsheravi,046020104,,302,,"1,567",3,0,3
"",,,,Dervizi Palosa,046020406,,"1,265",,,,,
44,"Govt:Girls Primary School WarastaRoad,Hangu(F)",,,Alsheravi,046020104,,,229,"1,126",0,2,2
"",,,,Dervizi Palosa,046020406,,,897,,,,
45,"Govt:Primary School No.3 Warasta RoadHangu(M)",,,"Warasta RoadHassan abad",046020101,,432,,"1,159",2,0,2
"",,,,"WapdaColony/Hayatabad",046020102,,223,,,,,
"",,,,"Warasta RoadFarooq abad",046020103,,504,,,,,
46,"Govt:Girls High School Warasta Road,Hangu(F)",,,"Warasta RoadHassan abad",046020101,,,288,719,0,2,2
"",,,,"WapdaColony/Hayatabad",046020102,,,146,,,,
"",,,,"Warasta RoadFarooq abad",046020103,,,285,,,,
47,"Govt:Degree College for Boys, Hangu(M)PS-I",Derwezi Palosa,046010502,,,,"1,393",,"1,784",4,0,4
"",,Derwezi Palosa,046010503,,,,391,,,,,
48,"Govt:Degree College for Boys, Hangu(F )PS-II",Derwezi Palosa,046010502,,,,,969,"1,220",0,2,2
"",,Derwezi Palosa,046010503,,,,,251,,,,
49,Govt:Primary School Mulaabad (C ),"Qazi Pump/MulaAbad",046010801,,,,"1,023",756,"1,779",2,2,4
50,Govt. Primary School Kotki Bala (M),Hardu Kotki,046010802,,,,"1,552",,"1,552",3,0,3
51,Govt. Girls Primary School Kotki Bala (F),Hardu Kotki,046010802,,,,,"1,212","1,212",0,2,2
52,Govt:Primary School Kotki Payan No.1 (C),Kotki  Bala,046010803,,,,760,608,"1,368",2,1,3
53,Govt:Primary Schol Sarki Piala No.1(C ),Sarkai Piala,046010804,,,,860,652,"1,512",2,1,3
54,Govt:Girls Middle School Chamba Gul (C ),Chamba Gul,046010805,,,,771,575,"1,346",2,1,3
55,Govt:Primary School No.3 Chamba Gul (C ),Chamba Gul,046010806,,,,948,651,"1,599",2,1,3
56,Govt:High School Bagato(C ),Bagato,046010607,,,,"1,130",805,"1,935",2,2,4
57,Govt:Girls High School Bagato(C ),Bagato,046010608,,,,670,512,"1,182",2,1,3
58,Govt:Middle School Warasta (C ),Warasta,046010603,,,,751,653,"1,981",2,2,4
"",,Warasta,046010604,,,,334,243,,,,
59,Govt:High School Shanawari Hangu(C ),Shnawari Warasta,046010605,,,,"1,281",985,"2,266",2,2,4
