"",,Dodoo,014030204,,,,72,80,152,,,
"",,,,,,,596,537,1133,,,
14,"Govt: Girls Primary SchoolSedam/Sikandar Dadir",saili Khail Dadair,014030207,,,,27,29,56,1,1,2
"",,Khaloot,014030304,,,,25,13,38,,,
"",,Mirshai,041030305,,,,69,41,110,,,
"",,Sikandar Dadir,041030401,,,,70,51,121,,,
"",,Sikandar Dadir,041030402,,,,191,121,312,,,
"",,Saidann Dadir,041030404,,,,49,52,101,,,
"",,,,,,,431,307,738,,,
15,Govt: Middle School Goshali,Shaggo  Bain,014040101,,,,61,39,100,1,1,2
"",,Alooni,014040102,,,,14,5,19,,,
"",,Goorbaa,014040103,,,,46,44,90,,,
"",,Jabri (Zareen Bela),014040104,,,,2,2,4,,,
"",,Goshali,014040105,,,,295,252,547,,,
"",,Bar Osai,014040201,,,,150,114,264,,,
"",,Kuz Osai,014040202,,,,60,55,115,,,
"",,Sairto,014040203,,,,37,26,63,,,
"",,Balogi,014040401,,,,13,11,24,,,
"",,Zood barri,014040402,,,,1,2,3,,,
"",,dogah,014040601,,,,11,7,18,,,
"",,,,,,,690,557,1247,,,
16,"Govt: Girls Primary School KuzBuk",Kuz Dadair,014040204,,,,33,29,62,1,1,2
"",,Ber Dadair,014040205,,,,67,56,123,,,
"",,Buk,014040301,,,,161,156,317,,,
"",,Maidan,014040302,,,,37,18,55,,,
"",,Pashoot,014040303,,,,5,1,6,,,
"",,Jail,014040304,,,,86,91,177,,,
"",,Charro Much,014040305,,,,49,23,72,,,
"",,,,,,,438,374,812,,,
17,Govt: Primary School Kuz Seri,Bela,014040403,,,,39,34,73,1,1,2
"",,Sachoie,014040404,,,,7,8,15,,,
"",,Seri Kuz and Ber,014040405,,,,84,83,167,,,
"",,Athlook,014050603,,,,35,16,51,,,
"",,,,,,,165,141,306,,,
18,"Govt: Primary School MemarShahabad Qaiser Dadair",Kail,014040306,,,,1,1,2,1,1,2
Qaiser Dadair,014040406,,,,18,20,38,,,,,
Qaiser Dadair,014040407,,,,13,17,30,,,,,
Buktoo(Athlook),014040408,,,,8,3,11,,,,,
"",,Kuz Kaintail,014040501,,,,19,14,33,,,
"",,Bar Kaintail,014040502,,,,39,47,86,,,
"",,Shatooi,014040503,,,,30,21,51,,,
"",,Shahi Banda,014040504,,,,37,27,64,,,
"",,Haripo Dadair,014040505,,,,18,14,32,,,
"",,,,,,,183,164,347,,,
19,"Govt: Middle School GujjarBanda",Thoki,014040602,,,,89,40,129,1,1,2
"",,Ajab Dadir,014040603,,,,0,0,0,,,
"",,Killa Dadair,014040604,,,,0,0,0,,,
"",,Pashoot,014040701,,,,16,18,34,,,
"",,Gujar Banda,014040702,,,,110,88,198,,,
"",,Gha Goie,014040704,,,,77,47,124,,,
"",,Gha Goie,014040705,,,,0,0,0,,,
"",,Gojjri baik( Bero Baik),014040706,,,,3,2,5,,,
"",,Tait baik,014040904,,,,9,5,14,,,
"",,Dadair,014040905,,,,5,5,10,,,
"",,,,,,,309,205,514,,,
20,"Govt: Primary School GabbarSair",Gori Hattai,014040605,,,,0,0,0,1,1,2
"",,Karrch (Karrang),014040606,,,,0,0,0,,,
"",,Douyang,014040607,,,,9,6,15,,,
"",,Losairgah,014040608,,,,1,1,2,,,
"",,Jaakh,014040703,,,,0,0,0,,,
"",,Uchroo,014040707,,,,1,2,3,,,
"",,Gabar Sair,014040801,,,,138,107,245,,,
"",,Gabar Sair,014040802,,,,29,26,55,,,
"",,Barro gah,014040803,,,,49,34,83,,,
"",,Gadair,014040804,,,,3,1,4,,,
"",,Sairtoo,014040805,,,,11,7,18,,,
"",,Mandoori,014040806,,,,9,15,24,,,
"",,Shooki Sair,014040901,,,,108,77,185,,,
"",,Banjarr,014040902,,,,62,38,100,,,
"",,Rangoo,014040903,,,,8,5,13,,,
"",,,,,,,428,319,747,,,
21,Govt: Middle School Bariyar,Bariyar,014050201,,,,94,60,154,1,1,2
"",,Bariyar,014050202,,,,0,0,0,,,
"",,Bariyar,014050203,,,,128,117,245,,,
"",,Karoo Sair,014050301,,,,62,65,127,,,
"",,Daak Roo,014050204,,,,17,20,37,,,
"",,Daak Roo,014050205,,,,15,5,20,,,
"",,Sairto,014050210,,,,15,10,25,,,
"",,Sairto,014050211,,,,21,10,31,,,
"",,Nazar Bela,014050303,,,,25,26,51,,,
"",,Sigloo,014050304,,,,61,33,94,,,
"",,Chandoo,014050305,,,,3,5,8,,,
"",,Jartoo Sair,014050501,,,,47,26,73,,,
"",,Jartoo Sair,014050502,,,,4,6,10,,,
"",,Jartoo Sair,014050503,,,,2,1,3,,,
"",,,,,,,494,384,878,,,
22,"Govt: Girls Primary SchoolShaha",Young,014050302,,,,0,0,0,1,1,2
Jakh,014050306,,,,47,26,73,,,,,
Shaha,014051001,,,,188,106,294,,,,,
"",,Daar,014051002,,,,31,34,65,,,
"",,Jarnoo,014051003,,,,29,20,49,,,
"",,Kandow,014051005,,,,11,5,16,,,
"",,,,,,,306,191,497,,,
23,Govt: Primary School   Roi Baik,Achoie Baik,014050101,,,,128,62,190,1,1,2
"",,Achoie Baik,014050102,,,,58,59,117,,,
"",,Achoie Baik,014050103,,,,2,1,3,,,
"",,Ujaar,014050104,,,,54,48,102,,,
"",,Ujaar,014050105,,,,0,0,0,,,
"",,Kairwi,014050106,,,,20,9,29,,,
"",,Sheero Baik,014050107,,,,82,92,174,,,
"",,Sheero Baik,014050108,,,,6,5,11,,,
"",,Dat,014050109,,,,12,10,22,,,
"",,Dat,014050110,,,,3,1,4,,,
"",,Sipra,014050206,,,,0,0,0,,,
"",,Bandlo Bela,014050207,,,,1,1,2,,,
"",,Bandlo Bela,014050208,,,,0,0,0,,,
"",,Bandlo Bela,014050209,,,,0,0,0,,,
"",,Roi Baik,014050504,,,,53,45,98,,,
"",,Roi Baik,014050505,,,,73,57,130,,,
"",,Roi Baik,014050506,,,,24,25,49,,,
"",,Dokroo,014050507,,,,0,0,0,,,
"",,Dokroo,014050508,,,,0,0,0,,,
"",,Taloo Nawie,014050509,,,,37,45,82,,,
"",,Taloo Nawie,014050510,,,,14,13,27,,,
"",,Taloo Nawie,014050511,,,,34,43,77,,,
"",,Daad Boon,014050512,,,,1,2,3,,,
"",,Daad Boon,014050513,,,,17,11,28,,,
"",,Daad Boon,014050514,,,,40,30,70,,,
"",,Dadair Saidan,014050903,,,,0,0,0,,,
"",,Raktto baik,014051004,,,,5,7,12,,,
"",,,,,,,664,566,1230,,,
24,Govt: High School Lohi,Kuz Lohi,014050601,,,,72,83,155,1,1,2
"",,Kuz Lohi,014050602,,,,1,1,2,,,
"",,Ber Lohi,014050606,,,,61,56,117,,,
"",,Saman Daadair,014050607,,,,75,62,137,,,
"",,Bush,014050701,,,,45,32,77,,,
"",,Jook,014050705,,,,58,37,95,,,
"",,Baik,014050805,,,,0,0,0,,,
"",,Gaider Kachroo,014050901,,,,0,0,0,,,
"",,Sairtoo,014050902,,,,18,16,34,,,
"",,Dooli,014050904,,,,11,9,20,,,
"",,Aslaan,014050905,,,,5,2,7,,,
"",,,,,,,346,298,644,,,
25,Govt: High School Pero Bela,Ber Muslim Kot,014050401,,,,58,54,112,1,1,2
Ber Muslim Kot,014050402,,,,100,95,195,,,,,
Ber Muslim Kot,014050403,,,,33,29,62,,,,,
Ber  Muslim Kot,014050404,,,,34,36,70,,,,,
Mir Wali Daadair,014050405,,,,151,137,288,,,,,
Bar Khail Baik,014050407,,,,13,4,17,,,,,
Jamhra,014050408,,,,111,91,202,,,,,
"",,Jamhra,014050409,,,,7,5,12,,,
"",,Jamhra,014050410,,,,94,61,155,,,
"",,,,,,,601,512,1113,,,
26,Govt: High School Pero Bela,Muthaat,014050604,,,,42,43,85,2,1,3
"",,Khudli,014050605,,,,6,3,9,,,
"",,Kandroo,014050702,,,,0,0,0,,,
"",,Peero Bela,014050703,,,,67,42,109,,,
"",,Toheed Abad,014050704,,,,5,11,16,,,
"",,Bajaa,014050706,,,,138,109,247,,,
"",,Ber  Kaar,014050801,,,,3,1,4,,,
"",,Kandair,014050802,,,,32,15,47,,,
"",,Khel,014050803,,,,0,0,0,,,
"",,Moos,014050804,,,,0,0,0,,,
"",,Akroo Baik,014050406,,,,20,18,38,,,
"",,,,,,,313,242,555,,,
27,Govt: Middle School Sazeen,Shaling,014060108,,,,23,28,51,1,1,2
"",,Sazeen Banda,014060109,,,,19,9,28,,,
"",,Gunain,014060111,,,,41,39,80,,,
"",,Sazeen Gaoon,014060201,,,,123,128,251,,,
"",,Sazeen Gaoon,014060202,,,,29,28,57,,,
"",,Dogah Sazeen,014060203,,,,71,100,171,,,
"",,,,,,,306,332,638,,,
28,Rest House Sazeen Camp,Sazeen Camp,014060110,,,,31,39,70,1,1,2
"",,Ghumbat Jumat,014060204,,,,19,22,41,,,
"",,Asrooti,014060205,,,,10,12,22,,,
