"",20,,Agricultural Office Tank,,زراعت دفتر ٹانک,,Civil Line,,123,,062050303,,653,,0,,653,,4,,0,,4,,Male,
"",,,,,,,Civil Line,,123,,062050304,,314,,0,,314,,,,,,,,,
"",,,,,,,Wazir Abad,,""""" """"-,",,062050305,,397,,0,,397,,,,,,,,,
"",21,,GGPS Wapda Coloney,,گورنمنٹ گرلز پرائمری سکول واپڈه کالونی,,Ellahi Abad/Sakhi Abad,,4566 66 78,,062050306,,0,,204,,204,,0,,2,,2,,Female,
"",,,,,,,Ellahi Abad,,566 66 78,,062050307,,0,,461,,461,,,,,,,,,
"",22,,GMS Cantt: Tank,,گورنمٹ مڈل سکول کينٹ ٹانک,,Ellahi Abad/Sakhi Abad,,4566 66 78,,062050306,,294,,0,,294,,2,,0,,2,,Male,
"",,,,,,,Ellahi Abad,,566 66 78,,062050307,,546,,0,,546,,,,,,,,,
"",23,,GPS Kirri Wadati,,گورنمنٹ پرائمری سکول کڑی ودتی,,Mullazai (Badin Khel/Wadati),,"9: , ';<=>-?",,062010101,,751,,504,,1255,,2,,1,,3,,Combined,
"",24,,GHS Mullazai,,گورنمٹ ہائی سکول م0زئی,,Mullazai(Mohalla Haji Khel / Suleman Zai),,9>-@ 'AB=>-?,,062010102,,785,,664,,1449,,2,,1,,3,,Combined,
"",25,,GGPS Mullazai,,گورنمنٹ گرلز پرائمری سکول م0زئی,,Mullazai(Mohalla Zangi Khel / Khawaji Khel),,9'A C 'D-=>-?,,062010103,,0,,970,,970,,0,,2,,2,,Female,
"",26,,GPS No.2 Mullazai,,گورنمنٹ پرائمری سکول نمبر٢ م0زئی,,Mullazai(Mohalla Gulshan Abad / Johar Abad),,"9FEE EE G=>-?",,062010104,,0,,524,,524,,0,,3,,3,,Female,
"",,,,,,,Mullazai (Kaka Khel),,9'H=>-?,,062010105,,0,,369,,369,,,,,,,,,
"",,,,,,,Mullazai (Kaka Khel Sharki),,9IJ'H=>-?,,062010106,,0,,329,,329,,,,,,,,,
"",27,,GHS Kaka Khel (South Portion),,گورنمٹ ہائی سکول ککا خيل)جنوبی حصہ(,,Mullazai (Kaka Khel),,9'H=>-?,,062010105,,496,,0,,496,,3,,0,,3,,Male,
"",,,,,,,Mullazai (Kaka Khel Sharki),,9IJ'H=>-?,,062010106,,487,,0,,487,,,,,,,,,
"",28,,GPS Midad Khel,,گورنمنٹ پرائمری سکول ميداد خيل,,Midad Khel,,',,062010201,,302,,218,,520,,2,,1,,3,,Combined,
"",,,,,,,Midad Khel (Dara Bain),,9K # =',,062010202,,353,,232,,585,,,,,,,,,
"",29,,GHS Umer Khel,,گورنمنٹ ہائی سکول عمر خيل,,Umar Khel (Said Muhammad Karoona),,"9L,#M)N='O",,062010203,,0,,51,,51,,0,,3,,3,,Female,
"",,,,Umar Khel (Fakiraan),,9P='O,,062010204,,0,,269,,269,,,,,,,,,,,,
"",,,,Umar Khel (Mir Azam Karoona),,"9L,#MQ R='O",,062010207,,0,,178,,178,,,,,,,,,,,,
"",,,,Umar Khel (Nai Abadi),,9STT TT U='O,,062010208,,0,,470,,470,,,,,,,,,,,,
"",,,,Umar Khel(Lagharr Mala Khel),,9'?VV VVW='O,,062010205,,0,,99,,99,,,,,,,,,,,,
"",,,,Umar Khel(Babar Mala Khel),,9'?X='O,,062010209,,0,,161,,161,,,,,,,,,,,,
"",,,,Behtani Bai Cast,,+>ZZZZ [,,062010206,,0,,0,,0,,,,,,,,,,,,
"",,,,Umar Khel (Said Muhammad Karoona),,"9L,#M)N='O",,062010203,,90,,0,,90,,,,,,,,,,,,
"",,,,Umar Khel (Fakiraan),,9P='O,,062010204,,388,,0,,388,,,,,,,,,,,,
"",,,,,,,Umar Khel (Mir Azam Karoona),,"9L,#MQ R='O",,062010207,,368,,0,,368,,,,,,,,,
"",,,,,,,Umar Khel (Nai Abadi),,9STT TT U='O,,062010208,,835,,0,,835,,,,,,,,,
"",,,,,,,Behtani Bai Cast,,+>ZZ ZZ [,,062010206,,0,,0,,0,,,,,,,,,
"",31,,GPS No. 2 Ama Khel,,گورنمنٹ پرائمری سکول نمبر ٢ اماخيل,,Ama Khel (Shadi Khel / Sahibzi),,9S\! 'S='],,062010304,,0,,515,,515,,0,,2,,2,,Female,
"",,,,,,,Ama Khel (Balokar / Fateh Khel),,9'̂_`='],,062010305,,0,,374,,374,,,,,,,,,
"",32,,GPS No.1 Ama Khel,,گورنمنٹ پرائمری سکول نمبر١ اماخيل,,Ama Khel (Shadi Khel / Sahibzi),,9S\! 'S='],,062010304,,592,,0,,592,,3,,0,,3,,Male,
"",,,,,,,Ama Khel (Balokar / Fateh Khel),,9'̂_`='],,062010305,,430,,0,,430,,,,,,,,,
"",33,,RHC Ama Khel,,ار ايچ سی اماخيل,,Ama Khel,,'],,062010306,,0,,691,,691,,0,,4,,4,,Female,
"",,,,,,,Ama Khel (Shahi Khel),,9'a='],,062010307,,0,,599,,599,,,,,,,,,
"",34,,GHS Ama Khel Tank,,گورنمٹ ہائی سکول اماخيل ٹانک,,Ama Khel,,'],,062010306,,945,,0,,945,,4,,0,,4,,Male,
"",,,,,,,Ama Khel (Shahi Khel),,9'a='],,062010307,,770,,0,,770,,,,,,,,,
"",35,,GMS Nandoor,,گورنمنٹ مڈل سکول نندور,,Ama Khel(Nandoor),,"9TT TT Q#,b=']",,062010301,,466,,351,,817,,2,,2,,4,,Combined,
"",,,,,,,Ama Khel(Nandoor),,"9#,b=']",,062010302,,455,,357,,812,,,,,,,,,
"",36,,GPS Faqirabad,,گورنمنٹ پرائمری سکول فقير آباد,,Ama Khel (Faqir Abad / Astan Khel),,9'cP='],,062010303,,487,,368,,855,,1,,1,,2,,Combined,
"",37,,GMS Lakki MichanKhel,,گورنمنٹ مڈل سکول لکی مچن خيل,,Nasran (Lakki Michen Khel),,"9'd%% ZZ ZZ e g=h",,062011001,,472,,345,,817,,2,,2,,4,,Combined,
"",,,,,,,Nasran (Kiri Shah Noor / Chini Michen Khel),,"9'd%% ZZ ZZ e 5jZZ ZZk #S_=h",,062011002,,681,,466,,1147,,,,,,,,,
"",38,,GPS Nasran,,گورنمنٹ پرائمری سکول نصران,,Daud Khel,,' l,,062011003,,518,,334,,852,,2,,2,,4,,Combined,
"",,,,,,,Langer Khel,,'m,,062011004,,235,,167,,402,,,,,,,,,
"",,,,,,,Nasran,,h,,062011005,,375,,313,,688,,,,,,,,,
"",39,,GPS Taju Khel,,گورنمنٹ پرائمری سکول تاجو خيل,,Pai (Taju Khel / Dewani Khel),,9'n'G =>ZZ ZZ,,062010403,,0,,454,,454,,0,,2,,2,,Female,
"",,,,,,,Pai (Baber / Shadman Khel),,9']o X=>ZZ ZZ,,062010405,,0,,571,,571,,,,,,,,,
"",40,,GPS No.1 Pai,,گورنمنٹ پرائمری سکول نمبر١ پائی,,Pai (Taju Khel / Dewani Khel),,9'n'G =>ZZ ZZ,,062010403,,642,,0,,642,,3,,0,,3,,Male,
"",,,,,,,Pai (Baber / Shadman Khel),,9']o X>ZZ ZZ,,062010405,,708,,0,,708,,,,,,,,,
"",41,,GPS No.2 Pai,,گورنمنٹ پرائمری سکول نمبر٢ پائی,,Pai (Chaki Khel),,9'p=>ZZ ZZ,,062010402,,548,,0,,548,,1,,0,,1,,Male,
"",42,,GGPS Mohallah Quesrashian Pai,,گورنمنٹ گرلز پرائمری سکول محلہ قريشياں پائی,,Pai (Chaki Khel),,9'p=>ZZ ZZ,,062010402,,0,,414,,414,,0,,1,,1,,Female,
"",43,,GHS Pai,,گورنمٹ ہائی سکول پائی,,Pai (Shadman Khel),,9']o=>ZZ ZZ,,062010404,,627,,518,,1145,,1,,1,,2,,Combined,
"",44,,GPS Gharibabad,,گورنمنٹ پرائمری سکول غريب آباد,,Pai (Gharib Abad),,"9q"""" """" r=>ZZ ZZ",,062010401,,30,,25,,55,,1,,1,,2,,Combined,
"",,,,,,,Pai (Gharib Abad/ Bahadur Karoona),,"9L,#M# sq"""" """" r=>ZZ ZZ",,062010406,,113,,104,,217,,,,,,,,,
"",45,,GHS Muhammad Akbar,,گورنمٹ ہائی سکول محمد اکبر,,Pai (Gharib Abad),,"9q"""" """" r=>ZZ ZZ",,062010401,,54,,0,,54,,3,,0,,3,,Male,
"",,,,,,,Pai (Gharib Abad/ Bahadur Karoona),,"9L,#M# sq"""" """" r=>ZZ ZZ",,062010406,,226,,0,,226,,,,,,,,,
"",,,,,,,Muhammad Akbar,,t ),,062010501,,877,,0,,877,,,,,,,,,
"",46,,GPS No. 1 Muhammad Akbari,,گورنمٹ پرائمری سکول  نمبر1 محمد اکبر,,Muhammad Akbar,,t ),,062010501,,0,,759,,759,,0,,3,,3,,Female,
"",Pai (Gharib Abad),,"9q"""" """" r=>ZZ ZZ",,062010401,,0,,36,,36,,,,,,,,,,,,,,,
"",Pai (Gharib Abad/ Bahadur Karoona),,"9L,#M# sq"""" """" r=>ZZ ZZ",,062010406,,0,,208,,208,,,,,,,,,,,,,,,
"",47,,GMS Wandazalo,,گورنمنٹ مڈل سکول وانڈه ذلو,,Wanda Zalu,,"u $$ $$v ,",,062010502,,356,,0,,356,,2,,0,,2,,Male,
"",,,,,,,Wanda Zalu (Mir Hamza Karoona),,"9L,#M wR=u $$v$$,",,062010503,,455,,0,,455,,,,,,,,,
"",48,,GPS Wandazalo,,گورنمنٹ پرائمری سکول وانڈه ذلو,,Wanda Zalu,,"u $$ $$v ,",,062010502,,0,,259,,259,,0,,2,,2,,Female,
"",,,,,,,Wanda Zalu (Mir Hamza Karoona),,"9L,#M wR=u $$v$$,",,062010503,,0,,398,,398,,,,,,,,,
"",49,,GPS No.1 Tajori,,گورنمنٹ پرائمری سکول نمبر١ تجوڑی,,Tajori,,Sxy,,062010901,,0,,343,,343,,0,,2,,2,,Female,
"",,,,,,,Tajori,,Sxy,,062010902,,0,,849,,849,,,,,,,,,
"",50,,GHS Tajori,,گورنمٹ ہائی سکول تجوڑی,,Tajori,,Sxy,,062010901,,480,,0,,480,,3,,0,,3,,Male,
"",,,,,,,Tajori,,Sxy,,062010902,,987,,0,,987,,,,,,,,,
