"",,Kohey,005060504,,,,120,63,183,,,
"",,Tamblo,005060604,,,,190,86,276,,,
"",,,,,,,718,390,1108,,,
23,Govt: Primary School Kamar Tall (Combined),Kamar Tall,005060601,,,,679,414,1093,1,1,2
"",,,,,,,679,414,1093,,,
24,"GMS, Kamal Khel Tall",Kamal Khel Tall,005060602,,,,655,328,983,2,1,3
"",,Shen Kat,005060705,,,,200,154,354,,,
"",,,,,,,855,482,1337,,,
25,Govt: Primary School  Gawnai Bala(Combined),Jograi/Hasinay,005080202,,,,299,121,420,2,1,3
"",,Pitaw Gawnai,005080203,,,,554,313,867,,,
"",,Shaw,005080603,,,,87,36,123,,,
"",,Quanjai,005080604,,,,134,56,190,,,
"",,,,,,,1074,526,1600,,,
26,Govt: Primary School  Guma Gat(Combined),Sero Kandaw,005080304,,,,134,50,184,1,1,2
"",,Khershano Banda,005080311,,,,6,2,8,,,
"",,Guma Gat,005080706,,,,236,103,339,,,
"",,,,,,,376,155,531,,,
27,Govt: High School Shekawli  (Combined),Shekolai,005080602,,,,473,257,730,1,1,2
"",,Kaskai Dab,005080701,,,,81,38,119,,,
"",,,,,,,554,295,849,,,
28,Govt: Primary School Walo Tangai(Combined),Shadogano Banda,005080206,,,,7,1,8,2,1,3
"",,Kaper Kot,005080211,,,,18,5,23,,,
"",,Tango Kandaw,005080301,,,,400,231,631,,,
"",,Walo Tangai,005080305,,,,216,133,349,,,
"",,Loya Banda,005080309,,,,23,4,27,,,
"",,Khanko Banda,005080310,,,,5,1,6,,,
"",,Shahtot,005080707,,,,133,63,196,,,
"",,,,,,,802,438,1240,,,
29,Govt: Primary School Dolai Kandaw(Combined),Dolai Kandaw,005080201,,,,451,238,689,1,1,2
"",,Billa Bala,005080303,,,,84,43,127,,,
"",,Billa Payeen,005080312,,,,52,34,86,,,
"",,,,,,,587,315,902,,,
30,Govt: Primary School Watetai(Combined),Watitai,005080105,,,,171,97,268,1,1,2
"",,Asharay Manzai,005080107,,,,51,26,77,,,
"",,Ster Jaba,005080108,,,,58,35,93,,,
"",,Hedarai,005080204,,,,206,80,286,,,
"",,Bagh Bala,005080208,,,,0,0,0,,,
"",,,,,,,486,238,724,,,
31,Govt: Middle School Seer (Combined),Seer,005080104,,,,690,445,1135,2,1,3
Pateh Manzai,005080106,,,,39,9,48,,,,,
Lakai Adai,005080111,,,,30,17,47,,,,,
Bagh,005080205,,,,107,39,146,,,,,
Ghlo Awarai,005080308,,,,10,3,13,,,,,
Bar Patai,005080506,,,,67,15,82,,,,,
Banrgay,005080507,,,,1,1,2,,,,,
Markhano,005080606,,,,127,49,176,,,,,
"",,,,,1071,578,1649,,,,,
32,Govt: High School Toormang(Combined),Toormang,005080101,,,,483,283,766,2,1,3
"",,Toormang,005080103,,,,167,59,226,,,
33,"GPS, Toormang-I",,,,,,650,342,992,,,
"",,Toormang,005080102,,,,827,522,1349,2,1,3
"",,,,,,,827,522,1349,,,
34,Govt: Primary School Malikabad (Combined),Malikabad,005060102,,,,248,120,368,1,1,2
"",,Golono Kass,005060104,,,,98,50,148,,,
"",,,,,,,346,170,516,,,
35,Govt: Primary School Sia Gawni (Combined),Danda,005080110,,,,15,5,20,2,1,3
"",,Khatako Patai,005080207,,,,34,15,49,,,
"",,Taklim Kandaw,005080306,,,,57,25,82,,,
"",,Mula Rasool Patai,005080408,,,,69,34,103,,,
"",,Akhtar Gat,005080508,,,,16,5,21,,,
"",,Kaskai Kandaw,005080601,,,,29,19,48,,,
"",,Siah Gawni,005080605,,,,329,191,520,,,
"",,Mula Hussain,005080702,,,,101,38,139,,,
"",,Khwar Kaskai,005080705,,,,108,66,174,,,
"",,,,,,,758,398,1156,,,
36,Govt: Primary School Mango (Combined),Mango,005080704,,,,502,335,837,1,1,2
"",,,,,,,502,335,837,,,
37,Govt: Primary School  Ali Mast(Combined),Painda Banda,005080109,,,,57,27,84,2,1,3
"",,Mano Patai,005080209,,,,26,8,34,,,
"",,Qalagai,005080302,,,,71,43,114,,,
"",,Dherangai,005080401,,,,122,61,183,,,
"",,Shkanra Patai,005080406,,,,30,14,44,,,
"",,Barkanai,005080409,,,,0,0,0,,,
"",,Ali Mast,005080501,,,,121,58,179,,,
"",,Ashiq Banda,005080502,,,,80,49,129,,,
"",,Goz Patai,005080503,,,,106,51,157,,,
"",,Kandowna,005080607,,,,87,59,146,,,
"",,,,,,,700,370,1070,,,
38,Govt: Primary School  Dargai(Combined),Wara Dargai,005080307,,,,30,13,43,1,1,2
"",,Dargai,005080703,,,,348,157,505,,,
"",,,,,,,378,170,548,,,
39,Govt: Primary School  Shaheed Abad(Combined),Khadang,005070702,,,,68,37,105,2,1,3
"",,Kombazara,005070706,,,,106,47,153,,,
"",,Mula Patay,005080404,,,,93,50,143,,,
"",,Kotigam,005080405,,,,104,48,152,,,
"",,Shaheed Abad,005080504,,,,172,84,256,,,
"",,Qazi Abad,005080505,,,,361,186,547,,,
"",,,,,,,904,452,1356,,,
40,Govt: Primary School  Raza Gram(Combined),Khado Shah,005080210,,,,56,26,82,1,1,2
"",,Raza Gram,005080402,,,,369,221,590,,,
"",,Raza Gram,005080403,,,,191,82,273,,,
"",,Saperay,005080407,,,,7,6,13,,,
"",,,,,,,Total,623,335,,,
41,GGMS Asigi (T)**,Pitao Dubera,5090406,,,,262,176,438,2,2,4
"",,Banjo Dara,5090701,,,,167,108,275,,,
"",,Asilo,5090702,,,,280,201,481,,,
"",,Ondisa,5090705,,,,68,47,115,,,
"",,Kharkai,5090706,,,,85,36,121,,,
"",,,,,,,862,568,1430,,,
"",,,,,,,,,,,,
42,BHU Asigy Dara(T)**,Asigai,5090102,,,,512,368,880,2,2,4
"",,Charge,5090105,,,,235,169,404,,,
"",,Ghozano Banda,5090803,,,,220,115,335,,,
"",,,,,,,967,652,1619,,,
"",,,,,,,,,,,,
43,"GMS, Asigi Dara(T)**",Tango Manez,5090101,,,,113,80,193,3,1,4
"",,Khwaro Awarai,5090106,,,,49,32,81,,,
"",,Tango Bagh,5090404,,,,50,33,83,,,
"",,Tarnaow,5090405,,,,139,75,214,,,
"",,Khangai Patai,5090602,,,,137,94,231,,,
"",,Dobera Sorai,5090703,,,,168,136,304,,,
"",,Bado Patai,5090704,,,,154,103,257,,,
"",,,,,,,810,553,1363,,,
"",,,,,,,,,,,,
44,"GPS, Balo Dara (T)**",Dogai,5090601,,,,389,272,661,3,1,4
"",,Markhanai No-2,5090603,,,,62,39,101,,,
"",,Balo,5090604,,,,151,93,244,,,
"",,Ghwargo,5090605,,,,173,112,285,,,
"",,Barghwalay,5090606,,,,77,39,116,,,
"",,,,,,,852,555,1407,,,
"",,,,,,,,,,,,
45,GPS Danda (T)**,Bakana,5090502,,,,169,116,285,2,1,3
"",,Danda,5090503,,,,312,206,518,,,
"",,Ghwago,5090504,,,,194,120,314,,,
"",,,,,,,675,442,1117,,,
"",,,,,,,,,,,,
46,GPS Gangla (T)**,Jogai Banda,5090104,,,,143,94,237,2,1,3
"",,Spenakhora,5090206,,,,96,81,177,,,
"",,alihgram Paye,5090501,,,,167,104,271,,,
"",,Gadano Banda,5090804,,,,157,89,246,,,
