115,"Govt.Primary School, Noor Khel",Noor Khel Bala,003080401,,,,531,300,831,,,
"",,Noor Khel Pay,en003080402,,,,400,255,655,,,
"",,,,,,Total,931,555,1486,2,1,3
116,"GPS,Makhamay (Combined)",Jaba Bala,003080301,,,,246,106,352,,,
"",,Jaba Payeen,003080302,,,,81,46,127,,,
"",,Chuncher,003080303,,,,106,48,154,,,
"",,Makhamay,003080304,,,,278,181,459,,,
"",,,,,,Total,711,381,1092,1,1,2
117,"Basic Health Unit, Bin Payeen  (Male)",Krapa,003080201,,,,172,0,172,,,
"",,Bando Khwar,003080203,,,,102,0,102,,,
"",,Dokay,003080204,,,,69,0,69,,,
"",,Bin Payeen,003080405,,,,586,0,586,,,
"",,Bin Payeen,003080406,,,,554,0,554,,,
"",,,,,,Total,1483,0,1483,2,0,2
118,"GPS, Bin Payeen (Female)",Krapa,003080201,,,,0,108,108,,,
"",,Bando Khwar,003080203,,,,0,97,97,,,
"",,Dokay,003080204,,,,0,60,60,,,
"",,Bin Payeen,003080405,,,,0,374,374,,,
"",,Bin Payeen,003080406,,,,0,369,369,,,
"",,,,,,Total,0,1008,1008,0,2,2
119,Govt. Primary School No.2 Jan Batthi,Bin Khwar,003070105,,,,154,109,263,,,
"",,Sogyar,003070602,,,,126,84,210,,,
"",,Jan Batthi,003070603,,,,384,238,622,,,
"",,,,,,Total,664,431,1095,1,1,2
120,"Govt.Primary School, Ziarano  Bala (Male)",Piriona Gat,003070601,,,,91,0,91,,,
"",,Shekhogai,003070604,,,,229,0,229,,,
"",,Ziarano Payee,003070605,,,,204,0,204,,,
"",,Ziarano Bala,003070606,,,,431,0,431,,,
"",,Gudar,003070607,,,,130,0,130,,,
"",,,,,,Total,1085,0,1085,2,0,2
121,"GGPS, Ziarano Bala (Female)s",Piriona Gat,003070601,,,,0,58,58,,,
"",,Shekhogai,003070604,,,,0,156,156,,,
"",,Ziarano Payee,003070605,,,,0,139,139,,,
"",,Ziarano Bala,003070606,,,,0,295,295,,,
"",,Gudar,003070607,,,,0,66,66,,,
"",,,,,,Total,0,714,714,0,1,1
122,"Govt.Middle School, Nasrat  (Male)",Nasrat,003080101,,,,409,0,409,,,
"",Kharaw,003080102,,,,509,0,509,,,,
"",Sroo Kalay,003080103,,,,438,0,438,,,,
"",,,,,,Total,1356,0,1356,2,0,2
123,"GGPS, Nasrat (Female)",Nasrat,003080101,,,,0,226,226,,,
"",,Kharaw,003080102,,,,0,281,281,,,
"",,Sroo Kalay,003080103,,,,0,285,285,,,
"",,,,,,Total,0,792,792,0,1,1
124,"Govt.Primary School, Batoor (Combined)",Batoor,003080105,,,,298,155,453,,,
"",,Tango,003080106,,,,461,278,739,,,
"",,,,,,Total,759,433,1192,1,1,2
125,Govt.GirlsPrimary School  Shahikot,Shahikot,003080107,,,,607,375,982,,,
"",,,,,,Total,607,375,982,1,1,2
126,"GGPS, Dogal (Combined)",Dogal,003070608,,,,394,268,662,,,
"",,Shatez,003080104,,,,295,229,524,,,
"",,,,,,Total,689,497,1186,1,1,2
127,"Govt.Primary School, Elo Kass (Combined)",Nakamai,003080501,,,,542,311,853,,,
"",,Elo Kass,003080502,,,,313,144,457,,,
"",,,,,,Total,855,455,1310,2,1,3
128,"Govt.Middle School, Shaltalo(Combined)",Shaltalo,003080503,,,,278,171,449,,,
"",,Zulikha,003080504,,,,179,114,293,,,
"",,Gat Koto,003080507,,,,164,104,268,,,
"",,Maro,003080508,,,,234,125,359,,,
"",,,,,,Total,855,514,1369,2,1,3
129,"Govt.Primery School , Sonai (Combined)",Sonai,003080505,,,,923,471,1394,,,
"",,Khara,003080506,,,,203,161,364,,,
"",,,,,,Total,1126,632,1758,2,1,3
