"",,---,---,TOTAL: -,,---,0,920,920,0,2,2
18,"Frontier EducationFoundation (FEF) GirlsDegree College (M) 2nd PS(P)*",---,---,"Shaheedan, Solai Parkhi",32030503,---,548,0,548,3,0,3
"",,---,---,Shaheedan Solai Botaka,32030504,---,519,0,519,,,
"",,---,---,TOTAL: -,,---,1067,0,1067,3,0,3
19,"Frontier EducationFoundation (FEF) GirlsDegree College (M)3rd PS(P)*",---,---,"Azad khel, Swatyan",32030505,---,562,0,562,3,0,3
"",,---,---,"Botaka, Naiki khel",32030506,---,636,0,636,,,
"",,---,---,TOTAL: -,,---,1198,0,1198,3,0,3
20,"Govt: Primary School No.4Topi (F) 1st PS (P)*",---,---,"Shaheedan, Solai Parkhi",32030503,---,0,333,333,0,2,2
"",,---,---,Shaheedan Solai Botaka,32030504,---,0,346,346,,,
"",,---,---,TOTAL: -,,---,0,679,679,0,2,2
21,"Govt: Primary School No.4Topi (F) 2nd PS (P)*",---,---,"Azad khel, Swatyan",32030505,---,0,384,384,0,2,2
"",,---,---,"Botaka, Naiki khel",32030506,---,0,484,484,,,
"",,---,---,TOTAL: -,,---,0,868,868,0,2,2
22,"Govt:High School PehurHimlet (Topi) (M)  (P)*",Himlet Topi,32020101,---,---,---,281,0,281,3,0,3
"",,Himlet Topi,32020102,---,---,---,130,0,130,,,
"",,Himlet Topi,32020103,---,---,---,109,0,109,,,
"",,Himlet Topi,32020104,---,---,---,438,0,438,,,
"",,Himlet Topi,32020112,---,---,---,0,0,0,,,
"",,Himlet Topi,32020105,---,---,---,255,0,255,,,
"",,TOTAL: -,,---,---,---,1213,0,1213,3,0,3
23,"Wapda Boys High SchoolRight Bank ColonyTarbella Topi (M)  1st PS(P)*","GIK, RBC Topi",32020106,---,---,---,58,0,58,3,0,3
"",,RBC Topi,32020107,---,---,---,176,0,176,,,
"",,RBC Topi,32020108,---,---,---,268,0,268,,,
"",,RBC Topi,32020109,---,---,---,173,0,173,,,
"",,"RBC, Escherwayss Col; Topi",32020110,---,---,---,75,0,75,,,
"",,RBC Topi,32020111,---,---,---,277,0,277,,,
"",,TOTAL: -,,---,---,---,1027,0,1027,3,0,3
24,"Govt Girls High SchoolPehur Himlet (Topi) (F) 1stPS(P)*",Himlet Topi,32020101,---,---,---,0,223,223,0,2,2
Himlet Topi,32020102,---,---,---,0,86,86,,,,,
Himlet Topi,32020103,---,---,---,0,80,80,,,,,
Himlet Topi,32020104,---,---,---,0,340,340,,,,,
Himlet Topi,32020112,---,---,---,0,0,0,,,,,
"",,Himlet Topi,32020105,---,---,---,0,162,162,,,
"",,TOTAL: -,,---,---,---,0,891,891,0,2,2
25,"Wapda Girls High  SchoolRight Bank ColonyTarbella (Topi)  (F) 1st(P)*","GIK, RBC Topi",32020106,---,---,---,0,51,51,0,2,2
"",,RBC Topi,32020107,---,---,---,0,134,134,,,
"",,RBC Topi,32020108,---,---,---,0,192,192,,,
"",,RBC Topi,32020109,---,---,---,0,158,158,,,
"",,"RBC, Escherwayss Col; Topi",32020110,---,---,---,0,61,61,,,
"",,RBC Topi,32020111,---,---,---,0,204,204,,,
"",,TOTAL: -,,---,---,---,0,800,800,0,2,2
26,"Govt Primary SchoolGallah (Combined)  (P)*",Gallah,32020202,---,---,---,322,249,571,2,1,3
"",,Rest House Gallah,32020203,---,---,---,332,286,618,,,
"",,TOTAL: -,,---,---,---,654,535,1189,2,1,3
27,"Govt:Primary School PehurHimlet (Topi) (M) 1st PS(P)*","Gallah, Pehur Himlet",32020201,---,---,---,157,0,157,2,0,2
"",,Gallah  Pehur Himlet,32020204,---,---,---,112,0,112,,,
"",,Pehur Himlet Gallah,32020205,---,---,---,572,0,572,,,
"",,TOTAL: -,,---,---,---,841,0,841,2,0,2
28,"Govt:Primary School PehurHimlet (Topi) (M) 2nd PS(P)*","Gallah, Pehur Himlet",32020206,---,---,---,597,0,597,2,0,2
"",,TOTAL: -,,---,---,---,597,0,597,2,0,2
29,"Wapda Boys High SchoolRight Bank ColonyTarbella Topi (M) 2nd PS(P)*","Gallah, Pehur Himlet",32020207,---,---,---,626,0,626,2,0,2
"",,"Gallah, Pehur Himlet",32020208,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,626,0,626,2,0,2
30,"Govt Girls High SchoolPehur Himlet (Topi) (F)2nd PS(P)*","Gallah, Pehur Himlet",32020201,---,---,---,0,101,101,0,2,2
"",,Gallah  Pehur Himlet,32020204,---,---,---,0,76,76,,,
"",,Pehur Himlet Gallah,32020205,---,---,---,0,412,412,,,
"",,TOTAL: -,,---,---,---,0,589,589,0,2,2
31,"Govt Girls High SchoolPehur Himlet (Topi) (F)","Gallah, Pehur Himlet",32020206,---,---,---,0,431,431,0,1,1
"",,TOTAL: -,,---,---,---,0,431,431,0,1,1
32,"Wapda Girls High  SchoolRight Bank ColonyTarbella (Topi)  (F) 2nd PS(P)*","Gallah, Pehur Himlet",32020207,---,---,---,0,554,554,0,2,2
"",,"Gallah, Pehur Himlet",32020208,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,0,554,554,0,2,2
33,"Govt:High School Batakara(M) 1st PS (P)*",Batakara,32020501,---,---,---,373,0,373,3,0,3
Batakara,32020502,---,---,---,328,0,328,,,,,
Batakara,32020503,---,---,---,582,0,582,,,,,
TOTAL: -,,---,---,---,1283,0,1283,3,0,3,,
34,"Govt:High SchoolBatakara (M) 2nd PS (P)*",Batakara,32020504,---,---,---,606,0,606,3,0,3
"",,Batakara,32020505,---,---,---,505,0,505,,,
"",,TOTAL: -,,---,---,---,1111,0,1111,3,0,3
35,"Govt:High SchoolBatakara (M) 3rd PS (P)*",Batakara,32020506,---,---,---,145,0,145,2,0,2
"",,Pontia,32020507,---,---,---,490,0,490,,,
"",,TOTAL: -,,---,---,---,635,0,635,2,0,2
36,"Govt Girls High SchoolBatakara (F) 1st PS (P)*",Batakara,32020501,---,---,---,0,258,258,0,2,2
"",,Batakara,32020502,---,---,---,0,210,210,,,
"",,Batakara,32020503,---,---,---,0,419,419,,,
"",,TOTAL: -,,---,---,---,0,887,887,0,2,2
37,"Govt Girls High SchoolBatakara (F) 2nd PS (P)*",Batakara,32020504,---,---,---,0,437,437,0,3,3
"",,Batakara,32020505,---,---,---,0,347,347,,,
"",,Batakara,32020506,---,---,---,0,73,73,,,
"",,Pontia,32020507,---,---,---,0,298,298,,,
"",,TOTAL: -,,---,---,---,0,1155,1155,0,3,3
38,"Basic Health Unit (BHU)Juma Khan Garhi Maini(M) 1st PS (P)*",Maini,32020301,---,---,---,1203,0,1203,3,0,3
"",,Maini,32020314,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,1203,0,1203,3,0,3
39,"Basic Health Unit (BHU)Juma Khan Garhi Maini(M) 2nd PS (P)*",Maini,32020302,---,---,---,603,0,603,2,0,2
"",,Maini,32020315,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,603,0,603,2,0,2
40,"Basic Health Unit (BHU)Juma Khan Garhi Maini(M) 3rd PS (P)*",Maini,32020306,---,---,---,641,0,641,3,0,3
"",,Maini,32020317,---,---,---,0,0,0,,,
"",,Maini,32020318,---,---,---,0,0,0,,,
"",,Maini,32020311,---,---,---,490,0,490,,,
"",,TOTAL: -,,---,---,---,1131,0,1131,3,0,3
41,"Govt:Girls Primary SchoolJuma Khan Garhi Maini (F)(P)*",Maini,32020301,---,---,---,0,803,803,0,3,3
"",,Maini,32020314,---,---,---,0,0,0,,,
"",,Maini,32020302,---,---,---,0,439,439,,,
"",,Maini,32020315,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,0,1242,1242,0,3,3
42,"Govt:Girls Middle SchoolJuma Khan Garhi Maini (F)(P)*",Maini,32020306,---,---,---,0,426,426,0,2,2
"",,Maini,32020317,---,---,---,0,0,0,,,
"",,Maini,32020318,---,---,---,0,0,0,,,
"",,Maini,32020311,---,---,---,0,362,362,,,
"",,TOTAL: -,,---,---,---,0,788,788,0,2,2
43,Govt Primary School No. 1,Maini,32020307,---,---,---,656,0,656,2,0,2
"","Maini  Naiki khedad (M)(P)*",Maini,32020319,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,656,0,656,2,0,2
44,"Govt Middle School GulBahar No.1 Maini (M) 1stPS (P)*",Maini,32020308,---,---,---,1238,0,1238,3,0,3
"",,Maini,32020320,---,---,---,0,0,0,,,
"",,Maini,32020321,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,1238,0,1238,3,0,3
45,"Govt Middle School GulBahar No.1 Maini (M) 2ndPS (P)*",Maini,32020309,---,---,---,355,0,355,3,0,3
"",,Maini,32020322,---,---,---,0,0,0,,,
"",,Maini,32020310,---,---,---,900,0,900,,,
"",,Maini,32020323,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,1255,0,1255,3,0,3
46,"Govt Girls High SchoolMaini (F) 1st PS (P)*",Maini,32020307,---,---,---,0,544,544,0,3,3
"",,Maini,32020319,---,---,---,0,0,0,,,
"",,Maini,32020308,---,---,---,0,971,971,,,
"",,Maini,32020320,---,---,---,0,0,0,,,
"",,Maini,32020321,---,---,---,0,0,0,,,
"",,TOTAL: -,,---,---,---,0,1515,1515,0,3,3
47,"Govt Girls High SchoolMaini (F) 2nd P.S (P)*",Maini,32020309,---,---,---,0,238,238,0,2,2
"",,Maini,32020322,---,---,---,0,0,0,,,
"",,Maini,32020310,---,---,---,0,589,589,,,
