ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OFPOLLING STATIONS FOR A CONSTITUENCY,,,,,,,,,,,,
ELECTION TO THE NATIONALY ASSEMEBLY,,,,,,,,,,,,
No. and name of constituency NA-72 SLK-I,,,,,,,,,,,,
S.No,No.& Name of Polling Staion.,In case of rural area,In case of urban area,"S.No. ofvoters ontheElectoral","Number of Voters assigned toPolling Station",No. of Polling Booths,,,,,,
"",,"Name of Electoral RollsAreas.","CensusBlock Code.","Name of ElectoralRolls Areasassigned to the","CensusBlock CodeNumber",,,,,,,
"",,,,,,,"MaleFrom ;to","FemaleFrom to",Total.,Male,Female,Total
"",TOTAL:-,,,,457,329,786,1,1,2,,
CHAK WAZIRA,178051202,,,,225,167,392,,,,,
MANDHAL,178051206,,,,347,254,601,,,,,
105,Government Girls Primary School  Gujral(Male) (P),GUJRAL,178051203,,,,133,,133,,,
"",,GUJRAL,178051204,,,,332,,332,,,
"",,GUJRAL,178051205,,,,780,,780,,,
"",,,TOTAL:-,,,,1245,,1245,2,,2
106,Government Boys Primary School  Gujral(Female) (P),GUJRAL,178051203,,,,,102,102,,,
"",,GUJRAL,178051204,,,,,233,233,,,
"",,GUJRAL,178051205,,,,,573,573,,,
"",,,TOTAL:-,,,,,908,908,,2,2
107,"Govt Iqbal Memorial Girls High School Pindi Panjuran(Male)(P)",PINDI PANJORAN,178051207,,,,366,,366,,,
"",,PINDI PANJORAN,178051208,,,,611,,611,,,
"",,PINDI PANJORAN,178051209,,,,216,,216,,,
"",,,TOTAL:-,,,,1193,,1193,2,,2
108,"Govt Iqbal Memorial Girls High School Pindi Panjuran(Female)(P)",PINDI PANJORAN,178051207,,,,,287,287,,,
"",,PINDI PANJORAN,178051208,,,,,472,472,,,
"",,PINDI PANJORAN,178051209,,,,,150,150,,,
"",,,TOTAL:-,,,,,909,909,,2,2
109,Government Girls High School Hamu Ghakhar.(Male)  (P),CHAK KARIM,178051402,,,,122,,122,,,
"",,HAMUN GAKHAR,178051403,,,,553,,553,,,
"",,HAMUN GAKHAR,178051404,,,,115,,115,,,
"",,KOT HATIM KHAN,178051405,,,,82,,82,,,
"",,KOTLI ARAIAN KALAN,178051406,,,,170,,170,,,
"",,KOTLI ARAIAN KHURD,178051407,,,,0,,0,,,
"",,BHOJO CHAND,178051601,,,,70,,70,,,
"",,DUNNI CHAND,178051607,,,,277,,277,,,
"",,,TOTAL:-,,,,1389,,1389,2,,2
110,"Government Girls High School Hamu Ghakhar.(Female)(P)",CHAK KARIM,178051402,,,,,89,89,,,
"",,HAMUN GAKHAR,178051403,,,,,429,429,,,
"",,HAMUN GAKHAR,178051404,,,,,90,90,,,
"",,KOT HATIM KHAN,178051405,,,,,60,60,,,
"",,KOTLI ARAIAN KALAN,178051406,,,,,101,101,,,
"",,KOTLI ARAIAN KHURD,178051407,,,,,0,0,,,
"",,BHOJO CHAND,178051601,,,,,48,48,,,
"",,DUNNI CHAND,178051607,,,,,178,178,,,
"",,,TOTAL:-,,,,,995,995,,2,2
111,GovernmentGirls High School Gondal.(Male)(P),GONDAL,178051501,,,,641,,641,,,
"",,GONDAL,178051502,,,,769,,769,,,
"",,,TOTAL:-,,,,1410,,1410,2,,2
112,GovernmentGirls High School Gondal.(Female)(P),GONDAL,178051501,,,,,506,506,,,
GONDAL,178051502,,,,,590,590,,,,,
"",TOTAL:-,,,,,1096,1096,,2,2,,
GONDAL,178051503,,,,235,,235,,,,,
"",,GONDAL,178051505,,,,661,,661,,,
"",,,TOTAL:-,,,,1700,,1700,3,,3
114,Government Boys High School Gondal.(Female)  (P),GONDAL,178051503,,,,,191,191,,,
"",,GONDAL,178051504,,,,,628,628,,,
"",,GONDAL,178051505,,,,,457,457,,,
"",,,TOTAL:-,,,,,1276,1276,,2,2
115,Government Girls Primary School Gondal. (Male)  (P),GONDAL,178051506,,,,333,,333,,,
"",,GONDAL,178051508,,,,520,,520,,,
"",,GONDAL,178051509,,,,25,,25,,,
"",,GONDAL,178051510,,,,259,,259,,,
"",,,TOTAL:-,,,,1137,,1137,2,,2
116,Government Girls Primary School Gondal. (Female)  (P),GONDAL,178051506,,,,,249,249,,,
"",,GONDAL,178051508,,,,,393,393,,,
"",,GONDAL,178051509,,,,,16,16,,,
"",,GONDAL,178051510,,,,,165,165,,,
"",,,TOTAL:-,,,,,823,823,,2,2
117,Government Model Primary School Rodial (P),PATTAN SEEN,178051511,,,,100,70,170,,,
"",,RODYAL,178051512,,,,542,393,935,,,
"",,SAGAR PUR,178051513,,,,32,32,64,,,
"",,,TOTAL:-,,,,674,495,1169,1,1,2
118,GovernmentGirls Primary School Chadiala. (P),CHADIALA,178051602,,,,315,217,532,,,
MAHMU JOYA,178051609,,,,259,210,469,,,,,
"",TOTAL:-,,,,574,427,1001,1,1,2,,
CHAK BHARAT,178051603,,,,87,62,149,,,,,
KOTLI BHUTA,178051608,,,,186,133,319,,,,,
MAL CHHAN,178051610,,,,323,238,561,,,,,
MAMARA MALKA,178051611,,,,151,98,249,,,,,
120,GovernmentGirls Primary School Chong Pur. (P),CHONG (CHOGH) PUR,178051604,,,,493,392,885,,,
"",,CHONG (CHOGH) PUR,178051605,,,,172,146,318,,,
"",,,TOTAL:-,,,,665,538,1203,1,1,2
121,GovernmentBoys Primary School Saggar. (P),SAGGAR,178051612,,,,551,395,946,,,
"",,,TOTAL:-,,,,551,395,946,1,1,2
122,Government Girls Primary School Baghal Mahal. (P),BAGHAL MAHAL,178051701,,,,492,370,862,,,
"",,MAHAL BHEELO,178051702,,,,98,85,183,,,
"",,,TOTAL:-,,,,590,455,1045,1,1,2
123,Govt. Girls High School Kharota Syedan(Male) (P),KHAROTA,178051703,,,,816,,816,,,
"",,KHAROTA,178051704,,,,474,,474,,,
"",,KHAROTA,178051705,,,,439,,439,,,
"",,,TOTAL:-,,,,1729,,1729,3,,3
124,Govt Girls High School Kharota Syedan (Female)(P),KHAROTA,178051703,,,,,649,649,,,
"",,KHAROTA,178051704,,,,,410,410,,,
"",,KHAROTA,178051705,,,,,401,401,,,
"",,,TOTAL:-,,,,,1460,1460,,2,2
125,Govt Boys High School Kharota Syedan (Male) (P),JAI RAM PUR,178051706,,,,240,,240,,,
"",,JAI RAM PUR,178051716,,,,182,,182,,,
"",,JAI RAM PUR,178051707,,,,227,,227,,,
"",,JAI RAM PUR,178051717,,,,47,,47,,,
"",,JAI RAM PUR,178051708,,,,410,,410,,,
"",,JAI RAM PUR,178051709,,,,229,,229,,,
"",,,TOTAL:-,,,,1335,,1335,2,,2
126,Govt Boys High School Kharota Syedan (Female) (P),JAI RAM PUR,178051706,,,,,189,189,,,
"",,JAI RAM PUR,178051716,,,,,103,103,,,
"",,JAI RAM PUR,178051707,,,,,165,165,,,
"",,JAI RAM PUR,178051717,,,,,46,46,,,
"",,JAI RAM PUR,178051708,,,,,345,345,,,
"",,JAI RAM PUR,178051709,,,,,201,201,,,
"",,,TOTAL:-,,,,,1049,1049,,2,2
127,Govt Boys High School Kharota Syedan (Male) (P),JAI RAM PUR,178051710,,,,647,,647,,,
"",,JAI RAM PUR,178051711,,,,476,,476,,,
"",,JAI RAM PUR,178051712,,,,265,,265,,,
"",,JAI RAM PUR,178051718,,,,148,,148,,,
"",,,TOTAL:-,,,,1536,,1536,2,,2
128,Govt Boys High School Kharota Syedan (Female) (P),JAI RAM PUR,178051710,,,,,568,568,,,
JAI RAM PUR,178051711,,,,,425,425,,,,,
JAI RAM PUR,178051712,,,,,236,236,,,,,
JAI RAM PUR,178051718,,,,,116,116,,,,,
"",TOTAL:-,,,,,1345,1345,,2,2,,
129,Government Girls High Schooll Marakiwal.(Male),JAI RAM PUR,178051714,,,,415,,415,,,
"",,JAI RAM PUR,178051715,,,,233,,233,,,
"",,,TOTAL:-,,,,961,,961,2,,2
130,Government Girls High Schooll Marakiwal.(Female),JAI RAM PUR,178051713,,,,,205,205,,,
"",,JAI RAM PUR,178051714,,,,,455,455,,,
"",,JAI RAM PUR,178051715,,,,,160,160,,,
"",,,TOTAL:-,,,,,820,820,,2,2
131,Govt. Model  Primary School Sarhali (P),KAHKWAL,178051802,,,,271,201,472,,,
"",,SARHALI,178051803,,,,721,533,1254,,,
"",,,TOTAL:-,,,,992,734,1726,2,2,4
132,Government Girls Elementary School  Hadali.(Male)(P),GARH RUPPA,178051804,,,,251,,251,,,
"",,HADALI,178051807,,,,725,,725,,,
"",,HADALI,178051808,,,,283,,283,,,
"",,,TOTAL:-,,,,1259,,1259,2,,2
133,Government Boys Primery School  Hadali. (Female),GARH RUPPA,178051804,,,,,167,167,,,
"",,HADALI,178051807,,,,,556,556,,,
"",,HADALI,178051808,,,,,202,202,,,
"",,,TOTAL:-,,,,,925,925,,2,2
134,Govt Girls Primary School Rum. (P),RUM,178051805,,,,754,603,1357,,,
"",,,TOTAL:-,,,,754,603,1357,1,1,2
135,Government Girls Primary School Pindi Mandla. (P),PINDI MANDLA,178051806,,,,640,457,1097,,,
"",,,TOTAL:-,,,,640,457,1097,1,1,2
136,"Govt Boys  Higher Secondery SchoolS Kotli Loharan East(Male) (P)",,,Mohllah Ghalian.,178080101,,861,,861,,,
"",,,,Mohllah Ghalian.,178080107,,282,,282,,,
"",,,,,TOTAL:-,,1143,,1143,2,,2
137,"Govt Girls  Elementary School Kotli Loharan East(Female) (P)",,,Mohllah Ghalian.,178080101,,,772,772,,,
"",,,,Mohllah Ghalian.,178080107,,,176,176,,,
"",,,,,TOTAL:-,,,948,948,,2,2
138,"Govt Boys  Higher Secondery SchoolS Kotli Loharan East(P)",,,Mohallah Kashmiri,178080102,,673,554,1227,,,
"",,,,,TOTAL:-,,673,554,1227,1,1,2
139,"Govt Boys  Higher Secondery SchoolS Kotli Loharan East(Male) (P)",,,Mohllah Mashrqi,178080103,,630,,630,,,
"",,,,Mohllah Joharwali,a1s7h8r0iq8i0104,,592,,592,,,
"",,,,,TOTAL:-,,1222,,1222,2,,2
140,"Govt Girls  Elementary School Kotli Loharan East(Female) (P)",,,Mohllah Mashrqi,178080103,,,499,499,,,
"",,,,Mohllah Joharwali,a1s7h8r0iq8i0104,,,467,467,,,
"",,,,,TOTAL:-,,,966,966,,2,2
141,"Govt Boys  Higher Secondery SchoolS Kotli Loharan East(Male) (P)",,,Mohallah Hakiman,1a7sh8r0q8i0105,,604,,604,,,
"",,Mohallah Balowal,178080106,,747,,747,,,,,
"",,,TOTAL:-,,1351,,1351,2,,2,,
142,(P),,,Mohallah Balowal,178080106,,,597,597,,,
"",,,,,TOTAL:-,,,1137,1137,,2,2
143,"GovernmentGirls .Zenab High SchoolS Kotli LoharanLegowal  (P)",,,Mohallah Nakowal,a1i7 A8b0a8d0i201,,525,444,969,,,
"",,,,Mohallah Nakowal,a1i7 A8b0a8d0i205,,354,229,583,,,
"",,,,,TOTAL:-,,879,673,1552,2,1,3
144,"GovernmentGirls .Zenab High SchoolS Kotli LoharanLegowal (Male) (P)",,,Mohallah Nakowal,a1i7 A8b0a8d0i202,,615,,615,,,
"",,,,Marrala Road,178080203,,397,,397,,,
"",,,,Mohallah Nakhowal,178080204,,418,,418,,,
"",,,,,TOTAL:-,,1430,,1430,2,,2
145,"Government Girls Primary School Kotli Loharan Maghrbi.(Female)  (P)",,,Mohallah Nakowal,a1i7 A8b0a8d0i202,,,545,545,,,
"",,,,Marrala Road,178080203,,,314,314,,,
"",,,,Mohallah Nakhowal,178080204,,,295,295,,,
"",,,,,TOTAL:-,,,1154,1154,,2,2
146,"GovernmentGirls Zenab High SchoolS Kotli LoharanLegowal (Male) (P)",,,Magrbi Mohallah N,k1o7w8a0l80301,,759,,759,,,
"",,,,MohallahBalowal M,g1r7b8i080302,,906,,906,,,
"",,,,,TOTAL:-,,1665,,1665,3,,3
147,"Government Boys Primary School Kotli Loharan Maghrbi(Female) (P)",,,Magrbi Mohallah N,k1o7w8a0l80301,,,666,666,,,
"",,,,MohallahBalowal M,g1r7b8i080302,,,757,757,,,
"",,,,,TOTAL:-,,,1423,1423,,3,3
148,"GovernmentGirls Zenab High SchoolS Kotli LoharanLegowal (Male) (P)",,,Mohallah Legwan,178080303,,521,,521,,,
"",,,,Mohallah Legwan,178080304,,447,,447,,,
"",,,,,TOTAL:-,,968,,968,2,,2
149,"Government Boys Primary School Kotli Loharan Maghrbi(Female) (P)",,,Mohallah Legwan,178080303,,,487,487,,,
"",,,,Mohallah Legwan,178080304,,,404,404,,,
"",,,,,TOTAL:-,,,891,891,,2,2
150,Government Model Primary School  Jhang. (P),JHANG,178060101,,,,489,269,758,,,
"",,,TOTAL:-,,,,489,269,758,1,1,2
151,Government Girls Primary School Chak Pondrah. (P),CHAK PONDRAH,178060102,,,,325,204,529,,,
"",,KHAIRI,178060103,,,,112,63,175,,,
"",,,TOTAL:-,,,,437,267,704,1,1,2
152,Government Boys Elementary Schooll Luni. (P),RAHAL,178060104,,,,84,42,126,,,
KANDAL,178060105,,,,97,63,160,,,,,
LOONI,178060201,,,,415,261,676,,,,,
LOONI,178060202,,,,274,158,432,,,,,
"",TOTAL:-,,,,870,524,1394,1,1,2,,
CHHANI DHERU,178060203,,,,62,54,116,,,,,
DERA,178060204,,,,231,143,374,,,,,
CHAK BHARAT,178060205,,,,73,34,107,,,,,
SUKHIAL,178060206,,,,200,145,345,,,,,
BADSER,178060207,,,,270,171,441,,,,,
154,Government Boys Elementary Schooll Kachi Mand. (P),KACHHI MAND,178060301,,,,724,510,1234,,,
"",,BALI PUR,178060302,,,,257,179,436,,,
"",,Chak Chandar,178060303,,,,0,0,0,,,
"",,,TOTAL:-,,,,981,689,1670,2,1,3
155,Government Model Primary School Bhatoli. (P),BHATOLI BARHAMANAN,178060304,,,,177,122,299,,,
"",,SAHOTI,178060305,,,,478,279,757,,,
"",,,TOTAL:-,,,,655,401,1056,1,1,2
156,"Government Girls Community Model School  ChakSanthal. (Male) (P)",BARHIMTIAL,178060401,,,,512,,512,,,
"",,CHAK SANTAL,178060404,,,,634,,634,,,
"",,CHAK SANTAL,178060405,,,,455,,455,,,
"",,,TOTAL:-,,,,1601,,1601,3,,3
157,Government Boys Primery School  Chak Santhal.(Female),BARHIMTIAL,178060401,,,,,405,405,,,
"",,CHAK SANTAL,178060404,,,,,519,519,,,
"",,CHAK SANTAL,178060405,,,,,265,265,,,
"",,,TOTAL:-,,,,,1189,1189,,2,2
158,Government Model Primary School Kahalian (P),KAHALIAN,178060402,,,,374,271,645,,,
"",TOTAL:-,,,,374,271,645,1,1,2,,
SHAH PUR,178060403,,,,441,309,750,,,,,
160,Government Boys Primary School Chak Nao. (P),DHAN KOT,178060501,,,,4,0,4,,,
"",,CHAK NAO,178060502,,,,16,16,32,,,
"",,CHANNOR,178060503,,,,588,399,987,,,
"",,MARHAL,178060504,,,,106,83,189,,,
"",,,TOTAL:-,,,,714,498,1212,1,1,2
161,"GovernmentBoys Elementary Schooll PulBajwan.(Male)(P)",PUL BAJWAN,178060505,,,,572,,572,,,
"",,PUL BAJWAN,178060506,,,,708,,708,,,
"",,PUL BAJWAN,178060507,,,,265,,265,,,
"",,CHHANI HAMTO,178060509,,,,0,,0,,,
"",,,TOTAL:-,,,,1545,,1545,2,,2
162,"Government Community Model Schooll PulBajwan.(Female)(P)",PUL BAJWAN,178060505,,,,,447,447,,,
"",,PUL BAJWAN,178060506,,,,,571,571,,,
"",,PUL BAJWAN,178060507,,,,,200,200,,,
"",,CHHANI HAMTO,178060509,,,,,0,0,,,
"",,,TOTAL:-,,,,,1218,1218,,2,2
163,Government Girls Primary School Pindi Bajwan. (P),PINDI BAJWAN,178060508,,,,438,329,767,,,
"",,,TOTAL:-,,,,438,329,767,1,1,2
164,Government Boys Primary School Chak Khoja. (P),CHAK KHOJA,178060601,,,,664,473,1137,,,
"",,SAPWAL,178060604,,,,56,47,103,,,
"",,,TOTAL:-,,,,720,520,1240,1,1,2
165,Government Girls Primary School Gid Pur. (P),GID PUR,178060602,,,,618,458,1076,,,
"",,,TOTAL:-,,,,618,458,1076,1,1,2
166,Government Girls Primary School Seerh. (P),KOTLI MANALIAN,178060603,,,,323,214,537,,,
"",,SIRH,178060605,,,,512,332,844,,,
"",,,TOTAL:-,,,,835,546,1381,1,1,2
167,Government Girls Primary School Kotli Dilpatian. (P),BADI-UZAMAN,178060701,,,,1,0,1,,,
"",,GADIAL,178060702,,,,95,62,157,,,
"",,JANGLORA,178060703,,,,223,140,363,,,
"",,KOTLI DILPATIAN,178060705,,,,205,154,359,,,
"",,,TOTAL:-,,,,524,356,880,1,1,2
168,Government Girls Primary School Kakran. (P),KAKRAN,178060704,,,,612,465,1077,,,
"",,,TOTAL:-,,,,612,465,1077,1,1,2
169,Government Boys High School Phuklian. (P),PHOKALIAN,178060706,,,,614,442,1056,,,
"",,PHOKALIAN,178060707,,,,397,312,709,,,
"",,,TOTAL:-,,,,1011,754,1765,2,2,4
170,Government Girls Primary School Marwal. (P),AJWAL,178060801,,,,57,38,95,,,
EMIN PUR,178060802,,,,25,18,43,,,,,
KEHKWAL,178060804,,,,104,51,155,,,,,
MARWAL,178060805,,,,419,309,728,,,,,
"",TOTAL:-,,,,605,416,1021,1,1,2,,
171,Government Girls Primary School Hail Bajwan. (P),HAIL BAJWAN,178060806,,,,608,424,1032,,,
"",,HAIL BAJWAN,178060807,,,,202,131,333,,,
"",,,TOTAL:-,,,,839,576,1415,1,1,2
172,Government Girls Elementary School Bhains (P),BHAINS,178060901,,,,401,270,671,,,
"",,BELI,178061001,,,,244,162,406,,,
"",,,TOTAL:-,,,,645,432,1077,1,1,2
173,Government Model Primary School Bajwal  (P),BHAJWAL,178060902,,,,260,167,427,,,
"",,DIAWRA,178060903,,,,299,213,512,,,
"",,,TOTAL:-,,,,559,380,939,1,1,2
174,Government Boys Primary School Joog. (P),JOOG,178060904,,,,209,114,323,,,
"",,KULIAL,178060905,,,,114,70,184,,,
"",,,TOTAL:-,,,,323,184,507,1,1,2
175,Government Girls Primary School Gangwal. (P),PAPIN,178060906,,,,57,40,97,,,
"",,GANGWAL,178061201,,,,190,118,308,,,
"",,SIKA,178061202,,,,179,116,295,,,
"",,,TOTAL:-,,,,426,274,700,1,1,2
176,Government Boys Elementary School Wadgram. (P),CHHANI KHIZAR PUR,178061002,,,,0,0,0,,,
"",,GHAZI PUR,178061003,,,,108,76,184,,,
"",,GURO KHAIR,178061004,,,,0,0,0,,,
"",,WADGRAN,178061005,,,,317,236,553,,,
"",,WADGRAN,178061006,,,,199,126,325,,,
"",,,TOTAL:-,,,,624,438,1062,1,1,2
177,Government Girls Primary School Mahal (Maisyal) (P),BELA BECHIRAGH,178061101,,,,45,19,64,,,
"",,FEROZ PUR,178061102,,,,0,0,0,,,
"",,JHOMIAN BAJWAN,178061103,,,,72,53,125,,,
"",,KANDO CHAK,178061104,,,,11,9,20,,,
"",,MAHAL (MISYAL),178061105,,,,533,420,953,,,
"",,PIND BHILO,178061106,,,,37,17,54,,,
"",,PANJGARIAN,178061107,,,,0,0,0,,,
"",,,TOTAL:-,,,,698,518,1216,1,1,2
178,Government Boys Primary School Zinda. (P),ZINDA,178061203,,,,321,296,617,,,
"",TOTAL:-,,,,321,296,617,1,1,2,,
KHALIL PUR,178061301,,,,529,412,941,,,,,
SAMBLI JATTAN,178061302,,,,0,1,1,,,,,
SAROCH,178061303,,,,0,0,0,,,,,
DARYA,178061304,,,,0,0,0,,,,,
BECHO BHAU,178061305,,,,0,0,0,,,,,
CHAK BHAGWAN,178061306,,,,0,0,0,,,,,
CHAK BADYA,178061401,,,,0,0,0,,,,,
CHAK PANGYAR,178061402,,,,0,0,0,,,,,
DHONGI,178061403,,,,0,0,0,,,,,
"",,HAIL MINHASAN,178061405,,,,48,28,76,,,
"",,KHANO BHAU,178061406,,,,0,0,0,,,
"",,SAMBLI RAI,178061407,,,,0,1,1,,,
"",,BHALIAL,178061501,,,,0,0,0,,,
"",,MARCHOLA,178061502,,,,0,0,0,,,
"",,NADALA,178061503,,,,1,0,1,,,
"",,,TOTAL:-,,,,578,442,1020,1,1,2
180,Government Girls Primary School Matanwala (Male) (P),MATAN WALA,178010101,,,,742,,742,,,
"",,MATAN WALA,178010102,,,,650,,650,,,
"",,,TOTAL:-,,,,1392,,1392,2,,2
181,Government Girls High School Matanwala (Female) (P),MATAN WALA,178010101,,,,,537,537,,,
"",,MATAN WALA,178010102,,,,,455,455,,,
"",,,TOTAL:-,,,,,992,992,,2,2
182,Government Girls High School Matanwala.(P),MATAN WALA,178010103,,,,428,325,753,,,
"",,,TOTAL:-,,,,428,325,753,1,1,2
183,Basic Health Unit Chouni Sulehrian.(Male) (P),CANTT. SULHRIAN,178010104,,,,573,,573,,,
"",,CANTT. SULHRIAN,178010105,,,,708,,708,,,
"",,,TOTAL:-,,,,1281,,1281,2,,2
184,"Governemt Model Elementry School ChouniSulehrian.(Female)",CANTT. SULHRIAN,178010104,,,,,414,414,,,
"",,CANTT. SULHRIAN,178010105,,,,,626,626,,,
"",,,TOTAL:-,,,,,1040,1040,,2,2
185,Government Model Primary School Lakhan Pur.,LAKKAN PUR,178010106,,,,477,327,804,,,
"",,,TOTAL:-,,,,477,327,804,1,1,2
186,Government Model Primary School Sadrana. (P),SANDRANA,178010107,,,,353,262,615,,,
"",,SANDRANA,178010108,,,,607,435,1042,,,
"",,,TOTAL:-,,,,960,697,1657,2,1,3
187,"Government Boys Elementrey School Noor Pura (DheeraSandha) (P)",DHERA SANDHA,178010109,,,,647,449,1096,,,
"",,,TOTAL:-,,,,647,449,1096,1,1,2
188,"Government Boys Elementary School Dhera Sandha.(Male) (P)",DHERA SANDHA,178010110,,,,607,,607,,,
"",,DHERA SANDHA,178010111,,,,509,,509,,,
"",,DHERA SANDHA,178010112,,,,504,,504,,,
"",,,TOTAL:-,,,,1620,,1620,3,,3
189,"Government Boys Elementary School Dhera Sandha.(Female) (P)",DHERA SANDHA,178010110,,,,,495,495,,,
"",,DHERA SANDHA,178010111,,,,,389,389,,,
"",,DHERA SANDHA,178010112,,,,,429,429,,,
"",,,TOTAL:-,,,,,1313,1313,,2,2
190,Government Model Primary School Parag Pur. (P),PARAG PUR,178010201,,,,713,572,1285,,,
"",TOTAL:-,,,,713,572,1285,1,1,2,,
GUJRAN WALA,178010202,,,,698,562,1260,,,,,
192,Government Boys Primary School Kot Mandianwala. (P),KOT MANDIAN WALA,178010203,,,,967,837,1804,,,
"",,,TOTAL:-,,,,967,837,1804,2,2,4
193,Government Girls Primary School Kotli Har Narainan. (P),KOTLI HAR NARAIAN,178010204,,,,454,351,805,,,
"",,KISHAN PURA,178010205,,,,315,265,580,,,
"",,,TOTAL:-,,,,769,616,1385,1,1,2
194,"Government Boys Elementary Schooll Partanwali(Male)(P)",PARTAN WALI,178010301,,,,677,,677,,,
"",,PARTAN WALI,178010302,,,,445,,445,,,
"",,PARTAN WALI,178010303,,,,315,,315,,,
"",,,TOTAL:-,,,,1437,,1437,2,,2
195,Government Girls High School Partanwali(Female) (P),PARTAN WALI,178010301,,,,,515,515,,,
"",,PARTAN WALI,178010302,,,,,330,330,,,
"",,PARTAN WALI,178010303,,,,,240,240,,,
"",,,TOTAL:-,,,,,1085,1085,,2,2
196,Government Model Primary School Rehmat Abad. (P),PARTAN WALI,178010304,,,,465,361,826,,,
PARTAN WALI,178010305,,,,264,213,477,,,,,
"",TOTAL:-,,,,729,574,1303,1,1,2,,
AKEWALI,178010306,,,,463,307,770,,,,,
198,Government Model Primary School Bhaniwali.  (P),BHANE WALI,178010307,,,,900,731,1631,,,
"",,,TOTAL:-,,,,900,731,1631,2,1,3
199,Government Girls Elementry School  Kot Kora. (P),KOT KORA,178010308,,,,567,416,983,,,
"",,,TOTAL:-,,,,567,416,983,1,1,2
200,Government Model Primary School Anjotar. (P),ANJOTAR,178010401,,,,280,195,475,,,
"",,ANJOTAR,178010402,,,,240,170,410,,,
"",,ANJOTAR,178010403,,,,480,370,850,,,
"",,,TOTAL:-,,,,1000,735,1735,2,2,4
201,"Government Model School Chrind. (Male-Portion)(Male) (P)",CHARIND,178010404,,,,777,,777,,,
"",,CHARIND,178010405,,,,393,,393,,,
"",,,TOTAL:-,,,,1170,,1170,2,,2
202,"Government Model School Chrind. (Female-Portion)(Female) (P)",CHARIND,178010404,,,,,626,626,,,
"",,CHARIND,178010405,,,,,305,305,,,
"",,,TOTAL:-,,,,,931,931,,2,2
203,"Government Model Elementry School KotlaAmbanwala.(Male-Portion)(Male)(P)",KOTLA,178010406,,,,240,,240,,,
"",,KOTLA,178010407,,,,234,,234,,,
"",,KOTLA,178010408,,,,696,,696,,,
"",,KOTLA,178010409,,,,278,,278,,,
"",,,TOTAL:-,,,,1448,,1448,2,,2
204,"Government Model Elementry School KotlaAmbanwala.(Female-Portion)(Male)(P)",KOTLA,178010406,,,,,200,200,,,
"",,KOTLA,178010407,,,,,176,176,,,
"",,KOTLA,178010408,,,,,573,573,,,
"",,KOTLA,178010409,,,,,197,197,,,
"",,,TOTAL:-,,,,,1146,1146,,2,2
205,"Government Girls Primary School Bhikho Chour.(Male)(P)",BHIKO CHUR,178010410,,,,883,,883,,,
"",,BHIKO CHUR,178010411,,,,649,,649,,,
"",,BHIKO CHUR,178010412,,,,166,,166,,,
"",,BHIKO CHUR,178010413,,,,0,,0,,,
"",,,TOTAL:-,,,,1698,,1698,3,,3
206,"Government Girls Primary School Bhikho Chour.(Female)(P)",BHIKO CHUR,178010410,,,,,740,740,,,
"",,BHIKO CHUR,178010411,,,,,456,456,,,
"",,BHIKO CHUR,178010412,,,,,141,141,,,
"",,BHIKO CHUR,178010413,,,,,0,0,,,
"",,,TOTAL:-,,,,,1337,1337,,2,2
207,Government Boys High School Channu Moom.(Male) (P),CHANUN MOM,178010414,,,,350,,350,,,
CHANUN MOM,178010415,,,,454,,454,,,,,
CHANUN MOM,178010416,,,,455,,455,,,,,
CHANUN MOM,178010417,,,,485,,485,,,,,
"",TOTAL:-,,,,1744,,1744,3,,3,,
CHANUN MOM,178010414,,,,,311,311,,,,,
208,(P),CHANUN MOM,178010416,,,,,350,350,,,
"",,CHANUN MOM,178010417,,,,,388,388,,,
"",,,TOTAL:-,,,,,1501,1501,,3,3
209,Government Girls Primary School Akbar abad.(Male) (P),AKBAR ABAD,178010418,,,,340,,340,,,
"",,AKBAR ABAD,178010445,,,,354,,354,,,
"",,AKBAR ABAD,178010419,,,,491,,491,,,
"",,AKBAR ABAD,178010422,,,,355,,355,,,
"",,,TOTAL:-,,,,1540,,1540,2,,2
210,"Government Girls Primary School Akbar abad.(Female)(P)",AKBAR ABAD,178010418,,,,,242,242,,,
"",,AKBAR ABAD,178010445,,,,,283,283,,,
"",,AKBAR ABAD,178010419,,,,,374,374,,,
"",,AKBAR ABAD,178010422,,,,,271,271,,,
"",,,TOTAL:-,,,,,1170,1170,,2,2
211,Government Boys Primary School Akbar abad. (Male) (P),AKBAR ABAD,178010420,,,,540,,540,,,
"",,AKBAR ABAD,178010421,,,,525,,525,,,
"",,,TOTAL:-,,,,1065,,1065,2,,2
212,"GovernmentBoys Primary School Akbar abad. (Female)(P)",AKBAR ABAD,178010420,,,,,431,431,,,
AKBAR ABAD,178010421,,,,,425,425,,,,,
"",TOTAL:-,,,,,856,856,,2,2,,
NAWAN PIND,178010423,,,,450,,450,,,,,
NAWAN PIND,178010441,,,,227,,227,,,,,
NAWAN PIND,178010424,,,,421,,421,,,,,
NAWAN PIND,178010442,,,,66,,66,,,,,
NAWAN PIND,178010443,,,,108,,108,,,,,
NAWAN PIND,178010444,,,,11,,11,,,,,
214,"Government Boys Primery School Nawan Pind. (Female)(P)",NAWAN PIND,178010423,,,,,345,345,,,
