Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral rollin caseelectoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"","Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,,
255,"Govt.Boys High School, Galay wal at Sagwan Part-II(Comb) (P)",Sagwan,217050208,,,,502,481,983,2,2,4
255,,Sagwan,217050209,,,,155,144,299,,,
Total,,,,,,,657,625,1282,2,2,4
256,"Govt Boys Primary School ,Siddha (Comb) (P)",Sidha,217050213,,,,167,110,277,2,1,3
256,,Sidha,217050214,,,,434,384,818,,,
Total,,,,,,,601,494,1095,2,1,3
257,"Govt.Girls High School, Galay wal Part-I (Comb) (P)",Sidha,217050215,,,,100,80,180,1,1,2
257,,Sidha,217050216,,,,90,67,157,,,
257,,Sidha,217050217,,,,407,364,771,,,
Total,,,,,,,597,511,1108,1,1,2
258,"Govt.Girls High  School, Galay wal Part-II (Comb) (P)",Sidha,217050218,,,,533,443,976,2,2,4
258,,Sidha,217050219,,,,117,63,180,,,
258,,Sidha,217050220,,,,139,96,235,,,
Total,,,,,,,789,602,1391,2,2,4
259,"Govt Boys Primary School ,Manglay wala at Sidha(Comb) (P)",Sidha,217050221,,,,586,504,1090,1,1,2
Total,,,,,,,586,504,1090,1,1,2
260,"Govt Girls Primary School,Khan Gahi at Galandra(Comb) (P)",Galandra,217050222,,,,326,240,566,2,2,4
260,,Galandra,217050223,,,,604,549,1153,,,
Total,,,,,,,930,789,1719,2,2,4
261,"Govt Girls Primary School,Chak No.52/M (Comb) (P)",Chak No.51/M,217050304,,,,477,359,836,2,2,4
261,,Chak No.52/M,217050305,,,,575,519,1094,,,
261,,Chak No.52/M,217050306,,,,,,,,,
Total,,,,,,,1052,878,1930,2,2,4
262,"Govt Boys Elementary School, Chak No.50/M (Comb)(P)",Chak No.49/M,217050301,,,,207,143,350,2,2,4
262,,Chak No.50/M,217050302,,,,478,454,932,,,
262,,Chak No.50/M,217050303,,,,169,130,299,,,
Total,,,,,,,854,727,1581,2,2,4
263,"Govt.Boys Higher Secondary School,Chak No.53/MPart-I (Comb) (P)",Chak No.53/M,217050401,,,,645,558,1203,2,1,3
263,,Chak No.53/M,217050402,,,,,,,,,
Total,,,,,,,645,558,1203,2,1,3
264,"Govt.Boys Higher Secondary  School,Chak No.53/MPart-II (Comb) (P)",Chak No.53/M,217050403,,,,341,283,624,2,2,4
264,,Chak No.54/M,217050404,,,,445,373,818,,,
Total,,,,,,,786,656,1442,2,2,4
