Sr. No,No. and name of polling Station,In case of rural areas,In case of urban areas,"Serial No. ofvoterson theelectoral rollin caseelectoralarea isbifurcated","Number of voters assigned topolling station","Number of pollingbooths",,,,,,
"","Name of electoralarea","Censusblock code","Name ofelectoral area","Census blockcode",Male,Female,Total,Male,Female,Total,,
123,Govt. Elementary School Mari Bhagu Khan Wala,Mari Bhagoo Khan,218031102,,,,754,0,754,4,0,4
"",,Mari Bhagoo Khan,218031103,,440,0,440,,,,,
"",,Shah Jamal,218031101,,421,0,421,,,,,
Total,,,,,,,1615,0,1615,4,0,4
124,"Basic Health Unit , Marri Bhagu Khan Female Part-II(P)",Mari Bhagoo Khan,218031102,,,,0,545,545,0,2,2
"",,Mari Bhagoo Khan,218031103,,0,330,330,,,,,
"",,Shah Jamal,218031101,,0,355,355,,,,,
Total,,,,,,,0,1230,1230,0,2,2
125,"Govt Boys High School, Nau Qabil Wah Part-I(P)",Nau Qabil Wah,218030301,,,,441,383,824,1,1,2
"",,Nau Qabil Wah,218030302,,171,132,303,,,,,
Total,,,,,,,612,515,1127,1,1,2
126,"Govt Boys High School, Nau Qabil Wah Part-II(P)",Nau Qabil Wah,218030303,,,,463,393,856,2,1,3
Total,,,,,,,463,393,856,2,1,3
127,Civil Despensary Basti Rang Bhara Nau Qabil Wah(P),Nau Qabil Wah,218030304,,,,742,570,1312,2,1,3
Total,,,,,,,742,570,1312,2,1,3
128,"Govt Girls  Primary School, Ghazi Wala (Sharak Wah)(P)",Sharik Wah,218030910,,,,455,322,777,1,1,2
"",,Sharik Wah,218030911,,261,177,438,,,,,
Total,,,,,,,716,499,1215,1,1,2
129,"Govt Girls  Middle School, Khajji Wala(P)",Khejji Wala,218030905,,,,234,180,414,2,2,4
"",,Khejji Wala,218030906,,448,292,740,,,,,
"",,Chak Muhammad Murad,218030908,,318,194,512,,,,,
Total,,,,,,,1000,666,1666,2,2,4
130,"Govt Girls  Primary School, Joi Shah Wala(P)",Khejji Wala,218030907,,,,136,99,235,1,1,2
Total,,,,,,,136,99,235,1,1,2
131,"Govt Girls  Primary School, Kabir Wah No. 2 BastiAhmadoo Wala(P)",Kabir Wah,218030904,,,,681,562,1243,1,1,2
Total,,,,,,,681,562,1243,1,1,2
132,"Govt Girls  Primary School, (Basti Arothi) Basti KikarWala(P)",Amirpur Thahim,218030912,,,,460,326,786,1,1,2
"",,Muhammad Murrad,218030909,,292,201,493,,,,,
Total,,,,,,,752,527,1279,1,1,2
133,"Govt Girls  Primary School, Hamble(P)",Hanmbal Wala,218030902,,,,494,363,857,1,1,2
Total,,,,,,,494,363,857,1,1,2
134,"Govt Girls  Primary School, Hamble wala Near petrolpump Mauza Ameer Pur(P)",Hanmbal Wala,218030903,,,,503,376,879,2,2,4
"",,Arya,218030901,,419,374,793,,,,,
Total,,,,,,,922,750,1672,2,2,4
135,"Govt Boys Primary School, Haji Wala","Chahan MuhammadSharif",218031202,,,,624,460,1084,1,1,2
Total,,,,,,,624,460,1084,1,1,2
136,"Govt Boys Middle School, Pacca Part-I (P)",Pacca,218010201,,,,373,244,617,1,1,2
137,"Govt Boys Middle School, Pacca Part-II (P)",Pacca,218010202,,,,892,689,1581,2,2,4
Pacca,218010203,,60,38,98,,,,,,,
138,"Office of Deputy District Officer Water ManagementKehror Pacca(P)",Lal Bhaghali,218010301,,,,494,376,870,2,2,4
"",Lal Bhaghali,218010302,,576,454,1030,,,,,,
Total,,,,,,,1070,830,1900,2,2,4
139,"Govt Boys Primary School, Laal Baghali  at karam Aliwahla Male(P)",Lal Bhaghali,218010303,,,,364,0,364,3,0,3
"",Lal Bhaghali,218010304,,613,0,613,,,,,,
"",Muhammad Pur,218010306,,321,0,321,,,,,,
Total,,,,,,,1298,0,1298,3,0,3
140,"Govt Girls  Primary School, Peer da Keela at Karam AliWala Female(P)",Lal Bhaghali,218010303,,,,0,296,296,0,2,2
"",Lal Bhaghali,218010304,,0,452,452,,,,,,
"",Muhammad Pur,218010306,,0,244,244,,,,,,
Total,,,,,,,0,992,992,0,2,2
141,"Govt Boys Higher Secondary School, Rind Jadha  Part-I(P)",Rindh Jadda,218030501,,,,402,315,717,2,1,3
"",Rindh Jadda,218030502,,408,352,760,,,,,,
Total,,,,,,,810,667,1477,2,1,3
142,"Govt Boys Higher Secondary School, Rind Jadha  MalePart-II (P)",Chak Choki Kohna,218030510,,,,283,0,283,3,0,3
"",Kamboh,218030509,,119,0,119,,,,,,
"",Rindh Jadda,218030503,,334,0,334,,,,,,
"",Rindh Jadda,218030504,,407,0,407,,,,,,
Total,,,,,,,1143,0,1143,3,0,3
143,"Govt Boys Higher Secondary School, Rind Jadah Part-IIIFemale (P)",Chak Choki Kohna,218030510,,,,0,230,230,0,2,2
"",Kamboh,218030509,,0,83,83,,,,,,
"",Rindh Jadda,218030503,,0,253,253,,,,,,
"",Rindh Jadda,218030504,,0,343,343,,,,,,
Total,,,,,,,0,909,909,0,2,2
144,"Govt. Boys Primary School, Basti Jadah(P)",Rindh Jadda,218030505,,,,574,462,1036,2,0,4
"",Rindh Jadda,218030506,,396,335,731,,,,,,
Total,,,,,,,970,797,1767,2,0,4
145,"Govt Model  Primary School, Peer Chiragh.(P)",Rindh Jadda,218030507,,,,400,274,674,2,1,3
"",Rindh Jadda,218030508,,295,233,528,,,,,,
Total,,,,,,,695,507,1202,2,1,3
146,"Govt Boys Primary School, Chowki Sube Khan(P)",Chowki Subay Khan,218030403,,,,528,421,949,2,1,3
"",Mahar,218030406,,251,171,422,,,,,,
"",Dhora Mahar,218030405,,86,61,147,,,,,,
Total,,,,,,,865,653,1518,2,1,3
147,"Govt Boys Primary School, Choki Kohna.(P)",Chowki Kohna,218030402,,,,534,438,972,2,2,4
"",Gulhar,218030401,,428,372,800,,,,,,
Total,,,,,,,962,810,1772,2,2,4
148,"Govt Girls Primary School, Jalil Pur.(P)",Jalil pur,218030411,,,,386,283,669,2,2,4
"",Derwaish wala,218030410,,63,36,99,,,,,,
"",jamoo jat,218030404,,530,398,928,,,,,,
Total,,,,,,,979,717,1696,2,2,4
149,"Govt Boys High School, Gahi Mummer(P)",Gahi Mamer,218030407,,,,164,117,281,2,0,4
Gahi Mamer,218030408,,505,400,905,,,,,,,
Gahi Mamer,218030409,,315,214,529,,,,,,,
150,"Govt Boys High School, Ameer pur sadat. Part-I  (P)",Amirpur Sadat,218020101,,,,462,,462,2,0,2
"",,Amirpur Sadat,218020102,,972,0,972,,,,,
Total,,,,,,,1434,0,1434,2,0,2
151,"Govt Girls High School, ameer Pur Sadat Male Part-I(P)",Amirpur Sadat,218020103,,,,475,0,475,2,0,2
"",,Amirpur Sadat,218020104,,484,0,484,,,,,
Total,,,,,,,959,0,959,2,0,2
152,"Govt Girls High School, ameer pur sadat Female Part-II(P)",Amirpur Sadat,218020102,,,,0,700,700,0,3,3
"",,Amirpur Sadat,218020103,,0,397,397,,,,,
"",,Amirpur Sadat,218020104,,0,366,366,,,,,
Total,,,,,,,0,1463,1463,0,3,3
153,"Govt Boys Primary School, Kotla Naranjan Male(P)",Kotla Naranjan,218020105,,,,339,0,339,4,0,4
"",,Kotla Naranjan,218020106,,851,0,851,,,,,
"",,Kotla Naranjan,218020107,,476,0,476,,,,,
Total,,,,,,,1666,0,1666,4,0,4
154,"Govt Model  Primary School, Kotla Naranjan Female(P)",Kotla Naranjan,218020105,,,,0,259,259,0,3,3
"",,Kotla Naranjan,218020106,,0,507,507,,,,,
"",,Kotla Naranjan,218020107,,0,528,528,,,,,
Total,,,,,,,0,1294,1294,0,3,3
155,"Govt Model  Primary School, Din pur.(P)",Din pur,218020108,,,,548,475,1023,1,1,2
Total,,,,,,,548,475,1023,1,1,2
156,"Govt Girls  Primary School, Khursheed Abad.(P)",Hardo Thahim,218020201,,,,549,390,939,2,1,3
"",,Hardo Thahim,218020202,,337,206,543,,,,,
Total,,,,,,,886,596,1482,2,1,3
157,"Basic Health Unit, Ameer Pur Sadat.(P)",Hardo Thahim,218020203,,,,631,459,1090,2,2,4
"",,Hardo Thahim,218020204,,426,243,669,,,,,
Total,,,,,,,1057,702,1759,2,2,4
158,"Govt Girls Primary School, Hardoo Thaheem(P)",Hardo Thahim,218020205,,,,240,149,389,1,1,2
"",,Hardo Thahim,218020206,,499,344,843,,,,,
Total,,,,,,,739,493,1232,1,1,2
159,"Govt Girls  Primary School, Narain Wala Male(P)",Wahi Nau,218020301,,,,578,0,578,2,2,4
"",,Wahi Nau,218020302,,451,0,451,,,,,
"",,Wahi Nau,218020303,,424,0,424,,,,,
"",,Wahi Nau,218020304,,468,0,468,,,,,
Total,,,,,,,1921,0,1921,2,2,4
160,"Govt Boys Primary School, Narain Wala. Female(P)",Wahi Nau,218020301,,,,0,358,358,0,3,3
"",,Wahi Nau,218020302,,0,410,410,,,,,
"",,Wahi Nau,218020303,,0,210,210,,,,,
"",,Wahi Nau,218020304,,0,334,334,,,,,
Total,,,,,,,0,1312,1312,0,3,3
161,"Govt. Boys  Primary  School, Hamid Pur.(P)",Hamid pur,218020305,,,,622,355,977,2,2,4
"",,Hamid pur,218020306,,438,263,701,,,,,
Total,,,,,,,1060,618,1678,2,2,4
162,Govt. Girls Prmary School Noor Shah Gillani,Noor Shah Gilani,218020401,,,,288,165,453,1,1,2
"",,Noor Shah Gilani,218020402,,306,189,495,,,,,
Total,,,,,,,594,354,948,1,1,2
163,Basic Health Unit Noor Shah Gillani,Noor Shah Gilani,218020403,,,,458,322,780,2,1,3
Noor Shah Gilani,218020404,,280,206,486,,,,,,,
"Veternery Hospital, Noor Shah Gillani",Noor Shah Gilani,218020405,,,,758,559,1317,2,1,3
165,"Govt Girls Primary School, Bhuttay Wala Part-I (P)",Dhanote,218020501,,,,1000,0,1000,2,0,2,
"",Dhanote,218020502,,192,0,192,,,,,,,
Total,,,,,,,1192,0,1192,2,0,2,
166,"Govt Girls Primary School, Bhuttay Wala Part-II (P)",Dhanote,218020501,,,,0,859,859,0,2,2,
"",Dhanote,218020502,,0,140,140,,,,,,,
Total,,,,,,,0,999,999,0,2,2,
167,"Govt Girls  Primary School, Sher pur Jadid.(P)",Dhanote,218020503,,,,460,342,802,2,2,4,
"",Dhanote,218020504,,523,358,881,,,,,,,
Total,,,,,,,983,700,1683,2,2,4,
168,"Govt Boys Primary School, Rapper(P)",Rapper,218020601,,,,522,347,869,2,1,3,
"",Rapper,218020602,,322,209,531,,,,,,,
Total,,,,,,,844,556,1400,2,1,3,
169,Union Council Office Rapper.(P),Rapper,218020603,,,,433,311,744,1,1,2,
Total,,,,,,,433,311,744,1,1,2,
170,"Govt Boys Primary School, Darbar Peer Jiwan (P)",Rapper,218020604,,,,324,277,601,2,1,4,
"",Rapper,218020605,,392,215,607,,,,,,,
"",Rapper,218020606,,384,285,669,,,,,,,
Total,,,,,,,1100,777,1877,2,0,4,
171,"Govt Girls  Primary School, Nabahoo Wala(P)",Rapper,218020607,,,,398,287,685,2,0,4,
"",Rapper,218020608,,469,364,833,,,,,,,
Total,,,,,,,867,651,1518,2,0,4,
172,"Govt Girls Primary School, Munshi Wala(P)",Burhanpur,218020701,,,,781,579,1360,2,1,3,
Total,,,,,,,781,579,1360,2,1,3,
173,"Govt Girls  Primary School, Basti Ameer pur Station atArya",Burhanpur,218020706,,,,508,406,914,2,1,3,
"",Burhanpur,218020704,,513,415,928,,,,,,,
Total,,,,,,,1021,821,1842,2,1,3,Confusion
174,"Govt Boys Primary School, Basti Burhan pur(P)",Burhanpur,218020705,,,,514,374,888,1,1,2,
Total,,,,,,,514,374,888,1,1,2,
175,"Govt Girls  Primary School, Qureshi Wala.(P)",Burhanpur,218020702,,,,512,372,884,2,2,4,
"",Burhanpur,218020703,,581,445,1026,,,,,,,
Total,,,,,,,1093,817,1910,2,2,4,Confusion
176,"Govt Girls  Primary School,  Basti Islam pur(P)",Burhanpur,218020707,,,,343,256,599,1,1,2,
177,"Govt Boys Middle School, Muhammad Saee. Part-I (P)",Muhammad  Saee,218020801,,,,447,373,820,1,1,2
Total,,,,,,,447,373,820,1,0,2
178,"Govt Boys Middle School, Muhammad Saee. Part-II (P)",Muhammad  Saee,218020802,,,,656,528,1184,1,0,2
Total,,,,,,,656,528,1184,1,0,2
179,"Basic Health Unit, Muhammad Saee.(P)",Muhammad  Saee,218020803,,,,467,356,823,2,1,3
"",Muhammad  Saee,218020804,,420,340,760,,,,,,
Total,,,,,,,887,696,1583,2,1,3
180,"Govt Boys Primary School, Sabz Kot (P)",Sabz Kot,218020805,,,,373,301,674,1,1,2
"",Sabz Kot,218020806,,287,272,559,,,,,,
Total,,,,,,,660,573,1233,1,1,2
181,"Govt Girls  Primary School, Chak 22-M(P)",Chak No. 30/M,218021206,,,,329,229,558,2,2,4
"",Chak No. 30/M,218021207,,154,107,261,,,,,,
"",Chak No. 21/M,218021204,,185,111,296,,,,,,
"",Chak No. 22/M,218021205,,444,259,703,,,,,,
Total,,,,,,,1112,706,1818,2,2,4
182,"Govt Girls  Primary School, Chak 20-M(P)",Chak No. 20/M,218021202,,,,475,344,819,2,1,3
"",,,218021203,,399,345,744,,,,,
Total,,,,,,,874,689,1563,2,1,3
183,"Govt Boys Primary School, Khokhran Part-II (P)",Khokhran,218021110,,,,170,123,293,2,1,3
"",Murshad pur,218021111,,137,80,217,,,,,,
"",Gambool,218021112,,66,47,113,,,,,,
"",Chak No. 19/M,218021201,,429,347,776,,,,,,
"",Chak Allah Rakha,218021109,,76,66,142,,,,,,
Total,,,,,,,878,663,1541,2,1,3
184,"Govt Boys Primary School, Mahar Shah Part-I  Male (P)",Ali Pur Kanju,218021001,,,,962,0,962,2,0,2
"",Ali Pur Kanju,218021002,,239,0,239,,,,,,
Total,,,,,,,1201,0,1201,2,0,2
185,"Govt Boys Primary School, Mahar Shah Part-II Female(P)",Ali Pur Kanju,218021001,,,,0,766,766,0,2,2
"",Ali Pur Kanju,218021002,,0,144,144,,,,,,
Total,,,,,,,0,910,910,0,2,2
186,"Govt Girls  Elementary School, Mehar Shah (P)",Ali Pur Kanju,218021003,,,,668,556,1224,1,1,2
187,"Govt. Girls Primary School, Bagh Wala (P)",Ali Pur Kanju,218021004,,,,66,311,377,2,1,3
"",,Ali Pur Kanju,218021005,,881,331,1212,,,,,
Total,,,,,,,947,642,1589,2,1,3
188,"Govt Girls  Primary School, Inayat Ali(P)",Ali Pur Kanju,218021006,,,,644,431,1075,1,0,2
Total,,,,,,,644,431,1075,1,0,2
189,"Basic Health Unit, Ali Pur Kanju(P)",Ali Pur Kanju,218021007,,,,309,200,509,1,1,2
Total,,,,,,,309,200,509,0,1,2
190,"Govt Girls Middle School, Chowki Rangoo Khan(P)",Chowki Rangoo Khan,218020901,,,,322,290,612,2,2,4
"",,Chowki Rangoo Khan,218020902,,308,217,525,,,,,
Total,,,,,,,630,507,1137,2,2,4
191,Govt Boys Primary School. Hassai Wala.(P),Chowki Rangoo Khan,218020904,,,,384,306,690,1,1,2
"",,Chowki Rangoo Khan,218020903,,283,264,547,,,,,
Total,,,,,,,667,570,1237,1,1,2
192,"Govt Girls Middle School, Chowki Masti khan(P)",Chowki Masti Khan,218021101,,,,557,413,970,1,1,2
"",,Chowki Masti Khan,218021103,,200,195,395,,,,,
Total,,,,,,,757,608,1365,1,1,2
193,"Govt Boys High School, Chowki Masti Khan Part-I (P)",Chowki Masti Khan,218021102,,,,434,319,753,2,1,3
"",,Chowki Masti Khan,218021105,,292,231,523,,,,,
Total,,,,,,,726,550,1276,2,1,3
194,"Govt Boys Primary School, Jandi Wala(P)",Chowki Masti Khan,218021104,,,,306,203,509,2,2,4
"",,Chowki Masti Khan,218021106,,605,458,1063,,,,,
Total,,,,,,,911,661,1572,2,2,4
195,"Govt Girls Middle School, Chowki Masti Khan(P)",Gopal Pur,218021108,,,,232,185,417,1,1,2
"",,Chowki Masti Khan,218021107,,325,255,580,,,,,
Total,,,,,,,557,440,997,1,1,2
196,"Union Council  Office, Town Committee, Dhanote(P)",,,"Town CommitteeDhanote",218050101,,447,317,764,2,2,4
"Town CommitteeDhanote",218050102,,233,173,406,,,,,,,
"Town CommitteeDhanote",218050106,,315,248,563,,,,,,,
197,"Govt Boys High School, Dhanote Part-I(P)",,,"Town CommitteeDhanote",218050103,,250,211,461,2,2,4
"",,,,"Town CommitteeDhanote",218050304,,65,52,117,,,
"",,,,"Town CommitteeDhanote",218050306,,248,164,412,,,
"",,,,"Town CommitteeDhanote",218050403,,146,109,255,,,
Total,,,,,,,709,536,1245,2,2,4
198,"Govt Boys High School, Dhanote Part-II(P)",,,"Town CommitteeDhanote",218050305,,365,311,676,2,2,4
"",,,,"Town CommitteeDhanote",218050307,,480,322,802,,,
"",,,,"Town CommitteeDhanote",218050308,,77,61,138,,,
Total,,,,,,,922,694,1616,2,2,4
199,"Basic Health Center, Dhanote   (P)",,,"Town CommitteeDhanote",218050104,,195,164,359,2,1,3
"",,,,"Town CommitteeDhanote",218050105,,267,209,476,,,
"",,,,"Town CommitteeDhanote",218050201,,408,329,737,,,
Total,,,,,,,870,702,1572,2,1,3
200,"Govt. Girls Higher Secondry School, Dhanote Part-II (P)",,,"Town CommitteeDhanote",218050202,,485,359,844,2,1,3
"",,,,"Town CommitteeDhanote",218050301,,361,296,657,,,
Total,,,,,,,846,655,1501,2,1,3
201,"Veternery Hospital, Dhanote.(P)",,,"Town CommitteeDhanote",218050302,,325,275,600,2,2,4
"",,,,"Town CommitteeDhanote",218050303,,111,99,210,,,
"",,,,"Town CommitteeDhanote",218050402,,363,295,658,,,
Total,,,,,,,799,669,1468,2,2,4
202,"Govt Boys Primary School, 5-Marla Scheme Dhanote(P)",,,"Town CommitteeDhanote",218050203,,163,103,266,2,1,3
"Town CommitteeDhanote",218050204,,381,278,659,,,,,,,
"Town CommitteeDhanote",218050205,,260,213,473,,,,,,,
203,Town Committee Office Dhanote. (P),,,"Town CommitteeDhanote",218050401,,203,149,352,2,1,3
"",,,,"Town CommitteeDhanote",218050404,,218,174,392,,,
"",,,,"Town CommitteeDhanote",218050405,,422,323,745,,,
Total,,,,,,,843,646,1489,2,1,3
204,"Govt Boys High School, Chak 253/WB(P)",Chak No. 253/WB,219020701,,,,692,612,1304,2,1,3
"",,Chak No. 253/WB,219020702,,116,98,214,,,,,
Total,,,,,,,808,710,1518,2,1,3
205,"Govt Boys High School, Chak 255/WB(P)",Chak No. 255/WB,219020703,,,,479,357,836,2,1,3
"",,Chak No. 255/WB,219020704,,211,158,369,,,,,
"",,Chak Phagoo,219020707,,50,33,83,,,,,
Total,,,,,,,740,548,1288,2,1,3
206,"Govt Girls  Primary School, Chak 299/WB(P)",Chak No. 303/WB,219020706,,,,401,305,706,2,2,4
"",,Chak No. 299/WB,219020705,,517,399,916,,,,,
Total,,,,,,,918,704,1622,2,2,4
207,"Govt Girls  Community Model Elementary School, Chak237/WB. Part-I (P)",Chak No. 237/WB,219020302,,,,580,432,1012,1,1,2
Total,,,,,,,580,432,1012,1,1,2
208,"Govt Girls  Community Model Elementary School, Chak237/WB. Part-II (P)",Chak No. 237/WB,219020301,,,,499,367,866,1,1,2
"",,Haidar Abad,219020305,,66,47,113,,,,,
Total,,,,,,,565,414,979,1,1,2
209,"Govt Girls  Primary School, Chak 241/WB(P)",Chak No. 239/WB,219020303,,,,199,169,368,2,1,3
"",,Chak No. 241/WB,219020304,,437,339,776,,,,,
Total,,,,,,,636,508,1144,2,1,3
210,"Govt Boys Primary School, Ladha Bohar(P)",Ladha Bohar,219020204,,,,594,448,1042,2,1,3
"",,Ladha Bohar,219020205,,243,148,391,,,,,
Total,,,,,,,837,596,1433,2,1,3
211,"Govt Boys Primary School, Gulzar pur(P)",Gulzar pur,219020201,,,,754,596,1350,1,1,2
Total,,,,,,,754,596,1350,2,1,3
212,"Govt Girls  Primary School, Jamalla(P)",Jamala,219020202,,,,299,250,549,2,1,3
"",,Jamala,219020203,,397,283,680,,,,,
Total,,,,,,,696,533,1229,2,1,3
213,"Govt Girls Primary School , 225/WB",Chak No. 225/WB,219021104,,,,456,336,792,1,1,2
Total,,,,,,,456,336,792,1,1,2
214,"Govt Boys Middle School , 227/WB Part-I (P)",Chak No. 227/WB,219021102,,,,439,376,815,2,1,3
"",,Chak No. 227/WB,219021101,,268,186,454,,,,,
Total,,,,,,,707,562,1269,2,1,3
215,"Govt Boys Middle School , 227/WB Part-II (P)",Chak No. 227/WB,219021103,,,,676,526,1202,2,1,3
Total,,,,,,,676,526,1202,2,1,3
216,"Govt Boys Primary School, chak 231/WB Male(P)",Chak No. 231/WB,219021105,,,,502,0,502,4,0,4
"",,Chak No. 231/WB,219021106,,424,0,424,,,,,
"",,Chak No. 231/WB,219021107,,670,0,670,,,,,
Total,,,,,,,1596,0,1596,4,0,4
217,"Govt. Girls Community Model School, 231/WB Female(P)",Chak No. 231/WB,219021105,,,,0,363,363,0,3,3
"",,Chak No. 231/WB,219021106,,0,323,323,,,,,
"",,Chak No. 231/WB,219021107,,0,464,464,,,,,
Total,,,,,,,0,1150,1150,0,3,3
"","Govt Boys Primary School, Sarla(P)",Sarla,219020511,,,,416,314,730,2,1,3
"",Qazi Wah,219020504,,40,28,68,,,,,,
"",Chak Qazi Wah,219020502,,24,17,41,,,,,,
Total,,,,,,,767,637,1404,2,1,3
219,"Govt Girls  Primary School, Bahana.(P)",Rampur,219020501,,,,8,9,17,1,1,2
"",Bhana,219020505,,408,351,759,,,,,,
"",Tukrian wala,219020503,,41,27,68,,,,,,
Total,,,,,,,457,387,844,1,1,2
220,"Govt Boys Middle School, Chak 221/WB(P)",Chak No. 221/WB',219020508,,,,358,277,635,2,1,3
"",Chak No. 221/WB',219020509,,430,378,808,,,,,,
Total,,,,,,,788,655,1443,2,1,3
221,"Govt Boys Higher Secondary School, Jhandir Wah. Part-I Male(P)",Chak No.275-77/WB,219020506,,,,261,0,261,2,0,2
Chak No.275-77/WB,219020507,,440,0,440,,,,,,,
Chak No.273/WB,219020110,,249,0,249,,,,,,,
Jhandir Wah,219020104,,68,0,68,,,,,,,
222,"Govt Boys Higher Secondary School, Jhandir Wah Part-II Female(P)",Chak No.275-77/WB,219020506,,,,0,215,215,0,2,2
"",,Chak No.275-77/WB,219020507,,0,361,361,,,,,
"",,Chak No.273/WB,219020110,,0,194,194,,,,,
"",,Jhandir Wah,219020104,,0,64,64,,,,,
Total,,,,,,,0,834,834,0,2,2
223,"Govt Boys Primary School, Chak 219/WB Part-I (P)",Chak No. 219/WB,219020512,,,,625,0,625,4,0,4
"",,Chak No. 219/WB,219020513,,705,0,705,,,,,
"",,Chak No. 219/WB,219020514,,556,0,556,,,,,
Total,,,,,,,1886,0,1886,4,0,4
224,"Govt Boys Primary School, Chak 219/WB Part-II (P)",Chak No. 219/WB,219020512,,,,0,495,495,0,3,3
"",,Chak No. 219/WB,219020513,,0,490,490,,,,,
"",,Chak No. 219/WB,219020514,,0,392,392,,,,,
Total,,,,,,,0,1377,1377,0,3,3
225,"Govt Girls Middle School, Chak 279/WB(P)",Chak No. 279/WB,219020103,,,,645,464,1109,2,1,3
Total,,,,,,,645,464,1109,2,1,3
226,"Govt Primary School, Chak 233/WB Male(P)",Chak No. 233/WB,219020101,,,,976,0,976,3,0,3
"",,Chak No. 233/WB,219020102,,320,0,320,,,,,
Total,,,,,,,1296,0,1296,3,0,3
227,"Govt Girls  Primary School, Chak 233/WB Female(P)",Chak No. 233/WB,219020101,,,,0,765,765,0,2,2
"",,Chak No. 233/WB,219020102,,0,256,256,,,,,
Total,,,,,,,0,1021,1021,0,2,2
228,"Govt Boys Primary School, Chak 271/WB(P)",Chak No. 271/WB,219020105,,,,433,351,784,2,1,3
"",,Chak No. 271/WB,219020106,,350,238,588,,,,,
Total,,,,,,,783,589,1372,2,1,3
229,"Govt Girls  Primary School, Chak 291/WB(P)",Chak No. 291/WB,219020108,,,,311,206,517,2,1,3
"",,Chak No. 291/WB,219020109,,396,235,631,,,,,
Total,,,,,,,707,441,1148,2,1,3
230,"Govt Girls Community Model School, Chak 293/WB",Chak No. 293/WB,219020107,,,,434,329,763,1,1,2
Total,,,,,,,434,329,763,1,1,2
231,"Govt Girls High School, Chak 281-83/WB(P)",Chak No.281-83/WB,219020906,,,,361,224,585,2,1,3
"",,Chak No.281-83/WB,219020907,,458,299,757,,,,,
Total,,,,,,,819,523,1342,2,1,3
232,"Govt Boys Middle School, Chak 281-83/WB(P)",Chak No.281-83/WB,219020908,,,,494,341,835,2,1,3
"",,Chak No.281-83/WB,219020909,,397,270,667,,,,,
Total,,,,,,,891,611,1502,2,1,3
233,"Govt Boys Primary School, Chak 249/WB(P)",Chak No. 249/WB,219020904,,,,638,469,1107,1,1,2
"",,Kapoor pur,219020905,,12,5,17,,,,,
Total,,,,,,,650,474,1124,1,1,2
234,"Govt Primary School, Chak 251/WB Part-I (P)",Chak No. 251/WB,219020901,,,,403,348,751,1,1,2
Total,,,,,,,403,348,751,1,1,2
235,"Govt Primary School, Chak 251/WB Part-II (P)",Chak No. 251/WB,219020902,,,,259,180,439,1,1,2
"",,Chak No. 251/WB,219020903,,408,334,742,,,,,
Total,,,,,,,667,514,1181,1,1,2
236,"Govt Boys High School, Noor Garh Part-I (P)",Noor Garh,219020401,,,,419,345,764,2,1,3
"",,Noor Garh,219020402,,303,218,521,,,,,
Total,,,,,,,722,563,1285,2,1,3
237,"Govt Boys High School, Noor Garh Part-II (P)",Chak No.285-87/WB,219020403,,,,418,306,724,1,1,2
238,"Govt Boys Primary School, Chak 269/WB(P)",Chak No. 269/WB,219020404,,,,663,470,1133,2,1,3
"",,Chak No. 269/WB,219020405,,129,86,215,,,,,
Total,,,,,,,792,556,1348,2,1,3
239,"Govt Boys Primary School, Chak 289/WB(P)",Chak No. 289/WB,219020406,,,,510,459,969,2,1,3
"",,Chak No. 289/WB,219020407,,171,163,334,,,,,
Total,,,,,,,681,622,1303,2,1,3
240,"Govt Elementary School, Chak 267/WB(P)",Chak No. 267/WB,219020408,,,,445,349,794,2,1,3
"",,Chak No. 267/WB,219020409,,351,304,655,,,,,
Total,,,,,,,796,653,1449,2,1,3
241,"Govt Girls  High  School, Chak 297/WB(P)",Maqbool Wah,219020601,,,,104,77,181,1,1,2
"",,Chak No. 297/WB,219020602,,531,377,908,,,,,
Total,,,,,,,635,454,1089,1,1,2
242,"Govt Boys Primary School, Chak 295/WB(P)",Chak No. 295/WB,219020603,,,,579,428,1007,2,1,3
"",,Chak No. 295/WB,219020604,,202,156,358,,,,,
Total,,,,,,,781,584,1365,2,1,3
243,"Govt Boys Primary School, Chak 309/WB(P)",Chak No. 309/WB,219020607,,,,216,135,351,2,1,3
"",,Chak No. 309/WB,219020608,,527,348,875,,,,,
Total,,,,,,,743,483,1226,2,1,3
244,"Govt Girls  Primary School, Chak 311/WB(P)",Chak No. 311/WB,219020609,,,,452,361,813,2,1,3
"",,Chak No. 311/WB,219020610,,315,200,515,,,,,
Total,,,,,,,767,561,1328,2,1,3
245,"Govt Boys Primary School, Chak 301/WB(P)",Chak No. 301/WB,219020605,,,,647,518,1165,2,1,3
"",,Chak No. 301/WB,219020606,,69,39,108,,,,,
Total,,,,,,,716,557,1273,2,1,3
246,"Govt Boys Primary School, Manjha Kotla Male(P)",Manjha Kotla,219020805,,,,513,0,513,3,0,3
"",,Manjha Kotla,219020806,,464,0,464,,,,,
"",,Manjha Kotla,219020807,,302,0,302,,,,,
Total,,,,,,,1279,0,1279,3,0,3
247,"Govt Girls  Primary School, Manjha Kotla Female(P)",Manjha Kotla,219020805,,,,0,460,460,0,2,2
"",,Manjha Kotla,219020806,,0,291,291,,,,,
"",,Manjha Kotla,219020807,,0,229,229,,,,,
Total,,,,,,,0,980,980,0,2,2
