"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",,MUZAMABAD,138010402,-,-,,408,290,698,,,
"",,MUZAMABAD,138010403,-,-,,504,371,875,,,
15 Total,,,,-,-,-,1124,840,1964,2,2,4
69,"GOVERNMENT BOYS HIGH SCHOOLMUZAMABAD (MALE) (P)",MUZAMABAD,138010404,-,-,,301,0,301,3,0,3
"",,MUZAMABAD,138010405,-,-,,458,0,458,,,
"",,MUZAMABAD,138010406,-,-,,663,0,663,,,
16 Total,,,,-,-,-,1422,0,1422,3,0,3
70,"GOVERNMENT GIRLS HIGHSECONDARY SCHOOL MUZAMABAD(FEMALE) (P)",MUZAMABAD,138010404,-,-,,0,361,361,0,2,2
"",,MUZAMABAD,138010405,-,-,,0,242,242,,,
"",,MUZAMABAD,138010406,-,-,,0,439,439,,,
17 Total,,,,-,-,-,0,1042,1042,0,2,2
71,"GOVERNMENT BOYS HIGH SCHOOLMUZAMABAD (MALE) (P)",MUZAMABAD,138010407,-,-,,461,0,461,4,0,4
"",,MUZAMABAD,138010408,-,-,,608,0,608,,,
"",,MUZAMABAD,138010409,-,-,,815,0,815,,,
18 Total,,,,-,-,-,1884,0,1884,4,0,4
72,"GOVERNMENT GIRLS HIGHSECONDARY SCHOOL MUZAMABAD(FEMALE) (P)",MUZAMABAD,138010407,-,-,,0,409,409,0,3,3
"",,MUZAMABAD,138010408,-,-,,0,426,426,,,
"",,MUZAMABAD,138010409,-,-,,0,457,457,,,
19 Total,,,,-,-,-,0,1292,1292,0,3,3
73,"BASIC HEALTH CENTRE MUZAMABAD(T)",MUZAMABAD,138010410,-,-,,60,59,119,2,2,4
"",,MUZAMABAD,138010411,-,-,,74,60,134,,,
"",,MUZAMABAD,138010412,-,-,,15,14,29,,,
"",,MUZAMABAD,138010413,-,-,,988,739,1727,,,
20 Total,,,,-,-,-,1137,872,2009,2,2,4
74,"GOVERNMENT GIRLS PRIMARYSCHOOL CHAK NO:12/SB (T)",CHAK NO 012/SB,138010414,-,-,,649,0,649,3,0,3
"",,CHAK NO 012/SB,138010415,-,-,,68,0,68,,,
"",,CHAK NO 012/SB,138010416,-,-,,592,0,592,,,
21 Total,,,,-,-,-,1309,0,1309,3,0,3
75,"(113) GOVERNMENT PRIMARYSCHOOL CHAK NO:12/SB (T)",CHAK NO 012/SB,138010414,-,-,,0,505,505,0,2,2
"",,CHAK NO 012/SB,138010415,-,-,,0,92,92,,,
"",,CHAK NO 012/SB,138010416,-,-,,0,460,460,,,
22 Total,,,,-,-,-,0,1057,1057,0,2,2
76,"GOVERNMENT BOYS MIDDLE SCHOOLCHAK NO:67/SB (P)",CHAK NO 067/SB,138010501,-,-,,358,291,649,2,2,4
"",,CHAK NO 067/SB,138010502,-,-,,582,446,1028,,,
23 Total,,,,-,-,-,940,737,1677,2,2,4
77,"GOVERNMENT BOYS ELEMENTARYSCHOOL, CHAK NO:10/SB (T)",CHAK NO 010/SB,138010503,-,-,,420,296,716,2,2,4
"",,CHAK NO 010/SB,138010504,-,-,,135,139,274,,,
"",,CHAK NO 010/SB,138010505,-,-,,401,376,777,,,
24 Total,,,,-,-,-,956,811,1767,2,2,4
CHAK NO 021/SB,138010601,-,-,,408,0,408,,,,,
CHAK NO 021/SB,138010602,-,-,,578,0,578,,,,,
25 Total,,,,-,-,-,1673,0,1673,4,0,4
79,"GOVERNMENT GIRLS PRIMARYSCHOOL CHAK NO: 21/SB (FEMALE) (T)",CHAK NO 021/SB,138010601,-,-,,0,330,330,0,3,3
"",,CHAK NO 021/SB,138010602,-,-,,0,462,462,,,
"",,CHAK NO 021/SB,138010603,-,-,,0,635,635,,,
26 Total,,,,-,-,-,0,1427,1427,0,3,3
80,"GOVERNMENT GIRLS HIGH SCHOOLCHAK NO:11/SB (MALE) (P)",CHAK NO 011/SB,138010604,-,-,,713,0,713,3,0,3
"",,CHAK NO 011/SB,138010605,-,-,,244,0,244,,,
"",,CHAK NO 011/SB,138010606,-,-,,352,0,352,,,
"",,CHAK NO 011/SB,138010607,-,-,,321,0,321,,,
27 Total,,,,-,-,-,1630,0,1630,3,0,3
81,"GOVERNMENT GIRLS HIGH SCHOOLCHAK NO:11/SB (FEMALE) (P)",CHAK NO 011/SB,138010604,-,-,,0,603,603,0,3,3
"",,CHAK NO 011/SB,138010605,-,-,,0,196,196,,,
"",,CHAK NO 011/SB,138010606,-,-,,0,311,311,,,
"",,CHAK NO 011/SB,138010607,-,-,,0,265,265,,,
28 Total,,,,-,-,-,0,1375,1375,0,3,3
82,"GOVERNMENT BOYS MIDDLE SCHOOLCHAOWAL (P)",CHAH WAL,138010701,-,-,,387,0,387,3,0,3
"",,CHAH WAL,138010702,-,-,,203,0,203,,,
"",,CHAH WAL,138010703,-,-,,697,0,697,,,
29 Total,,,,-,-,-,1287,0,1287,3,0,3
83,"(120) GOVERNMENT BOYS MIDDLESCHOOL CHAOWAL (P)",CHAH WAL,138010701,-,-,,0,249,249,0,2,2
"",,CHAH WAL,138010702,-,-,,0,138,138,,,
"",,CHAH WAL,138010703,-,-,,0,481,481,,,
30 Total,,,,-,-,-,0,868,868,0,2,2
84,"GOVERNEMNT GIRLS PRIMARYSCHOOL RAWANA (FEMALE) (T)",RAWANA,138010801,-,-,,0,377,377,0,3,3
"",,RAWANA,138010802,-,-,,0,288,288,,,
"",,RAWANA,138010803,-,-,,0,623,623,,,
31 Total,,,,-,-,-,0,1288,1288,0,3,3
85,"GOVERNMENT BOYS HIGH SCHOOLRAWANA (MALE)  (T)",RAWANA,138010801,-,-,,489,0,489,3,0,3
"",,RAWANA,138010802,-,-,,327,0,327,,,
"",,RAWANA,138010803,-,-,,715,0,715,,,
32 Total,,,,-,-,-,1531,0,1531,3,0,3
86,"GOVERNMENT BOYS PRIMARYSCHOOL AHLI RAWANA ( (T)",RAWANA,138010804,-,-,,426,314,740,2,2,4
"",,RAWANA,138010805,-,-,,345,262,607,,,
"",,RAWANA,138010809,-,-,,130,115,245,,,
33 Total,,,,-,-,-,901,691,1592,2,2,4
87,"GOVERNMENT BOYS HIGH SCHOOLCHAK NO. 19 S.B (MALE) (P)",CHAK NO 019/SB,138010806,-,-,,743,0,743,4,0,4
"",,CHAK NO 019/SB,138010807,-,-,,419,0,419,,,
"",,CHAK NO 019/SB,138010808,-,-,,645,0,645,,,
34 Total,,,,-,-,-,1807,0,1807,4,0,4
88,"GOVERNEMNT BOYS HIGH SCHOOLCHAK NO. 19 S.B (FEMALE) (P)",CHAK NO 019/SB,138010806,-,-,,0,630,630,0,3,3
"",,CHAK NO 019/SB,138010807,-,-,,0,404,404,,,
"",,CHAK NO 019/SB,138010808,-,-,,0,538,538,,,
35 Total,,,,-,-,-,0,1572,1572,0,3,3
"",SCHOOL CHAK NO.9 S.B. (T),CHAK NO 009/SB,138010902,-,-,,498,394,892,,,
36 Total,,,,-,-,-,874,696,1570,2,2,4
90,"GOVERNMENT BOYS ELEMENTARYSCHOOL CHAK NO.65 S.B. (T)",CHAK NO 065/SB,138010903,-,-,,349,300,649,2,2,4
"",,CHAK NO 065/SB,138010904,-,-,,580,543,1123,,,
37 Total,,,,-,-,-,929,843,1772,2,2,4
91,"GOVERNEMNT BOYS ELEMENTARYSCHOOL CHAK NO.20 S.B. (T)",CHAK NO 020/SB,138010905,-,-,,270,232,502,2,2,4
"",,CHAK NO 020/SB,138010906,-,-,,426,375,801,,,
"",,CHAK NO 020/SB,138010907,-,-,,330,340,670,,,
38 Total,,,,-,-,-,1026,947,1973,2,2,4
92,"GOVERNEMNT BOYS HIGHSECONDARY SCHOOL HUJJAN  (T)",HUJHAN,138011001,-,-,,360,280,640,2,2,4
"",,HUJHAN,138011002,-,-,,639,470,1109,,,
39 Total,,,,-,-,-,999,750,1749,2,2,4
93,"GOVERNMENT BOYS HIGHSECONDARY SCHOOL HUJJAN (T)",HUJHAN,138011003,-,-,,300,259,559,2,1,3
"",,HUJHAN,138011004,-,-,,511,298,809,,,
40 Total,,,,-,-,-,811,557,1368,2,1,3
94,"GOVERNMENT GIRLS HIGH SCHOOLHUJJAN  (T)",HUJHAN,138011005,-,-,,1350,0,1350,3,0,3
41 Total,,,,-,-,-,1350,0,1350,3,0,3
95,"(131) GOVERNMENT GIRLS HIGHSCHOOL HUJJAN  (T)",HUJHAN,138011005,-,-,,0,1045,1045,0,2,2
42 Total,,,,-,-,-,0,1045,1045,0,2,2
96,"GOVERNEMNT GIRLS HIGH SCHOOLHUJJAN  (T)",HUJHAN,138011006,-,-,,240,151,391,2,2,4
"",,HUJHAN,138011007,-,-,,185,120,305,,,
"",,HUJHAN,138011008,-,-,,587,430,1017,,,
43 Total,,,,-,-,-,1012,701,1713,2,2,4
97,BASIC HEALTH CENTRE HUJJAN (T),HUJHAN,138011009,-,-,,322,223,545,2,1,3
"",,HUJHAN,138011014,-,-,,458,315,773,,,
44 Total,,,,-,-,-,780,538,1318,2,1,3
98,"GOVERNMENT BOYS HIGHSECONDARY SCHOOL, HUJJAN (T)",HUJHAN,138011010,-,-,,116,77,193,2,2,4
"",,HUJHAN,138011011,-,-,,124,93,217,,,
"",,HUJHAN,138011012,-,-,,379,268,647,,,
"",,HUJHAN,138011013,-,-,,358,286,644,,,
45 Total,,,,-,-,-,977,724,1701,2,2,4
99,"GOVERNEMNT BOYS MIDDLE SCHOOLCHAK NO. 18 S.B. (T)",CHAK NO 018/SB,138011015,-,-,,211,191,402,2,2,4
"",,CHAK NO 018/SB,138011016,-,-,,178,125,303,,,
"",,CHAK NO 018/SB,138011017,-,-,,208,196,404,,,
"",,CHAK NO 018/SB,138011018,-,-,,439,359,798,,,
46 Total,,,,-,-,-,1036,871,1907,2,2,4
100,"BASIC HEALTH CENTRE DERA SHIEKHSIKANDAR LILLANI",LILLIANI (RURAL PART),138011110,-,-,,330,0,330,3,0,3
"",,LILLIANI (RURAL PART),138011111,-,-,,1156,0,1156,,,
47 Total,,,,-,-,-,1486,0,1486,3,0,3
101,"GOVERNEMFNT BOYS PRIMARYSCHOOL DERA FATEH MUHMAMMAD",LILLIANI (RURAL PART),138011108,-,-,,479,337,816,2,2,4
LILLIANI (RURAL PART),138011109,-,-,,304,172,476,,,,,
102,"BASIC HEALTH CENTRE DERA SHIEKHSIKANDAR LILLANI",LILLIANI (RURAL PART),138011110,-,-,,0,411,411,0,2,2
"",,LILLIANI (RURAL PART),138011111,-,-,,0,790,790,,,
49 Total,,,,-,-,-,0,1201,1201,0,2,2
103,"GOVERNMENT BOYS PRIMARYSCHOOL DERA KERMANA BAKHAR",LILLIANI (RURAL PART),138011102,-,-,,586,427,1013,2,2,4
"",,LILLIANI (RURAL PART),138011103,-,-,,316,238,554,,,
50 Total,,,,-,-,-,902,665,1567,2,2,4
104,"GOVERNMENT BOYS PRIMARYSCHOOL DERA MIAN SHER LILLANI (T)",LILLIANI (RURAL PART),138011101,-,-,,643,489,1132,1,1,2
51 Total,,,,-,-,-,643,489,1132,1,1,2
105,"Govt. Girls Community Model School,Dera Ghulam Ali, Lillani (Male)",LILLIANI (RURAL PART),138011105,-,-,,609,0,609,2,0,2
"",,LILLIANI (RURAL PART),138011106,-,-,,583,0,583,,,
52 Total,,,,-,-,-,1192,0,1192,2,0,2
106,"(141) Govt. Girls Community ModelSchool, Dera Ghulam Ali, Lillani",LILLIANI (RURAL PART),138011104,-,-,,517,0,517,2,0,2
"",,LILLIANI (RURAL PART),138011107,-,-,,583,0,583,,,
53 Total,,,,-,-,-,1100,0,1100,2,0,2
107,"(142) Govt. Girls Community ModelSchool, Dera Ghulam Ali, Lillani",LILLIANI (RURAL PART),138011105,-,-,,0,400,400,0,2,2
"",,LILLIANI (RURAL PART),138011106,-,-,,0,423,423,,,
54 Total,,,,-,-,-,0,823,823,0,2,2
108,"(141) Govt. Girls Community ModelSchool, Dera Ghulam Ali, Lillani",LILLIANI (RURAL PART),138011104,-,-,,0,424,424,0,2,2
"",,LILLIANI (RURAL PART),138011107,-,-,,0,374,374,,,
55 Total,,,,-,-,-,0,798,798,0,2,2
109,"GOVERNEMNT GIRLS  ELEMENTARYSCHOOL   GULSHAN PURA UPPI (T)",UPPI,138011201,-,-,,453,320,773,2,1,3
"",,UPPI,138011202,-,-,,299,269,568,,,
"",,UPPI,138011206,-,-,,71,44,115,,,
56 Total,,,,-,-,-,823,633,1456,2,1,3
110,"GOVERNMENT BOYS PRIMARYSCHOOL UPPI (P)",UPPI,138011203,-,-,,274,184,458,1,1,2
"",,UPPI,138011204,-,-,,185,136,321,,,
57 Total,,,,-,-,-,459,320,779,1,1,2
111,"GOVERNMENT BOYS PRIMARYSCHOOL UPPI (P)",UPPI,138011205,-,-,,623,523,1146,2,2,4
"",,UPPI,138011207,-,-,,283,159,442,,,
58 Total,,,,-,-,-,906,682,1588,2,2,4
112,"GOVERNMENT BOYS PRIMARYSCHOOL NASEEMABAD, BHABHRA  (T)",BHABHRA,138020101,-,-,,476,308,784,2,1,3
"",,BHABHRA,138020102,-,-,,501,325,826,,,
59 Total,,,,-,-,-,977,633,1610,2,1,3
113,"GOVERNMENT GIRLS HIGH SCHOOL,BHABHRA  (P)",BHABHRA,138020107,-,-,,701,576,1277,2,1,3
60 Total,,,,-,-,-,701,576,1277,2,1,3
114,"GOVERNMENT MAKTAB PRIMARYSCHOOL, BASHIR COLONLY, BHABHRA",BHABHRA,138020103,-,-,,393,235,628,1,1,2
"",,BHABHRA,138020104,-,-,,241,203,444,,,
61 Total,,,,-,-,-,634,438,1072,1,1,2
BHABHRA,138020105,-,-,,283,224,507,,,,,
"",,BHABHRA,138020111,-,-,,417,325,742,,,
62 Total,,,,-,-,-,1013,782,1795,2,2,4
116,"GOVERNMENT BOYS HIGHERSECONDARY SCHOOL, BHABHRA  (P)",BHABHRA,138020108,-,-,,537,430,967,2,2,4
"",,BHABHRA,138020112,-,-,,500,398,898,,,
63 Total,,,,-,-,-,1037,828,1865,2,2,4
117,"GOVERNMENT BOYS PRIMARYSCHOOL NO. 2 BHABHRA (T)",BHABHRA,138020109,-,-,,309,251,560,1,1,2
"",,BHABHRA,138020110,-,-,,331,273,604,,,
64 Total,,,,-,-,-,640,524,1164,1,1,2
118,"BASIC HELATH CENTRE, BHABHRA  (T)",BHABHRA,138020113,-,-,,484,455,939,2,2,4
"",,BHABHRA,138020114,-,-,,332,251,583,,,
"",,BHABHRA,138020117,-,-,,239,192,431,,,
65 Total,,,,-,-,-,1055,898,1953,2,2,4
119,"BASIC HELATH CENTRE, BHABHRA  (T)",BHABHRA,138020115,-,-,,435,254,689,2,1,3
"",,BHABHRA,138020116,-,-,,345,225,570,,,
66 Total,,,,-,-,-,780,479,1259,2,1,3
120,"GOVERNMENT BOYS PRIAMRYSCHOOL, DHINGRAN WALI  (T)",DHINGRAN WALI,138020201,-,-,,457,337,794,2,1,3
"",,DHINGRAN WALI,138020202,-,-,,421,307,728,,,
67 Total,,,,-,-,-,878,644,1522,2,1,3
121,"CANAL REST HOUSE,  JHOL PUR  (T)",JHOL PUR,138020203,-,-,,293,188,481,1,1,2
"",,JHOL PUR,138020204,-,-,,277,217,494,,,
68 Total,,,,-,-,-,570,405,975,1,1,2
122,"GOVERNMENT BOYS PRIMARYSCHOOL, WAN MIANA  (T)",WAN MIANA,138020205,-,-,,99,62,161,2,2,4
"",,WAN MIANA,138020206,-,-,,747,561,1308,,,
"",,WAN MIANA,138020207,-,-,,223,139,362,,,
"",,WAN MIANA,138020208,-,-,,78,60,138,,,
69 Total,,,,-,-,-,1147,822,1969,2,2,4
123,"GOVERNMENT BOYS HIGH SCHOOL,BUTCHA KALAN (MALE) (P)",BUTCHA KALAN,138020301,-,-,,350,0,350,3,0,3
"",,BUTCHA KALAN,138020302,-,-,,116,0,116,,,
"",,BUTCHA KALAN,138020303,-,-,,469,0,469,,,
"",,BUTCHA KALAN,138020304,-,-,,531,0,531,,,
70 Total,,,,-,-,-,1466,0,1466,3,0,3
124,"GOVERNMENT BOYS HIGH SCHOOL,BUTCHA KALAN  (FEMALE) (P)",BUTCHA KALAN,138020301,-,-,,0,248,248,0,2,2
"",,BUTCHA KALAN,138020302,-,-,,0,55,55,,,
"",,BUTCHA KALAN,138020303,-,-,,0,293,293,,,
"",,BUTCHA KALAN,138020304,-,-,,0,349,349,,,
71 Total,,,,-,-,-,0,945,945,0,2,2
125,"GOVERNMENT GIRLS HIGH SCHOOL,BUTCHA KALAN (P)",BUTCHA KALAN,138020305,-,-,,407,0,407,2,0,2
"",,BUTCHA KALAN,138020306,-,-,,260,0,260,,,
"",,BUTCHA KALAN,138020307,-,-,,521,0,521,,,
72 Total,,,,-,-,-,1188,0,1188,2,0,2
126,"(159) GOVERNMENT GIRLS HIGHSCHOOL, BUTCHA KALAN (P)",BUTCHA KALAN,138020305,-,-,,0,327,327,0,2,2
BUTCHA KALAN,138020306,-,-,,0,232,232,,,,,
BUTCHA KALAN,138020307,-,-,,0,365,365,,,,,
127,"BASIC HELATH CENTRE, BUTCHAKALAN  (T)",BUTCHA KALAN,138020308,-,-,,568,416,984,2,2,4
"",,BUTCHA KALAN,138020309,-,-,,496,401,897,,,
74 Total,,,,-,-,-,1064,817,1881,2,2,4
128,"BASIC HELATH CENTRE, BUTCHAKALAN  (T)",BUTCHA KALAN,138020310,-,-,,240,191,431,1,1,2
"",,BUTCHA KALAN,138020311,-,-,,259,200,459,,,
75 Total,,,,-,-,-,499,391,890,1,1,2
129,"GOVERNMENT BOYS HIGH SCHOOL,MELA (P)",MELA,138020401,-,-,,669,563,1232,2,2,4
"",,MELA,138020402,-,-,,308,228,536,,,
76 Total,,,,-,-,-,977,791,1768,2,2,4
130,"GOVERNMENT BOYS HIGH  SCHOOL,MELA (P)",MELA,138020403,-,-,,342,305,647,2,2,4
"",,MELA,138020404,-,-,,163,142,305,,,
"",,MELA,138020405,-,-,,143,128,271,,,
"",,MELA,138020406,-,-,,278,228,506,,,
77 Total,,,,-,-,-,926,803,1729,2,2,4
131,"GOVERNMENT BOYS HIGH SCHOOL,KOREY KOT (P)",KOREY KOT,138020502,-,-,,273,167,440,2,1,3
"",,KOREY KOT,138020503,-,-,,371,273,644,,,
"",,KOREY KOT,138020504,-,-,,247,207,454,,,
78 Total,,,,-,-,-,891,647,1538,2,1,3
132,"GOVERNMENT BOYS HIGH SCHOOL,KOREY KOT (P)",KOREY KOT,138020505,-,-,,294,248,542,1,1,2
"",,KOREY KOT,138020506,-,-,,289,229,518,,,
79 Total,,,,-,-,-,583,477,1060,1,1,2
133,"GOVERNMENT GIRLS PRIMARYSCHOOL, KOREY KOT (T)",CHANI DAL,138020501,-,-,,388,312,700,2,2,4
"",,KOREY KOT,138020507,-,-,,607,539,1146,,,
80 Total,,,,-,-,-,995,851,1846,2,2,4
134,"GOVERNMENT BOYS ELEMENTRYSCHOOL, ADREHMA (T)",ADREHMAN,138020603,-,-,,289,220,509,2,2,4
"",,ADREHMAN,138020604,-,-,,591,451,1042,,,
81 Total,,,,-,-,-,880,671,1551,2,2,4
135,"GOVERNMENT BOYS PRIMARYSCHOOL, KOT UMERANA  (T)",KOT UMERANA,138020605,-,-,,596,482,1078,2,2,4
"",,KOT UMERANA,138020606,-,-,,330,265,595,,,
82 Total,,,,-,-,-,926,747,1673,2,2,4
136,"GOVERNMENT GIRLS PRIAMRYSCHOOL, MAIREY (T)",MAIREY,138020601,-,-,,304,0,304,2,0,2
"",,MAIREY,138020602,-,-,,341,0,341,,,
"",,LORAN WALI,138020607,-,-,,487,0,487,,,
83 Total,,,,-,-,-,1132,0,1132,2,0,2
137,"(169) GOVERNMENT PRIAMRYSCHOOL, MAIREY (T)",MAIREY,138020601,-,-,,0,220,220,0,2,2
"",,MAIREY,138020602,-,-,,0,283,283,,,
"",,LORAN WALI,138020607,-,-,,0,374,374,,,
84 Total,,,,-,-,-,0,877,877,0,2,2
138,"GOVERNMENT GIRLS PRIMARYSCHOOL, KOTLA PANAH (T)",DADU WALA,138020703,-,-,,79,59,138,2,1,3
KOTLA PANAH,138020704,-,-,,533,343,876,,,,,
MUMRANA,138020705,-,-,,149,89,238,,,,,
139,"GOVERNMENT BOYS PRIMARYSCHOOL, BADAR  (T)",BADAR,138020801,-,-,,824,609,1433,2,1,3
86 Total,,,,-,-,-,824,609,1433,2,1,3
140,"GOVERNMENT GIRLS PRIMARYSCHOOL, BADAR KALAN (T)",BADAR,138020802,-,-,,222,167,389,1,1,2
"",,KOT GHAZI KALAN,138020805,-,-,,244,159,403,,,
87 Total,,,,-,-,-,466,326,792,1,1,2
141,"GOVERNMENT GIRLS ELEMENTARYSCHOOL, RAHIM PUR  (T)",RAHIMPUR,138020701,-,-,,644,511,1155,2,2,4
"",,RAHIMPUR,138020702,-,-,,106,79,185,,,
"",,BARAHAM WALA,138020803,-,-,,79,66,145,,,
88 Total,,,,-,-,-,829,656,1485,2,2,4
142,"GOVERNMENT BOYS PRIMARYSCHOOL, BHARTH  (T)",BHARATH,138020804,-,-,,205,158,363,1,1,2
"",,BHARATH,138020808,-,-,,342,207,549,,,
89 Total,,,,-,-,-,547,365,912,1,1,2
143,"GOVERNMENT GIRLS PRIMARYSCHOOL, NASEER PUR KHURD (T)",KOT GHAZI KHURD,138020806,-,-,,350,299,649,2,2,4
"",,NASIR PUR KHURD,138020807,-,-,,537,434,971,,,
90 Total,,,,-,-,-,887,733,1620,2,2,4
144,"GOVERNMENT BOYS PRIMARYSCHOOL, ABAL (T)",ABAL,138020901,-,-,,296,227,523,1,1,2
"",,ABAL,138020902,-,-,,160,114,274,,,
"",,BURJ DAIM,138020903,-,-,,3,3,6,,,
"",,THATHI KHURD,138020906,-,-,,84,52,136,,,
91 Total,,,,-,-,-,543,396,939,1,1,2
145,"GOVERNMENT BOYS PRIMARYSCHOOL, THATHI KALAN  (T)",CHAK BADAR,138020904,-,-,,4,4,8,1,1,2
"",,THATHI KALAN,138020905,-,-,,281,203,484,,,
92 Total,,,,-,-,-,285,207,492,1,1,2
146,"GOVERNMENT GIRLS PRIMARYSCHOOL, MIANA HAZARA  (T)",MIANA HAZARA,138021001,-,-,,384,265,649,2,2,4
"",,MIANA HAZARA,138021002,-,-,,314,210,524,,,
"",,MIANA HAZARA,138021007,-,-,,406,350,756,,,
93 Total,,,,-,-,-,1104,825,1929,2,2,4
147,"GOVERNMENT BOYS HIGH SCHOOL,TAKHAT HAZARA (P)",TAKHAT HAZARA,138021003,-,-,,621,444,1065,2,2,4
"",,BURJ GHULAM RASUL,138021006,-,-,,144,99,243,,,
"",,TAKHAT HAZARA,138021008,-,-,,205,150,355,,,
94 Total,,,,-,-,-,970,693,1663,2,2,4
148,"GOVERNMENT GIRLS HIGH SCHOOL,TAKHAT HAZARA (P)",TAKHAT HAZARA,138021004,-,-,,249,196,445,2,1,3
"",,TAKHAT HAZARA,138021005,-,-,,407,301,708,,,
95 Total,,,,-,-,-,656,497,1153,2,1,3
149,"GOVERNMENT BOYS ELEMENTRYSCHOOL, HALAL PUR  (T)",HALAL PUR,138021101,-,-,,259,187,446,2,1,3
"",,HALAL PUR,138021106,-,-,,376,337,713,,,
"",,HALAL PUR,138021107,-,-,,77,70,147,,,
"",,KOTLI SYEDIAN,138021201,-,-,,22,21,43,,,
96 Total,,,,-,-,-,734,615,1349,2,1,3
HALAL PUR,138021102,-,-,,88,0,88,,,,,
HALAL PUR,138021103,-,-,,304,0,304,,,,,
"",,HALAL PUR,138021105,-,-,,191,0,191,,,
97 Total,,,,-,-,-,1100,0,1100,2,0,2
151,"GOVERNMENT GIRLS PRIMERYSCHOOL, HALAL PUR ( FEMALE ) (T)",HALAL PUR,138021102,-,-,,0,71,71,0,2,2
"",,HALAL PUR,138021103,-,-,,0,263,263,,,
"",,HALAL PUR,138021104,-,-,,0,478,478,,,
"",,HALAL PUR,138021105,-,-,,0,190,190,,,
98 Total,,,,-,-,-,0,1002,1002,0,2,2
152,"GOVERNMENT BOYS PRIMARYSCHOOL, RAM REHAN  (T)",RAM REHAN,138021202,-,-,,436,341,777,2,2,4
"",,RAM REHAN,138021203,-,-,,493,358,851,,,
99 Total,,,,-,-,-,929,699,1628,2,2,4
153,"GOVERNMENT BOYS MIDDLE SCHOOLUDDIAN (P)",RAM RANG,138021108,-,-,,49,27,76,1,1,2
"",,UDDIAN,138021204,-,-,,410,243,653,,,
"",,UDDIAN,138021205,-,-,,171,104,275,,,
100 Total,,,,-,-,-,630,374,1004,1,1,2
154,"GOVERNMENT BOYS PRIMARYSCHOOL GHULLA PUR (P)",GHULLA PUR,138030101,-,-,,361,205,566,2,2,4
"",,GHULLA PUR,138030102,-,-,,286,216,502,,,
"",,GHULLA PUR,138030103,-,-,,433,233,666,,,
101 Total,,,,-,-,-,1080,654,1734,2,2,4
155,"GOVERNMENT BOYS MIDDLE SCHOOLGHULLA PUR (P)",GHULLA PUR,138030104,-,-,,412,288,700,2,2,4
"",,GHULLA PUR,138030106,-,-,,558,506,1064,,,
102 Total,,,,-,-,-,970,794,1764,2,2,4
156,CANNAL REST HOUSE GHULLA PUR (T),GHULLA PUR,138030105,-,-,,272,233,505,2,1,3
"",,GHULLA PUR,138030107,-,-,,78,56,134,,,
"",,GHULLA PUR,138030108,-,-,,332,271,603,,,
103 Total,,,,-,-,-,682,560,1242,2,1,3
157,"GOVERNEMNT MODEL PRIMARYSCHOOL DAULAT PUR (P)",DAULAT PUR,138030201,-,-,,406,256,662,1,1,2
104 Total,,,,-,-,-,406,256,662,1,1,2
158,"GOVERNMENT MODEL PRIMARYSCHOOL DAULAT PUR (P)",DAULAT PUR,138030202,-,-,,592,339,931,1,1,2
105 Total,,,,-,-,-,592,339,931,1,1,2
159,"GOVERNMENT BOYS MIDDLE SCHOOL,BAHK LARKA (P)",BAHK LARKA,138030301,-,-,,291,206,497,2,1,3
"",,BAHK LARKA,138030302,-,-,,433,264,697,,,
106 Total,,,,-,-,-,724,470,1194,2,1,3
160,"GOVERNMENT GIRLS ELEMENTARYSCHOOL, BAHK LARKA (T)",BAHK LARKA,138030303,-,-,,690,461,1151,2,2,4
"",,BAHK LARKA,138030304,-,-,,293,205,498,,,
"",,BAHK LARKA,138030305,-,-,,187,134,321,,,
107 Total,,,,-,-,-,1170,800,1970,2,2,4
161,"GOVERNEMNT MODEL PRIMARYSCHOOL  BAHK DAIM  (T)",BAHK DAIM,138030306,-,-,,274,247,521,1,1,2
162,"GOVERNEMENT GIRLS PRIMARYSCHOOL KOT KALA (T)",BAGRI,138030401,-,-,,132,98,230,1,1,2
"",,KOT KALA,138030402,-,-,,512,347,859,,,
109 Total,,,,-,-,-,644,445,1089,1,1,2
163,"GOVERNMENT BOYS PRIMERYSCHOOL JALIP (T)",JALIP,138030403,-,-,,69,47,116,2,2,4
"",,JALIP,138030404,-,-,,564,404,968,,,
"",,SUGHREWALA,138030607,-,-,,247,211,458,,,
110 Total,,,,-,-,-,880,662,1542,2,2,4
164,"GOVERNMENT BOYS PRIMARYSCHOOL CHAK MIANA, (MALE) (T)",CHAK MIANA,138030405,-,-,,185,0,185,3,0,3
"",,CHAK MIANA,138030406,-,-,,664,0,664,,,
"",,CHAK MIANA,138030407,-,-,,461,0,461,,,
"",,CHAK MIANA,138030408,-,-,,126,0,126,,,
111 Total,,,,-,-,-,1436,0,1436,3,0,3
165,"GOVERNMENT GIRLS PRIMARYSCHOOL CHAK MIANA (FEMALE) (T)",CHAK MIANA,138030405,-,-,,0,162,162,0,2,2
"",,CHAK MIANA,138030406,-,-,,0,473,473,,,
