"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
111,"GOVERNMENT GIRLS HIGH SCHOOLCHAK MUBARIK  (MALE) (T)","CHAK RAMDAS (CHAKMUBARAK)",263050109,-,-,,326,0,326,3,0,3
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050110,-,-,,341,0,341,,,
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050111,-,-,,298,0,298,,,
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050112,-,-,,273,0,273,,,
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050113,-,-,,203,0,203,,,
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050114,-,-,,207,0,207,,,
21 Total,,,,-,-,-,1648,0,1648,3,0,3
112,"GOVERNMENT BOYS PRIMARYSCHOOL CHAK MUBARIK (CHAKRAMDAS)  (FEMALE) (T)","CHAK RAMDAS (CHAKMUBARAK)",263050109,-,-,,0,261,261,0,3,3
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050110,-,-,,0,274,274,,,
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050111,-,-,,0,238,238,,,
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050112,-,-,,0,189,189,,,
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050113,-,-,,0,154,154,,,
"",,"CHAK RAMDAS (CHAKMUBARAK)",263050114,-,-,,0,160,160,,,
22 Total,,,,-,-,-,0,1276,1276,0,3,3
113,"GOVERNMENT BOYS PRIMARYSCHOOL,   KASUPUR  (T)",KASU PUR,263050201,-,-,,371,277,648,1,1,2
23 Total,,,,-,-,-,371,277,648,1,1,2
114,"GOVERNMENT BOYS ELEMENTRYSCHOOL,   KOHLIAN (T)",KOHLIAN,263050202,-,-,,540,0,540,2,0,2
"",,KOHLIAN,263050203,-,-,,386,0,386,,,
"",,NABI SHAH KHURD,263050801,-,-,,209,0,209,,,
24 Total,,,,-,-,-,1135,0,1135,2,0,2
115,"(103) GOVERNMENT BOYSELEMENTRY SCHOOL,   KOHLIAN (T)",KOHLIAN,263050202,-,-,,0,449,449,0,2,2
"",,KOHLIAN,263050203,-,-,,0,327,327,,,
"",,NABI SHAH KHURD,263050801,-,-,,0,176,176,,,
25 Total,,,,-,-,-,0,952,952,0,2,2
116,"GOVERNMENT GIRLS PRIMARYSCHOOL HAFIZABAD  (T)",HAFIZABAD,263050204,-,-,,420,382,802,2,2,4
"",,HAFIZABAD,263050205,-,-,,353,302,655,,,
26 Total,,,,-,-,-,773,684,1457,2,2,4
117,"GOVERNMENTBOYS ELEMENTRYSCHOOL,    DHAL  (P)",DHAL,263050206,-,-,,706,563,1269,2,2,4
DHAL,263050209,-,-,,262,183,445,,,,,
118,"GOVERNMENTBOYS ELEMENTRYSCHOOL,    DHAL  (P)",DHAL,263050207,-,-,,424,292,716,2,2,4
"",,DHAL,263050208,-,-,,332,369,701,,,
28 Total,,,,-,-,-,756,661,1417,2,2,4
119,"GOVERNMENTBOYS HIGH SCHOOL,TURTI PUR (MALE)  (P)",TORTI PUR,263050301,-,-,,401,0,401,2,0,2
"",,TORTI PUR,263050302,-,-,,601,0,601,,,
29 Total,,,,-,-,-,1002,0,1002,2,0,2
120,"GOVERNMENTBOYS HIGH SCHOOL,TURTI PUR (FEMALE) (P)",TORTI PUR,263050301,-,-,,0,291,291,0,2,2
"",,TORTI PUR,263050302,-,-,,0,447,447,,,
30 Total,,,,-,-,-,0,738,738,0,2,2
121,"GOVERNMENT BOYS ELEMENTARYSCHOOL,    PINDI KOT (Male) (T)",PINDI KOT,263050303,-,-,,464,0,464,2,0,2
"",,PINDI KOT,263050304,-,-,,362,0,362,,,
"",,PINDI KOT,263050305,-,-,,337,0,337,,,
31 Total,,,,-,-,-,1163,0,1163,2,0,2
122,"GOVERNMENT GIRLS PRIMARYSCHOOL,    PINDI KOT (Female)  (T)",PINDI KOT,263050303,-,-,,0,373,373,0,2,2
"",,PINDI KOT,263050304,-,-,,0,247,247,,,
"",,PINDI KOT,263050305,-,-,,0,233,233,,,
32 Total,,,,-,-,-,0,853,853,0,2,2
123,"GOVERNMENT MODEL PRIMARYSCHOOL,THATHI WALANA (T)",THATTI WALANA,263050401,-,-,,418,355,773,2,2,4
"",,THATTI WALANA,263050410,-,-,,397,317,714,,,
33 Total,,,,-,-,-,815,672,1487,2,2,4
124,"GOVERNMENTBOYS ELEMENTRYSCHOOL, ALI PUR SYEDAN (MALE) (P)",ALI PUR,263050402,-,-,,207,0,207,3,0,3
"",,ALI PUR,263050407,-,-,,541,0,541,,,
"",,ALI PUR,263050408,-,-,,456,0,456,,,
"",,ALI PUR,263050409,-,-,,412,0,412,,,
34 Total,,,,-,-,-,1616,0,1616,3,0,3
125,"GOVERNMENT GIRLS ELEMENTRYSCHOOL, ALI PUR SYEDAN (FEMALE)(P)",ALI PUR,263050402,-,-,,0,179,179,0,3,3
"",,ALI PUR,263050407,-,-,,0,570,570,,,
"",,ALI PUR,263050408,-,-,,0,403,403,,,
"",,ALI PUR,263050409,-,-,,0,326,326,,,
35 Total,,,,-,-,-,0,1478,1478,0,3,3
