"",S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",,,,"Yousaf Block MarziPura",206090404,,394,0,394,,,,
"",,,,"Yousaf Block MarziPura",206090407,,254,0,254,,,,
"",,,,,TOTAL,,1386,0,1386,,,,
23,"Girls Middle School Murzi Pura(Female)(P)",,,Sadiq Town,206090301,,0,211,211,0,2,2,
"",,Fateh Towm,206090401,,0,80,80,,,,,,
"",,Fateh Towm,206090402,,0,114,114,,,,,,
"",,Fateh Towm,206090403,,0,125,125,,,,,,
"",,"Yousaf Block MarziPura",206090404,,0,301,301,,,,,,
"",,"Yousaf Block MarziPura",206090407,,0,211,211,,,,,,
"",,,TOTAL,,0,1042,1042,,,,,,
"",24,"Govt Arabia Islamia Middle SchoolMurzi Pura (Male)(P)",,,Marzi Pura Gali 2,206090105,,284,0,284,3,0,3
"",,,,,"Marzi Pura Gali 1,2",206090302,,408,0,408,,,
"",,,,,Madina Colony,206090303,,335,0,335,,,
"",,,,,Madina Colony,206090306,,300,0,300,,,
"",,,,,Madina Colony,206090304,,285,0,285,,,
"",,,,,,TOTAL,,1612,0,1612,,,
"",25,"Govt. Arabia Islamia Middle SchoolMurzi Pura (Female)(P)",,,Marzi Pura Gali 2,206090105,,0,230,230,0,2,2
"",,,,,"Marzi Pura Gali 1,2",206090302,,0,344,344,,,
"",,,,,Madina Colony,206090303,,0,277,277,,,
"",,,,,Madina Colony,206090306,,0,196,196,,,
"",,,,,Madina Colony,206090304,,0,246,246,,,
"",,,,,,TOTAL,,0,1293,1293,,,
"",26,"Govt Girls High School, MadinaColony (Female) (P)",,,"Marzi Pura Gali12,13,14",206090101,,0,662,662,0,3,3
"",,,,,Marzi Pura Gali 8,206090102,,0,349,349,,,
"",,,,,,TOTAL,,0,1892,1892,,,
"",27,"Govt Girls High School, MadinaColony (Female) (P)",,,"Marzi Pura Gali5,6,7",206090103,,0,430,430,0,2,2
"",,,,,"Marzi Pura Gali 3,4",206090104,,0,451,451,,,
"",,,,,,TOTAL,,0,881,881,,,
"",28,"Govt Girls High School, MadinaColony (male) (P)",,,"Marzi Pura Gali12,13,14",206090101,,835,0,835,2,0,2
"",,,,,Marzi Pura Gali 8,206090102,,475,0,475,,,
"",,,,,,TOTAL,,1310,0,1310,,,
"",29,"Govt Girls High School, MadinaColony (male) (P)",,,"Marzi Pura Gali5,6,7",206090103,,511,0,511,2,0,2
"",,,,,"Marzi Pura Gali 3,4",206090104,,519,0,519,,,
"",,,,,,TOTAL,,1030,0,1030,,,
"",30,"Govt. Model School Iqbal Nagar(Male)(P)",,,"Marzi Pura  GaliNo. 1 Iqbal Nagar",206090201,,535,0,535,2,0,2
"",,"Iqbal Nagar Gali5,6",206090202,,460,0,460,,,,,,
"",,,TOTAL,,995,0,995,,,,,,
"",,"Iqbal Nagar Gali2,3,4",206090203,,441,0,441,,,,,,
"",,"Iqbal Nagar Gali1,2",206090204,,630,0,630,,,,,,
"",32,"Govt Model School Iqbal Nagar(Female)(P)",,,"Marzi Pura  GaliNo. 1 Iqbal Nagar",206090201,,0,421,421,0,3,3
"",,,,,"Iqbal Nagar Gali5,6",206090202,,0,355,355,,,
"",,,,,"Iqbal Nagar Gali2,3,4",206090203,,0,375,375,,,
"",,,,,"Iqbal Nagar Gali1,2",206090204,,0,483,483,,,
"",,,,,,TOTAL,,0,1634,1634,,,
"",33,"Govt Model Pry School Iqbal Nagar(P)",,,"Gulshan RahmanGali 3",206090205,,292,233,525,2,1,3
"",,,,,"Fareed Town, IqbalNagar",206090206,,326,242,568,,,
"",,,,,Akhtar Town,206090207,,279,180,459,,,
"",,,,,,TOTAL,,897,655,1552,,,
"",34,"Govt Model Pry School Iqbal Nagar(P)",,,Chak No 517/E.B,206090208,,1125,0,1125,2,0,2
"",,,,,,TOTAL,,1125,0,1125,,,
"",35,"Govt Model Pry School Iqbal Nagar(P)",,,Chak No 517/E.B,206090208,,0,885,885,0,2,2
"",,,,,,TOTAL,,,885,885,,,
"",36,"Govt.Boys Pry School MazhariaMuhammad Nagar (Female)(P)",,,Muhammad Nagar,206090501,,0,438,438,0,2,2
"",,,,,"Muhammad NagarGali 1 to 8",206090502,,0,255,255,,,
"",,,,,"Muhammad NagarGali 1 to 8",206090506,,0,382,382,,,
"",,,,,Choungi No 5,206090601,,0,171,171,,,
"",,,,,,TOTAL,,0,1246,1246,,,
"",37,"Boys High School  (Pry Portion).School Housing Scheme (Male)(P)",,,Muhammad Nagar,206090501,,550,0,550,2,0,2
"",,,,"Muhammad NagarGali 1to 8",206090502,,348,0,348,,,,
"",,,,"Muhammad NagarGali 1to 8",206090506,,452,0,452,,,,
"",,,,Choungi No 5,206090601,,169,0,169,,,,
"",,,,,TOTAL,,1519,0,1519,,,,
38,"Social Welfare Office Burewala(Female(P)",,,Shadman Colony,206090503,,0,159,159,0,2,2,
"",,"Shadman ColonyKot NoorMuhammad",206090504,,0,244,244,,,,,,
"",,"Shadman ColonyKot NoorMuhammad",206090507,,0,433,433,,,,,,
"",,"Gulshan RazaTown Z-Block",206090505,,0,509,509,,,,,,
"",,,TOTAL,,0,1345,1345,,,,,,
"",39,"Girls Pry. School Housing Scheme(Male)(P)",,,Shadman Colony,206090503,,217,0,217,2,0,2
"",,,,,"Shadman ColonyKot NoorMuhammad",206090504,,290,0,290,,,
"",,,,,"Shadman ColonyKot NoorMuhammad",206090507,,485,0,485,,,
"",,,,,"Gulshan RazaTown Z-Block",206090505,,601,0,601,,,
"",,,,,,TOTAL,,1593,0,1593,,,
"",40,"MC Model School Habib colony(Male)(P)",,Y Block,206090602,,427,0,427,3,0,3,
"",,,,,Ihata Shah Nawaz,206090603,,516,0,516,,,
"",,,,,Ihata Shah Nawaz,206090606,,369,0,369,,,
"",,,,,Basti Faqir Wali,206090604,,301,0,301,,,
"",,,,,"Z BlockY Block",206090605,,213,0,213,,,
"",,,,,TOTAL,,1826,0,1826,,,,
"",41,"Office of the Executive EngineerMEPCO WAPDA (Female)(P)",,206090602,,0,384,384,0,2,2,,
"",,,,,Ihata Shah Nawaz,206090603,,0,436,436,,,
"",,,,,Ihata Shah Nawaz,206090606,,0,303,303,,,
"",,,,,Basti Faqir Wali,206090604,,0,245,245,,,
"",,,,,Z Block,206090605,,0,177,177,,,
"",,,,,TOTAL,,0,1545,1545,,,,
"",42,"MC Model School Habib colony(Male)(P)",,,"X, W, Block",206110101,,487,0,487,2,0,2
"",,,,,", K, Block",206110102,,561,0,561,,,
"",,,,,,TOTAL,,1048,0,1048,,,
"",43,"Office of the Executive EngineerMEPCO WAPDA (Female)(P)",,,"X, W,  Block",206110101,,0,458,458,0,2,2
"",,,,,", K, Block",206110102,,0,482,482,,,
"",,,,,,TOTAL,,0,940,940,,,
"",44,Office of the SDO Building (Male)(P),,,New K Block,206110103,,481,0,481,2,0,2
"",,,,,"F, Block",2  0  6  1  1  0  1   0  4,,457,0,457,,,
"",,,,,,TOTAL,,938,0,938,,,
"",45,Office of the SDO Building (Male)(P),,,Afaq Khan Chowk,206110105,,799,0,799,2,0,2
"",,,,,Afaq Khan Chowk,206110106,,676,0,676,,,
"",,,,,,TOTAL,,1475,0,1475,,,
"",46,"Office of the SDO WAPDA Ist Division(Female)(P)",,,New K Block,206110103,,0,431,431,0,2,2
"",,"F, Block",2  0  6  1  1  0  1   0  4,,0,400,400,,,,,,
"",,,TOTAL,,0,831,831,,,,,,
"",,Afaq Khan Chowk,206110105,,0,651,651,,,,,,
"",,Afaq Khan Chowk,206110106,,0,495,495,,,,,,
"",48,"MC Model. School Habib Colony(Female)(P)",,,Habib colony,206140203,,0,479,479,0,2,2
"",,,,,"Habib colonyMasoom ShahColony",206140204,,0,324,324,,,
"",,,,,Habib colony,206140404,,0,415,415,,,
"",,,,,,TOTAL,,0,1218,1218,,,
"",49,Office of the SDO High Way (Male)(P),,,Habib colony,206140203,,617,0,617,2,0,2
"",,,,,"Habib colonyMasoom ShahColony",206140204,,462,0,462,,,
"",,,,,Habib colony,206140404,,466,0,466,,,
"",,,,,,TOTAL,,1545,0,1545,,,
"",50,"MC Model School Habib Colony(Male)(P)",,,Habib Colony,206140401,,922,0,922,2,0,2
"",,,,,Habib Colony,206140402,,367,0,367,,,
"",,,,,,TOTAL,,1289,0,1289,,,
"",51,"MC Model School Habib Colony(Male)(P)",,,Habib Colony,206140403,,615,0,615,2,0,2
"",,,,,Habib Colony,206140405,,374,0,374,,,
"",,,,,,TOTAL,,989,0,989,,,
"",52,"MC Model  School Habib Colony(Female)(P)",,,Habib Colony,206140403,,0,474,474,0,1,1
"",,,,,Habib Colony,206140405,,0,295,295,,,
"",,,,,,TOTAL,,0,769,769,,,
"",53,"MC Model  School Habib Colony(Female)(P)",,,Habib Colony,206140401,,0,826,826,0,3,3
"",,,,,Habib Colony,206140402,,0,295,295,,,
"",,,,,,TOTAL,,0,1121,1121,,,
"",54,"Govt. Degree Collage Burewala (IstPortion) (Male)(P)",,,Chak No. 437/EB,206100201,,521,0,521,2,0,2
"",,,,,Waraich Town,206100203,,536,0,536,,,
"",,,,,Modle Town,206100204,,417,0,417,,,
"",,,,,,TOTAL,,1474,0,1474,,,
"",55,"Govt. Degree Collage Burewala (2ndPortion) (Female)(P)",,,Chak No. 437/EB,206100201,,0,398,398,0,2,2
"",,,,,Waraich Town,206100203,,0,458,458,,,
"",,,,,Modle Town,206100204,,0,357,357,,,
"",,,,,,TOTAL,,0,1213,1213,,,
"",56,"Govt. Degree College M.A, Block(Male)(P)",,,Aziz Abad,2  0  6  100103,,712,0,712,2,0,2
"",,"Tiba Mustafaabad(Aziz Abad)",206100202,,537,0,537,,,,,,
"",,,TOTAL,,1249,0,1249,,,,,,
"",,Gao Shala,206100205,,371,0,371,,,,,,
"",,"Tiba Mustafaabad(Aziz Abad)",206100206,,241,0,241,,,,,,
"",,Gao Shala,206100207,,292,0,292,,,,,,
"",58,"Govt. Boys Pry School Aziz Abad(Female)(P)",,,Aziz Abad,2  0  6  100103,,0,570,570,0,3,3
"",,,,,"Tiba Mustafaabad(Aziz Abad)",206100202,,0,404,404,,,
"",,,,,Gao Shala,206100205,,0,295,295,,,
"",,,,,"Tiba Mustafaabad(Aziz Abad)",206100206,,0,226,226,,,
"",,,,,Gao Shala,206100207,,0,240,240,,,
"",,,,,,TOTAL,,0,1735,1735,,,
"",59,"M.C Girls High( Pry Portion). School D-Block (Male)(P)",,,"Kachi Abadi, ABlock",206110301,,766,0,766,2,0,2
"",,,,,"D Block BoysCollege",206110302,,228,0,228,,,
"",,,,,C & E Block,206110303,,579,0,579,,,
"",,,,,,TOTAL,,1573,0,1573,,,
"",60,"MC Girls High School Burewala DBlock (Female)(P)",,,"Kachi Abadi, ABlock",206110301,,0,661,661,0,2,2
"",,,,,"D Block BoysCollege",206110302,,0,201,201,,,
"",,,,,C & E Block,206110303,,0,517,517,,,
"",,,,,,TOTAL,,0,1379,1379,,,
"",61,"Office of the Market Committee(East) (Male)(P)",,,Block D.,206110201,,477,0,477,2,0,2
"",,,,,"Ghalla MandiShumali G Block",206110202,,215,0,215,,,
"",,,,,H Block,206110203,,763,0,763,,,
"",,,,,,TOTAL,,1455,0,1455,,,
"",62,"Office of the Market Committee(West) (Female)(P)",,,Block D.,206110201,,0,425,425,0,2,2
"",,,,,"Ghalla MandiShumali G Block",206110202,,0,176,176,,,
"",,,,,H Block,206110203,,0,701,701,,,
"",,,,,,TOTAL,,0,1302,1302,,,
"",63,"MC Boys Pry. School E-Block(Male)(P)",,,M & N Block,206110401,,412,0,412,3,0,3
"",,,,,M & N Block,206110402,,378,0,378,,,
"",,,,,M & N Block,206110403,,36,0,36,,,
"",,,,,M & N Block,206110404,,375,0,375,,,
"",,,,,M & N Block,206110405,,462,0,462,,,
"",,,,,,TOTAL,,1663,0,1663,,,
"",64,"MC Girls Pry. School N-Block(Female)(P)",,,M & N Block,206110401,,0,384,384,0,2,2
"",,,,M & N Block,206110402,,0,365,365,,,,
"",,,,M & N Block,206110403,,0,23,23,,,,
"",,,,M & N Block,206110404,,0,377,377,,,,
"",,,,M & N Block,206110405,,0,346,346,,,,
"",,,,,TOTAL,,0,1495,1495,,,,
65,"Govt. Model H/School Burewala(Male)(P)",,,O Block,206110502,,391,0,391,2,0,2,
"",,O Block,206110504,,548,0,548,,,,,,
"",,,TOTAL,,939,0,939,,,,,,
"",66,"Govt. Model H/School Burewala(Male)(P)",,,P Block,206110501,,826,0,826,2,0,2
"",,,,,P Block,206110503,,393,0,393,,,
"",,,,,,TOTAL,,1219,0,1219,,,
"",67,"Boys Pry. School P-Block Burewala(Female)(P)",,,O Block,206110502,,0,309,309,0,2,2
"",,O Block,206110504,,0,497,497,,,,,,
"",,,TOTAL,,0,806,806,,,,,,
"",,P Block,206110501,,0,709,709,,,,,,
"",,P Block,206110503,,0,353,353,,,,,,
"",69,Boys Pry. School 449/EB (Male)(P),,,Muslim Block,206140101,,394,0,394,3,0,3
"",,,,,Lot Bhattian,206140102,,119,0,119,,,
"",,,,,Gulshan Colony,206140103,,262,0,262,,,
"",,,,,"GhulamMuhammadColony",206140104,,276,0,276,,,
"",,,,,"GhulamMuhammadColony",206140105,,360,0,360,,,
"",,,,,Lot Bhattian,206140106,,339,0,339,,,
"",,,,,Lot Bhattian,206140107,,63,0,63,,,
"",,,,,,TOTAL,,1813,0,1813,,,
"",70,"Govt. Boys High School Pry Portion,Housing Scheme",,,Muslim Block,206140101,,0,284,284,0,2,2
"",,,,,Lot Bhattian,206140102,,0,79,79,,,
"",,,,,Gulshan Colony,206140103,,0,203,203,,,
"",,,,,"GhulamMuhammadColony",206140104,,0,202,202,,,
"",,,,,"GhulamMuhammadColony",206140105,,0,316,316,,,
"",,,,,Lot Bhattian,206140106,,0,242,242,,,
"",,,,,Lot Bhattian,206140107,,0,78,78,,,
"",,,,,,TOTAL,,0,1404,,,,
"",71,Boys Pry. School 449/EB (Male)(P),,,"Masoom ShahColony",206140201,,260,0,260,2,0,2
