"",S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",,,Chak No. 403/EB,206030802,,,,0,512,512,,,
"",,,,TOTAL,,,,0,824,824,,,
"",239,Girls Pry. School 411/EB(P),Chak No. 411/EB,206030902,,,,210,158,368,1,1,2
"",,,Chak No. 411/EB,206030903,,,,522,422,944,,,
"",,,,TOTAL,,,,732,580,1312,,,
"",240,Girls Pry. School 409/EB(P),Chak No. 409/EB,206030805,,,,779,632,1411,1,1,2
"",,,,TOTAL,,,,779,632,1411,,,
"",241,Girls Pry. School 407/EB(P),Chak No. 407/EB,206030701,,,,244,182,426,1,1,2
"",,,Chak No. 407/EB,206030702,,,,427,324,751,,,
"",,,,TOTAL,,,,671,506,1177,,,
"",242,Girls Pry. School 401/EB(P),Chak No. 401/EB,206030901,,,,698,585,1283,1,1,2
"",,,,TOTAL,,,,698,585,1283,,,
"",243,Girls Pry. School 100/EB(P),Chak No. 100/EB,206030203,,,,321,245,566,2,1,3
Chak No. 100/EB,206030204,,,,512,379,891,,,,,,
"",TOTAL,,,,833,624,1457,,,,,,
Chak No. 102/EB,206030201,,,,0,523,523,,,,,,
Chak No. 102/EB,206030202,,,,0,310,310,,,,,,
"",245,Girls High School 102/EB (Male)(P),Chak No. 102/EB,206030201,,,,755,0,755,2,0,2
"",,,Chak No. 102/EB,206030202,,,,485,0,485,,,
"",,,,TOTAL,,,,1240,0,1240,,,
"",246,Boys Pry. School 104/EB(P),Chak No. 104/EB,206030301,,,,321,222,543,1,1,2
"",,,Chak No. 104/EB,206030302,,,,324,271,595,,,
"",,,,TOTAL,,,,645,493,1138,,,
"",247,Grirls Middle School 106/EB (Male)(P),Chak No. 106/EB,206030303,,,,352,0,352,2,0,2
"",,,Chak No. 106/EB,206030304,,,,514,0,514,,,
"",,,Chak No. 108/EB,206030305,,,,185,0,185,,,
"",,,,TOTAL,,,,1051,0,1051,,,
"",248,"Grirls Middle School 106/EB(Female)(P)",Chak No. 106/EB,206030303,,,,0,282,282,0,1,1
"",,,Chak No. 106/EB,206030304,,,,0,380,380,,,
"",,,Chak No. 108/EB,206030305,,,,0,120,120,,,
"",,,,TOTAL,,,,0,782,782,,,
"",249,"Boys High School, 112/EB(P)",Chak No. 112/EB,206030402,,,,707,533,1240,2,1,3
"",,,Chak No. 112/EB,206030403,,,,371,266,637,,,
"",,,,TOTAL,,,,1078,799,1877,,,
"",250,"Girls Pry. School, 116/EB(P)",Chak No. 116/EB,206030406,,,,529,377,906,1,1,2
"",,,,TOTAL,,,,529,377,906,,,
"",251,"Boys Pry. School, 110/EB",Chak No. 110/EB,206030401,,,,501,361,862,1,1,2
"",,,,TOTAL,,,,501,361,862,,,
"",252,"Girls Pry. School, 114/EB(P)",Chak No. 114/EB,206030404,,,,614,443,1057,1,1,2
"",,,Chak No. 114/EB,206030405,,,,154,118,272,,,
"",,,,TOTAL,,,,768,561,1329,,,
"",253,"Girls Pry. School, 118/EB(P)",Chak No. 118/EB,206030501,,,,682,496,1178,2,1,3
"",,,Chak No. 118/EB,206030502,,,,245,197,442,,,
"",,,,TOTAL,,,,927,693,1620,,,
"",254,"Boys Middle School, 120/EB(P)",Chak No. 120/EB,206030503,,,,141,158,299,1,1,2
"",,,Chak No. 120/EB,206030504,,,,356,280,636,,,
"",,,,TOTAL,,,,497,438,935,,,
"",255,"Boys Middle School, 122/EB(P)",Chak No. 122/EB,206030505,,,,358,282,640,2,1,3
"",,,Chak No. 122/EB,206030506,,,,672,458,1130,,,
"",,,,TOTAL,,,,1030,740,1770,,,
"",256,"Boys Pry. School, 124/EB(P)",Chak No. 124/EB,206030507,,,,661,463,1124,2,1,3
"",,,Chak No. 124/EB,206030508,,,,291,208,499,,,
"",,,,TOTAL,,,,952,671,1623,,,
"",257,"Boys Pry. School, 126/EB(P)",Chak No. 126/EB,206030509,,,,388,311,699,1,1,2
"",,,,TOTAL,,,,388,311,699,,,
"",258,"Girls High. School, 128/EB(P)",Chak No. 128/EB,206030601,,,,481,375,856,2,1,3
"",,,Chak No. 128/EB,206030602,,,,334,250,584,,,
"",,,Chak No. 128/EB,206030603,,,,104,71,175,,,
"",,,,TOTAL,,,,919,696,1615,,,
"",259,"Boys High School, 130/EB(P)",Chak No. 130/EB,206030604,,,,287,219,506,1,1,2
"",,,Chak No. 130/EB,206030605,,,,491,357,848,,,
"",,,,TOTAL,,,,778,576,1354,,,
"",260,"Girls High School, 130/EB(P)",Chak No. 132/EB,206030606,,,,435,375,810,1,1,2
"",,,,TOTAL,,,,435,375,810,,,
"",261,"Girls Pry. School, 136/EB",Chak No. 136/EB,206030610,,,,608,414,1022,1,1,2
"",TOTAL,,,,608,414,1022,,,,,,
Chak No. 134/EB,206030607,,,,665,0,665,,,,,,
Chak No. 134/EB,206030608,,,,438,0,438,,,,,,
Chak No. 134/EB,206030609,,,,277,0,277,,,,,,
"",263,"Boys Pry. School 134/EB (Main abadi)(Female)(P)",Chak No. 134/EB,206030607,,,,0,516,516,0,2,2
"",,,Chak No. 134/EB,206030608,,,,0,217,217,,,
"",,,Chak No. 134/EB,206030609,,,,0,228,228,,,
"",,,,TOTAL,,,,0,961,961,,,
"",264,Boys Pry. School 421/EB (Male)(P),Chak No. 421/EB,206030706,,,,506,0,506,2,0,2
"",,,Chak No. 421/EB,206030707,,,,499,0,499,,,
"",,,Chak No. 421/EB,206030708,,,,257,0,257,,,
"",,,,TOTAL,,,,1262,0,1262,,,
"",265,"Girls Pry. School, 421/EB (Female)(P)",Chak No. 421/EB,206030706,,,,0,333,333,0,2,2
"",,,Chak No. 421/EB,206030707,,,,0,299,299,,,
"",,,Chak No. 421/EB,206030708,,,,0,243,243,,,
"",,,,TOTAL,,,,0,875,875,,,
"",266,Boys Pry. School 419/EB(P),Chak No. 419/EB,206030703,,,,336,287,623,2,2,4
"",,,Chak No. 419/EB,206030704,,,,180,188,368,,,
"",,,Chak No. 419/EB,206030705,,,,465,338,803,,,
"",,,,TOTAL,,,,981,813,1794,,,
"",267,Girls Middle. School 425/EB(P),Chak No. 425/EB,206070405,,,,287,211,498,2,1,3
"",,,Chak No. 425/EB,206070406,,,,551,392,943,,,
"",,,,TOTAL,,,,838,603,1441,,,
"",268,Boys Pry. School 423/EB (Male)(P),Chak No. 423/EB,206070401,,,,560,0,560,2,0,2
"",,,Chak No. 423/EB,206070402,,,,237,0,237,,,
"",,,Chak No. 423/EB,206070403,,,,392,0,392,,,
"",,,,TOTAL,,,,1189,0,1189,,,
"",269,Girls Pry. School 423/EB (Female)(P),Chak No. 423/EB,206070401,,,,0,424,424,0,2,2
"",,,Chak No. 423/EB,206070402,,,,0,192,192,,,
"",,,Chak No. 423/EB,206070403,,,,0,380,380,,,
"",,,,TOTAL,,,,0,996,996,,,
"",270,"Girls High School, 429/EB (Male)(P)",Chak No. 429/EB,206070602,,,,417,0,417,2,0,2
"",,,Chak No. 429/EB,206070603,,,,366,0,366,,,
"",,,Chak No. 429/EB,206070604,,,,363,0,363,,,
"",,,Chak No. 429/EB,206070605,,,,332,0,332,,,
"",,,,TOTAL,,,,1478,0,1478,,,
"",271,Boys Pry. School 429/EB (Female)(P),Chak No. 429/EB,206070602,,,,0,336,336,0,2,2
Chak No. 429/EB,206070603,,,,0,279,279,,,,,,
Chak No. 429/EB,206070604,,,,0,243,243,,,,,,
Chak No. 429/EB,206070605,,,,0,240,240,,,,,,
"",TOTAL,,,,0,1098,1098,,,,,,
Chak No. 431/EB,206070501,,,,240,210,450,,,,,,
Chak No. 431/EB,206070502,,,,586,396,982,,,,,,
"",273,"Boys Middle School 431/EB Pry.Portion (Male)(P)",Chak No. 431/EB,206070503,,,,258,0,258,2,0,2
"",,,Chak No. 431/EB,206070504,,,,228,0,228,,,
"",,,Chak No. 431/EB,206070505,,,,343,0,343,,,
"",,,Chak No. 431/EB,206070506,,,,421,0,421,,,
"",,,,TOTAL,,,,1250,0,1250,,,
"",274,"Boys Middle School 431/EB MiddlePortion (Female)(P)",Chak No. 431/EB,206070503,,,,0,222,222,0,2,2
"",,,Chak No. 431/EB,206070504,,,,0,147,147,,,
"",,,Chak No. 431/EB,206070505,,,,0,261,261,,,
"",,,Chak No. 431/EB,206070506,,,,0,308,308,,,
"",,,,TOTAL,,,,0,938,938,,,
"",275,Boys Middle School 427/EB(P),Chak No. 427/EB,206070404,,,,489,380,869,1,1,2
"",,,,TOTAL,,,,489,380,869,,,
"",276,"Girls Pry. School, 413/EB(P)",Chak No. 413/EB,206030904,,,,665,524,1189,1,1,2
"",,,,TOTAL,,,,665,524,1189,,,
"",277,"Girls Pry. School, 417/EB(P)",Chak No. 417/EB,206030905,,,,996,772,1768,2,1,3
"",,,,TOTAL,,,,996,772,1768,,,
"",278,"Boys High School, 377/EB (Male)(P)",Chak No. 377/EB,206031006,,,,226,0,226,2,0,2
"",,,Chak No. 377/EB,206031007,,,,453,0,453,,,
"",,,Chak No. 377/EB,206031008,,,,538,0,538,,,
"",,,,TOTAL,,,,1217,0,1217,,,
"",279,"Boys High School, 377/EB (Female)(P)",Chak No. 377/EB,206031006,,,,0,166,166,0,2,2
"",,,Chak No. 377/EB,206031007,,,,0,349,349,,,
"",,,Chak No. 377/EB,206031008,,,,0,470,470,,,
"",,,,TOTAL,,,,0,985,985,,,
"",280,Govt. Pry. School 415/EB(P),Chak No. 415/EB,206070601,,,,641,543,1184,1,1,2
"",,,,TOTAL,,,,641,543,1184,,,
"",281,"Girls Middle. School 199/EB(Female)(P)",Chak No. 199/EB,206070705,,,,0,482,482,0,2,2
"",,,Chak No. 199/EB,206070706,,,,0,361,361,,,
"",,,,TOTAL,,,,0,843,843,,,
"",282,Boys Pry. School 199/EB (Male)(P),Chak No. 199/EB,206070705,,,,616,0,616,2,0,2
"",,,Chak No. 199/EB,206070706,,,,450,0,450,,,
"",,,,TOTAL,,,,1066,0,1066,,,
"",283,Govt. Model  Pry. School 433/EB(P),Chak No. 433/EB,206070507,,,,375,278,653,2,1,3
"",,,Chak No. 433/EB,206070508,,,,381,306,687,,,
"",,,Chak No. 433/EB,206070509,,,,278,172,450,,,
"",,,,TOTAL,,,,1034,756,1790,,,
"",284,Girls Pry. School 201/EB (Male)(P),Chak No. 201/EB,206070701,,,,441,0,441,2,0,2
Chak No. 201/EB,206070702,,,,407,0,407,,,,,,
Chak No. 201/EB,206070703,,,,137,0,137,,,,,,
Chak No. 201/EB,206070704,,,,477,0,477,,,,,,
"",TOTAL,,,,1462,0,1462,,,,,,
Chak No. 201/EB,206070701,,,,0,294,294,,,,,,
Chak No. 201/EB,206070702,,,,0,299,299,,,,,,
Chak No. 201/EB,206070703,,,,0,241,241,,,,,,
Chak No. 201/EB,206070704,,,,0,219,219,,,,,,
"",286,"Govt. Elementary Model  School203/EB (Male)(P)",Chak No. 203/EB,206070707,,,,708,0,708,2,0,2
"",,,Chak No. 203/EB,206070708,,,,556,0,556,,,
"",,,Chak No. 203/EB,206070709,,,,269,0,269,,,
"",,,,TOTAL,,,,1533,0,1533,,,
"",287,Girls Pry. School 203/EB (Female)(P),Chak No. 203/EB,206070707,,,,0,582,582,0,2,2
"",,,Chak No. 203/EB,206070708,,,,0,419,419,,,
"",,,Chak No. 203/EB,206070709,,,,0,199,199,,,
"",,,,TOTAL,,,,0,1200,1200,,,
"",288,"Girls Elementary. School 249/EB(Male)(P)",Chak No. 249/EB,206070912,,,,484,0,484,3,0,3
"",,,Chak No. 249/EB,206070913,,,,419,0,419,,,
"",,,Chak No. 249/EB,206070914,,,,938,0,938,,,
"",,,,TOTAL,,,,1841,0,1841,,,
"",289,Boys Pry. School 249/EB (Female)(P),Chak No. 249/EB,206070912,,,,0,370,370,0,2,2
"",,,Chak No. 249/EB,206070913,,,,0,364,364,,,
"",,,Chak No. 249/EB,206070914,,,,0,694,694,,,
"",,,,TOTAL,,,,0,1428,1428,,,
"",290,"Govt. Girls Elementary. School515/EB(P)",515/EB,206061001,,,,379,286,665,2,1,3
"",,,515/EB,206061003,,,,436,313,749,,,
"",,,,TOTAL,,,,815,599,1414,,,
"",291,"Govt. Girls Elementary. School515/EB(P)",515/EB,206061002,,,,479,378,857,1,1,2
"",,,,TOTAL,,,,479,378,857,,,
"",292,"Boys High School 515/EB (EastPart-I)  (Male)(P)",515/EB,206061007,,,,381,0,381,2,0,2
"",,,515/EB,206061008,,,,279,0,279,,,
"",,,515/EB,206061009,,,,357,0,357,,,
"",,,,TOTAL,,,,1017,0,1017,,,
"",293,"Boys High School 515/EB (EastPart-I)  (Male)(P)",515/EB,206061004,,,,531,0,531,2,0,2
"",,,515/EB,206061005,,,,327,0,327,,,
"",,,515/EB,206061006,,,,253,0,253,,,
"",,,,TOTAL,,,,1111,0,1111,,,
"",294,"Boys High School 515/EB (West Part-II) (Female)(P)",515/EB,206061004,,,,0,397,397,0,2,2
"",,,515/EB,206061005,,,,0,246,246,,,
"",,,515/EB,206061006,,,,0,169,169,,,
"",,,515/EB,206061007,,,,0,279,279,,,
"",,,515/EB,206061008,,,,0,211,211,,,
"",,,515/EB,206061009,,,,0,263,263,,,
"",,,,TOTAL,,,,0,1565,1565,,,
"",295,Govt. Middle School 138/EB(P),138/EB,206060401,,,,662,535,1197,2,1,3
"",,,138/EB,206060402,,,,272,213,485,,,
"",,,,TOTAL,,,,934,748,1682,,,
"",296,Girls Middle School 140/EB(P),140/EB,206060403,,,,480,360,840,2,1,3
"",,,140/EB,206060404,,,,358,296,654,,,
"",,,,TOTAL,,,,838,656,1494,,,
"",297,"Boys Higher Secondary School142/EB(P)",142/EB,206060406,,,,490,419,909,1,1,2
"",TOTAL,,,,490,419,909,,,,,,
142/EB,206060405,,,,625,521,1146,,,,,,
"",299,Grils Elementary. School 144/EB(P),144/EB,206060407,,,,462,366,828,2,1,3
"",,,144/EB,206060408,,,,348,293,641,,,
"",,,144/EB,206060409,,,,131,88,219,,,
"",,,,TOTAL,,,,941,747,1688,,,
"",300,Boys Middle School 497/EB(P),497/EB,206060802,,,,443,357,800,1,1,2
"",,,,TOTAL,,,,443,357,800,,,
"",301,Boys Middle School 497/EB(P),497/EB,206060801,,,,639,551,1190,1,1,2
"",,,,TOTAL,,,,639,551,1190,,,
"",302,Boys Primary School 499/EB,499/EB,206060702,,,,480,320,800,1,1,2
"",,,499/EB,206060703,,,,86,55,141,,,
"",,,,TOTAL,,,,566,375,941,,,
"",303,Boys Middle School 499/EB,499/EB,206060701,,,,583,462,1045,1,1,2
"",,,,TOTAL,,,,583,462,1045,,,
"",304,Girls Middle School 501/EB(P),501/EB,206060704,,,,823,636,1459,2,1,3
"",,,,TOTAL,,,,,,0,,,
"",305,Girls Middle School 503/EB(P),503/EB,206060803,,,,456,371,827,2,2,4
"",,,503/EB,206060804,,,,404,338,742,,,
"",,,503/EB,206060805,,,,176,139,315,,,
"",,,,TOTAL,,,,1036,848,1884,,,
"",306,Govt. Middle School 509/EB (Male)(P),509/EB,206060503,,,,137,0,137,2,0,2
"",,,509/EB,206060504,,,,366,0,366,,,
"",,,509/EB,206060505,,,,22,0,22,,,
"",,,509/EB,206060506,,,,335,0,335,,,
"",,,,TOTAL,,,,860,0,860,,,
"",307,Govt. Middle School 509/EB (Male)(P),509/EB,206060501,,,,461,0,461,2,0,2
"",,,509/EB,206060502,,,,630,0,630,,,
"",,,,TOTAL,,,,1091,0,1091,,,
"",308,Girls High School 509/EB (Female)(P),509/EB,206060501,,,,0,361,361,0,2,2
"",,,509/EB,206060502,,,,0,527,527,,,
"",,,509/EB,206060503,,,,0,102,102,,,
"",,,509/EB,206060504,,,,0,247,247,,,
"",,,509/EB,206060505,,,,0,15,15,,,
"",,,509/EB,206060506,,,,0,192,192,,,
"",,,,TOTAL,,,,0,1444,1444,,,
"",309,"Govt. Boys Middle School, 146/EB(Male)(P)",146/EB,206060101,,,,522,0,522,3,0,3
"",,,146/EB,206060102,,,,364,0,364,,,
"",,,146/EB,206060103,,,,682,0,682,,,
"",,,146/EB,206060104,,,,353,0,353,,,
"",,,,TOTAL,,,,1921,0,1921,,,
"",310,"Grils Elementary School 146/EB(Female)(P)",146/EB,206060101,,,,0,384,384,0,2,2
"",,,146/EB,206060102,,,,0,289,289,,,
"",,,146/EB,206060103,,,,0,490,490,,,
"",,,146/EB,206060104,,,,0,246,246,,,
"",,,,TOTAL,,,,0,1409,1409,,,
"",311,Boys Pry. School 148/EB(P),148/EB,206060105,,,,241,226,467,1,1,2
"",,,148/EB,206060107,,,,377,321,698,,,
"",,,,TOTAL,,,,618,547,1165,,,
"",312,Boys Pry. School 148/EB(P),148/EB,206060106,,,,485,432,917,1,1,2
"",,,,TOTAL,,,,485,432,917,,,
"",313,Girls Pry. School 154/EB(P),154/EB,206060204,,,,298,195,493,1,1,2
"",TOTAL,,,,,,0,,,,,,
150/EB,206060201,,,,418,0,418,,,,,,
"",,(Male)(P),150/EB,206060203,,,,258,0,258,,,
"",,,,TOTAL,,,,988,0,988,,,
"",315,"Boys  Model Pry. School 150/EB(Female)(P)",150/EB,206060201,,,,0,301,301,0,1,1
"",,,150/EB,206060202,,,,0,243,243,,,
"",,,150/EB,206060203,,,,0,196,196,,,
"",,,,TOTAL,,,,0,740,740,,,
"",316,Boys Elementary. School 152/EB(P),152/EB,206060108,,,,614,426,1040,2,1,3
"",,,152/EB,206060109,,,,192,124,316,,,
"",,,152/EB,206060110,,,,89,61,150,,,
"",,,152/EB,206060111,,,,114,78,192,,,
"",,,,TOTAL,,,,1009,689,1698,,,
"",317,"Govt.Girls Model Elementary . School156/EB(P)",156/EB,206060301,,,,175,143,318,1,1,2
"",,,156/EB,206060302,,,,478,387,865,,,
"",,,,TOTAL,,,,653,530,1183,,,
"",318,Boys Pry. School 158/EB (Male)(P),158/EB,206060303,,,,270,0,270,2,0,2
"",,,158/EB,206060304,,,,413,0,413,,,
"",,,158/EB,206060305,,,,332,0,332,,,
"",,,,TOTAL,,,,1015,0,1015,,,
"",319,Girls Pry. School 158/EB (Female)(P),158/EB,206060303,,,,0,195,195,0,2,2
"",,,158/EB,206060304,,,,0,353,353,,,
"",,,158/EB,206060305,,,,0,277,277,,,
"",,,,TOTAL,,,,0,825,825,,,
"",320,Govt. Elementary School 170/EB(P),170/EB,206060112,,,,331,235,566,2,1,3
"",,,170/EB,206060113,,,,407,359,766,,,
"",,,170/EB,206060114,,,,106,87,193,,,
"",,,,TOTAL,,,,844,681,1525,,,
"",321,Boys Pry. School 507/EB(P),507/EB,206060601,,,,470,376,846,1,1,2
"",,,507/EB,206060602,,,,156,130,286,,,
"",,,507/EB,206060603,,,,155,121,276,,,
"",,,,TOTAL,,,,781,627,1408,,,
"",322,Boys Pry. School 519/EB (Male)(P),519/EB,206061010,,,,568,0,568,3,0,3
519/EB,206061011,,,,327,0,327,,,,,,
519/EB,206061012,,,,469,0,469,,,,,,
519/EB,206061013,,,,241,0,241,,,,,,
"",TOTAL,,,,1605,0,1605,,,,,,
519/EB,206061010,,,,0,410,410,,,,,,
519/EB,206061011,,,,0,208,208,,,,,,
519/EB,206061012,,,,0,319,319,,,,,,
519/EB,206061013,,,,0,171,171,,,,,,
"",324,Boys Pry. School 511/EB,511/EB,206060507,,,,268,208,476,2,1,3
"",,,511/EB,206060508,,,,583,415,998,,,
"",,,511/EB,206060509,,,,182,99,281,,,
"",,,,TOTAL,,,,1033,722,1755,,,
"",325,Boys Pry. School 513/EB(P),513/EB,206060604,,,,275,182,457,2,1,3
"",,,513/EB,206060605,,,,598,399,997,,,
"",,,513/EB,206060606,,,,277,180,457,,,
"",,,,TOTAL,,,,1150,761,1911,,,
"",326,Girls Pry. School 521/EB Old (Male),521/EB,206061101,,,,228,0,228,2,0,2
"",,,521/EB,206061102,,,,315,0,315,,,
"",,,521/EB,206061103,,,,708,0,708,,,
"",,,,TOTAL,,,,1251,0,1251,,,
"",327,"Boys Elementary. School 521/EB(Female)(P)",521/EB,206061101,,,,0,142,142,0,2,2
"",,,521/EB,206061102,,,,0,194,194,,,
"",,,521/EB,206061103,,,,0,509,509,,,
"",,,,TOTAL,,,,0,845,845,,,
"",328,Boys Pry. School 523/EB(P),523/EB,206061104,,,,577,383,960,2,1,3
"",,,523/EB,206061105,,,,87,59,146,,,
"",,,523/EB,206061106,,,,329,218,547,,,
"",,,,TOTAL,,,,993,660,1653,,,
"",329,Girls High School 525/EB(P),525/EB,206061107,,,,287,213,500,1,1,2
525/EB,206061108,,,,240,165,405,,,,,,
"",TOTAL,,,,527,378,905,,,,,,
529/EB,206061109,,,,512,340,852,,,,,,
529/EB,206061110,,,,304,222,526,,,,,,
"",S. No.,Polling Station Name,In case of Rural Areas,In case of Urban  Areas,"Sr. No. of Voterson the ElectoralRoll in case",Number of voters assigned to,Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",1,U. C Office Luddan (P) (Male),Luddan,205070902,,,,433,0,433,2,0,2
"",,,Luddan,205070903,,,,295,0,295,,,
"",,,Luddan,205070904,,,,348,0,348,,,
"",,,Luddan,205070905,,,,314,0,314,,,
"",,,,,,,,1390,,1390,,,
"",2,U. C Office Luddan (P) (Female),Luddan,205070902,,,,0,286,286,0,2,2
"",,,Luddan,205070903,,,,0,236,236,,,
"",,,Luddan,205070904,,,,0,280,280,,,
"",,,Luddan,205070905,,,,0,252,252,,,
"",,,,,,,,0,1054,1054,,,
"",3,Boys Middle. School Luddan (P),Luddan,205070906,,,,358,306,664,2,2,4
"",,,Luddan,205070908,,,,327,279,606,,,
"",,,"Shada BalouchAli-ud-Din",205070901,,,,310,241,551,,,
"",,,,,,,,995,826,1821,,,
"",4,Boys Middle. School Luddan (P),Luddan,205070907,,,,368,316,684,1,1,2
"",,,,,,,,368,316,684,,,
"",5,"Punjab Vocational Training InstituteLuddan",Luddan,205070909,,,,281,276,557,1,1,2
"",,Luddan,205070912,,,,178,136,314,,,,
"",,,,,,,459,412,871,,,,
6,Markaz Complex Luddan,Luddan,205070911,,,,376,302,678,1,1,2,
"",,,,,376,302,678,,,,,,
"",7,"Punjab Vocational Training InstituteLuddan",Luddan,205070910,,,,525,418,943,1,1,2
"",,,,,,,,525,418,943,,,
"",8,Girls High School Luddan (P),Luddan,205070913,,,,408,291,699,1,1,2
"",,,Luddan,205070915,,,,239,238,477,,,
"",,,,,,,,647,529,1176,,,
"",9,Girls High School Luddan (P),Luddan,205070914,,,,867,670,1537,2,1,3
"",,,,,,,,867,670,1537,,,
"",10,"Boys  Higher Secondary School SchoolLuddan (P)",Luddan,205070916,,,,162,168,330,2,1,3
"",,,Luddan,205070917,,,,212,157,369,,,
"",,,Luddan,205070918,,,,452,362,814,,,
"",,,Luddan,205070919,,,,69,60,129,,,
"",,,,,,,,895,747,1642,,,
"",11,Boys Middle. School Dad Kamira (P),Dad Kamira,205070701,,,,527,362,889,2,1,3
"",,,Dad Kamira,205070702,,,,363,363,726,,,
"",,,,,,,,890,725,1615,,,
"",12,Boys Pry. School Bonga Azam,Bonga Azam,205071003,,,,138,97,235,1,1,2
Bonga Azam,205071004,,,,523,388,911,,,,,,
Tiwana,205071603,,,,59,40,99,,,,,,
"",,,,,720,525,1245,,,,,,
Refique Tijwana,205071001,,,,24,4,28,,,,,,
Khachi,2  0  5  0  7  1   0  0  2,,,,1  3  1,1   0  4,235,,,,,,
Kot Ghaloo,205071005,,,,18,11,29,,,,,,
Gul Shah,205071006,,,,104,62,166,,,,,,
Noon,205071007,,,,224,123,347,,,,,,
"",,,,,,,,501,304,805,,,
"",14,Girls Pry. School Salool,Usman Dhoddi,2   0  5  0  7  1  6   0  1,,,,2  9,2  0,49,1,1,2
"",,,Salool,205071602,,,,173,155,328,,,
"",,,Sharifa,205071604,,,,54,32,86,,,
"",,,Mughala,205071606,,,,22,7,29,,,
"",,,Noorn Afghan,205071607,,,,77,51,128,,,
"",,,,,,,,"#REF!","#REF!","#REF!",,,
"",15,Canal Rest House Lakha(P),Jantara Azam,205070705,,,,165,108,273,1,1,2
Lakha,2  05071701,,,,261,199,460,,,,,,
Lakha,205071702,,,,346,259,605,,,,,,
"",,,,,772,566,1338,,,,,,
Lakha,2  05071703,,,,294,154,448,,,,,,
Lakah,205071704,,,,227,114,341,,,,,,
"",,,,,,,,554,284,838,,,
"",17,Grils Pry. School Lakha Khas,Lakah,205071705,,,,468,303,771,1,1,2
"",,,Lakah,205071706,,,,121,100,221,,,
"",,,Lakah,205071713,,,,128,121,249,,,
"",,,,,,,,717,524,1241,,,
"",18,Boys Pry. School Mian Hakim(P),Baqir Shah,205071707,,,,111,107,218,1,1,2
"",,,Mian Hakim Ali,205071709,,,,181,235,416,,,
"",,,Mian Hakim Ali,205071710,,,,374,293,667,,,
"",,,,,,,,666,635,1301,,,
"",19,Boys Pry. School Mian Hakim(P),Mian Hakim Ali,205071711,,,,703,516,1219,1,1,2
"",,,,,703,516,1219,,,,,,
"Jetra NoBaramand",205070602,,,,538,421,959,,,,,,
Benda Baqir Shah,205071708,,,,53,24,77,,,,,,
"",21,"Boys Elementary School MehroBaloch(P)",Mehro Baloch,205070601,,,,371,292,663,1,1,2
"",,,Mehro Baloch,205070603,,,,342,201,543,,,
"",,,,,,,,713,493,1206,,,
"",22,Govt. Model Pry. School Tijwana Khas,Tijwana,205070805,,,,141,104,245,1,1,2
"",,,Tijwana,205070806,,,,402,300,702,,,
"",,,,,,,,543,404,947,,,
"",23,"Govt. Pry. School Tijwana BastiKoria(P)",Tijwana,205070807,,,,141,0,141,1,0,1
"",,,Tijwana,205070808,,,,402,0,402,,,
"",,,,,,,,543,0,543,,,
"",24,"Govt. Pry. School Tijwana BastiKoria(P)",Tijwana,205070807,,,,0,261,261,0,1,1
Tijwana,205070808,,,,0,206,206,,,,,,
"",,,,,0,467,467,,,,,,
Toot Hakim Ali,205070804,,,,401,332,733,,,,,,
"",26,Govt. Pry School Lal Deh(P),"Haikm AliLakhvera",205070104,,,,145,80,225,2,1,3
"",,,Lal Deh,2 05070102,,,,188,154,342,,,
"",,,Lal Deh,2 05070103,,,,485,400,885,,,
"",,,Jagan Deh,205070105,,,,20,17,37,,,
"",,,,,,,,838,651,1489,,,
"",27,"Govt. Maktab School, KotMuhammad Hussain(P)","Kot MuhammadHussain",205070101,,,,288,228,516,"21","11","32"
"",,,"Kot MuhammadHussain",205070106,,,,345,281,626,,,
"",,,Todar,205070704,,,,370,267,637,,,
"",,,,,,,,1003,776,1779,,,
"",28,Boys Pry. School Chak Bhanu(P),53KB,205070501,,,,219,144,363,2,1,3
Chak Bhano,205070502,,,,605,406,1011,,,,,,
54KB,205070503,,,,235,177,412,,,,,,
"",,,,,1059,727,1786,,,,,,
56/KB,2  0  5070504,,,,587,399,986,,,,,,
"",29,Boys Primary. School 56/KB(P),56/KB,2  0  5070505,,,,215,144,359,2,1,3
"",,,56/KB,205070507,,,,119,107,226,,,
"",,,,,,,,921,650,1571,,,
"",30,Govt. Girls Pry. School 55/KB,55/KB,205070506,,,,350,233,583,1,1,2
"",,,55/KB,205070508,,,,177,144,321,,,
"",,,,,,,,527,377,904,,,
"",31,Girls Middle. School Budh Ghulam(P),Budh Ghulam,205070703,,,,365,312,677,1,1,2
"",,,Behal,205070706,,,,218,151,369,,,
"",,,,,,,,583,463,1046,,,
"",32,Boys Ele. School Ahmed Abad(P),Ahmed Abad,205070802,,,,79,35,114,1,1,2
