"",2,3,4,5,6,7,8,9,10,11,12,13
1,"Government Boys High School,Chak No.188/RB Neelianwala(Combined) Permanent",Chak No.188/RB Nelaywala,152011101,,,,443,336,779,,,
"",,Chak No.188/RB Nelaywala,152011102,,,,361,237,598,,,
"",,Total,,,,,804,573,1377,2,1,3
2,"Government Boys High School,Chak No.188/RB Neelianwala(Combined) Permanent",Chak No.188/RB Nelaywala,152011103,,,,356,255,611,,,
"",,Chak No.188/RB Nelaywala,152011104,,,,463,394,857,,,
"",,Total,,,,,819,649,1468,2,1,3
3,"GovernmentBoys.High School,Chak No.188/RB Neelianwala(Combined) Permanent",Chak No.188/RB Nelaywala,152011105,,,,388,312,700,,,
"",,Chak No.188/RB Nelaywala,152011106,,,,134,105,239,,,
"",,Chak No.188/RB Nelaywala,152011107,,,,427,352,779,,,
"",,Total,,,,,949,769,1718,2,1,3
4,"Government Girls High School,Chak No.188/RB Neelianwala(Male) Permanent",Chak No.188/RB Nelaywala,152011108,,,,427,,427,,,
"",,Chak No.188/RB Nelaywala,152011109,,,,544,,544,,,
"",,Chak No.188/RB Nelaywala,152011110,,,,479,,479,,,
"",,Total,,,,,1450,0,1450,2,,
5,"Government Girls High School,Chak No.188/RB Neelianwala(Female) Permanent",Chak No.188/RB Nelaywala,152011108,,,,,360,360,,,
"",,Chak No.188/RB Nelaywala,152011109,,,,,413,413,,,
"",,Chak No.188/RB Nelaywala,152011110,,,,,336,336,,,
"",,Total,,,,,0,1109,1109,,2,2
6,"Government Girls. High School,Chak No.188/RB (Combined)Neelianwala Permanent",Chak No.188/RB Nelaywala,152011111,,,,140,105,245,,,
"",,Chak No.188/RB Nelaywala,152011112,,,,221,158,379,,,
"",,Chak No.188/RB Nelaywala,152011113,,,,510,383,893,,,
"",,Total,,,,,871,646,1517,2,1,3
7,"Government Boys  Primary School,Chak No.188/RB Lakrwala (Male)Permanent",Chak No.188/RB Lakrwala,152011114,,,,430,,430,,,
"",,Chak No.188/RB Lakrwala,152011115,,,,665,,665,,,
"",,Chak No.188/RB Lakrwala,152011116,,,,350,,350,,,
"",,Total,,,,,1445,,1445,2,,2
8,"Government Girls Primary School,Chak No.188/RB Lakrwala(Female) Permanent",Chak No.188/RB Lakrwala,152011114,,,,,379,379,,,
"",,Chak No.188/RB Lakrwala,152011115,,,,,626,626,,,
"",,Chak No.188/RB Lakrwala,152011116,,,,,225,225,,,
"",,Total,,,,,,1230,1230,,2,2
9,"GovernmentBoys High School,Chak No.189/RB (Male) Permanent",Chak No.189/RB Rasoolpur,152011117,,,,257,,257,,,
"",,Chak No.189/RB Rasoolpur,152011118,,,,546,,546,,,
"",,Chak No.189/RB Rasoolpur,152011119,,,,394,,394,,,
"",,Total,,,,,1197,,1197,3,,3
10,"GovernmentBoys  High School,Chak No.189/RB (Female)Permanent",Chak No.189/RB Rasoolpur,152011117,,,,,233,233,,,
"",,Chak No.189/RB Rasoolpur,152011118,,,,,452,452,,,
"",,Chak No.189/RB Rasoolpur,152011119,,,,,347,347,,,
"",,Total,,,,,0,1032,1032,0,2,2
11,"GovernmentBoys High School,Chak No.189/RB (Combined)Permanent",Chak No.189/RB Rasoolpur,152011120,,,,617,526,1143,,,
Chak No.189/RB Rasoolpur,152011121,,,,436,371,807,,,,,
Total,,,,,1053,897,1950,2,2,4,,
"","Secoundry School, ChakNo.189/RB (Male) Permanent",Chak No.189/RB Rasoolpur,152011123,,,,331,,331,,,
"",,Chak No.189/RB Rasoolpur,152011124,,,,214,,214,,,
"",,Chak No.189/RB Rasoolpur,152011125,,,,269,,269,,,
"",,Chak No.189/RB Rasoolpur,152011126,,,,0,,0,,,
"",,Total,,,,,1522,,1522,3,,3
13,"Government Girls HigherSecoundry School, ChakNo.189/RB (Female) Permanent",Chak No.189/RB Rasoolpura,152011122,,,,,593,593,,,
"",,Chak No.189/RB Rasoolpura,152011123,,,,,243,243,,,
"",,Chak No.189/RB Rasoolpura,152011124,,,,,166,166,,,
"",,Chak No.189/RB Rasoolpura,152011125,,,,,185,185,,,
"",,Chak No.189/RB Rasoolpura,152011126,,,,,0,0,,,
"",,Total,,,,,,1187,1187,,2,2
14,"Government Boys  Primary School,Chak 187 /RB Katcha Jhumra(Male)",Chak No.187/RB Katcha Jhumra,152010509,,,,330,,330,,,
"",,Chak No.187/RB Katcha Jhumra,152010510,,,,469,,469,,,
"",,Chak No.187/RB Katcha Jhumra,152010512,,,,379,,379,,,
"",,Chak No.187/RB Katcha Jhumra,152010513,,,,265,,265,,,
"",,Chak No.187/RB Katcha Jhumra,152010514,,,,386,,386,,,
"",,Total,,,,,1829,0,1829,3,0,3
15,"Government Boys  Primary School,Chak 187 /RB Katcha Jhumra(Female)",Chak No.187/RB Katcha Jhumra,152010509,,,,,200,200,,,
"",,Chak No.187/RB Katcha Jhumra,152010510,,,,,342,342,,,
"",,Chak No.187/RB Katcha Jhumra,152010512,,,,,336,336,,,
"",,Chak No.187/RB Katcha Jhumra,152010513,,,,,192,192,,,
"",,Chak No.187/RB Katcha Jhumra,152010514,,,,,306,306,,,
"",,Total,,,,,0,1376,1376,0,3,3
16,"Government Boys Primary School,Chak No.187/RB Baloana(Combined) Permanent",Chak No.187/RB Baloana,152010507,,,,290,146,436,,,
"",,Chak No.187/RB Baloana,152010508,,,,241,131,372,,,
"",,Chak No.187/RB Baloana,152010511,,,,193,138,331,,,
"",,Total,,,,,724,415,1139,1,1,2
17,"Government Boys Primary School,Chak No.186/RB Dogaranwala(Male)",Chak No.186/RB Dogaranwala,152010503,,,,302,,302,,,
"",,Chak No.186/RB Dogaranwala,152010504,,,,448,,448,,,
"",,Chak No.186/RB Dogaranwala,152010505,,,,245,,245,,,
