"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
Total,,,,,,,711,674,"1,385",2,1,3
227,"Govt Girls Elementry School NalaMuslimna",نلہ مسلماناں,117010202,-,-,,529,522,"1,051",0,0,0
Total,,,,,,,529,522,"1,051",1,1,2
228,G. Girls High School Nala Muslimna,نلہ مسلماناں,117010203,-,-,,582,559,"1,141",0,0,0
Total,,,,,,,582,559,"1,141",1,1,2
229,G. Girls Elementry School Nala Muslimna,نلہ مسلماناں,117010204,-,-,,596,558,"1,154",0,0,0
Total,,,,,,,596,558,"1,154",1,1,2
230,Govt Girls High School Doberan Kalan,دوبیرن کلاں,117010302,-,-,,702,679,"1,381",0,0,0
Total,,,,,,,702,679,"1,381",2,1,3
231,Govt Girls Primary School Khandah.,دوبیرن کلاں,117010303,-,-,,581,613,"1,194",0,0,0
Total,,,,,,,581,613,"1,194",1,1,2
232,Govt Boys Primary School Khandah,دوبیرن کلاں,117010304,-,-,,433,407,840,0,0,0
Total,,,,,,,433,407,840,1,1,2
233,Govt Boys High School Sakot,سکوٹ,117010305,-,-,,550,492,"1,042",0,0,0
Total,,,,,,,550,492,"1,042",1,1,2
234,Govt Boys High School Sakot,سکوٹ,117010306,-,-,,514,503,"1,017",0,0,0
Total,,,,,,,514,503,"1,017",1,1,2
235,Govt Girls Elementry School Saintha,سنتھا,117010102,-,-,,336,335,671,0,0,0
Total,,,,,,,336,335,671,1,1,2
236,Govt Boys Primary School Dho Dhill,دودہلی,117010104,-,-,,523,464,987,0,0,0
Total,,,,,,,523,464,987,1,1,2
"ممیام",117010107,-,-,,233,249,482,0,0,0,,
Total,,,,,,,800,756,"1,556",2,2,4
238,Govt Boys Primary School Sultan Khail,کنڈیاری,117010105,-,-,,261,242,503,0,0,0
"",,کنڈیاری,117010109,-,-,,214,180,394,0,0,0
Total,,,,,,,475,422,897,1,1,2
239,Govt Boys High School Bagh Jamiri,ممیال,117010106,-,-,,665,633,"1,298",0,0,0
Total,,,,,,,665,633,"1,298",1,1,2
240,"Govt.G.H School Nala Muslimna (Janubi)A.",نلہ مسلماناں,117010205,-,-,,216,165,381,0,0,0
Total,,,,,,,216,165,381,1,1,2
241,"Govt.G.H School Nala Muslimna (Janubi )B",نلہ مسلماناں,117010206,-,-,,846,761,"1,607",0,0,0
Total,,,,,,,846,761,"1,607",2,2,4
242,Govt Boys High School Pind Bahinsu,پنڈ بھینسو,117010207,-,-,,714,683,"1,397",0,0,0
Total,,,,,,,714,683,"1,397",2,1,3
243,Govt BoysHigh School Pind Bahinsu,پنڈ بھینسو,117010208,-,-,,850,825,"1,675",0,0,0
Total,,,,,,,850,825,"1,675",2,2,4
"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated",,No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"Govt Girls  Primary School  Kot Syedan(Male) (P)",-,-,سکھو روڈ وارڈ 14,121090101,,426,0,426,0,0,0
"",,-,-,سکھو روڈ وارڈ 14,121090102,,396,0,396,0,0,0
"",,-,-,صندل روڈ وارڈ 14,121090103,,409,0,409,0,0,0
Total,,,,,,,"1,231",0,"1,231",2,0,2
2,"Govt Girls  Primary School  Kot Syedan(Male) (P)",-,-,"صندل روڈ وارڈ  ،14ڈھوک حیات علی",121090104,,173,0,173,0,0,0
"",,-,-,"صندل روڈ وارڈ  ،14گوجرخان",121090201,,432,0,432,0,0,0
"",,-,-,"صندل روڈ وارڈ  ،14گوجرخان",121090202,,482,0,482,0,0,0
Total,,,,,,,"1,087",0,"1,087",2,0,2
3,"Shah  Zain School Sukhoo  Road DhokeHayat Ali (Female) (P)",-,-,سکھو روڈ وارڈ 14,121090101,,0,362,362,0,0,0
"",,-,-,سکھو روڈ وارڈ 14,121090102,,0,347,347,0,0,0
"",,-,-,صندل روڈ وارڈ 14,121090103,,0,369,369,0,0,0
Total,,,,,,,0,"1,078","1,078",0,2,2
4,"Shah  Zain School Sukhoo  Road DhokeHayat Ali (Female) (P)",-,-,"صندل روڈ وارڈ  ،14گوجرخان",121090201,,0,370,370,0,0,0
"",,-,-,"صندل روڈ وارڈ  ،14گوجرخان",121090202,,0,420,420,0,0,0
Total,,,,,,,0,949,949,0,2,2
5,"Govt   Primary School  Koroli (Combined)(P)",-,-,"کڑولی، وارڈ،16 شاہزمان",121100301,,665,641,"1,306",0,0,0
Total,,,,,,,665,641,"1,306",1,1,2
6,"Govt   Qadria High School Gujar Khan(Male) (P)",-,-,پرانا گلیانا روڈ، وارڈ9,121100202,,195,0,195,0,0,0
"",,-,-,"محلہ راجگان، ڈھوکمیر باز وارڈ9",121100203,,669,0,669,0,0,0
"",,-,-,محلہ راجگان،  وارڈ9,121100204,,176,0,176,0,0,0
Total,,,,,,,"1,040",0,"1,040",2,0,2
7,"Govt   Qadria High School Gujar Khan(Male) (P)",-,-,"محلہ بابو گلاب وارڈ،1 گوجرخان",121090203,,295,0,295,0,0,0
"",,-,-,"محلہ بابو گلاب وارڈ،1 گوجرخان",121090204,,536,0,536,0,0,0
Total,,,,,,,831,0,831,2,0,2
8,"Govt   Qadria High School Gujar Khan(Male) (P)",-,-,"محلہ خواجگان، وارڈ،1 گوجرخان،",121090301,,421,0,421,0,0,0
"",,-,-,"محلہ خواجگان، وارڈ،1 گوجرخان،",121090302,,206,0,206,0,0,0
"",,-,-,"سبزی منڈی، وارڈ 1گوجرخان",121090303,,51,0,51,0,0,0
"",,-,-,"وارڈ نمبر1،8 سکھوروڈ",121090304,,24,0,24,0,0,0
"",,-,-,"محلہ بابو گلاب وارڈ،1 گوجرخان",121090305,,211,0,211,0,0,0
Total,,,,,,,913,0,913,2,0,2
9,"Govt   Girls  School Chirstian Colony(Female) (P)",-,-,"محلہ بابو گلاب وارڈ،1 گوجرخان",121090203,,0,252,252,0,0,0
"",,-,-,"محلہ بابو گلاب وارڈ،1 گوجرخان",121090204,,0,483,483,0,0,0
Total,,,,,,,0,735,735,0,2,2
10,"Govt   Girls  School Chirstian Colony(Female) (P)",-,-,"محلہ خواجگان، وارڈ،1 گوجرخان،",121090301,,0,439,439,0,0,0
"",,-,-,"محلہ خواجگان، وارڈ،1 گوجرخان،",121090302,,0,175,175,0,0,0
"",,-,-,"سبزی منڈی، وارڈ 1گوجرخان",121090303,,0,38,38,0,0,0
"",,-,-,"وارڈ نمبر1،8 سکھوروڈ",121090304,,0,19,19,0,0,0
"",,-,-,"محلہ بابو گلاب وارڈ،1 گوجرخان",121090305,,0,214,214,0,0,0
Total,,,,,,,0,885,885,0,2,2
11,"Govt   Girls Primary School Near PoliceStation   (Female) (P)",-,-,"محلہ راجگان، ڈھوکمیر باز وارڈ9",121100203,,0,644,644,0,0,0
"",,-,-,محلہ راجگان،  وارڈ9,121100204,,0,177,177,0,0,0
Total,,,,,,,0,"1,052","1,052",0,2,2
12,"Govt   MC Boys High  School Gujar Khan(Male) (P)",-,-,"محلہ حافظ آباد، محلہکیانی آباد، وارڈ 5",121090401,,395,0,395,0,0,0
"",,-,-,"محلہ حافظ آباد، گلیشیخ نور دین، وارڈ 5",121090402,,326,0,326,0,0,0
"",,-,-,"محلہ حافظ آباد، وارڈ  5نزد انکم ٹیکس دفتر ،مسلم سکول گراونڈ",121090403,,565,0,565,0,0,0
Total,,,,,,,"1,286",0,"1,286",2,0,2
13,"Govt   MC Boys High  School Gujar Khan(Male) (P)",-,-,"محلہ حافظ آباد، وارڈ  5محلہ تکیہ رحیم شاہ",121090404,,259,0,259,0,0,0
"",,-,-,"محلہ تکیہ رحیم شاہ ،محلہ زمان ہاؤس،",121090405,,794,0,794,0,0,0
Total,,,,,,,"1,053",0,"1,053",2,0,2
14,"Govt   MC Boys High  School Gujar Khan(Female) (P)",-,-,"محلہ حافظ آباد، محلہکیانی آباد، وارڈ 5",121090401,,0,377,772,0,0,0
"",,-,-,"محلہ حافظ آباد، گلیشیخ نور دین، وارڈ 5",121090402,,0,298,624,0,0,0
"",,-,-,"محلہ حافظ آباد، وارڈ  5نزد انکم ٹیکس دفتر ،مسلم سکول گراونڈ",121090403,,0,471,"1,036",0,0,0
Total,,,,,,,0,"1,146","2,432",0,2,2
15,"Govt   MC Boys High  School Gujar Khan(Female) (P)",-,-,"محلہ حافظ آباد، وارڈ  5محلہ تکیہ رحیم شاہ",121090404,,0,215,215,0,0,0
"",,-,-,"محلہ تکیہ رحیم شاہ ،محلہ زمان ہاؤس،",121090405,,0,736,736,0,0,0
Total,,,,,,,0,951,951,0,2,2
16,"Govt   Islamia High  School Gujar Khan(Male) (P)",-,-,"ریلوے روڈ، ریلوےکالونی ہاؤسنگ سکیم 1",121090501,,409,0,409,0,0,0
"",,-,-,"ریلوےہاؤسنگ سکیم،1 گوجرخان",121090502,,428,0,428,0,0,0
"",,-,-,"محلہ عیدگاہ وارڈنمبر20،18",121090503,,445,0,445,0,0,0
Total,,,,,,,"1,282",0,"1,282",2,0,2
17,"Govt   Islamia High  School Gujar Khan(Male) (P)",-,-,"بڑکی جدید، وارڈ ،2کھیتر",121090504,,445,0,445,0,0,0
"-",-,"بڑکی جدید، وارڈنمبر،2 تکیہ بابا رحیمشاہ",121090505,,518,0,518,0,0,0,,
18,"Govt   T.T.C  School Gujar Khan(Female) (P)",-,-,"ریلوے روڈ، ریلوےکالونی ہاؤسنگ سکیم 1",121090501,,0,360,360,0,0,0
"",,-,-,"ریلوےہاؤسنگ سکیم،1 گوجرخان",121090502,,0,452,452,0,0,0
"",,-,-,"محلہ عیدگاہ وارڈنمبر20،18",121090503,,0,427,427,0,0,0
Total,,,,,,,0,"1,239","1,239",0,2,2
19,"Govt   T.T.C  School Gujar Khan(Female) (P)",-,-,"بڑکی جدید، وارڈ ،2کھیتر",121090504,,0,452,897,0,0,0
"",,-,-,"بڑکی جدید، وارڈنمبر،2 تکیہ بابا رحیمشاہ",121090505,,0,468,986,0,0,0
Total,,,,,,,0,920,"1,883",0,2,2
20,"Govt Boys  Sarwar Shaheed CollegeGujar Khan   (Male) (P)",-,-,"وارڈ نمبر،12 بڑکیبدھال، ڈھوک گاڑ",121090601,,206,0,206,0,0,0
"",,-,-,"وارڈ نمبر،12 بڑکیبدھال",121090602,,488,0,488,0,0,0
"",,-,-,"وارڈ نمبر،12 بڑکیبدھال",121090603,,384,0,384,0,0,0
Total,,,,,,,"1,078",0,"1,078",2,0,2
21,"Govt Boys  Sarwar Shaheed CollegeGujar Khan   (Male) (P)",-,-,"وارڈ نمبر،12 بڑکیبدھال، ڈھوک کشمیریاں",121090604,,361,0,361,0,0,0
"",,-,-,"وارڈ نمبر،12 بڑکیبدھال، ڈھوک کشمیریاں",121090605,,311,0,311,0,0,0
Total,,,,,,,672,0,672,1,0,1
22,"Govt   Girls Elementary  School BurkiBudhal   (Female) (P)",-,-,"وارڈ نمبر،12 بڑکیبدھال، ڈھوک گاڑ",121090601,,0,166,166,0,0,0
"",,-,-,"وارڈ نمبر،12 بڑکیبدھال",121090602,,0,490,490,0,0,0
"",,-,-,"وارڈ نمبر،12 بڑکیبدھال",121090603,,0,309,309,0,0,0
"",,-,-,"وارڈ نمبر،12 بڑکیبدھال، ڈھوک کشمیریاں",121090604,,0,343,343,0,0,0
"",,-,-,"وارڈ نمبر،12 بڑکیبدھال، ڈھوک کشمیریاں",121090605,,0,264,264,0,0,0
Total,,,,,,,0,"1,572","1,572",0,3,3
"-",-,"وارڈ 3 اور22 نئیآبادی، بڑکی جدید",121090701,,0,255,255,0,0,0,,
"-",-,"وارڈ     18،3،22گوجرخان",121090702,,0,761,761,0,0,0,,
"",,-,-,وارڈ 3 محلہ شاہین آباد,121090704,,0,169,169,0,0,0
Total,,,,,,,0,"1,508","1,508",0,3,3
24,"Govt   Primary School Housing SchemeNo 1  Gujar Khan   (Male) (P)",-,-,"وارڈ 3 اور22 نئیآبادی، بڑکی جدید",121090701,,303,0,303,0,0,0
"",,-,-,"وارڈ     18،3،22گوجرخان",121090702,,784,0,784,0,0,0
"",,-,-,وارڈ 3 محلہ انوار مدینہ,121090703,,355,0,355,0,0,0
"",,-,-,وارڈ 3 محلہ شاہین آباد,121090704,,188,0,188,0,0,0
Total,,,,,,,"1,630",0,"1,630",3,0,3
25,"Govt  Girls College  Gujar Khan   (Male)(P)",-,-,"محلہ شاہین آباد، بڑکیجدید، گوجرخان",121090801,,337,0,337,0,0,0
"",,-,-,"وارڈ 3 انوار مدینہمسجد، بڑکی جدید ،گوجرخان",121090802,,353,0,353,0,0,0
"",,-,-,"وارڈ 3  مدنی محلہاقبال نگر، گوجرخان",121090803,,475,0,475,0,0,0
"",,-,-,"ریلوے سٹیشن وارڑ  ،3گوجرخان",121090804,,320,0,320,0,0,0
Total,,,,,,,"1,485",0,"1,485",3,0,3
26,"Govt   Girls High School Housing SchemeNo 1  Gujar Khan   (Female) (P)",-,-,"محلہ شاہین آباد، بڑکیجدید، گوجرخان",121090801,,0,300,300,0,0,0
"",,-,-,"وارڈ 3 انوار مدینہمسجد، بڑکی جدید ،گوجرخان",121090802,,0,334,334,0,0,0
"",,-,-,"وارڈ 3  مدنی محلہاقبال نگر، گوجرخان",121090803,,0,442,442,0,0,0
"",,-,-,"ریلوے سٹیشن وارڑ  ،3گوجرخان",121090804,,0,253,253,0,0,0
Total,,,,,,,0,"1,329","1,329",0,2,2
27,"Govt  Girls College  Gujar Khan   (Male)(P)",-,-,سول ہسپتال، وارڈ 4,121100801,,290,0,290,0,0,0
"",,-,-,"سول کلب، برف خانہ ،جی ٹی روڈ",121100802,,529,0,529,0,0,0
"",,-,-,"وارڈ نمبر15 محلہراجہ کرم خان",121100803,,361,0,361,0,0,0
Total,,,,,,,"1,180",0,"1,180",2,0,2
"-",-,سول ہسپتال، وارڈ 4,121100801,,0,264,264,0,0,0,,
"-",-,"سول کلب، برف خانہ ،جی ٹی روڈ",121100802,,0,527,527,0,0,0,,
"-",-,"وارڈ نمبر15 محلہراجہ کرم خان",121100803,,0,339,339,0,0,0,,
"",,-,-,"محلہ رحمان آباد، محلہچوہان مغل آباد ،وارڈ15",121100906,,0,180,180,0,0,0
Total,,,,,,,0,"1,454","1,454",0,3,3
29,"Govt   Primary School Rachna ward No 15Gujar Khan   (Male) (P)",-,-,"جھنڈہ، وارڈ ،27 نئیآبادی",121100901,,553,0,553,0,0,0
Total,,,,,,,553,0,553,1,0,1
30,"Govt   Primary School Rachna ward No 15Gujar Khan   (Male) (P)",-,-,"جھنڈہ، وارڈ ،27 نئیآبادی",121100902,,754,0,754,0,0,0
"",,-,-,"جھنڈہ، وارڈ ،27 نئیآبادی، پٹھان آبادی",121100903,,493,0,493,0,0,0
Total,,,,,,,"1,247",0,"1,247",2,0,2
31,"Govt  Girls High School Jhanda GujarKhan   (Female) (P)",-,-,"جھنڈہ، وارڈ ،27 نئیآبادی",121100901,,0,446,446,0,0,0
"",,-,-,"جھنڈہ، وارڈ ،27 نئیآبادی",121100902,,0,676,676,0,0,0
Total,,,,,,,0,"1,122","1,122",0,2,2
32,"Govt  Girls High School Jhanda GujarKhan   (Female) (P)",-,-,"جھنڈہ، وارڈ ،27 نئیآبادی، پٹھان آبادی",121100903,,0,390,390,0,0,0
"",,-,-,جھنڈہ,121100804,,0,383,383,0,0,0
"",,-,-,جھنڈہ، وارڈ 27,121100805,,0,257,257,0,0,0
Total,,,,,,,0,"1,030","1,030",0,2,2
33,"Govt  Primary School Jhanda Gujar Khan(Male) (P)",-,-,جھنڈہ,121100804,,412,0,412,0,0,0
"",,-,-,جھنڈہ، وارڈ 27,121100805,,279,0,279,0,0,0
"",,-,-,"جنڈی موڑ، محلہرحمان آباد، مغل آباد",121100905,,159,0,159,0,0,0
"",,-,-,"محلہ رحمان آباد، محلہچوہان مغل آباد ،وارڈ15",121100906,,188,0,188,0,0,0
Total,,,,,,,"1,038",0,"1,038",2,0,2
34,"Govt Boys Primary School Nagial GujarKhan   (Male) (P)",-,-,ڈھوک چوہان نجار,121100904,,"1,269",0,"1,269",0,0,0
Total,,,,,,,"1,269",0,"1,269",2,0,2
35,"Govt Girls Primary School Nagial GujarKhan   (Female) (P)",-,-,ڈھوک چوہان نجار,121100904,,0,"1,156","1,156",0,0,0
Total,,,,,,,0,"1,156","1,156",0,2,2
36,"Muncipal (MC) Junior Public School  GujarKhan   (Male) (P)",-,-,ڈھوک شاہ زمان، وارڈ8,121100302,,744,0,744,0,0,0
"",,-,-,"مسلم ٹاؤن، ڈھوکوادی، وارڈ7",121100303,,262,0,262,0,0,0
Total,,,,,,,"1,006",0,"1,006",2,0,2
37,"Muncipal (MC) Junior Public School  GujarKhan   (Male) (P)",-,-,"نئی آبادی، مسلم ٹاؤن ،وارڈ8",121100304,,411,0,411,0,0,0
"-",-,ڈھوک وادی، وارڈ19,121100305,,319,0,319,0,0,0,,
"",Sheikh  Talib   Gujar Khan   (Female) (P),-,-,"مسلم ٹاؤن، ڈھوکوادی، وارڈ7",121100303,,0,225,225,0,0,0
Total,,,,,,,730,881,"1,611",2,2,4
39,"Govt  Primary School No 2  Qubrian  BabaSheikh  Talib   Gujar Khan   (Female) (P)",-,-,"نئی آبادی، مسلم ٹاؤن ،وارڈ8",121100304,,0,356,356,0,0,0
"",,-,-,ڈھوک وادی، وارڈ19,121100305,,0,272,272,0,0,0
Total,,,,,,,0,628,628,0,1,1
40,"TMA  Muncipal Com. Office   Gujar Khan(Male) (P)",-,-,"وارڈ  11،8 حیاتسرروڈ، گوجرخان",121100502,,"1,173",0,"1,173",0,0,0
Total,,,,,,,"1,173",0,"1,173",2,0,2
41,"TMA  Muncipal Com. Office   Gujar Khan(Male) (P)",-,-,"وارڈ 8 محلہ راجگان ،گوجرخان",121100501,,709,0,709,0,0,0
"",,-,-,"وارڈ  11،8 حلوائیگلی، گوجرخان",121100503,,562,,562,0,0,0
Total,,,,,,,"1,271",0,"1,271",2,0,2
42,"Govt Girls Hostel Halwai Ghali  GujarKhan   (Female) (P)",-,-,"وارڈ  11،8 حیاتسرروڈ، گوجرخان",121100502,,0,612,612,0,0,0
Total,,,,,,,,612,612,0,1,1
43,"Govt Girls Hostel Halwai Ghali  GujarKhan   (Female) (P)",-,-,"وارڈ 8 محلہ راجگان ،گوجرخان",121100501,,0,"1,043","1,043",0,0,0
"",,-,-,"وارڈ  11،8 حلوائیگلی، گوجرخان",121100503,,0,521,521,0,0,0
Total,,,,,,,0,"1,564","1,564",0,3,3
44,"Govt MC Junior  School No 1 Gujar Khan(Male) (P)",-,-,"وارڈ 7 حیاتسر روڈ ،گوجرخان ایم سی",121100601,,416,0,416,0,0,0
"",,-,-,"وارڈ 7 حیاتسر روڈ ،گوجرخان ایم سی",121100602,,524,0,524,0,0,0
Total,,,,,,,940,0,940,2,0,2
45,"Govt MC Junior  School No 1 Gujar Khan(Male) (P)",-,-,"وارڈ 7 حیاتسر روڈ ،گوجرخان ایم سی",121100603,,322,0,322,0,0,0
"",,-,-,"میلاد نگر/ سید محمدوارڈ نمبر7",121100604,,469,0,469,0,0,0
Total,,,,,,,791,0,791,2,0,2
46,"Govt  MC   Girls  High School  Gujar Khan(Female) (P)",-,-,"وارڈ نمبر،7،6 حیاتسرروڈ، گوجرخان",121100504,,0,242,242,0,0,0
"",,-,-,"وارڈ   7،6،5 حیاتسرروڈ، گوجرخان",121100505,,0,332,332,0,0,0
"",,-,-,"وارڈ 7 حیاتسر روڈ ،گوجرخان ایم سی",121100601,,0,371,371,0,0,0
Total,,,,,,,0,945,945,0,2,2
"-",-,"وارڈ 7 حیاتسر روڈ ،گوجرخان ایم سی",121100602,,0,509,509,0,0,0,,
"",,-,-,"میلاد نگر/ سید محمدوارڈ نمبر7",121100604,,0,407,407,0,0,0
Total,,,,,,,0,"1,207","1,207",0,2,2
48,"Office of  Project Manager  Gujar Khan(Male) (P)",-,-,"گلیانہ موڑ، سروسکالونی گرڈ اسٹیشن",121100701,,138,0,138,0,0,0
"",,-,-,"گلیانہ موڑ، سروسکالونی گرڈ اسٹیشن",121100705,,172,0,172,0,0,0
"",,-,-,قائد آباد وارڈ 19,121100702,,671,0,671,0,0,0
"",,-,-,"شمس کالونی، قائد آبادوارڈ 19",121100703,,515,0,515,0,0,0
"",,-,-,"گلیانہ موڑ نزد گرڈاسٹیشن",121100704,,133,0,133,0,0,0
Total,,,,,,,"1,629",0,"1,629",3,0,3
49,"Vocational Center G.T.Road  Gujar Khan(Female) (P)",-,-,"گلیانہ موڑ، سروسکالونی گرڈ اسٹیشن",121100701,,0,188,188,0,0,0
"",,-,-,قائد آباد وارڈ 19,121100702,,0,596,596,0,0,0
"",,-,-,"گلیانہ موڑ، سروسکالونی گرڈ اسٹیشن",121100705,,,96,96,0,0,0
"",,-,-,"شمس کالونی، قائد آبادوارڈ 19",121100703,,0,417,417,0,0,0
"",,-,-,"گلیانہ موڑ نزد گرڈاسٹیشن",121100704,,0,106,106,0,0,0
Total,,,,,,,0,"1,403","1,403",0,3,3
50,"Govt Girls Hostel Halwai Ghali  GujarKhan   (Female) (P)",-,-,وارڈ 7,121100401,,0,0,0,0,0,0
"",,-,-,محلہ راجگان,121100402,,0,315,315,0,0,0
"",,-,-,"وارڈ نمبر،5 حیات سرروڈ",121100403,,0,54,54,0,0,0
"",,-,-,وارڈ 11,121100404,,0,324,324,0,0,0
Total,,,,,,,0,693,693,0,1,1
51,TMA Jinnah Hall Gujar Khan (Male)(P),-,-,وارڈ 7,121100401,,0,0,0,0,0,0
"",,-,-,محلہ راجگان,121100402,,355,0,355,0,0,0
"",,-,-,"وارڈ نمبر،5 حیات سرروڈ",121100403,,59,0,59,0,0,0
"",,-,-,وارڈ 11,121100404,,347,0,347,0,0,0
"",,-,-,"وارڈ نمبر،7،6 حیاتسرروڈ، گوجرخان",121100504,,249,0,249,0,0,0
"",,-,-,"وارڈ   7،6،5 حیاتسرروڈ، گوجرخان",121100505,,402,0,402,0,0,0
Total,,,,,,,1412,,1412,0,0,0
52,"Govt Boys Primary School  Kot Syedan(Male) (P)",-,-,"کوٹ سیداں، وارڈ  16سکھو روڈ",121100101,,358,0,358,0,0,0
"-",-,ڈھوک حیات علی,121100102,,682,0,682,0,0,0,,
53,"Govt Boys Primary School  Kot Syedan(Male) (P)",-,-,"نئی آبادی کوٹ سیداںوارڈ 16",121100103,,234,0,234,0,0,0
"",,-,-,"کوٹ سیداں، ڈھوکحیات علی",121100104,,492,0,492,0,0,0
"",,-,-,"کوٹ سیداں، ڈھوکحیات علی",121100201,,244,0,244,0,0,0
Total,,,,,,,970,0,970,2,0,2
54,"M.C  Junior  Public  School No 2 KotSyedan (Female) (P)",-,-,"کوٹ سیداں، وارڈ  16سکھو روڈ",121100101,,0,326,326,0,0,0
"",,-,-,ڈھوک حیات علی,121100102,,0,575,575,0,0,0
Total,,,,,,,0,901,901,0,2,2
55,"M.C  Junior  Public  School No 2 KotSyedan (Female) (P)",-,-,"نئی آبادی کوٹ سیداںوارڈ 16",121100103,,0,226,226,0,0,0
"",,-,-,"کوٹ سیداں، ڈھوکحیات علی",121100104,,0,501,501,0,0,0
"",,-,-,"کوٹ سیداں، ڈھوکحیات علی",121100201,,0,235,235,0,0,0
Total,,,,,,,0,962,962,0,2,2
56,"Govt. Boys High School, Thathi(combined)(P)",سہر,121021304,-,-,,473,462,935,,,
"",,تھاتھی,121021203,-,-,,428,395,823,,,
Total,,,,,,,901,857,"1,758",2,2,4
57,"Govt. Girls PrimarySchool,Paleena.(combined)(P)",پلہینہ,121021201,-,-,,753,662,"1,415",0,0,0
"",,پلہینہ,121021202,-,-,,144,110,254,0,0,0
Total,,,,,,,897,772,"1,669",2,2,4
58,"Govt. Girls MiddleSchool,Gasroor.(combined)(P)",گسرور,121021104,-,-,,326,319,645,0,0,0
"",,گسرور,121021105,-,-,,405,380,785,0,0,0
Total,,,,,,,731,699,"1,430",2,1,3
59,"Govt. Boys PrimarySchool,Notla.(combined)(P)",چک لاند,121021506,-,-,,29,17,46,0,0,0
"",,بہگام,121021504,-,-,,827,703,"1,530",0,0,0
"",,کمال پور,121021505,-,-,,39,36,75,0,0,0
Total,,,,,,,895,756,"1,651",2,2,4
60,"Govt. Boys PrimarySchool,Mandhal.(combined)(P)",بہگام,121021503,-,-,,634,579,"1,213",0,0,0
Total,,,,,,,634,579,"1,213",1,1,2
61,"Govt. Boys HighSchool,Kanger.(combined)(P)",بہگام,121021502,-,-,,417,363,780,0,0,0
Total,,,,,,,417,363,780,1,1,2
62,"Govt. Boys HighSchool,Kanger.(combined)(P)",بہگام,121021501,-,-,,902,841,"1,743",0,0,0
"",,رکھ بہگام,121021508,-,-,,17,17,34,0,0,0
Total,,,,,,,919,858,"1,777",2,2,4
63,"Govt. Boys Primary School,Khan Pur(combined)(P)",نلہ جنگ,121021305,-,-,,100,67,167,0,0,0
"راہون",121021302,-,-,,48,53,101,0,0,0,,
"خان پور",121021403,-,-,,445,442,887,0,0,0,,
64,"Govt. Boys Primary School,MalootKaswal.(combined)(P)",کوٹیام,121021106,-,-,,113,99,212,0,0,0
"",,ملوٹ پیر محمد,121021402,-,-,,22,16,38,0,0,0
"",,ملوٹ کسوال,121021401,-,-,,233,190,423,0,0,0
"",,ملوٹ پھکڑال,121021404,-,-,,343,329,672,0,0,0
Total,,,,,,,711,634,"1,345",2,1,3
65,"Govt. Girls Primary School, MianaPootha.(combined)(P)",میانہ پوٹھہ,121021301,-,-,,268,238,506,0,0,0
"",,رام پور,121021303,-,-,,101,82,183,0,0,0
"",,ہردو سرکھی,121021507,-,-,,139,116,255,0,0,0
"",,چورکھی,121021306,-,-,,92,65,157,0,0,0
Total,,,,,,,600,501,"1,101",1,1,2
66,"Govt. Boys Higher SecondarySchool,Jabber Pandori.(Male)(P)",بلیام پنڈوری,121021102,-,-,,"1,090",0,"1,090",0,0,0
Total,,,,,,,"1,090",0,"1,090",2,0,2
67,"Govt. Boys Higher SecondarySchool,Jabber Pandori.(Male)(P)",بلیام پنڈوری,121021101,-,-,,349,0,349,0,0,0
"",,بلیام پنڈوری,121021103,-,-,,241,0,241,0,0,0
"",,ہرنوح,121021002,-,-,,177,0,177,0,0,0
Total,,,,,,,767,0,767,2,0,2
68,"Govt. Boys Primary School,JabberPandori.(Female) (P)",بلیام پنڈوری,121021102,-,-,,0,971,"2,061",0,0,0
Total,,,,,,,0,971,"2,061",0,2,2
69,"Govt. Boys Primary School,JabberPandori.(Female) (P)",بلیام پنڈوری,121021101,-,-,,0,324,673,0,0,0
"",,بلیام پنڈوری,121021103,-,-,,0,211,452,0,0,0
"",,ہرنوح,121021002,-,-,,0,152,329,0,0,0
Total,,,,,,,0,687,"1,454",0,1,1
70,"Govt. Girls Primary School,SohawaMirza.(combined)(P)",سوہاوہ مرزا,121021005,-,-,,577,535,"1,112",0,0,0
Total,,,,,,,577,535,"1,112",1,1,2
71,"Govt. Girls Primary School,SohawaMirza.(combined)(P)",سوہاوہ مرزا,121021006,-,-,,314,265,579,0,0,0
"",,سوہاوہ مرزا,121021009,-,-,,220,204,424,0,0,0
Total,,,,,,,534,469,"1,003",1,1,2
72,"Govt. Girls Primary School,MohraBhattian.(combined)(P)",سوہاوہ مرزا,121021007,-,-,,572,550,"1,122",0,0,0
Total,,,,,,,572,550,"1,122",1,1,2
