1,2,3,,4,5,6,,7,,8,9,,10,,11,
17,"Govt Primary School, Bhatta","Farooq Town,",239070506,0,145,145,0,2,2
"","No.04, Bahawalpur (Female)",Balouch Colony,,,,,,,
"",,"Sarwar Abad,",239070507,0,306,306,,,
"",,Labana Chowk,,,,,,,
"",,"Farooq Town,",239070508,0,154,154,,,
"",,Balouch Colony,,,,,,,
"",,"Goth Ghanni,",239070701,0,486,486,,,
"",,Labana Chowk,,,,,,,
"",,,,0,1091,1091,,,
18,Govt Girls Junior Model High,Rehmat Colony,239070503,440,0,440,2,0,2
"","School near Habib Colony,","Rehmat Colony,",239070504,292,0,292,,,
"",Bahawalpur (Male).,Choudhary Town,,,,,,,
"",,,,732,0,732,,,
19,Govt Girls Junior Model High,Rehmat Colony,239070503,0,394,394,0,2,2
"","School near Habib Colony,","Rehmat Colony,",239070504,0,269,269,,,
"",Bahawalpur 1 (Female).,Choudhry Town,,,,,,,
"",,,,0,663,663,,,
20,Office Sub Divisional Officer,Islamnagar,239070702,497,0,497,3,0,3
"",Shahdra Sub Division MEPCO,"Hafeez Abad,",239070703,783,0,783,,,
"",near Railway Phatak Railway,Khanu Wali,,,,,,,
"",Station Samasatta Khanuwali,"Hafeez Abad,",239070704,155,0,155,,,
"",Road (Male).,Khanu Wali,,,,,,,
"",,"Hafeez Abad,",239070705,333,0,333,,,
"",,Khanu Wali,,,,,,,
"",,,,1768,0,1768,,,
21,Markaz Purchase Wheat Store,Islamnagar,239070702,0,414,414,0,3,3
"",Passco Department near Railway,"Hafeez Abad,",239070703,0,635,635,,,
"",Station (Female).,Khanu Wali,,,,,,,
"",,"Hafeez Abad,",239070704,0,122,122,,,
"",,Khanu Wali,,,,,,,
"",,"Hafeez Abad,",239070705,0,276,276,,,
"",,Khanu Wali,,,,,,,
"",,,,0,1447,1447,,,
22,Govt. Middle School Raman,Raman,239060801,834,654,1488,2,2,4
"",(Combined),Nousehra,239060802,684,600,1284,,,
"",,Nousehra,239060805,397,346,743,,,
"",,,,1915,1600,3515,,,
23,Govt. Primary School Goth Gehna,Goth Gehna,239060906,556,486,1042,2,2,4
"",(Combined),Goth Gehna,239080703,248,204,452,,,
"",,Goth Gehna,239080705,268,188,456,,,
"",,,,1072,878,1950,,,
24,"Govt. Primary School, Ghafoor",Khannu Wali,239090904,636,521,1157,2,2,4
"",Abad (Combined),Ghafoor Abad,239090905,175,140,315,,,
"",,Bhinda Dakhli,239090906,46,75,121,,,
"",,Bandrah,,,,,,,
"",,,,857,736,1593,,,
25,"Govt Girls Primary School, Basti",Veeslan,239090901,547,412,959,2,2,4
"","Qadir Abad, (Combined)",Veeslan,239090902,181,156,337,,,
"",,,,728,568,1296,,,
26,Govt. Primary School Samma,Samma Satta,239080706,625,586,1211,2,2,4
"",Satta (Combined),Shouq ul Rabi,239080707,299,153,452,,,
"",,,,924,739,1663,,,
27,Govt. Girls Community Model,Dera Masti,239060901,1591,1339,2930,2,2,4
"",School Dera Masti (Combine),Dera Masti,239060902,966,791,1757,,,
"",,Dera Masti,239060903,103,117,220,,,
"",,Dera Masti,239060904,215,169,384,,,
"",,Dera Masti,239060905,556,486,1042,,,
"",,Agha Pur,239060907,551,461,1012,,,
"",,,,3982,3363,7345,,,
28,"Govt. Boys High School, Fattu",Bakhri,239080701,322,281,603,2,2,4
"",Wali (Combined),Fattu Wali,239080702,880,671,1551,,,
"",,Fattu Wali,239080704,935,741,1676,,,
"",,Zakheera,239090903,367,300,667,,,
"",,Samma Satta,,,,,,,
"",,,,2504,1993,4497,,,
29,"Punjab Forest School, Baghdad",Maqbool Colony,239100501,395,0,395,3,0,3
"",Road (Right Portion) (Male),Maqbool Colony,239100502,310,0,310,,,
"",,Maqbool Colony,239100503,592,0,592,,,
"",,,,1297,0,1297,,,
30,"Punjab Forest School, Baghdad",Maqbool Colony,239100501,0,371,371,0,2,2
"",Road (Left Portion) (Female),Maqbool Colony,239100502,0,259,259,,,
"",,Maqbool Colony,239100503,0,558,558,,,
"",,,,0,1188,1188,,,
31,"Punjab Forest School, Baghdad","Maqbool Colony,",239100504,404,0,404,2,0,2
"",Road (Right Portion) (Male)  88,Gulburg Colony,,,,,,,
"",,Maqbool Colony,239100505,304,0,304,,,
"",,Maqbool Colony,239100506,526,0,526,,,
"",,,,1234,0,1234,,,
32,"Punjab Forest School, Baghdad","Maqbool Colony,",239100504,0,339,339,0,2,2
"",Road (Left Portion) (Female)89,Gulburg Colony,,,,,,,
"",,Maqbool Colony,239100505,0,220,220,,,
"",,Maqbool Colony,239100506,0,399,399,,,
"",,,,0,958,958,,,
33,MC Junior Model Boys School,Kachi Mohajir,239080502,979,0,979,3,0,3
"","Model Town-B, Opposite Jamia",Colony,,,,,,,
"","Masjid, Shahdra, Bahawalpur",Kachi Mohajir,239080504,561,0,561,,,
"",(Male).,"Colony, Shahdra",,,,,,,
"",,Road,,,,,,,
"",,,,1540,0,1540,,,
34,MC Girls Primary School Union,Kachi Mohajir,239080502,0,757,757,0,2,2
"","No.7 Kachi Mohajir Colony,",Colony,,,,,,,
"",Bahawalpur (Female).,Kachi Mohajir,239080504,0,463,463,,,
"",,"Colony, Shahdra",,,,,,,
"",,Road,,,,,,,
"",,,,0,1220,1220,,,
35,Karkhana Zarai Allat Shahdra,Kachi Mohajir,239080505,1086,0,1086,4,0,4
"",Road (East Portion) (Male),"Colony, Shahdra",,,,,,,
"",,Kachi Mohajir,239080506,593,0,593,,,
"",,"Colony, Shahdra",,,,,,,
"",,Kachi Mohajir,239080507,300,0,300,,,
"",,"Colony, Shahdra",,,,,,,
"",,,,1979,0,1979,,,
36,Karkhana Zarai Allat Shahdra,Kachi Mohajir,239080505,0,799,799,0,3,3
"",Road (West Portion) (Female),"Colony, Shahdra",,,,,,,
"",,Kachi Mohajir,239080506,0,457,457,,,
"",,"Colony, Shahdra",,,,,,,
"",,Kachi Mohajir,239080507,0,231,231,,,
"",,"Colony, Shahdra",,,,,,,
"",,Kachi Mohajir,,,,,,,
"",,"Colony, Shahdra",,,,,,,
"",,,,0,1487,1487,,,
37,Shed Karkhana Zarai Allat,Shahdra Link,239080503,170,0,170,2,0,2
"","Shahdra Road, Bahawalpur","Road, Mohajir",,,,,,,
"",(Male).,Colony,,,,,,,
"",,"Mohair Colony,",239080508,781,0,781,,,
"",,Shahdra,,,,,,,
"",,,,951,0,951,,,
38,MC Primary School Basti Bani,Shahdra Link,239080503,0,141,141,0,2,2
"",Gran Kachi Mohajir Colony near,"Road, Mohajir",,,,,,,
"","Gulzar Masjid, Bahawalpur",Colony,,,,,,,
"",(Female).,"Mohair Colony,",239080508,0,563,563,,,
"",,Shahdra,,,,,,,
"",,,,0,704,704,,,
39,"Office Unior Council No.10, Nazir",Basti Chota,239080604,494,0,494,3,0,3
"","Abad Colony, Bahawalpur (Male).",Bindra,,,,,,,
"",,Basti Chota,239080605,196,0,196,,,
"",,Bindra,,,,,,,
"",,Majeed Abad,239080607,431,0,431,,,
"",,Majeed Abad,239080608,394,0,394,,,
"",,Majeed Abad,239080612,323,0,323,,,
"",,,,1838,0,1838,,,
40,"Govt Girls Elementary School,",Basti Chota,239080604,0,387,387,0,3,3
"","Bindra, Bahawalpur (Female)",Bindra,,,,,,,
"",,Basti Chota,239080605,0,139,139,,,
"",,Bindra,,,,,,,
"",,Majeed Abad,239080607,0,372,372,,,
"",,Majeed Abad,239080608,0,327,327,,,
"",,Majeed Abad,239080612,0,281,281,,,
"",,,,0,1506,1506,,,
41,"Office Unior Council No.10, Nazir",Abbasia Town,239090704,131,0,131,2,0,2
"","Abad Colony, Bahawalpur (Male).",Usman Town,239090801,21,0,21,,,
"",108,,,,,,,,
"",,Ashgar Colony,239090802,233,0,233,,,
"",,"Ashar Colony,",239090803,109,0,109,,,
"",,Usman Town,,,,,,,
"",,Abbasia Town,239090804,167,0,167,,,
"",,Abbasia Town,239090805,82,0,82,,,
"",,"Alam Colony,",239090806,282,0,282,,,
"",,Small Industries,,,,,,,
"",,"Alam Colony,",239090807,129,0,129,,,
"",,Small Industries,,,,,,,
