Sr No.,Polling Station Name,In case of Rural Areas,In Case of Urban Area,"S.NO. ofVoterson theelectoralRoll incaseelectoralarea in","No. of Voters Against toPolling stations",No. of Polling Boths,,,,,,
"",,Name of Electoral Area,"Cences  BlockCode","Name of ElectoralArea","Cences  BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
"",,SOONMIANI,228041111,,,,336,219,555,,,
"",,SOONMIANI,228041112,,,,34,27,61,,,
"",,SOONMIANI,228041110,,,,0,0,0,,,
127.Total,,,,,,,689,419,1108,2,1,3
KACHA PARO SHAH KHAS,228041101,,,,278,180,458,,,,,
KACHA PARO SHAH KHAS,228041102,,,,403,252,655,,,,,
"",,CHAK DANWANI,228040901,,,,507,383,890,,,
128.Total,,,,,,,1761,1250,3011,2,2,4
129,"Government Boys PrimarySchool Basti Thath",CHAK DANWANI,228040902,,,,763,550,1313,2,1,3
"",,CHAK DANWANI,228040903,,,,290,197,487,,,
"",,CHAK DANWANI,228040904,,,,585,433,1018,,,
"",,CHAK DANWANI,228040905,,,,450,267,717,,,
129.Total,,,,,,,2088,1447,3535,2,1,3
130,"Government Boys PrimarySchool Khadim HussainPunjabi",KACHA RAZI,228040701,,,,468,365,833,2,2,4
"",,KACHA RAZI,228040702,,,,301,208,509,,,
"",,KACHA RAZI,228040703,,,,433,322,755,,,
130.Total,,,,,,,1202,895,2097,2,2,4
131,"Government Boys PrimarySchool Kacha Razi BastiGul Mohamamd Balachani",KACHA RAZI,228040704,,,,616,0,616,3,0,3
"",,KACHA RAZI,228040705,,,,800,0,800,,,
"",,KACHA RAZI,228040706,,,,601,0,601,,,
131.Total,,,,,,,2017,0,2017,3,0,3
132,"Government Boys PrimarySchool Dars Usman",Kacha Razi,228040704,,,,0,444,444,0,3,3
"",,Kacha Razi,228040705,,,,0,531,531,,,
"",,Kacha Razi,228040706,,,,0,279,279,,,
132.Total,,,,,,,0,1254,1254,0,3,3
133,"Improvised at MaktabSchool Basti NasrullahDhandu",KACHA BAHOOT,228040801,,,,462,284,746,2,1,3
"",,CHAKAR BAHOOT,228040802,,,,552,298,850,,,
"",,CHAKAR BAHOOT,228040803,,,,134,76,210,,,
133.Total,,,,,,,1148,658,1806,2,1,3
134,"Union Council OfficeShahwali",CHARGH SHAH,228040303,,,,217,0,217,2,0,2
"",,SHAH WALI,228040306,,,,702,0,702,,,
"",,SHAH WALI,228040308,,,,608,0,608,,,
134.Total,,,,,,,1527,0,1527,2,0,2
CHARAGH SHAH,228040303,,,,0,120,120,,,,,
135,"School Shah Wali H.HShaikh Khalifa Bin Zaid",SHAH WALI,228040306,,,,0,699,699,0,4,4
"",,SHAH WALI,228040307,,,,0,654,654,,,
"",,SHAH WALI,228040308,,,,0,484,484,,,
135.Total,,,,,,,0,2389,2389,0,4,4
136,"Government Boys HighSchool Shah Wali",SHAH WALI,228040305,,,,563,0,563,2,0,2
"",,SHAH WALI,228040307,,,,758,0,758,,,
136.Total,,,,,,,1321,0,1321,2,0,2
137,"Government Boys PrimarySchool Basti Hafiz NawazChiragh Shah",CHIRAGH SHAH,228040301,,,,416,137,553,1,1,2
"",,CHIRAGH SHAH,228040302,,,,211,124,335,,,
