Sr No.,Polling Station Name,In case of Rural Areas,In Case of Urban Area,"S.NO. ofVoterson theelectoralRoll incaseelectoralarea in","No. of Voters Against toPolling stations",No. of Polling Boths,,,,,,
"",,Name of Electoral Area,"Cences  BlockCode","Name of ElectoralArea","Cences  BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
137.Total,,,,,,,627,261,888,1,1,2
138,"Government Boys PrimarySchool Daira Sarwar",GADANAR,228040101,,,,398,251,649,2,1,3
"",,GADANAR,228040102,,,,642,433,1075,,,
138.Total,,,,,,,1040,684,1724,2,1,3
139,"Government Boys PrimarySchool Center Bara",GADANAR,228040103,,,,307,206,513,2,2,4
"",,GADANAR,228040104,,,,567,241,808,,,
"",,GADANAR,228040105,,,,421,395,816,,,
139.Total,,,,,,,1295,842,2137,2,2,4
140,"Government Boys PrimarySchool Basti Hazoor Bux Jut",PattiSHAH WALI,228040401,,,,777,606,1383,2,2,4
140.Total,,,,,,,777,606,1383,2,2,4
141,"Government Boys PrimarySchool Basti Baloch",Rakh Shah Wali,228040402,,,,636,268,904,1,1,2
"",,Rakh Shah Wali,228040404,,,,92,52,144,,,
141.Total,,,,,,,2282,1532,3814,1,1,2
142,"Government Boys PrimarySchool Bakhat Ali Hudwani",JHONGO THADDI,228040106,,,,694,338,1032,2,1,3
"",,JHONGO THADDI,228040107,,,,65,19,84,,,
142.Total,,,,,,,759,357,1116,2,1,3
143,"Government Boys PrimarySchool Basti Bhoora",CHAK UMRANI,228041001,,,,380,171,551,1,1,2
"",,CHAK UMRANI,228041002,,,,289,97,386,,,
143.Total,,,,,,,669,268,937,1,1,2
144,"Government Boys PrimarySchool Kacha Gadi Basti",GARI SORI,228040201,,,,416,137,553,1,1,2
145,"Government Primary SchoolShahzad Model Farm BastiSher Khan",CHAK SORI,228040601,,,,301,201,502,2,1,3
"",,CHAK SORI,228040602,,,,134,149,283,,,
"",,CHAK SORI,228040603,,,,48,33,81,,,
"",,CHAK SORI,228040604,,,,459,348,807,,,
145.Total,,,,,,,942,731,1673,2,1,3
146,"Government Girls PrimarySchool Baghon wala",HATHYAR,228040605,,,,419,363,782,2,2,4
"",,HATHYAR,228040606,,,,544,433,977,,,
146.Total,,,,,,,963,796,1759,2,2,4
147,"Government Boys HighSchool Mazari Goth",BARA,228040501,,,,428,438,866,1,1,2
"",,BARA,228040503,,,,222,166,388,,,
"",,BARA,228040504,,,,255,75,330,,,
"",,LARINE,228040505,,,,82,16,98,,,
147.Total,,,,,,,987,695,1682,1,1,2
148,"Government Boys PrimarySchool Sher Jan",BARA,228040502,,,,133,170,303,1,1,2
148.Total,,,,,,,133,170,303,1,1,2
149,"Union Council OfficeUzman",OZMAN,230030101,,,,425,353,778,2,1,3
"","Union Council OfficeUzman",CHATRO,230030301,,,,37,9,46,,,
"","Union Council OfficeUzman",NATHAL,230030304,,,,3,3,6,,,
"","Union Council OfficeUzman",OZMAN,230030102,,,,333,286,619,,,
149.Total,,,,,,,798,651,1449,2,1,3
150,"Border Military Police PostShaikh Wala",CHUNGOL,230030302,,,,37,9,46,1,1,2
"","Border Military Police PostShaikh Wala",SHEIKH WALA,230030501,,,,63,22,85,,,
"","Border Military Police PostShaikh Wala",REETY,230030502,,,,0,1,1,,,
150.Total,,,,,,,100,32,132,1,1,2
151,"Border Military Police PostBara",DARAIB SHADMAN,230030303,,,,35,13,48,1,1,2
"","Border Military Police PostBara",BARA Sharqi,230030503,,,,96,25,121,,,
"","Border Military Police PostBara",BARA GharbiI,230030504,,,,64,27,91,,,
151.Total,,,,,,,195,65,260,1,1,2
"Border Military Police PostDilbar",DILBAR,230030201,,,,66,60,126,,,,
"Border Military Police PostDilbar",THOYATI,230030202,,,,70,29,99,,,,
"","Border Military Police PostDilbar",CHOOKH,230030601,,,,17,15,32,,,
"","Border Military Police PostDilbar",MUGHAL,230030602,,,,43,31,74,,,
152.Total,,,,,,,196,135,331,1,1,2
153,"Veternary Hospital KotSabzal",TUMMAN DARISHAK,230030401,,,,207,91,298,1,1,2
153.Total,,,,,,,207,91,298,1,1,2
154,"M. Tariq Shaheed HigherSecandory School Kot",,,Kashmir Colony,227090101,,360,0,360,2,0,2
"","M. Tariq Shaheed HigherSecandory School Kot",,,Mohallah HajRasool Bux,227090102,,160,0,160,,,
"","M. Tariq Shaheed HigherSecandory School Kot",,,Mohallah Khawjgan,227090103,,320,0,320,,,
154.Total,,,,,,,840,0,840,2,0,2
155,"Government Girls HighSchool Middle Portion KotMithan",,,Kashmir Colony,227090101,,0,304,304,0,2,2
"",,,,Mohallah HajRasool Bux,227090102,,0,145,145,,,
"",,,,Mohallah Khawjgan,227090103,,0,292,292,,,
155.Total,,,,,,,0,741,741,0,2,2
156,"Union Council Office KotMithan",,,Mohallah BastiSheikhan,227090104,,397,0,397,3,0,3
"","Union Council Office KotMithan",,,Mohallah Nazik Karim,227090106,,358,0,358,,,
"","Union Council Office KotMithan",,,Mohallah Nazik Karim,227090109,,285,0,285,,,
"","Union Council Office KotMithan",,,Mohallah Nazik Karim,227090110,,344,0,344,,,
156.Total,,,,,,,1384,0,1384,3,0,3
157,"Government Girls HighSchool Middle Portion KotMithan",,,Mohallah BastiSheikhan,227090104,,0,358,358,0,2,2
"",,,,Mohallah Nazik Karim,227090106,,0,334,334,,,
"",,,,Mohallah Nazik Karim,227090109,,0,290,290,,,
"",,,,Mohallah Nazik Karim,227090110,,0,306,306,,,
157.Total,,,,,,,0,1288,1288,0,2,2
"",,Mohallah Akbar Abad,227090105,,374,0,374,,,,,
"",,Mohallah Roshan Mashehdi,227090203,,267,0,267,,,,,
"",,Mohallah Akbar Abad,227090107,,245,0,245,,,,,
"",,Mohallah Akbar Abad,227090108,,193,0,193,,,,,
""
""
"",,,,Mohallah Roshan Mashadi,227090210,,216,0,216,,,
158.Total,,,,,,,1621,0,1621,3,0,3
159,"Government Girls PrimarySchool No.4 Kot Mithan",,,Mohallah Akbar Abad,227090105,,0,334,334,0,3,3
"",,,,Mohallah Roshan Mashehdi,227090203,,0,247,247,,,
"",,,,Mohallah Akbar Abad,227090107,,0,250,250,,,
"",,,,Mohallah Akbar Abad,227090108,,0,175,175,,,
"",,,,Mohallah Roshan Mashehdi,227090209,,0,314,314,,,
"",,,,Mohllah Roshan Mashehdi,227090210,,0,207,207,,,
159.Total,,,,,,,0,1527,1527,0,3,3
160,"M. Tariq Shaheed HigherSecandory School KotMithan",,,Mohallah Fakhar Jahan,227090202,,481,0,481,2,0,2
"",,,,Mohallah Fazil Shah,227090204,,565,0,565,,,
"",,,,Mohallah Fakhar Jahan,227090208,,369,0,369,,,
160.Total,,,,,,,1415,0,1415,2,0,2
161,"Government Girls PrimarySchool No.2 Kot Mithan",,,Mohallah Fakhar Jahan,227090202,,0,389,389,0,2,2
"",,,,Mohallah Fazil Shah,227090204,,0,527,527,,,
"",,,,Mohallah Fakhar Jahan,227090208,,0,375,375,,,
161.Total,,,,,,,0,1291,1291,0,2,2
162,"Government Girls PrimarySchool Miani Malahan",,,Mohallah Farid Abad,227090201,,0,395,395,0,2,2
"",,Mohallah Waseem Abad,227090205,,0,220,220,,,,,
"",,Mohallah Iqbal Abad,227090206,,0,268,268,,,,,
"",,Mohallah farid Abad,227090207,,0,122,122,,,,,
163,"Government Girls PrimarySchool No.3 Kot Mithan",,,Mohallah Farid Abad,227090201,,402,0,402,2,0,2
"",,,,Mohallah Waseem Abad,227090205,,243,0,243,,,
"",,,,Mohallah Iqbal Abad,227090206,,329,0,329,,,
"",,,,Mohallah Farid Abad,227090207,,132,0,132,,,
163.Total,,,,,,,1106,0,1106,2,0,2
164,"Government Boys PrimarySchool Rahim Shah",,,SHAH PUR,227090401,,488,419,907,2,2,4
"",,,,SHAH PUR,227090402,,460,396,856,,,
164.Total,,,,,,,948,815,1763,2,2,4
165,"Government BoysElementary School BastiMohib Ali",,,"BastiMOHIB ALCHAKAWAL",227090501,,397,315,712,2,2,4
"",,,,"BastiMOHIB ALCHAKAWAL",227090502,,407,400,807,,,
165.Total,,,,,,,804,715,1519,2,2,4
166,"Government BoysElementary School MohebAli",Basti Moheb Ali Chak Doom,227060308,,,,166,124,290,2,1,3
"",,Basti Moheb Ali chak Awal,227090503,,,,231,230,461,,,
"",,Basti Moheb Ali Chak Awal,227090504,,,,131,148,279,,,
166.Total,,,,,,,528,502,1030,2,1,3
167,"Government Girls PrimarySchool Miran Maqbool Shah",Basti MOHIB ALCHAK AWAL,227090505,,,,269,230,499,2,1,3
"",,Basti Mohib Ali Chak Awal,227090403,,,,450,426,876,,,
167.Total,,,,,,,719,656,1375,2,1,3
168,"Government Girls PrimarySchool Basti Mohib Ali",KOT MITHAN KACHA,227060401,,,,406,368,774,2,1,3
"",,BET MUGHAL,227060404,,,,174,143,317,,,
168.Total,,,,,,,580,511,1091,2,1,3
169,"Government Girls CollegeKot Mithan",Kot Mithan Paka,227060402,,,,313,262,575,2,1,3
"",,Kot Mithan Paka,227060403,,,,349,286,635,,,
169.Total,,,,,,,662,548,1210,2,1,3
Kotla Hussain Chak Awal,227060408,,,,386,0,386,,,,,
"",School Gano Khani,Kotla Hussain Chak Awal,227060410,,,,411,0,411,,,
"",,Kotla Hussain Chak Awal,227060411,,,,90,0,90,,,
170.Total,,,,,,,1151,0,1151,2,0,2
171,"Government Boys TCFMiani Malahaan",Kotla HUSSAIN CHAK AWAL,227060405,,,,30,0,30,3,0,3
"",,Kotla HUSSAIN CHAK AWAL,227060406,,,,394,0,394,,,
"",,Kotla HUSSAIN CHAK AWAL,227060407,,,,400,0,400,,,
171.Total,,,,,,,824,0,824,3,0,3
172,"Government Girls PrimarySchool No.5 Kot Mithan",Kotla HUSSAIN CHAK AWAL,227060408,,,,0,306,306,0,3,3
"",,Kotla HUSSAIN CHAK AWAL,227060409,,,,0,180,180,,,
"",,Kotla HUSSAIN CHAK AWAL,227060410,,,,0,477,477,,,
"",,Kotla Hussain Chak Awal,227060411,,,,0,74,74,,,
172.Total,,,,,,,0,1037,1037,0,3,3
173,"Government Model PrimarySchool Kotla Hussain",Kotla Hussain chak Awal,227060405,,,,0,23,23,0,2,2
"",,Kotla Hussain chak Aawal,227060406,,,,0,390,390,,,
"",,Kotla Hussain Chak Aawal,227060407,,,,0,347,347,,,
173.Total,,,,,,,0,760,760,0,2,2
174,"Government Boys PrimarySchool Afzal Abad Janobi",Bhag,227060704,,,,228,162,390,2,1,3
"",,Bhag,227060705,,,,754,566,1320,,,
174.Total,,,,,,,982,728,1710,2,1,3
175,"Government Boys PrimarySchool Mud Machi",BHAG,227060701,,,,173,133,306,1,1,2
"",,BHAG,227060702,,,,114,79,193,,,
"",,BHAG,227060703,,,,251,195,446,,,
175.Total,,,,,,,538,407,945,1,1,2
176,"Government Boys PrimarySchool Kotla Gaday Shah",Kotla MIRAN,227060102,,,,454,335,789,1,1,2
"",,Kotla GAIDAY SHAH,227060103,,,,313,205,518,,,
176.Total,,,,,,,767,540,1307,1,1,2
MURGHAI,227060207,,,,507,0,507,,,,,
"",,MURGHAI,227060208,,,,500,0,500,,,
177.Total,,,,,,,1120,0,1120,4,0,4
178,"Government Boys PrimarySchool Jadid Mosyani",Murghai,227060209,,,,254,0,254,2,0,2
"",,Rakh Murghai,227060211,,,,642,0,642,,,
"",,Rakh Murghai,227060212,,,,185,0,185,,,
178.Total,,,,,,,,,,,,
179,"Government Girls HighSchool Murghai",Murghai,227060209,,,,0,203,203,0,2,2
"",,Rakh Murghai,227060211,,,,0,513,513,,,
"",,Rakh Murghai,227060212,,,,0,127,127,,,
179.Total,,,,,,,0,843,843,0,2,2
180,"Government Girls HighSchool Murghai",MURGHAI,227060207,,,,0,419,419,0,3,3
"",,MURGHAI,227060208,,,,0,85,85,,,
"",,MURGHAI,227060210,,,,0,389,389,,,
180.Total,,,,,,,0,893,893,0,3,3
181,"Girls Primary School KotlaMurtaza Shah",Kotla GHULAM MURTAZA SHAH,227060203,,,,275,233,508,2,2,4
"",,Kotla GHULAM MURTAZA SHAH,227060204,,,,256,206,462,,,
"",,ABDULLAH SHAHEED,227060213,,,,180,153,333,,,
181.Total,,,,,,,711,592,1303,2,2,4
182,"Government Model PrimarySchool Kotla Murtaza Shah",Kotla Ghulam Murtaza Shah,227060202,,,,656,583,1239,2,1,3
182.Total,,,,,,,656,583,1239,2,1,3
183,"Government Boys PrimarySchool Kotla Said Khan",Kotla SAID KHAN,227060101,,,,778,572,1350,2,1,3
"",,Kotla IMAM BUX,227060201,,,,50,35,85,,,
183.Total,,,,,,,828,607,1435,2,1,3
184,"Government Boys PrimarySchool Mud Molvi",RAKH MUD MolviI,227060104,,,,551,396,947,2,1,3
"",,MUD MolviI,227060105,,,,68,45,113,,,
184.Total,,,,,,,619,441,1060,2,1,3
185,"Government Boys PrimarySchool Mad Sain dad",MUD GOLA,227060106,,,,110,93,203,2,1,3
RAKH SHAH GHAR,227060205,,,,53,39,92,,,,,
SHAH GHAR,227060206,,,,282,259,541,,,,,
MUD MIRAN,227060506,,,,486,354,840,,,,,
185.Total,,,,,,,931,745,1676,2,1,3
186,"Government Boys PrimarySchool Ghulam Qadir Jataoi",Raqba Khalti Kacha,227060606,,,,35,24,59,2,1,3
"",,Raqba Khalti paka,227060607,,,,52,41,93,,,
"",,Kacha sher Mahar,227060608,,,,47,28,75,,,
"",,Rakh Machka Paka,227060605,,,,135,114,249,,,
186.Total,,,,,,,269,207,476,2,1,3
187,"Government Boys PrimarySchool Machika",RAKH MachiKA KACHA,227060503,,,,162,116,278,2,2,4
"",,MAD SAINDAD,227060601,,,,255,207,462,,,
"",,BANGALA,227060602,,,,110,88,198,,,
"",,RAKH BANGALA,227060603,,,,227,142,369,,,
"",,RAKH MachiKA PACCA,227060604,,,,216,208,424,,,
187.Total,,,,,,,970,761,1731,2,2,4
188,"Government Boys PrimarySchool Basti MuhammadAkram Machika",MachiKA PACCA,227060501,,,,363,272,635,2,1,3
"",,MachiKA PACCA,227060502,,,,148,126,274,,,
"",,Kachi Khan Muhammad,227060504,,,,385,271,656,,,
"",,Kachi Khan Muhammad,227060505,,,,137,120,257,,,
188.Total,,,,,,,1033,789,1822,2,1,3
189,"Government Boys PrimarySchool Kotla NoorMuhammad",Kotla Noor Muhammad,227060801,,,,493,374,867,2,1,3
"",,Kotla Noor Muhammad,227060802,,,,548,412,960,,,
189.Total,,,,,,,1041,786,1827,2,1,3
190,"Government Boys PrimarySchool Miani Jattan",BastiNAZRU,227060903,,,,343,245,588,2,2,4
"",,Basti Digan,227060904,,,,236,162,398,,,
190.Total,,,,,,,579,407,986,2,2,4
191,"Government BoysElementary School KotlaRahim",WING CHAK No.III,227060803,,,,523,460,983,2,1,3
"",,WING CHAK No.iii,227060804,,,,633,414,1047,,,
191.Total,,,,,,,1156,874,2030,2,1,3
192,"Government Boys PrimarySchool Basti Phali",BastiPHAL,227060901,,,,318,249,567,2,1,3
"",,BastiPHALI,227060902,,,,349,296,645,,,
192.Total,,,,,,,667,545,1212,2,1,3
RAKH KOT MITHAN,227060905,,,,313,0,313,,,,,
RAKH KOT MITHAN,227060907,,,,0,0,0,,,,,
RAKH KOT MITHAN,227060908,,,,435,0,435,,,,,
193.Total,,,,,,,917,0,917,4,0,4
194,"Government Girls PrimarySchool Faridiya Kot Mithan",RAKH KOT MITHAN,227060905,,,,0,166,166,0,4,4
"",,RAKH KOT MITHAN,227060907,,,,0,0,0,,,
"",,RAKH KOT MITHAN,227060908,,,,0,230,230,,,
"",,RAKH KOT MITHAN,227060909,,,,0,126,126,,,
194,,,,,,,0,522,522,0,4,4
195,"Government Girls PrimarySchool Bab e Farid KotMithan",,,MC Kot Mithan,227090301,,0,356,356,0,2,2
"",,,,MC Kot Mithan,227090302,,0,34,34,,,
"",,,,MC Kot Mithan,227090303,,0,109,109,,,
"",,,,MC Kot Mithan,227090304,,0,224,224,,,
"",,,,MC Kot Mithan,227090305,,0,382,382,,,
"",,,,MC Kot Mithan,227090306,,0,304,304,,,
195.Total,,,,,,,0,1409,1409,0,2,2
196,"Government Boys PrimarySchool No.3 Kot Mithan",,,MC Kot Mithan,227090301,,156,0,156,2,0,2
"",,MC Kot Mithan,227090302,,84,0,84,,,,,
"",,MC Kot Mithan,227090303,,151,0,151,,,,,
"",,MC Kot Mithan,227090304,,188,0,188,,,,,
"",,MC Kot Mithan,227090305,,699,0,699,,,,,
"",,MC Kot Mithan,227090306,,171,0,171,,,,,
