"",1,2,3,4,5,6,7,8,9,10,11,12,13,
"",,,,,MOHALLAH DOCTOR BASHIR,,,,,,,,
"",,,-,-,,255060103,435,0,435,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH DOCTOR BASHIR,,,,,,,,
"",,,-,-,,255060110,177,0,177,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,1726,0,1726,,,,
"",,,,,Government Boys HIGHER,,,,,,,,
"",,,-,-,,255060102,0,328,328,,,,
"",,,,,SECONDERY SCHOOL LALIAN,,,,,,,,
"",,,,,Government Boys HIGHER,,,,,,,,
"",,,-,-,,255060108,0,478,478,,,,
"",,,,,SECONDERY SCHOOL LALIAN,,,,,,,,
93,111,Government Boys Primary School No.2 Lalian,,,Government Boys HIGHER,,,,,0,3,3,Female
"",,,-,-,,255060109,0,129,129,,,,
"",,,,,SECONDERY SCHOOL LALIAN,,,,,,,,
"",,,,,MOHALLAH DOCTOR BASHIR,,,,,,,,
"",,,-,-,,255060103,0,376,376,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH DOCTOR BASHIR,,,,,,,,
"",,,-,-,,255060110,0,114,114,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,0,1425,1425,,,,
"",,,,,MOHALLAH KOT,,,,,,,,
"",,,-,-,,255060104,695,0,695,,,,
"",,,,,MUHAMMAD YAR LALIAN,,,,,,,,
"",,,,,MOHALLAH KOT,,,,,,,,
"",,,-,-,,255060111,300,0,300,,,,
"",,,,,MUHAMMAD YAR LALIAN,,,,,,,,
93,112,Government Boys Elementary School No.1 Lalian,,,MASTAN WALI MASJID,,,,,3,0,3,Male
"",,,-,-,,255060105,446,0,446,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MASTAN WALI MASJID,,,,,,,,
"",,,-,-,,255060112,233,0,233,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,1674,0,1674,,,,
"",,,,,MOHALLAH KOT,,,,,,,,
"",,,-,-,,255060104,0,686,686,,,,
"",,,,,MUHAMMAD YAR LALIAN,,,,,,,,
"",,,,,MOHALLAH KOT,,,,,,,,
"",,,-,-,,255060111,0,224,224,,,,
"",,,,,MUHAMMAD YAR LALIAN,,,,,,,,
93,113,Government Girls Primary School No.2 Lalian,,,MASTAN WALI MASJID,,,,,0,3,3,Female
"",,,-,-,,255060105,0,444,444,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MASTAN WALI MASJID,,,,,,,,
"",,,-,-,,255060112,0,160,160,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,0,1514,1514,,,,
"",,,,,MOHALLAH AHMADABAD,,,,,,,,
"",,,-,-,,255060106,425,0,425,,,,
"",,,,,LALIAN,,,,,,,,
93,114,Government Girls Primary School Chungi No.4 Lalian,,,MOHALLAH AHMADABAD,,,,,2,0,2,Male
"",,,-,-,,255060113,499,0,499,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,924,0,924,,,,
"",,,,,MOHALLAH AHMADABAD,,,,,,,,
"",,,-,-,,255060106,0,337,337,,,,
"",,,,,LALIAN,,,,,,,,
93,115,Government Girls Primary School No.2 Jadeed Lalian,,,MOHALLAH AHMADABAD,,,,,0,2,2,Female
"",,,-,-,,255060113,0,466,466,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,0,803,803,,,,
"",,,,,MOHALLAH NOOR PURA,,,,,,,,
"",,,-,-,,255060201,726,0,726,,,,
"",,Government Muhammad Hammad Aziz Shaheed Boys Higher Secondary,,,LALIAN,,,,,,,,
93,116,,,,MOHALLAH NOOR PURA,,,,,2,0,2,Male
"",,School Lalian,-,-,,255060208,512,0,512,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,1238,0,1238,,,,
"",,,,,MOHALLAH NOOR PURA,,,,,,,,
"",,,-,-,,255060201,0,579,579,,,,
"",,,,,LALIAN,,,,,,,,
93,117,Government Girls Primary School No.3 Lalian,,,MOHALLAH NOOR PURA,,,,,0,2,2,Female
"",,,-,-,,255060208,0,475,475,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,0,1054,1054,,,,
"",,,,,MOHALLAH PURANI EID GAH,,,,,,,,
"",,,-,-,,255060202,1030,0,1030,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH PURANI EID GAH,,,,,,,,
"",,,-,-,,255060209,436,0,436,,,,
93,118,"Government Boys Elementary School No.4, Lalian",,,LALIAN,,,,,4,0,4,Male
"",,,,,MOHALLAH PURANI EID GAH,,,,,,,,
"",,,-,-,,255060210,586,0,586,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,2052,0,2052,,,,
"",,,,,MOHALLAH PURANI EID GAH,,,,,,,,
"",,,-,-,,255060202,0,795,795,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH PURANI EID GAH,,,,,,,,
"",,,-,-,,255060209,0,405,405,,,,
93,119,Government Boys Elementary School No. 4 Lalian,,,LALIAN,,,,,0,4,4,Female
"",,,,,MOHALLAH PURANI EID GAH,,,,,,,,
"",,,-,-,,255060210,0,450,450,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,0,1650,1650,,,,
"",,,,,MOHALLAH MUSTAFABAD,,,,,,,,
"",,,-,-,,255060203,449,0,449,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH MUSTAFABAD,,,,,,,,
"",,,-,-,,255060211,527,0,527,,,,
"",,,,,LALIAN,,,,,,,,
93,120,Government Girls Elementary School Lalian Primary Section,,,MOHALLAH ABBAS PURA,,,,,4,0,4,Male
"",,,-,-,,255060204,380,0,380,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH ABBAS PURA,,,,,,,,
"",,,-,-,,255060212,573,0,573,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,1929,0,1929,,,,
"",,,,,MOHALLAH MUSTAFABAD,,,,,,,,
"",,,-,-,,255060203,0,387,387,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH MUSTAFABAD,,,,,,,,
"",,,-,-,,255060211,0,480,480,,,,
"",,,,,LALIAN,,,,,,,,
93,121,Government Girls Elementary School Lalian Middle Section,,,MOHALLAH ABBAS PURA,,,,,0,4,4,Female
"",,,-,-,,255060204,0,343,343,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH ABBAS PURA,,,,,,,,
"",,,-,-,,255060212,0,484,484,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,0,1694,1694,,,,
"",,,,,MOHALLAH TARIQABAD,,,,,,,,
"",,,-,-,,255060205,566,0,566,,,,
"",,,,,LALIAN,,,,,,,,
93,122,Special Education Center Lalian,,,MOHALLAH TARIQABAD,,,,,2,0,2,Male
"",,,-,-,,255060213,371,0,371,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,937,0,937,,,,
"",,,,,MOHALLAH JAMIA MASJID,,,,,,,,
"",,,-,-,,255060206,895,0,895,,,,
"",,,,,LALIAN,,,,,,,,
93,123,Special Education Center Lalian,,,MOHALLAH JAMIA MASJID,,,,,2,0,2,Male
"",,,-,-,,255060214,302,0,302,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,1197,0,1197,,,,
"",,,,,MOHALLAH TARIQABAD,,,,,,,,
"",,,-,-,,255060205,0,509,509,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH TARIQABAD,,,,,,,,
"",,,-,-,,255060213,0,283,283,,,,
"",,,,,LALIAN,,,,,,,,
93,124,"Government Boys Primary School No. 3, Lalian",,,MOHALLAH JAMIA MASJID,,,,,0,4,4,Female
"",,,-,-,,255060206,0,785,785,,,,
"",,,,,LALIAN,,,,,,,,
"",,,,,MOHALLAH JAMIA MASJID,,,,,,,,
"",,,-,-,,255060214,0,297,297,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,0,1874,1874,,,,
"",,,,,MAOHALLAH NAE EID GAH,,,,,,,,
"",,,-,-,,255060207,467,395,862,,,,
"",,"Vocational Training Institute For Woman ,  Mohallah New Eid Gah Near",,,LALIAN,,,,,,,,
93,125,,,,MAOHALLAH NAE EID GAH,,,,,2,2,4,Combined
"",,Chungi No. 4,-,-,,255060215,516,391,907,,,,
"",,,,,LALIAN,,,,,,,,
"",,,-,-,,,983,786,1769,,,,
"",,,,,MOHALLAH DARULSADAR,,,,,,,,
"",,,-,-,,255070101,583,0,583,,,,
"",,,,,SHUMALI CHNAB NAGAR,,,,,,,,
93,126,Government Model Primary School Darul Sadar Chenab Nagar,,,MOHALLAH DARULSADAR,,,,,3,0,3,Male
"",,,-,-,,255070107,893,0,893,,,,
"",,,,,SHUMALI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,1476,0,1476,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070103,659,0,659,,,,
93,127,Government Model Primary School Darul Sadar Chenab Nagar,,,SHARQI CHNAB NAGAR,,,,,2,0,2,Male
"",,,-,-,,,659,0,659,,,,
"",,,,,MOHALLAH DARULSADAR,,,,,,,,
"",,,-,-,,255070101,0,422,422,,,,
"",,,,,SHUMALI CHNAB NAGAR,,,,,,,,
93,128,Govt. Nusrat High School Chenab Nagar,,,MOHALLAH DARULSADAR,,,,,0,3,3,Female
"",,,-,-,,255070107,0,1001,1001,,,,
"",,,,,SHUMALI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,0,1423,1423,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070103,0,678,678,,,,
93,129,Govt. Nusrat High School Chenab Nagar,,,SHARQI CHNAB NAGAR,,,,,0,2,2,Female
"",,,-,-,,,0,678,678,,,,
"",,,,,MOHALLAH DARULSADAR,,,,,,,,
"",,,-,-,,255070102,533,0,533,,,,
"",,,,,JUNUBI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULSADAR,,,,,,,,
"",,,-,-,,255070108,192,0,192,,,,
93,130,TI High School  Primery Portion Kacha Bazar  Chenab Nagar,,,JUNUBI CHNAB NAGAR,,,,,3,0,3,Male
"",,,,,MOHALLAH DARULSADAR,,,,,,,,
"",,,-,-,,255070113,937,0,937,,,,
"",,,,,JUNUBI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,1662,0,1662,,,,
"",,,,,FACTORY AREA CHNAB,,,,,,,,
"",,,-,-,,255070106,302,0,302,,,,
"",,,,,NAGAR,,,,,,,,
93,131,TI High School  Primery Portion Kacha Bazar  Chenab Nagar,,,FACTORY AREA CHNAB,,,,,2,0,2,Male
"",,,-,-,,255070112,343,0,343,,,,
"",,,,,NAGAR,,,,,,,,
"",,,-,-,,,645,0,645,,,,
"",,,,,MOHALLAH DARULSADAR,,,,,,,,
"",,,-,-,,255070102,0,372,372,,,,
"",,,,,JUNUBI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULSADAR,,,,,,,,
"",,,-,-,,255070108,0,583,583,,,,
93,132,Govt. Nusrat High School Chenab Nagar,,,JUNUBI CHNAB NAGAR,,,,,0,4,4,Female
"",,,,,MOHALLAH DARULSADAR,,,,,,,,
"",,,-,-,,255070113,0,651,651,,,,
"",,,,,JUNUBI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,0,1606,1606,,,,
"",,,,,FACTORY AREA CHNAB,,,,,,,,
"",,,-,-,,255070106,0,329,329,,,,
"",,,,,NAGAR,,,,,,,,
93,133,Govt. Nusrat High School Chenab Nagar,,,FACTORY AREA CHNAB,,,,,0,2,2,Female
"",,,-,-,,255070112,0,340,340,,,,
"",,,,,NAGAR,,,,,,,,
"",,,-,-,,,0,669,669,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070104,169,0,169,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070110,249,0,249,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070111,321,0,321,,,,
93,134,TI High School Chenab Nagar,,,WASTI CHNAB NAGAR,,,,,3,0,3,Male
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070105,366,0,366,,,,
"",,,,,GHARBI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070109,318,0,318,,,,
"",,,,,GHARBI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,1423,0,1423,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070104,0,164,164,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070110,0,268,268,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070111,0,357,357,,,,
93,135,Govt. Nusrat High School Chenab Nagar,,,WASTI CHNAB NAGAR,,,,,0,3,3,Female
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070105,0,406,406,,,,
"",,,,,GHARBI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULREHMAT,,,,,,,,
"",,,-,-,,255070109,0,309,309,,,,
"",,,,,GHARBI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,0,1504,1504,,,,
"",,,,,MOHALLAH DARULFAZAL,,,,,,,,
"",,,-,-,,255070201,615,0,615,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULFAZAL,,,,,,,,
"",,,-,-,,255070206,444,0,444,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
93,136,TI High School Chenab Nagar,,,MOHALLAH BABULABWAB,,,,,3,0,3,Male
"",,,-,-,,255070202,405,0,405,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH BABULABWAB,,,,,,,,
"",,,-,-,,255070207,102,0,102,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,-,-,,,1566,0,1566,,,,
"",,,,,MOHALLAH DARULFAZAL,,,,,,,,
"",,,-,-,,255070201,0,528,528,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULFAZAL,,,,,,,,
"",,,-,-,,255070206,0,336,336,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
93,137,Municipal Committee Office Chenab Nagar,,,MOHALLAH BABULABWAB,,,,,0,3,3,Female
"",,,-,-,,255070202,0,297,297,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH BABULABWAB,,,,,,,,
"",,,-,-,,255070207,0,156,156,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,-,-,,,0,1317,1317,,,,
"",,,,,MOHALLAH KACHI ABADI,,,,,,,,
"",,,-,-,DARULYAMAN CHNAB,255070203,777,0,777,,,,
"",,,,,NAGAR,,,,,,,,
"",,,,,MOHALLAH KACHI ABADI,,,,,,,,
"",,,-,-,DARULYAMAN CHNAB,255070208,226,0,226,,,,
93,138,TI High School Chenab Nagar,,,NAGAR,,,,,4,0,4,Male
"",,,,,MOHALLAH KACHI ABADI,,,,,,,,
"",,,-,-,DARULYAMAN CHNAB,255070209,330,0,330,,,,
"",,,,,NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULNASAR,,,,,,,,
"",,,-,-,,255070204,516,0,516,,,,
"",,,,,GHARBI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,1849,0,1849,,,,
"",,,,,MOHALLAH KACHI ABADI,,,,,,,,
"",,,-,-,DARULYAMAN CHNAB,255070203,0,887,887,,,,
"",,,,,NAGAR,,,,,,,,
"",,,,,MOHALLAH KACHI ABADI,,,,,,,,
"",,,-,-,DARULYAMAN CHNAB,255070208,0,137,137,,,,
93,139,Government Girls  Elementry School  Darul Yaman Chenab Nagar,,,NAGAR,,,,,0,4,4,Female
"",,,,,MOHALLAH KACHI ABADI,,,,,,,,
"",,,-,-,DARULYAMAN CHNAB,255070209,0,244,244,,,,
"",,,,,NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULNASAR,,,,,,,,
"",,,-,-,,255070204,0,515,515,,,,
"",,,,,GHARBI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,0,1783,1783,,,,
"",,,,,MOHALLAH DARULBARKAT,,,,,,,,
"",,,-,-,,255070205,679,681,1360,,,,
93,140,TI High School Chenab Nagar,,,CHNAB NAGAR,,,,,2,2,4,Combined
"",,,-,-,,,679,681,1360,,,,
"",,,,,MOHALLAH  DARULYAMAN,,,,,,,,
"",,,-,-,,255070301,194,0,194,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH  DARULYAMAN,,,,,,,,
"",,,-,-,,255070314,458,0,458,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
93,141,Government Boys Primary School Darul Yaman Chenab Nagar,,,MOHALLAH  DARULYAMAN,,,,,3,0,3,Male
"",,,-,-,,255070302,427,0,427,,,,
"",,,,,SHARQI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH  DARULYAMAN,,,,,,,,
"",,,-,-,,255070308,381,0,381,,,,
"",,,,,SHARQI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,1460,0,1460,,,,
"",,,,,MOHALLAH  DARULYAMAN,,,,,,,,
"",,,-,-,,255070301,0,200,200,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH  DARULYAMAN,,,,,,,,
"",,,-,-,,255070314,0,439,439,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
93,142,Government Girls Elementary School Darul Yaman Chenab Nagar,,,MOHALLAH  DARULYAMAN,,,,,0,3,3,Female
"",,,-,-,,255070302,0,422,422,,,,
"",,,,,SHARQI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH  DARULYAMAN,,,,,,,,
"",,,-,-,,255070308,0,291,291,,,,
"",,,,,SHARQI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,0,1352,1352,,,,
"",,,,,MUSLIM COLONEY CHNAB,,,,,,,,
"",,,-,-,,255070303,315,0,315,,,,
"",,,,,NAGAR,,,,,,,,
93,143,Government Girls Primary School Darul Nasir,,,MUSLIM COLONEY CHNAB,,,,,2,0,2,Male
"",,,-,-,,255070309,410,0,410,,,,
"",,,,,NAGAR,,,,,,,,
"",,,-,-,,,725,0,725,,,,
"",,,,,MOHALLAH DARULNASAR,,,,,,,,
"",,,-,-,,255070304,771,0,771,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
93,144,Government Girls Primary School Darul Nasir,,,MOHALLAH DARULNASAR,,,,,3,0,3,Male
"",,,-,-,,255070310,691,0,691,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,1462,0,1462,,,,
"",,,,,MUSLIM COLONEY CHNAB,,,,,,,,
"",,,-,-,,255070303,0,294,294,,,,
"",,,,,NAGAR,,,,,,,,
"",,,,,MUSLIM COLONEY CHNAB,,,,,,,,
"",,,-,-,,255070309,0,254,254,,,,
"",,,,,NAGAR,,,,,,,,
93,145,Water Tenkey Muslim Colony Chenab Nagar,,,MOHALLAH DARULNASAR,,,,,0,4,4,Female
"",,,-,-,,255070304,0,671,671,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULNASAR,,,,,,,,
"",,,-,-,,255070310,0,705,705,,,,
"",,,,,WASTI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,0,1924,1924,,,,
"",,,,,CHANI QURESHIAN CHNAB,,,,,,,,
"",,,-,-,,255070305,391,0,391,,,,
"",,,,,NAGAR,,,,,,,,
93,146,Government Boys Primary School CHANI QURESHIAN,,,CHANI QURESHIAN CHNAB,,,,,2,0,2,Male
"",,,-,-,,255070311,721,0,721,,,,
"",,,,,NAGAR,,,,,,,,
"",,,-,-,,,1112,0,1112,,,,
"",,,,,CHANI QURESHIAN CHNAB,,,,,,,,
"",,,-,-,,255070305,0,455,455,,,,
"",,,,,NAGAR,,,,,,,,
93,147,Government Boys Primary School CHANI QURESHIAN,,,CHANI QURESHIAN CHNAB,,,,,0,2,2,Female
"",,,-,-,,255070311,0,482,482,,,,
"",,,,,NAGAR,,,,,,,,
"",,,-,-,,,0,937,937,,,,
"",,,,,MOHALLAH BASHIRABAD,,,,,,,,
"",,,-,-,,255070306,287,0,287,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH BASHIRABAD,,,,,,,,
"",,,-,-,,255070312,739,0,739,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
93,148,Girls High School Fazl-e-Umar Chenab Nagar,,,MOHALLAH DARULNASAR,,,,,3,0,3,Male
"",,,-,-,,255070307,316,0,316,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULNASAR,,,,,,,,
"",,,-,-,,255070313,269,0,269,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,-,-,,,1611,0,1611,,,,
"",,,,,MOHALLAH BASHIRABAD,,,,,,,,
"",,,-,-,,255070306,0,251,251,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH BASHIRABAD,,,,,,,,
"",,,-,-,,255070312,0,665,665,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
93,149,Girls High School Fazl-e-Umar Chenab Nagar,,,MOHALLAH DARULNASAR,,,,,0,4,4,Female
"",,,-,-,,255070307,0,347,347,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLAH DARULNASAR,,,,,,,,
"",,,-,-,,255070313,0,283,283,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,-,-,,,0,1546,1546,,,,
"",,,,,MOHALLAH DARULULOOM,,,,,,,,
"",,,-,-,,255080101,386,380,766,,,,
93,150,TI College Chenab Nagar,,,GHARBI CHNAB NAGAR,,,,,1,1,2,Combined
"",,,-,-,,,386,380,766,,,,
"",,,,,MOHALLAH DARULULOOM,,,,,,,,
"",,,-,-,,255080203,696,721,1417,,,,
93,151,TI College Chenab Nagar,,,GHARBI CHNAB NAGAR,,,,,2,2,4,Combined
"",,,-,-,,,696,721,1417,,,,
"",,,,,MOHALLAH DARULULOOM,,,,,,,,
"",,,-,-,,255080102,363,366,729,,,,
93,152,TI College Chenab Nagar,,,WASTI CHNAB NAGAR,,,,,1,1,2,Combined
"",,,-,-,,,363,366,729,,,,
"",,,,,MOHALLAH DARULULOOM,,,,,,,,
"",,,-,-,,255080103,265,217,482,,,,
"",,,,,SHARQI CHNAB NAGAR,,,,,,,,
93,153,TI College Chenab Nagar,,,MOHALLAH DARULULOOM,,,,,2,2,4,Combined
"",,,-,-,,255080105,634,608,1242,,,,
"",,,,,SHARQI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,899,825,1724,,,,
"",,,,,MOHALLAH DARULULOOM,,,,,,,,
"",,,-,-,,255080104,418,490,908,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
93,154,TI College Chenab Nagar,,,MOHALLAH DARULULOOM,,,,,2,2,4,Combined
"",,,-,-,,255080106,247,157,404,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,-,-,,,665,647,1312,,,,
"",,,,,MOHALLAH CHAMAN ABBAS,,,,,,,,
"",,,-,-,,255080201,576,445,1021,,,,
93,155,Office Excise and Taxation Chenab Nagar,,,CHNAB NAGAR,,,,,1,1,2,Combined
"",,,-,-,,,576,445,1021,,,,
"",,,,,MOHALLAH NASIRABABD,,,,,,,,
"",,,-,-,,255080202,679,751,1430,,,,
"",,,,,GARBI CHNAB NAGAR,,,,,,,,
93,156,TI College Chenab Nagar,,,MOHALLAH NASIRABABD,,,,,2,2,4,Combined
"",,,-,-,,255080207,234,159,393,,,,
"",,,,,GARBI CHNAB NAGAR,,,,,,,,
"",,,-,-,,,913,910,1823,,,,
"",,,,,MOHALLAH NUSRATABAD,,,,,,,,
"",,,-,-,,255080204,540,0,540,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
93,157,Govt. Degree College Chenab Nagar,,,MOHALLAH NUSRATABAD,,,,,2,0,2,Male
"",,,-,-,,255080208,561,0,561,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,-,-,,,1101,0,1101,,,,
"",,,,,MOHALLAH NUSRATABAD,,,,,,,,
"",,,-,-,,255080204,0,587,587,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
93,158,Govt. Degree College Chenab Nagar,,,MOHALLAH NUSRATABAD,,,,,0,2,2,Female
"",,,-,-,,255080208,0,370,370,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,-,-,,,0,957,957,,,,
"",,,,,MOHALLAH BUTULHAMD,,,,,,,,
"",,,-,-,,255080205,326,316,642,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,,,MOHALLHA DARULFTOOH,,,,,,,,
"",,,-,-,,255080206,401,446,847,,,,
93,159,Govt. Degree College Chenab Nagar,,,CHNAB NAGAR,,,,,2,2,4,Combined
"",,,,,MOHALLHA DARULFTOOH,,,,,,,,
"",,,-,-,,255080209,130,118,248,,,,
"",,,,,CHNAB NAGAR,,,,,,,,
"",,,-,-,,,857,880,1737,,,,
"",,,KALARI,255040101,-,-,294,232,526,,,,
96,160,Government Boys High School Kalri,,,,,,,,1,1,2,Combined
"",,,,,-,-,294,232,526,,,,
"",,,KALARI,255040102,-,-,298,312,610,,,,
96,161,Government Boys High School Kalri,KALARI,255040103,-,-,586,433,1019,2,2,4,Combined
"",,,,,-,-,884,745,1629,,,,
"",,,KALARI,255040104,-,-,246,211,457,,,,
"",,,KALARI,255040105,-,-,469,370,839,,,,
96,162,Government Boys High School Kalri,,,,,,,,2,2,4,Combined
"",,,KALARI,255040106,-,-,70,43,113,,,,
"",,,,,-,-,785,624,1409,,,,
"",,,KALARI,255040107,-,-,482,342,824,,,,
96,163,Government Girls High School Kalri,,,,,,,,1,1,2,Combined
"",,,,,-,-,482,342,824,,,,
"",,,KALOKA,255040108,-,-,343,303,646,,,,
96,164,Government Boys Primary School Kaloka,KALOKA,255040109,-,-,489,355,844,2,2,4,Combined
"",,,,,-,-,832,658,1490,,,,
"",,,KULL,255040201,-,-,390,264,654,,,,
96,165,Govt. Government Boys Elementary School  Kull,KULL,255040202,-,-,256,196,452,2,1,3,Combined
"",,,,,-,-,646,460,1106,,,,
"",,,KULL,255040203,-,-,489,369,858,,,,
96,166,Government Model Primary School Thatha Haryan,,,,,,,,1,1,2,Combined
"",,,,,-,-,489,369,858,,,,
"",,,NOOR PUR PIPLE BHUTTA,255040204,-,-,715,556,1271,,,,
96,167,Government Model Primary School Piple Bhutta,,,,,,,,2,1,3,Combined
"",,,,,-,-,715,556,1271,,,,
"",,,NOOR PUR PIPLE BHUTTA,255040205,-,-,613,417,1030,,,,
96,168,Government Model Primary School Noor Pur Piple,NOOR PUR PIPLE BHUTTA,255040206,-,-,283,240,523,2,2,4,Combined
"",,,,,-,-,896,657,1553,,,,
"",,,KOT SULTAN,255040301,-,-,505,354,859,,,,
96,169,Government Boys Primary School Kot Sultan,,,,,,,,1,1,2,Combined
"",,,,,-,-,505,354,859,,,,
"",,,SARDAREY WALA,255040303,-,-,391,236,627,,,,
96,170,Government Girls Primary School SARDAREY WALA,,,,,,,,1,1,2,Combined
"",,,,,-,-,391,236,627,,,,
"",,,THATTA UMRA,255040401,-,-,310,216,526,,,,
96,171,Government Boys Primary School Thatha Umra,,,,,,,,1,1,2,Combined
