"",1,2,3,4,5,6,7,8,9,10,11,12,13,
"",,,BURJ BABAL,255010902,-,-,484,380,864,,,,
93,27,Government Model Primary School Burj Babal,BURJ BABAL,255010912,-,-,417,338,755,2,2,4,Combined
"",,,,,-,-,901,718,1619,,,,
"",,,BURJ BABAL,255010903,-,-,534,0,534,,,,
"",,,BURJ BABAL,255010904,-,-,314,0,314,,,,
93,28,Government Model Primary School Burj Babal,,,,,,,,3,0,3,Male
"",,,BURJ BABAL,255010913,-,-,456,0,456,,,,
"",,,,,-,-,1304,0,1304,,,,
"",,,BURJ BABAL,255010903,-,-,0,326,326,,,,
"",,,BURJ BABAL,255010904,-,-,0,303,303,,,,
93,29,Government Model Primary School Burj Babal,,,,,,,,0,3,3,Female
"",,,BURJ BABAL,255010913,-,-,0,476,476,,,,
"",,,,,-,-,0,1105,1105,,,,
"",,,BURJ BABAL,255010905,-,-,265,240,505,,,,
93,30,Government Model Primary School Burj Babal,,,,,,,,1,1,2,Combined
"",,,,,-,-,265,240,505,,,,
"",,,Dharangar,255010906,-,-,406,275,681,,,,
"",,,Dharangar,255010907,-,-,63,71,134,,,,
93,31,Government Girls Primary School Dharangar,,,,,,,,2,2,4,Combined
"",,,Dharangar,255010908,-,-,350,230,580,,,,
"",,,,,-,-,819,576,1395,,,,
"",,,KOT LALA,255011001,-,-,470,353,823,,,,
93,32,Government Girls Primary School Lal da Kot,,,,,,,,1,1,2,Combined
"",,,,,-,-,470,353,823,,,,
"",,,MADAD ALI,255011002,-,-,721,609,1330,,,,
93,33,Government Girls Primary School Madad Ali,,,,,,,,2,2,4,Combined
"",,,,,-,-,721,609,1330,,,,
"",,,KHAI,255011003,-,-,140,93,233,,,,
"",,,SABOOWALA,255011004,-,-,288,207,495,,,,
93,34,Government Boys Primary School Sabuwala,,,,,,,,2,2,4,Combined
"",,,SABOOWALA,255011005,-,-,501,439,940,,,,
"",,,,,-,-,929,739,1668,,,,
"",,,RURAL LALIAN Ahlay Wala,255011101,-,-,344,271,615,,,,
93,35,Government Girls Primary School Hujra Coloney,RURAL LALIAN Hujra Coloney,255011102,-,-,470,343,813,2,2,4,Combined
"",,,,,-,-,814,614,1428,,,,
"",,,RURAL LALIAN Darbar Muhammad,,,,,,,,,,
"",,,,255011103,-,-,607,0,607,,,,
Saddique93,36,Government Elementary School Darbar Muhammad Siddique,,,,,,,,2,0,2,Male
"",,,RURAL LALIAN Thatha Wariyo,255011104,-,-,562,0,562,,,,
"",,,,,-,-,1169,0,1169,,,,
"",,,RURAL LALIAN Darbar Muhammad,,,,,,,,,,
"",,,,255011103,-,-,0,491,491,,,,
