Sr. No.,"No. and name of thePolling Station",In case of Rural Areas,In case of Urban Areas,"Serial No. ofvoters on theElectoral Rolls",Number of Voters,No. of Polling,,,,,,
"",,Name of Electoral Area,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",,Chak No.1 Mehmood Pura,201030211,,,,0,426,426,,,
Total,,,,0,741,741,0,2,2,,,
194,"Govt. Girls M/S ChakNo. 4/GB Bhagwan",Chak No.4/GB Bhagwan Pura,201030301,,,,613,458,1071,2,2,4
"",,Chak No.4/GB Bhagwan Pura,201030302,,,,300,236,536,,,
Total,,,,913,694,1607,2,2,4,,,
195,"Govt. P/S Chak No.4Bhagwan Pura (P)",Chak No.4 Bhagwan Pura,201030303,,,,206,192,398,2,1,3
"",,Chak No.4 Bhagwan Pura,201030310,,,,139,83,222,,,
"",,Chak No.4 Bhagwan Pura,201030304,,,,108,85,193,,,
"",,Chak No.4 Bhagwan Pura,201030311,,,,122,116,238,,,
Total,,,,575,476,1051,2,1,3,,,
196,"Govt. H/S ChakWattowan (Male)",Chak No.638/GB Chak Wattowan,201030305,,,,667,0,667,3,0,3
Chak No.638/GB Chak Wattowan,201030306,,,,489,0,489,,,,,
197,"Govt. H/S ChakWattowan (Female)",Chak No.638/GB Chak Wattowan,201030305,,,,0,547,547,0,2,2
"",,Chak No.638/GB Chak Wattowan,201030306,,,,0,374,374,,,
Total,,,,0,921,921,0,2,2,,,
198,"Govt. H/S ChakWattowan (P)",Chak No.638/GB Chak Wattowan,201030307,,,,265,244,509,2,2,4
"",,Chak No.638/GB Chak Wattowan,201030308,,,,349,316,665,,,
"",,Chak No.638/GB Chak Wattowan,201030309,,,,270,243,513,,,
Total,,,,884,803,1687,2,2,4,,,
199,"Govt. Boys P/S ChakNo. 5/ GB Khurd (P)",Chak No.5/ GB Khurd,201030401,,,,389,358,747,2,1,3
"",,Chak No.5/ GB Khurd,201030408,,,,249,188,437,,,
Total,,,,638,546,1184,2,1,3,,,
200,"Govt. Girls CommunityM/S Chak No. 5/GBKalan (Male)",Chak No.5/GB Kalan,201030402,,,,433,0,433,3,0,3
"",,Chak No.5/GB Kalan,201030403,,,,464,0,464,,,
"",,Chak No.5/GB Kalan,201030404,,,,367,0,367,,,
Total,,,,1264,0,1264,3,0,3,,,
201,"Govt. Girls CommunityM/S Chak No. 5/GBKalan (Female)",Chak No.5/GB Kalan,201030402,,,,0,259,259,0,2,2
"",,Chak No.5/GB Kalan,201030403,,,,0,301,301,,,
"",,Chak No.5/GB Kalan,201030404,,,,0,406,406,,,
Total,,,,0,966,966,0,2,2,,,
202,"Govt. Boys P/S ChakNo. 5/GB Kalan (P)",Chak No.5/GB Kalan,201030405,,,,362,265,627,2,1,3
"",,Chak No.5/GB Kalan,201030406,,,,240,183,423,,,
Total,,,,602,448,1050,2,1,3,,,
203,"Govt. Boys E/S ChakNo. 369/GB Raisan",Chak No. 369/GB Raisan Wala,201030407,,,,386,0,386,2,0,2
"",,Chak No. 369/GB Raisan Wala,201030409,,,,678,0,678,,,
Total,,,,1064,0,1064,2,0,2,,,
204,"Govt. Boys E/S ChakNo. 369/GB Raisan",Chak No. 369/GB Raisan Wala,201030407,,,,0,263,263,0,2,2
"",,Chak No. 369/GB Raisan Wala,201030409,,,,0,614,614,,,
Total,,,,0,877,877,0,2,2,,,
205,"Govt. Boys E/S ChakNo. 6/GB Ram Nagar",Chak No. 6/GB Ram Nagar,201030501,,,,368,311,679,2,1,3
"",,Chak No. 6/GB Ram Nagar,201030502,,,,285,226,511,,,
Total,,,,653,537,1190,2,1,3,,,
206,"Govt. Girls H/S ChakNo.  6/GB Ram Nagar(P)",Chak No. 6/GB Ram Nagar,201030503,,,,610,503,1113,2,2,4
"",,Chak No. 6/GB Ram Nagar,201030504,,,,225,176,401,,,
"",,Chak No. 6/GB Ram Nagar,201030511,,,,11,2,13,,,
Total,,,,846,681,1527,2,2,4,,,
207,"Govt. Girls CommunityM/S Chak No. 7/GBSaini Bar (P)",Chak No.7/GB Saini Bar,201030505,,,,776,640,1416,2,1,3
Total,,,,776,640,1416,2,1,3,,,
208,"Govt. Boys H/S ChakNo. 7/GB Saini Bar (P)",Chak No.7/GB Saini Bar,201030506,,,,490,405,895,2,2,4
Chak No.7/GB Saini Bar,201030507,,,,242,180,422,,,,,
209,"Govt. Boys P/S ChakNo.8/GB Anand Gar",Chak No.8/GB Anand Gar,201030508,,,,327,230,557,2,1,3
"",,Chak No.8/GB Anand Gar,201030512,,,,272,225,497,,,
Total,,,,599,455,1054,2,1,3,,,
210,"Govt. Girls E/S ChakNo. 8/GB Anand Gar",Chak No.8/GB Anand Gar,201030509,,,,407,537,944,2,1,3
"",,Chak No.8/GB Anand Gar,201030510,,,,401,78,479,,,
Total,,,,808,615,1423,2,1,3,,,
211,"Govt. Boys P/S ChakNo. 9/GB Jabbar (P)",Chak No.9/GB Jabbar,201030601,,,,427,372,799,2,2,4
"",,Chak No.9/GB Jabbar,201030602,,,,453,328,781,,,
Total,,,,880,700,1580,2,2,4,,,
212,"Govt. Boys P/S ChakNo. 10/GB Noshaira(P)",Chak No. 10/GB Noshaira,201030603,,,,285,261,546,1,1,2
"",,Chak No. 10/GB Noshaira,201030609,,,,103,73,176,,,
"",,Chak No. 10/GB Noshaira,201030604,,,,263,217,480,,,
Total,,,,651,551,1202,1,1,2,,,
213,"Govt. Girls P/S ChakNo. 10/GB Noshaira(P)",Chak No. 10/GB Noshaira,201030605,,,,696,527,1223,2,1,3
Total,,,,696,527,1223,2,1,3,,,
214,"Govt. Girls P/S ChakNo. 11/GB (P)",Chak No. 11/GB,201030606,,,,444,293,737,2,1,3
"",,Chak No. 11/GB,201030607,,,,305,213,518,,,
Total,,,,749,506,1255,2,1,3,,,
215,"Govt. Boys P/S ChakNo. 14/GB (P)",Chak No. 14/GB,201030608,,,,544,400,944,1,1,2
Total,,,,544,400,944,1,1,2,,,
216,"Govt. Boys E/S ChakNo. 12/GB Garmoola",Chak No. 12/GB Garmoola,201030701,,,,657,0,657,2,0,2
"",,Chak No. 12/GB Garmoola,201030702,,,,440,0,440,,,
Total,,,,1097,0,1097,2,0,2,,,
217,"Govt. Boys E/S ChakNo. 12/GB Garmoola",Chak No. 12/GB Garmoola,201030701,,,,0,510,510,0,2,2
"",,Chak No. 12/GB Garmoola,201030702,,,,0,314,314,,,
Total,,,,0,824,824,0,2,2,,,
218,"Govt. Boys H/S ChakNo. 17/GB Karyal(Male)",Chak No. 17/GB Karyal,201030703,,,,508,0,508,4,0,4
"",,Chak No. 17/GB Karyal,201030707,,,,98,0,98,,,
"",,Chak No. 17/GB Karyal,201030704,,,,305,0,305,,,
"",,Chak No. 17/GB Karyal,201030708,,,,473,0,473,,,
Total,,,,1384,0,1384,4,0,4,,,
219,"Govt. Boys H/S ChakNo. 17/GB Karyal(Female)",Chak No. 17/GB Karyal,201030703,,,,0,440,440,0,3,3
"",,Chak No. 17/GB Karyal,201030707,,,,0,48,48,,,
"",,Chak No. 17/GB Karyal,201030704,,,,0,387,387,,,
"",,Chak No. 17/GB Karyal,201030708,,,,0,269,269,,,
Total,,,,0,1144,1144,0,3,3,,,
220,"Govt. Boys P/S ChakNo. 18/GB (Male)",Chak No. 18/GB,201030705,,,,571,0,571,3,0,3
Chak No. 18/GB,201030706,,,,647,0,647,,,,,
221,"Govt. Boys P/S ChakNo. 18/GB (Female)",Chak No. 18/GB,201030705,,,,0,455,455,0,2,2
"",,Chak No. 18/GB,201030706,,,,0,511,511,,,
Total,,,,0,966,966,0,2,2,,,
222,"Govt. Boys H/S ChakNo. 13/GB Randair",Chak No. 13/GB Randair,201030801,,,,495,0,495,2,0,2
"",,Chak No. 13/GB Randair,201030802,,,,475,0,475,,,
Total,,,,970,0,970,2,0,2,,,
223,"Govt. Boys H/S ChakNo. 13/GB Randair",Chak No. 13/GB Randair,201030801,,,,0,458,458,0,2,2
"",,Chak No. 13/GB Randair,201030802,,,,0,393,393,,,
Total,,,,0,851,851,0,2,2,,,
224,"Govt. Girls E/S ChakNo. 15/GB Samsha",Chak No. 15/GB Samsha,201030803,,,,301,211,512,2,1,3
"",,Chak No. 15/GB Samsha,201030804,,,,344,242,586,,,
Total,,,,645,453,1098,2,1,3,,,
225,"Govt. Boys P/S ChakNo. 16/GB Bado Matta",Chak No. 16/GB Bado Matta,201030805,,,,568,397,965,2,2,4
"",,Chak No. 16/GB Bado Matta,201030806,,,,308,233,541,,,
Total,,,,876,630,1506,2,2,4,,,
226,"Govt. Boys E/S ChakNo. 19/GB (Male)",Chak No. 19/GB,201030901,,,,720,0,720,3,0,3
"",,Chak No. 19/GB,201030902,,,,452,0,452,,,
Total,,,,1172,0,1172,3,0,3,,,
227,"Govt. Boys E/S ChakNo. 19/GB (Female)",Chak No. 19/GB,201030901,,,,0,533,533,0,2,2
"",,Chak No. 19/GB,201030902,,,,0,292,292,,,
Total,,,,0,825,825,0,2,2,,,
228,"Govt. Boys P/S ChakNo. 20/GB (P)",Chak No. 20/GB,201030903,,,,378,295,673,2,2,4
"",,Chak No. 20/GB,201030904,,,,496,343,839,,,
Total,,,,874,638,1512,2,2,4,,,
229,"Govt. Boys E/S ChakNo. 576/GB Panj",Chak No. 576/GB,201070101,,,,387,286,673,2,2,4
"",,Chak No. 576/GB,201070102,,,,588,388,976,,,
Total,,,,975,674,1649,2,2,4,,,
230,"Govt. Boys P/S ChakNo. 576/GB Bhagtaira",Chak No. 576/GB,201070103,,,,488,0,488,2,0,2
"",,Chak No. 576/GB,201070104,,,,535,0,535,,,
Total,,,,1023,0,1023,2,0,2,,,
231,"Govt. Boys P/S ChakNo. 576/GB Bhagtaira",Chak No. 576/GB,201070103,,,,0,373,373,0,2,2
"",,Chak No. 576/GB,201070104,,,,0,389,389,,,
Total,,,,0,762,762,0,2,2,,,
232,"Govt. Boys H/S ChakNo. 575/GBWarburton Ghaon",Chak No. 575/GB Warburton Ghaon,201070105,,,,536,369,905,2,2,4
"",,Chak No. 575/GB Warburton Ghaon,201070106,,,,369,243,612,,,
Total,,,,905,612,1517,2,2,4,,,
233,575/GB Warburton,Chak No. 575/GB Warburton Ghaon,201070108,,,,780,0,780,4,0,4
Chak No. 575/GB Warburton Ghaon,201070109,,,,978,0,978,,,,,
234,"Office Union CouncelChak No.575/GB(Female)",Chak No. 575/GB Warburton Ghaon,201070108,,,,0,592,592,0,3,3
"",,Chak No. 575/GB Warburton Ghaon,201070109,,,,0,660,660,,,
Total,,,,0,1252,1252,0,3,3,,,
235,"Govt. Girls M/S ChakNo. 575/GB",Chak No. 575/GB Warburton Ghaon,201070107,,,,12,8,20,1,1,2
"",,Chak No. 575/GB Warburton Ghaon,201070110,,,,263,169,432,,,
"",,Chak No. 575/GB Warburton Ghaon,201070111,,,,53,38,91,,,
"",,Chak No. 575/GB Warburton Ghaon,201070112,,,,156,129,285,,,
Total,,,,484,344,828,1,1,2,,,
236,"Govt. Boys P/SMustafa Abad",Mustafa Abad,201070201,,,,359,286,645,2,2,4
"",,,201070202,,,,193,148,341,,,
"",,Mustafa Abad,201070203,,,,345,262,607,,,
Total,,,,897,696,1593,2,2,4,,,
237,"Govt. Girls P/SMustafa Abad",Mustafa Abad,201070204,,,,430,334,764,2,1,3
"",,Mustafa Abad,201070205,,,,387,262,649,,,
Total,,,,817,596,1413,2,1,3,,,
238,"Govt. Boys E/SChandi Kot/Kot Shah",Kot Shah Muhammad,201070206,,,,104,131,235,2,2,4
"",,,201070207,,,,793,558,1351,,,
Total,,,,897,689,1586,2,2,4,,,
239,"Govt. Boys P/S KotHussain Pur Chatha",Kot Hussain Pur Chatha,201070208,,,,381,346,727,1,1,2
Total,,,,381,346,727,1,1,2,,,
240,"Govt. Boys P/S TashPur",Tash Pur,201070504,,,,292,222,514,2,1,3
"",,Tibbi Karyali,201070301,,,,250,172,422,,,
Total,,,,542,394,936,2,1,3,,,
241,"Govt. Boys P/S ChakNo. 590/GB AhataKhushi Ram","Chak No. 590/GB Ahata KhushiRam",201070302,,,,494,395,889,1,1,2
Total,,,,494,395,889,1,1,2,,,
242,"Govt. Girls E/S ChakNo.577/GB Doctor",Chak No.577/GB Doctor Wala,201070303,,,,388,249,637,2,1,3
"",,,201070310,,,,314,207,521,,,
Total,,,,702,456,1158,2,1,3,,,
243,"Govt. Boys P/SJaslani  (Male)",Jaslani,201070304,,,,785,0,785,2,0,2
"",,,201070305,,,,153,0,153,,,
Total,,,,938,0,938,2,0,2,,,
244,"Govt. Boys P/SJaslani  (Female)",Jaslani,201070304,,,,0,664,664,0,2,2
"",201070305,,,,0,201,201,,,,,
245,"Govt. Boys P/SJaslani  (Male)",Jaslani,201070306,,,,293,0,293,3,0,3
"",,Jaslani,201070307,,,,220,0,220,,,
"",,Jaslani,201070308,,,,417,0,417,,,
"",,Jaslani,201070309,,,,331,0,331,,,
Total,,,,1261,0,1261,3,0,3,,,
246,"Govt. Boys P/SJaslani  (Female)",Jaslani,201070306,,,,0,225,225,0,2,2
"",,Jaslani,201070307,,,,0,161,161,,,
"",,Jaslani,201070308,,,,0,280,280,,,
"",,Jaslani,201070309,,,,0,252,252,,,
Total,,,,0,918,918,0,2,2,,,
247,Govt. Boys P/S Jaisal,Marhi,201070401,,,,69,56,125,1,1,2
"",,Jaisal,201070402,,,,334,254,588,,,
Total,,,,403,310,713,1,1,2,,,
248,Govt. Boys M/S Harya,Khyare Khurd,201070404,,,,33,20,53,1,1,2
"",,Harya,201070405,,,,292,218,510,,,
"",,Mahle Wala,201070605,,,,104,78,182,,,
"",,Shah Pur,201070406,,,,0,0,0,,,
Total,,,,429,316,745,1,1,2,,,
249,"Govt. Boys P/STakhtoo Wala",Takhtoo Wala,201070501,,,,305,248,553,1,1,2
"",,Mat Kalyan,201070503,,,,130,122,252,,,
Total,,,,435,370,805,1,1,2,,,
250,"Govt. Boys P/SAzeem Wala",Azeem Wala,201070502,,,,235,164,399,1,1,2
"",,Bhgoti,201070603,,,,58,27,85,,,
Total,,,,293,191,484,1,1,2,,,
251,"Govt. Boys M/S FatehDarya",Fateh Darya,201070601,,,,457,333,790,2,2,4
"",,Alian Wala,201070604,,,,128,100,228,,,
"",,Admal,201070403,,,,20,9,29,,,
"",,Suror,201070602,,,,338,208,546,,,
Total,,,,943,650,1593,2,2,4,,,
252,Govt. Boys P/S Mundi,Mundi,201070701,,,,155,125,280,2,2,4
"",,Mundi,201070702,,,,291,183,474,,,
"",,Mundi,201070703,,,,322,209,531,,,
Total,,,,768,517,1285,2,2,4,,,
253,Govt. Boys P/S Dafar,Dafar,201070704,,,,204,148,352,1,1,2
"",,Dafar,201070705,,,,119,69,188,,,
Total,,,,323,217,540,1,1,2,,,
254,"Govt. Boys P/S ChahWaris",Ali Pur Khokharan,201070801,,,,366,251,617,1,1,2
Total,,,,366,251,617,1,1,2,,,
255,"Govt. Boys P/SJohadke",Johadke,201070804,,,,465,283,748,2,1,3
Johadke,201070805,,,,159,69,228,,,,,
"",256,"Govt. Boys P/SChaura Diwan",Chaura Singh,201070802,,,,151,76,227,2,1,3
"",,,Chaura Diwan,201070803,,,,451,263,714,,,
"",Total,,,,602,339,941,2,1,3,,,
"",257,"Govt. Boys H/S MiranPur",Miran Pur,201070901,,,,505,396,901,2,1,3
"",,,Miran Pur,201070902,,,,235,177,412,,,
"",Total,,,,740,573,1313,2,1,3,,,
"",258,Govt. P/S Jungar Lal Wala,Jungar Lal Wala,201070903,,,,319,243,562,1,1,2
"",Total,,,,319,243,562,1,1,2,,,
"",259,"Govt. Boys P/SGhohna Tibba",Malook,201070904,,,,219,153,372,2,1,3
"",,,Mughal Kot,201070905,,,,209,121,330,,,
"",,,Ghohna Tibba,201070906,,,,241,126,367,,,
"",Total,,,,669,400,1069,2,1,3,,,
"",260,"Govt. Boys H/SWarburton City (Male)",,,Muslim Gunge Warburton,201120101,,424,0,424,3,0,3
"",,,,,Aqsa Colony,201120102,,609,0,609,,,
"",,,,,Aqsa Colony,201120103,,373,0,373,,,
"",Total,,,,1406,0,1406,3,0,3,,,
"",261,"Govt. Girls M/SWarburton (Female)",,,Muslim Gunge Warburton,201120101,,0,342,342,0,2,2
"",,,,,Aqsa Colony,201120102,,0,456,456,,,
"",,,,,Aqsa Colony,201120103,,0,291,291,,,
"",Total,,,,0,1089,1089,0,2,2,,,
"",262,"Office Food GreenWarburton (Male)",,,Muhallah Madina Colony,201120104,,373,0,373,2,0,2
"",,,,,Muhallah Madina Colony,201120105,,399,0,399,,,
"",Total,,,,772,0,772,2,0,2,,,
"",263,"Office Food GreenWarburton (Female)",,,Muhallah Madina Colony,201120104,,0,304,304,0,2,2
"",,,,,Muhallah Madina Colony,201120105,,0,345,345,,,
"",Total,,,,0,649,649,0,2,2,,,
"",264,"Town CommitteeNone H.Q T.M.A(Male)",,,Muhallah Makka Colony,201120201,,722,0,722,4,0,4
"",,,,,Gallah Mandi,201120202,,259,0,259,,,
"",,,,,Muhallah Thana Bazar,201120203,,618,0,618,,,
"",Total,,,,1599,0,1599,4,0,4,,,
"",265,"Govt. Boys P/S No. 1Warburton (Female)",,,Muhallah Makka Colony,201120201,,0,670,670,0,4,4
"",,,,,Gallah Mandi,201120202,,0,191,191,,,
"",,,,,Muhallah Thana Bazar,201120203,,0,544,544,,,
"",Total,,,,0,1405,1405,0,4,4,,,
"",266,"Govt. Boys H/S CityWarburton (Male)",,,Muhallah Eid Gah,201120204,,767,0,767,3,0,3
"",,,,,Muhallah Eid Gah,201120206,,333,0,333,,,
"",,,,,Muhallah Eid Gah,201120205,,404,0,404,,,
"",Total,,,,1504,0,1504,3,0,3,,,
"",267,"Govt. Girls M/SWarburton (Female)",,,Muhallah Eid Gah,201120204,,0,561,561,0,3,3
"",,Muhallah Eid Gah,201120206,,0,214,214,,,,,,
"",,Muhallah Eid Gah,201120205,,0,389,389,,,,,,
268,"Govt. Boys P/S No. 2Warburton (Male)",,,Muhallah Gurdwara Sheikhan,201120301,,462,0,462,3,0,3
"",,,,Usmania Chok,201120302,,307,0,307,,,
"",,,,Usmania Chok,201120305,,471,0,471,,,
Total,,,,1240,0,1240,3,0,3,,,
269,"Govt. Girls Binatul-U-IslamH/S Warburton (Female)",,,Muhallah Gurdwara Sheikhan,201120301,,0,406,406,0,3,3
"",,,,Usmania Chok,201120302,,0,282,282,,,
"",,,,Usmania Chok,201120305,,0,370,370,,,
Total,,,,0,1058,1058,0,3,3,,,
270,"Town CommitteeWarburton (Male)",,,Muhallah Changar Arey Wala,201120303,,0,367,367,0,3,3
"",,,,Basti Isaian Arey Wala,201120304,,0,358,358,,,
"",,,,Muhallah Eid Gah,201120401,,0,475,475,,,
Total,,,,0,1200,1200,0,3,3,,,
271,"Govt. Girls Binatul-U-Islam P/S TownCommittee Road",,,Muhallah Changar Arey Wala,201120303,,421,0,421,4,0,4
"",,,,Basti Isaian Arey Wala,201120304,,466,0,466,,,
"",,,,Muhallah Eid Gah,201120401,,611,0,611,,,
Total,,,,1498,0,1498,4,0,4,,,
272,"Govt. P/S No. 2Warburton (Male)",,,Muhallah Eid Gah,201120402,,0,357,357,0,3,3
"",,,,Muhallah Eid Gah,201120405,,0,271,271,,,
"",,,,Muhallah Sandrana,201120403,,0,142,142,,,
"",,,,Muhallah Sandrana,201120404,,0,415,415,,,
Total,,,,0,1185,1185,0,3,3,,,
273,"Govt. Girls Binatul-U-Islam P/S TownCommittee RoadWarburton (Female)",,,Muhallah Eid Gah,201120402,,421,0,421,4,0,4
"",,,,Muhallah Eid Gah,201120405,,321,0,321,,,
"",,,,Muhallah Sandrana,201120403,,174,0,174,,,
"",,,,Muhallah Sandrana,201120404,,562,0,562,,,
Total,,,,1478,0,1478,4,0,4,,,
274,"Govt. Girls M/S ChakNo. 89/RB  (Male)",CHAK NO 089/R B,203010101,,,,480,0,480,3,0,3
"",,CHAK NO 089/R B,203010104,,,,406,0,406,,,
"",,CHAK NO 089/R B,203010102,,,,232,0,232,,,
"",,CHAK NO 089/R B,203010103,,,,487,0,487,,,
Total,,,,1605,0,1605,3,0,3,,,
275,"Govt. Girls M/S ChakNo. 89/RB  (Female)",CHAK NO 089/R B,203010101,,,,0,362,362,0,3,3
"",,CHAK NO 089/R B,203010104,,,,0,289,289,,,
"",,CHAK NO 089/R B,203010102,,,,0,171,171,,,
"",,CHAK NO 089/R B,203010103,,,,0,311,311,,,
Total,,,,0,1133,1133,0,3,3,,,
276,"Govt. B/P/S DalahChanda Singh (Male)",Dalah Chanda Singh,203010301,,,,529,0,956,2,0,2
"",,Dalah Chanda Singh,203010302,,,,105,0,221,,,
"",,Dalah Chanda Singh,203010312,,,,254,0,445,,,
"",,Dalah Chanda Singh,203010303,,,,253,0,423,,,
Total,,,,1141,0,2045,2,0,2,,,
277,"Govt. B/P/S DalahChanda Singh(Female)",Dalah Chanda Singh,203010301,,,,0,427,427,0,2,2
Dalah Chanda Singh,203010302,,,,0,116,116,,,,,
Dalah Chanda Singh,203010312,,,,0,191,191,,,,,
Dalah Chanda Singh,203010303,,,,0,170,170,,,,,
278,"Govt. G/M/S 85 RB(Male)",Dalah Chanda Singh,203010304,,,,804,0,804,3,0,3
"",,Dalah Chanda Singh,203010305,,,,238,0,238,,,
"",,Dalah Chanda Singh,203010306,,,,140,0,140,,,
"",,Dalah Chanda Singh,203010313,,,,152,0,152,,,
"",,Dalah Chanda Singh,203010314,,,,159,0,159,,,
Total,,,,1493,0,1493,3,0,3,,,
279,"Govt. G/M/S 85 RB(Female)",Dalah Chanda Singh,203010304,,,,0,635,635,0,3,3
"",,,203010305,,,,0,176,176,,,
"",,,203010306,,,,0,101,101,,,
"",,,203010313,,,,0,74,74,,,
"",,,203010314,,,,0,104,104,,,
Total,,,,0,1090,1090,0,3,3,,,
280,"Govt. G/P/S Chak No.83/RB Dalla",Chak No. 83/RB Dalla Jurmanian,203010307,,,,417,336,753,2,2,4
"",,,203010308,,,,400,297,697,,,
Total,,,,817,633,1450,2,2,4,,,
281,"Govt. B/H/S Chak No.83/RB Dalla Nangal(Male)",Chak No. 83/RB Dalla Nangal,203010309,,,,515,0,515,2,0,2
"",,Chak No. 83/RB Dalla Nangal,203010310,,,,388,0,388,,,
"",,Chak No. 83/RB Dalla Nangal,203010311,,,,309,0,309,,,
Total,,,,1212,0,1212,2,0,2,,,
282,"Govt. B/H/S Chak No.83/RB Dalla Nangal(Female)",Chak No. 83/RB Dalla Nangal,203010309,,,,0,404,404,0,2,2
"",,Chak No. 83/RB Dalla Nangal,203010310,,,,0,302,302,,,
"",,Chak No. 83/RB Dalla Nangal,203010311,,,,0,235,235,,,
Total,,,,0,941,941,0,2,2,,,
283,"Govt. Boys H/S ChakNo. 177 Kartar Pur (P)",Kartar Pur Shamali,203010401,,,,500,364,864,2,2,4
"",,,203010402,,,,412,312,724,,,
Total,,,,912,676,1588,2,2,4,,,
284,"Govt. Boys H/S ChakNo. 177 Kartar Pur (P)",Kartar Pur Janoobi,203010403,,,,399,290,689,2,2,4
"",,,203010404,,,,420,303,723,,,
Total,,,,819,593,1412,2,2,4,,,
285,"Govt. Boys E/S ChakNo. 178 Bola Chak",Bola Chak,203010405,,,,809,0,809,3,0,3
"",,Bola Chak,203010406,,,,426,0,426,,,
Total,,,,1235,0,1235,3,0,3,,,
286,"Govt. Boys E/S ChakNo. 178 Bola Chak",Bola Chak,203010405,,,,0,607,607,0,2,2
"",,Bola Chak,203010406,,,,0,306,306,,,
Total,,,,0,913,913,0,2,2,,,
287,"Govt. Girls E/S ChakNo. 179 Nodah (Male)",Chak No. 179 Nodah,203010407,,,,482,0,482,3,0,3
"",,,203010408,,,,393,0,393,,,
"",,Chak No. 179 Nodah,203010409,,,,269,0,269,,,
"",,,203010410,,,,262,0,262,,,
Total,,,,1406,0,1406,3,0,3,,,
288,"Govt. Girls E/S ChakNo. 179 Nodah(Female)",Chak No. 179 Nodah,203010407,,,,0,376,376,0,3,3
"",203010408,,,,0,286,286,,,,,
Chak No. 179 Nodah,203010409,,,,0,210,210,,,,,
"",203010410,,,,0,197,197,,,,,
289,"Govt. Girls E/S ChakNo. 87/RB (NewBlock)",Chak No. 87/RB,203010601,,,,443,316,759,2,2,4
"",,,203010602,,,,245,189,434,,,
"",,,203010614,,,,107,72,179,,,
Total,,,,795,577,1372,2,2,4,,,
290,"Govt. Boys P/S ChakNo. 87/RB  (OldBlock)",Chak No. 87/RB,203010603,,,,324,282,606,2,2,4
"",,Chak No. 87/RB,203010604,,,,218,238,456,,,
"",,Chak No. 87/RB,203010615,,,,301,280,581,,,
Total,,,,843,800,1643,2,2,4,,,
291,"Govt. Boys P/S ChakNo. 86/RB  (Male)",Chak No. 86/RB,203010605,,,,502,0,502,2,0,2
"",,Chak No. 86/RB,203010606,,,,332,0,332,,,
"",,Chak No. 86/RB,203010616,,,,147,0,147,,,
Total,,,,981,0,981,2,0,2,,,
292,"Govt. Boys P/S ChakNo. 86/RB  (Female)",Chak No. 86/RB,203010605,,,,0,461,461,0,2,2
"",,Chak No. 86/RB,203010606,,,,0,277,277,,,
"",,Chak No. 86/RB,203010616,,,,0,123,123,,,
Total,,,,0,861,861,0,2,2,,,
293,"Govt. Boys E/S ChakNo. 182/RB (Male)",Chak No. 182 /RB,203010607,,,,211,0,211,2,0,2
"",,Chak No. 182 /RB,203010608,,,,591,0,591,,,
"",,Chak No. 182 /RB,203010609,,,,451,0,451,,,
Total,,,,1253,0,1253,2,0,2,,,
294,"Govt. Boys E/S ChakNo. 182/RB (Female)",Chak No. 182 /RB,203010607,,,,0,181,181,0,2,2
"",,Chak No. 182 /RB,203010608,,,,0,506,506,,,
"",,Chak No. 182 /RB,203010609,,,,0,385,385,,,
Total,,,,0,1072,1072,0,2,2,,,
295,"Govt. B/ H/S Chak No.184/RB  (Male)",Chak No. 184 /RB,203010610,,,,516,0,516,3,0,3
"",,Chak No. 184 /RB,203010611,,,,208,0,208,,,
"",,Chak No. 184 /RB,203010612,,,,268,0,268,,,
"",,Chak No. 184 /RB,203010613,,,,401,0,401,,,
Total,,,,1393,0,1393,3,0,3,,,
296,"Govt. B/ H/S Chak No.184/RB  (Female)",Chak No. 184 /RB,203010610,,,,0,425,425,0,3,3
"",,Chak No. 184 /RB,203010611,,,,0,74,74,,,
"",,Chak No. 184 /RB,203010612,,,,0,232,232,,,
"",,Chak No. 184 /RB,203010613,,,,0,342,342,,,
Total,,,,0,1073,1073,0,3,3,,,
297,"Govt. Girls M/S ChakNo. 166/RB Kawan",Chak No. 166/RB,203010701,,,,804,0,804,3,0,3
"",,Chak No. 166/RB,203010702,,,,514,0,514,,,
Total,,,,1318,0,1318,3,0,3,,,
298,"Govt. Girls M/S ChakNo. 166/RB Kawan",Chak No. 166/RB,203010701,,,,0,689,689,0,3,3
"",,Chak No. 166/RB,203010702,,,,0,453,453,,,
Total,,,,0,1142,1142,0,3,3,,,
299,"Govt. Boys H/S ChakNo. 180/RB Nathu",Chak No. 180/RB,203010703,,,,547,481,1028,2,2,4
Chak No. 180/RB,203010704,,,,266,258,524,,,,,
300,"Govt. Boys H/S ChakNo. 180/RB Nathu",Chak No. 180/RB,203010705,,,,409,0,409,3,0,3
"",,,203010706,,,,584,0,584,,,
Total,,,,993,0,993,3,0,3,,,
301,"Govt. Boys H/S ChakNo. 180/RB Nathu",Chak No. 180/RB,203010705,,,,0,369,369,0,2,2
"",,Chak No. 180/RB,203010706,,,,0,502,502,,,
Total,,,,0,871,871,0,2,2,,,
302,"Govt. Boys H/S ChakNo. 181/RB Keri Bheit(Male)",Chak No. 181/RB Keri Bhet,203010707,,,,416,0,416,2,0,2
"",,Chak No. 181/RB Keri Bhet,203010708,,,,439,0,439,,,
"",,Chak No. 181/RB Keri Bhet,203010709,,,,81,0,81,,,
