"",1,2,3,4,5,6,7,8,9,10,11,12,13,
93,27,Government Model Primary School Burj Babal,BURJ BABAL,255010902,-,-,,484,380,864,2,2,4,Combined
"",,,BURJ BABAL,255010912,-,-,,417,338,755,,,,
"",,,,,-,-,,901,718,1619,,,,
93,28,Government Model Primary School Burj Babal,BURJ BABAL,255010903,-,-,,534,0,534,3,0,3,Male
"",,,BURJ BABAL,255010904,-,-,,314,0,314,,,,
"",,,BURJ BABAL,255010913,-,-,,456,0,456,,,,
"",,,,,-,-,,1304,0,1304,,,,
93,29,Government Model Primary School Burj Babal,BURJ BABAL,255010903,-,-,,0,326,326,0,3,3,Female
"",,,BURJ BABAL,255010904,-,-,,0,303,303,,,,
"",,,BURJ BABAL,255010913,-,-,,0,476,476,,,,
"",,,,,-,-,,0,1105,1105,,,,
93,30,Government Model Primary School Burj Babal,BURJ BABAL,255010905,-,-,,265,240,505,1,1,2,Combined
"",,,,,-,-,,265,240,505,,,,
93,31,Government Girls Primary School Dharangar,Dharangar,255010906,-,-,,406,275,681,2,2,4,Combined
"",,,Dharangar,255010907,-,-,,63,71,134,,,,
"",,,Dharangar,255010908,-,-,,350,230,580,,,,
"",,,,,-,-,,819,576,1395,,,,
93,32,Government Girls Primary School Lal da Kot,KOT LALA,255011001,-,-,,470,353,823,1,1,2,Combined
"",,,,,-,-,,470,353,823,,,,
93,33,Government Girls Primary School Madad Ali,MADAD ALI,255011002,-,-,,721,609,1330,2,2,4,Combined
"",,,,,-,-,,721,609,1330,,,,
93,34,Government Boys Primary School Sabuwala,KHAI,255011003,-,-,,140,93,233,2,2,4,Combined
"",,,SABOOWALA,255011004,-,-,,288,207,495,,,,
"",,,SABOOWALA,255011005,-,-,,501,439,940,,,,
"",,,,,-,-,,929,739,1668,,,,
93,35,Government Girls Primary School Hujra Coloney,RURAL LALIAN Ahlay Wala,255011101,-,-,,344,271,615,2,2,4,Combined
RURAL LALIAN Hujra Coloney,255011102,-,-,,470,343,813,,,,,,,
"",,-,-,,814,614,1428,,,,,,,
"RURAL LALIAN DarbarMuhammad Saddique",255011103,-,-,,607,0,607,,,,,,,
RURAL LALIAN Thatha Wariyo,255011104,-,-,,562,0,562,,,,,,,
"",37,Government Girls  School Darbar Muhammad Siddique,"RURAL LALIAN DarbarMuhammad Saddique",255011103,-,-,,0,491,491,0,2,2,Female
"",,,RURAL LALIAN Thatha Wariyo,255011104,-,-,,0,427,427,,,,
"",,,,,-,-,,0,918,918,,,,
93,38,Government Model Boys Primary School kiana Thain,RURAL LALIAN Thatha Miyana,255011105,-,-,,326,232,558,1,1,2,Combined
"",,,RURAL LALIAN Thatha Miyana,255011106,-,-,,147,148,295,,,,
"",,,,,-,-,,473,380,853,,,,
93,39,Government Boys Primary School Jalley Wala,RURAL LALIAN Jalley Wala,255011107,-,-,,1062,0,1062,3,0,3,Male
"",,,RURAL LALIAN Astana,255011108,-,-,,248,0,248,,,,
"",,,,,-,-,,1310,0,1310,,,,
93,40,Government Girls Primary School Jalley Wala,RURAL LALIAN Jalley Wala,255011107,-,-,,0,931,931,0,3,3,Female
"",,,RURAL LALIAN Astana,255011108,-,-,,0,176,176,,,,
"",,,,,-,-,,0,1107,1107,,,,
93,41,Government Girls High School Ahamad Nagar,AHMAD NAGAR,255020101,-,-,,548,427,975,2,2,4,Combined
"",,,AHMAD NAGAR,255020102,-,-,,389,348,737,,,,
"",,,,,-,-,,937,775,1712,,,,
93,42,Government Boys High School Ahamad Nagar,AHMAD NAGAR,255020103,-,-,,388,342,730,2,2,4,Combined
"",,,AHMAD NAGAR,255020104,-,-,,90,55,145,,,,
"",,,AHMAD NAGAR,255020105,-,-,,227,169,396,,,,
"",,,AHMAD NAGAR,255020114,-,-,,154,124,278,,,,
"",,,,,-,-,,859,690,1549,,,,
93,43,Government Boys High School Ahamad Nagar,AHMAD NAGAR,255020106,-,-,,642,0,642,2,0,2,Male
"",,,AHMAD NAGAR,255020107,-,-,,28,0,28,,,,
"",,,AHMAD NAGAR,255020115,-,-,,47,0,47,,,,
"",,,AHMAD NAGAR,255020108,-,-,,385,0,385,,,,
"",,,AHMAD NAGAR,255020116,-,-,,187,0,187,,,,
"",,,,,-,-,,1289,0,1289,,,,
93,44,Government Boys High School Ahamad Nagar  (Primary Portion),AHMAD NAGAR,255020106,-,-,,0,546,546,0,3,3,Female
"",,,AHMAD NAGAR,255020107,-,-,,0,26,26,,,,
"",,,AHMAD NAGAR,255020115,-,-,,0,37,37,,,,
"",,,AHMAD NAGAR,255020108,-,-,,0,364,364,,,,
"",,,AHMAD NAGAR,255020116,-,-,,0,174,174,,,,
"",,,,,-,-,,0,1147,1147,,,,
93,45,Government Boys Primary School Pllowal Syedan,PILLOW AL SYEDIAN,255020111,-,-,,359,291,650,1,1,2,Combined
"",,,,,-,-,,359,291,650,,,,
93,46,Government Boys Elementary School Mal Sipra,BAGH SHAH BEHLOOL,255020109,-,-,,60,52,112,2,2,4,Combined
"",,,PATHAN WALA,255020110,-,-,,184,107,291,,,,
"",,,MAL SIPRA,255020112,-,-,,288,261,549,,,,
