"Sl.No.","Name & Location ofthe Polling Station","Name of ElectoralArea assigned tothe Polling Station",Census Block in Code Number,"Sr. No. of voters on theElectoral Rolls in case ofbifurcation of Electoral Area","No. of Voters Assigned toPolling Station",No. of Polling Booths,,,,
"",,,,,Male,Female,Total,Male,Female,Total
"",,Kohlo Wala,164221102,,439,0,439,,,
"",,Kohlo Wala,164221103,,276,0,276,,,
"",,Kohlo Wala,164221104,,385,0,385,,,
"",,Kohlo Wala,164221105,,358,0,358,,,
"",,,,,2131,0,2131,,,
70,"Government Girls High SchoolKohlowala  (Female)",Kohlo Wala,164221101,,0,604,604,0,3,3
Kohlo Wala,164221102,,0,269,269,,,,,
Kohlo Wala,164221103,,0,213,213,,,,,
Kohlo Wala,164221104,,0,301,301,,,,,
Kohlo Wala,164221105,,0,239,239,,,,,
"",,,0,1626,1626,,,,,
1,2,3,4,5,6,7,8,9,10,11
71,"Federal Science College For Girls(WAPDA  Town) (Male)",Kohlo Wala,164221106,,400,0,400,3,0,3
"",,Kohlo Wala,164221107,,311,0,311,,,
"",,Kohlo Wala,164221108,,164,0,164,,,
"",,Kohlo Wala,164221109,,578,0,578,,,
"",,Kohlo Wala,164221110,,31,0,31,,,
"",,Kohlo Wala,164221111,,24,0,24,,,
"",,,,,1508,0,1508,,,
72,"Federal Science College For Girls(WAPDA  Town)  (Female)",Kohlo Wala,164221106,,0,331,331,0,3,3
"",,Kohlo Wala,164221107,,0,271,271,,,
"",,Kohlo Wala,164221108,,0,137,137,,,
"",,Kohlo Wala,164221109,,0,461,461,,,
"",,Kohlo Wala,164221110,,0,51,51,,,
"",,Kohlo Wala,164221111,,0,21,21,,,
"",,,,,0,1272,1272,,,
73,"Federal Science College For Boys(WAPDA  Town) (Male)",Kohlo Wala,164221201,,262,0,262,3,0,3
"",,Kohlo Wala,164221202,,278,0,278,,,
"",,Kohlo Wala,164221203,,315,0,315,,,
"",,Kohlo Wala,164221204,,343,0,343,,,
"",,Kohlo Wala,164221205,,233,0,233,,,
"",,,,,1431,0,1431,,,
74,"Federal Science College For Boys(WAPDA  Town)  (Female)",Kohlo Wala,164221201,,0,366,366,0,3,3
"",,Kohlo Wala,164221202,,0,139,139,,,
"",,Kohlo Wala,164221203,,0,239,239,,,
"",,Kohlo Wala,164221204,,0,332,332,,,
"",,Kohlo Wala,164221205,,0,253,253,,,
"",,,,,0,1329,1329,,,
75,"Allied School Haram Campus, St #1, Jalil Town (Combined)","Qila Chand (JalilTown)",164221401,,279,257,536,2,2,4
"",,"Qila Chand (JalilTown)",164221402,,330,282,612,,,
"",,"Qila Chand (JalilTown)",164221403,,256,224,480,,,
"",,"Qila Chand (JalilTown)",164221404,,321,213,534,,,
"",,,,,1186,976,2162,,,
76,"Government Girls M/S KashmirColony Qila Chand (Combined)",Qila Chand,164221405,,599,547,1146,2,2,4
"",,Qila Chand,164221406,,392,291,683,,,
"",,,,,991,838,1829,,,
77,"Government Boys Primary SchoolQila Chand (Combined)",Qila Chand,164221407,,380,307,687,1,1,2
Qila Chand,164221408,,349,282,631,,,,,
"",,,729,589,1318,,,,,
Khiali Shahpur,164221601,,506,0,506,,,,,
Khiali Shahpur,164221602,,308,0,308,,,,,
Khiali Shahpur,164221603,,422,0,422,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,Khiali Shahpur,164221604,,827,0,827,,,
"",,,,,2063,0,2063,,,
79,"Sun Rise High School System 40Foot Bazar  Khiali Shah Pur(Beroon)  (Female)",Khiali Shahpur,164221601,,0,400,400,0,3,3
"",,Khiali Shahpur,164221602,,0,243,243,,,
"",,Khiali Shahpur,164221603,,0,324,324,,,
"",,Khiali Shahpur,164221604,,0,634,634,,,
"",,,,,0,1601,1601,,,
80,"Sher Ali High School IftikharColony Khiali Shah Pur BeroonGujranwala (Male)",Khiali Shahpur,164221605,,345,0,345,3,0,3
"",,Khiali Shahpur,164221606,,342,0,342,,,
"",,Khiali Shahpur,164221607,,323,0,323,,,
"",,Khiali Shahpur,164221701,,328,0,328,,,
"",,Khiali Shahpur,164221702,,235,0,235,,,
"",,,,,1573,0,1573,,,
81,"Sher Ali High School IftikharColony Khiali Shah Pur BeroonGujranwala  (Female)",Khiali Shahpur,164221605,,0,241,241,0,2,2
"",,Khiali Shahpur,164221606,,0,228,228,,,
"",,Khiali Shahpur,164221607,,0,223,223,,,
"",,Khiali Shahpur,164221701,,0,215,215,,,
"",,Khiali Shahpur,164221702,,0,251,251,,,
"",,,,,0,1158,1158,,,
82,"Government Boys High SchoolKhiali Shah Pur Beroon (Male)",Khiali Shahpur,164221703,,229,0,229,4,0,4
"",,Khiali Shahpur,164221704,,367,0,367,,,
"",,Khiali Shahpur,164221705,,311,0,311,,,
"",,Khiali Shahpur,164221706,,388,0,388,,,
"",,Khiali Shahpur,164221707,,552,0,552,,,
"",,Khiali Shahpur,164221708,,522,0,522,,,
"",,,,,2369,0,2369,,,
83,"Government Boys High SchoolKhiali Shah Pur (Beroon)  (Female)",Khiali Shahpur,164221703,,0,225,225,0,3,3
"",,Khiali Shahpur,164221704,,0,177,177,,,
"",,Khiali Shahpur,164221705,,0,198,198,,,
"",,Khiali Shahpur,164221706,,0,235,235,,,
"",,Khiali Shahpur,164221707,,0,353,353,,,
"",,Khiali Shahpur,164221708,,0,419,419,,,
"",,,,,0,1607,1607,,,
84,"National Model School AnwerTown (Combined)","Noshehra Sansi(Qila SundarSingh)",164221709,,988,727,1715,1,1,2
"",,,,,988,727,1715,,,
85,"Government Atta Muhammad HighSchool No. 1 Qabristan RoadGujranwala (Combined)","Gala GhulamMuhammadThakedar",164230101,,447,368,815,2,2,4
"Gala Mehar NoorWala",164230103,,462,361,823,,,,,
"",,,909,729,1638,,,,,
1,2,3,4,5,6,7,8,9,10,11
86,"Government Atta Muhammad HighSchool No. 1 Qabristan RoadGujranwala (Combined)","Gali MeeranShah",164230102,,1112,922,2034,2,2,4
"",,"Gali MeeranShah",164230104,,241,162,403,,,
"",,,,,1353,1084,2437,,,
87,"Government F.D Boys PrimarySchool Sherawala Bagh BakhtayWala Gujranwala (Male)","Darbar HussainShah",164230201,,500,0,500,3,0,3
"",,Bakhtay Wala,164230203,,852,0,852,,,
"",,Bakhtay Wala,164230206,,138,0,138,,,
"",,,,,1490,0,1490,,,
88,"Government F.D Boys PrimarySchool Sherawala Bagh BakhtayWala Gujranwala  (Female)","Darbar HussainShah",164230201,,0,413,413,0,3,3
"",,Bakhtay Wala,164230203,,0,754,754,,,
"",,Bakhtay Wala,164230206,,0,61,61,,,
"",,,,,0,1228,1228,,,
89,"Government M.C Girls ElementarySchool No. 08 St Alam LoneGujranwala (Combined)",Bakhtay Wala,164230202,,995,777,1772,2,2,4
"",,,,,995,777,1772,,,
90,"Office Of the S.E Highway,Provincial Highway Department ,G.T Road Gujranwala (Male)",Bakhtay Wala,164230204,,625,0,625,3,0,3
"",,"Moh. Tariq AbadG.T Road",164230205,,879,0,879,,,
"",,,,,1504,0,1504,,,
91,"Office Of the S.E Highway,Provincial Highway Department ,G.T Road Gujranwala  (Female)",Bakhtay Wala,164230204,,0,514,514,0,2,2
"",,"Moh. Tariq AbadG.T Road",164230205,,0,638,638,,,
"",,,,,0,1152,1152,,,
92,"Office Of the District Officer RoadsShiekhupura More G.T RoadGujranwala (Male)",Islam Pura,164230301,,826,0,826,4,0,4
"",,Islam Pura,164230302,,369,0,369,,,
"",,Islam Pura,164230303,,685,0,685,,,
"",,Islam Pura,164230304,,441,0,441,,,
"",,,,,2321,0,2321,,,
93,"Sirat-E-Mustaqeem School, StreetNo. 4, Muslim Road, Gujranwala(Female)",Islam Pura,164230301,,0,694,694,0,4,4
Islam Pura,164230302,,0,245,245,,,,,
Islam Pura,164230303,,0,575,575,,,,,
Islam Pura,164230304,,0,373,373,,,,,
"",,,0,1887,1887,,,,,
"Moh. BakhtayWala",164240101,,526,0,526,,,,,
"Moh. BakhtayWalaAllama IqbalRoad",164240102,,514,0,514,,,,,
"Thana WalaBazar Gali FazalDin",164240106,,259,0,259,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Moh. BakhtayWalaAllama IqbalRoad",164240107,,190,0,190,,,
"",,,,,1489,0,1489,,,
95,"Government M.C ElementarySchool For Boys No. 6, BakhtayWala, Gujranwala  (Female)","Moh. BakhtayWala",164240101,,0,440,440,0,2,2
"",,"Moh. BakhtayWalaAllama IqbalRoad",164240102,,0,439,439,,,
"",,"Thana WalaBazar Gali FazalDin",164240106,,0,252,252,,,
"",,"Moh. BakhtayWalaAllama IqbalRoad",164240107,,0,138,138,,,
"",,,,,0,1269,1269,,,
96,"Government Arshad Popular GirlsElementary School NearSheranwala Bagh Gujranwala(Male)","Androon AmenAbadiGate",164240103,,830,0,830,2,0,2
"",,"SheranwalaBagh, Thanawala Bazar",164240104,,194,0,194,,,
"",,"Amen AbadiDarwaza",164240105,,158,0,158,,,
"",,,,,1182,0,1182,,,
97,"Office Of the Deputy DistrictEducation Officer, (Lahori Gate)Gujranwala","Androon AmenAbadiGate",164240103,,0,620,620,0,2,2
"",,"SheranwalaBagh, Thanawala Bazar",164240104,,0,144,144,,,
"",,"Amen AbadiDarwaza",164240105,,0,135,135,,,
"",,,,,0,899,899,,,
98,"Govt.Mission High School, ChowkNiaen, Gujranwala (Combined)","Bazar Babhraianroad",164240201,,462,364,826,1,1,2
"GaliChawalianwaliChowk Bari wala",164240202,,289,251,540,,,,,
"",,,751,615,1366,,,,,
"Gali BarazanBaghechiChowk",164240203,,916,0,916,,,,,
"Chowk MeladeMustifa, KachayBartan walaBazar",164240204,,466,0,466,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Andoorn KhialiGate",164240205,,447,0,447,,,
"",,,,,1829,0,1829,,,
100,"Government F.D Islamia HighSchool Gujranwala  (Female)","Gali BarazanBaghechiChowk",164240203,,0,716,716,0,3,3
"",,"Chowk MeladeMustifa, KachayBartan walaBazar",164240204,,0,383,383,,,
"",,"Andoorn KhialiGate",164240205,,0,386,386,,,
"",,,,,0,1485,1485,,,
101,"Government Girls High SchoolSagheer Shaheed Park, NearDegree College, Gujranwala (Male)","Gulistant ColonyMubarik ShahRoad",164250101,,349,0,349,3,0,3
"",,"Moh.Pak warisNoshehra Road",164250102,,690,0,690,,,
"",,"Main GalaMuhammadNagar",164250104,,443,0,443,,,
"",,"Jinnah RoadMuhammadNagar",164250105,,255,0,255,,,
"",,,,,1737,0,1737,,,
102,"Government Girls High SchoolSagheer Shaheed Park, NearDegree College, Gujranwala,(Female)","Gulistant ColonyMubarikShah Road",164250101,,0,272,272,0,2,2
"",,"Moh.Pak warisNoshehraRoad",164250102,,0,520,520,,,
"",,"Main GalaMuhammadNagar",164250104,,0,347,347,,,
"",,"Jinnah RoadMuhammadNagar",164250105,,0,163,163,,,
"",,,,,0,1302,1302,,,
103,"Government Commerce College,Near Saghar Shaheed Road Park,(Combined)","MuhammadNagar Data GanjBux",164250103,,945,636,1581,2,1,3
"",,,,,945,636,1581,,,
104,"Government Model Primary SchoolAbadi Mula Bux Noshera RoadGujranwala (Male)",Girdo Niwa Tanki,164250201,,616,0,616,2,0,2
"Barra GalaNoshehraRoad",164250202,,553,0,553,,,,,
"",,,1169,0,1169,,,,,
Girdo Niwa Tanki,164250201,,0,497,497,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Barra GalaNoshehraRoad",164250202,,0,495,495,,,
"",,,,,0,992,992,,,
106,"Government Degree College MainGala Noshera Road, Gujranwala(Male)","Jamia MasjidMuhammadia",164250203,,647,0,647,4,0,4
"",,"Gali Natho Jutt ,Khair Din",164250204,,542,0,542,,,
"",,"Gali ChahBawian, MubarikShah Road",164250205,,634,0,634,,,
"",,,,,1823,0,1823,,,
107,"Government Degree College MainGala Noshera Road, Gujranwala(Female)","Jamia MasjidMuhammadia",164250203,,0,481,481,0,3,3
"",,"Gali Natho Jutt ,Khair Din",164250204,,0,444,444,,,
"",,"Gali ChahBawian, MubarikShah Road",164250205,,0,438,438,,,
"",,,,,0,1363,1363,,,
108,"Government A.D Model HighSchool, Gujranwala (Male)","Nalay Wali GaliGulshinAbad",164250301,,1857,0,1857,3,0,3
"",,,,,1857,0,1857,,,
109,"Madrisa-Tul-Binnat Girls HighSchool Gulshanabad Near R/OUsman Ibrahim Ex Mna ( Female)","Nalay Wali GaliGulshinAbad",164250301,,0,1573,1573,0,3,3
"",,,,,0,1573,1573,,,
110,"Government Muslim Model HighSchool, Gujranwala (Combined)","ShafiqueGeneral StoreNoshera Road",164250302,,1039,817,1856,2,2,4
"",,,,,1039,817,1856,,,
111,"Government A.D Model HighSchool, Gujranwala (Male)",Hafizabad Road,164250303,,2438,0,2438,4,0,4
"",,,,,2438,0,2438,,,
112,"Madrisa-Tul-Binnat Girls HighSchool Gulshanabad Near R/OUsman Ibrahim Ex Mna ( Female)",Hafizabad Road,164250303,,0,1976,1976,0,4,4
"",,,,,0,1976,1976,,,
113,"Government Muslim Model HighSchool, Gujranwala  (Male)","Zubair TimberHafizabadRoad",164250304,,485,0,485,4,0,4
Hafizabad Road,164250305,,375,0,375,,,,,
"Gali No.25Gulshen AbadSher Sing",164250306,,470,0,470,,,,,
"Chowk GhantaGharCircular Road",164250307,,477,0,477,,,,,
"",,,1807,0,1807,,,,,
1,2,3,4,5,6,7,8,9,10,11
114,"Government Muslim Model HighSchool, Gujranwala  ( Female)","Zubair TimberHafizabadRoad",164250304,,0,414,414,0,4,4
"",,Hafizabad Road,164250305,,0,322,322,,,
"",,"Gali No.25Gulshen AbadSher Sing",164250306,,0,375,375,,,
"",,"Chowk GhantaGharCircular Road",164250307,,0,412,412,,,
"",,,,,0,1523,1523,,,
115,"M.A. Islamia High School,Gujranwala (Male)",Gulshen Abad,164250401,,467,0,467,3,0,3
"",,"Noshehra RoadBaghbanpurajinnah road",164250404,,366,0,366,,,
"",,"Noshehra RoadBaghbanpurajinnah road",164250406,,396,0,396,,,
"",,,,,1229,0,1229,,,
116,"Government Mehboob AlamIslamia, High School Gujranwala(Female)",Gulshen Abad,164250401,,0,355,355,0,2,2
"",,"Noshehra RoadBaghbanpurajinnah road",164250404,,0,250,250,,,
"",,"Noshehra RoadBaghbanpurajinnah road",164250406,,0,376,376,,,
"",,,,,0,981,981,,,
117,"Azeem Model High SchoolGujranwala (Male)","BaghbanpuraHafizabadRoad",164250402,,599,0,599,2,0,2
"",,"BaghbanpurJinnah Road",164250403,,498,0,498,,,
"",,"BaghbanpurJinnah Road",164250405,,163,0,163,,,
"",,,,,1260,0,1260,,,
118,"Azeem Model High SchoolGujranwala  (Female)","BaghbanpuraHafizabadRoad",164250402,,0,446,446,0,2,2
"BaghbanpurJinnah Road",164250403,,0,419,419,,,,,
"BaghbanpurJinnah Road",164250405,,0,100,100,,,,,
"",,,0,965,965,,,,,
"Haji KarimPeramedicalRoad",164260101,,1050,0,1050,,,,,
"Gali No.2-8 GalaGogaPehlwan",164260102,,840,0,840,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,,,,1890,0,1890,,,
120,"Government P.B Model HighSchool Hafizabad Road,Gujranwala  (Female)","Haji KarimPeramedicalRoad",164260101,,0,842,842,0,2,2
"",,"Gali No.2-8 GalaGogaPehlwan",164260102,,0,671,671,,,
"",,,,,0,1513,1513,,,
121,"Al-Mashriq Primary School, ChahChohan, Gujranwala (Male)","Moh. ChahChuhanan wala",164260103,,513,0,513,4,0,4
"",,"Gali No.2 BaboNasirUldin",164260104,,435,0,435,,,
"",,"Gali No.5-8 HajiAbdulKareem",164260105,,793,0,793,,,
"",,"Abadi MeharWazir",164260201,,402,0,402,,,
"",,,,,2143,0,2143,,,
122,"Government Girls SagheerShaheed Elementary School GalaGoga Pehlwan  (Female)","Moh. ChahChuhanan wala",164260103,,0,377,377,0,3,3
"",,"Gali No.2 BaboNasirUldin",164260104,,0,359,359,,,
"",,"Gali No.5-8 HajiAbdulKareem",164260105,,0,682,682,,,
"",,"Abadi MeharWazir",164260201,,0,326,326,,,
"",,,,,0,1744,1744,,,
123,"Ali Science Public School,Gujranwala (Male)","Gala GogaPehlwan",164260202,,722,0,722,3,0,3
"",,"Abadi MeharMeharWazir",164260304,,488,0,488,,,
"",,"Gala QadriaDarbal , BusharaRoad",164260305,,558,0,558,,,
"",,,,,1768,0,1768,,,
124,"Government Girls SagheerShaheed Elementary School GalaGoga Pehlwan  (Female)","Gala GogaPehlwan",164260202,,0,581,581,0,3,3
"Abadi MeharMeharWazir",164260304,,0,342,342,,,,,
"Gala QadriaDarbal , BusharaRoad",164260305,,0,415,415,,,,,
"",,,0,1338,1338,,,,,
1,2,3,4,5,6,7,8,9,10,11
125,"Bright Way Public School,Gujranwala (Male)","Abadi MeharWazirMoman Abad",164260203,,572,0,572,3,0,3
"",,Moman Abad-A,164260204,,496,0,496,,,
"",,"Abadi MeharWazirMoman Abad",164260205,,443,0,443,,,
"",,,,,1511,0,1511,,,
126,"Aims Public School, Gujranwala(Female)","Abadi MeharWazirMoman Abad",164260203,,0,425,425,0,3,3
"",,Moman Abad-A,164260204,,0,394,394,,,
"",,"Abadi MeharWazirMoman Abad",164260205,,0,324,324,,,
"",,,,,0,1143,1143,,,
127,"Government P.B Model HighSchool Hafizabad Road,Gujranwala (Male)","Gala QadiriaDarbarHafizabad",164260301,,407,0,407,3,0,3
"",,"Gala Haji AmirDin",164260302,,329,0,329,,,
"",,"Gala Haji AbdulKareem",164260303,,456,0,456,,,
"",,,,,1192,0,1192,,,
128,"Government P.B Model HighSchool Hafizabad Road,Gujranwala (Male)","Gali GhulamHussain",164260306,,679,0,679,2,0,2
"",,Ibrahim Town,164280601,,391,0,391,,,
"",,,,,1070,0,1070,,,
129,"Government P.B Model HighSchool Hafizabad Road,Gujranwala  (Female)","Gala QadiriaDarbarHafizabad",164260301,,0,332,332,0,3,3
"",,"Gala Haji AmirDin",164260302,,0,276,276,,,
"",,"Gala Haji AbdulKareem",164260303,,0,374,374,,,
"",,"Gali GhulamHussain",164260306,,0,510,510,,,
"",,Ibrahim Town,164280601,,0,305,305,,,
"",,,,,0,1797,1797,,,
130,"Government Rural DispensaryNoushera Sansi, Gujranwala(Male)",Noshehra Sansi,164270101,,442,0,442,2,0,2
"GulshanRehman",164270103,,208,0,208,,,,,
"GulshanRehman",164270105,,270,0,270,,,,,
"GulshanRehman",164270106,,276,0,276,,,,,
"",,,1196,0,1196,,,,,
1,2,3,4,5,6,7,8,9,10,11
131,"Government Rural DispensaryNoushera Sansi, Gujranwala(Male)",Abadi Kelay Wali,164270104,,508,0,508,2,0,2
"",,"Noshehra SansiRoad",164270706,,268,0,268,,,
"",,"Noshehra SansiRoad",164270709,,257,0,257,,,
"",,,,,1033,0,1033,,,
132,"Government Girls High SchoolNowshera Sansi, Bhatta Abadi",Noshehra Sansi,164270101,,0,331,331,0,3,3
"",,"GulshanRehman",164270103,,0,188,188,,,
"",,Abadi Kelay Wali,164270104,,0,374,374,,,
"",,"GulshanRehman",164270105,,0,179,179,,,
"",,"GulshanRehman",164270106,,0,159,159,,,
"",,"Noshehra SansiRoad",164270706,,0,190,190,,,
"",,"Noshehra SansiRoad",164270709,,0,142,142,,,
"",,,,,0,1563,1563,,,
133,"Government Boys ElementarySchool Noshera Sansi Ajmal TownNear Bhatta Abadi (Combined)",Bhata Abadi,164270102,,646,509,1155,2,2,4
"",,Ajmal Town,164270701,,340,229,569,,,
"",,,,,986,738,1724,,,
134,"Leaders High School For Boys &Girls  Gali Maher Siraj Din WaliKatcha Khiali Road Gujranwala(Male)","Tabaarik ColonyKhiali Shahpur",164270201,,232,0,232,3,0,3
"",,"Nazir ParkKatcha KhialiRoad",164270203,,769,0,769,,,
"",,Nadeem Abad,164270204,,389,0,389,,,
"",,"Tabaarik ColonyKhiali Shahpur",164270205,,343,0,343,,,
"",,,,,1733,0,1733,,,
135,"Leaders High School For Boys &Girls  Gali Maher Siraj Din WaliKatcha Khiali Road Gujranwala(Female)","Tabaarik ColonyKhiali Shahpur",164270201,,0,198,198,0,2,2
"",,"Nazir ParkKatcha KhialiRoad",164270203,,0,468,468,,,
"",,Nadeem Abad,164270204,,0,269,269,,,
"",,"Tabaarik ColonyKhiali Shahpur",164270205,,0,187,187,,,
"",,,,,0,1122,1122,,,
136,"Rafique Public School, Gala Dr.Imran Wala, Gujranwala (Male)",Sialvi Town,164270202,,217,0,217,4,0,4
Sialvi Town,164270301,,448,0,448,,,,,
Sialvi Town,164270302,,275,0,275,,,,,
Gulshin Karim,164270303,,390,0,390,,,,,
Gulshin Karim,164270304,,437,0,437,,,,,
Gulshin Karim,164270305,,1380,0,1380,,,,,
"",,,3147,0,3147,,,,,
1,2,3,4,5,6,7,8,9,10,11
137,"Punjab Public School  NosheraSansi, Opposite Al-Saeed MarriageHall, Gujranwala   (Female)",Sialvi Town,164270202,,0,140,140,0,3,3
"",,Sialvi Town,164270301,,0,313,313,,,
"",,Sialvi Town,164270302,,0,199,199,,,
"",,Gulshin Karim,164270303,,0,244,244,,,
"",,Gulshin Karim,164270304,,0,342,342,,,
"",,Gulshin Karim,164270305,,0,1017,1017,,,
"",,,,,0,2255,2255,,,
138,"Government Commerce College,Near Sagheer Shaheed Road ParkGrw, (Combined)",Gulshin Karim,164270305,,1380,1017,2397,2,2,4
"",,,,,1380,1017,2397,,,
139,"Sagheer Shaheed BoysElementary School Near MasjidQaba Naveed Colony NousheraRoad (Male)","Momin AbadChah TalianWala",164270401,,486,0,486,3,0,3
"",,"Momin AbadNoshehraRoad",164270402,,713,0,713,,,
"",,Momin Abad-B,164270607,,556,0,556,,,
"",,,,,1755,0,1755,,,
140,"Sagheer Shaheed BoysElementary School Near MasjidQaba Naveed Colony NousheraRoad  (Female)","Momin AbadChah TalianWala",164270401,,0,340,340,0,3,3
"",,"Momin AbadNoshehraRoad",164270402,,0,522,522,,,
"",,Momin Abad-B,164270607,,0,406,406,,,
"",,,,,0,1268,1268,,,
141,"Government Commerce College,Near Sagheer Shaheed Road ParkGrw, (Combined)","Madina BazarChahTalian Wala",164270403,,586,474,1060,2,2,4
"",,"Madina BazarChahTalian Wala",164270404,,423,300,723,,,
"",,,,,1009,774,1783,,,
142,"Al-Rehman Science College St# 6Mohallah Chah Tailianwala (Male)","Chah TalianwalaMomin Abad",164270501,,270,0,270,3,0,3
"Chah TalianwalaMomin Abad",164270502,,178,0,178,,,,,
"Chah TalianwalaMomin Abad",164270503,,206,0,206,,,,,
"Chah TalianwalaNoshehra Road",164270504,,1120,0,1120,,,,,
"",,,1774,0,1774,,,,,
"Chah TalianwalaMomin Abad",164270501,,0,221,221,,,,,
"Chah TalianwalaMomin Abad",164270502,,0,136,136,,,,,
"Chah TalianwalaMomin Abad",164270503,,0,129,129,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Chah TalianwalaNoshehra Road",164270504,,0,778,778,,,
"",,,,,0,1264,1264,,,
144,"Adnan English High School(Pvt).Gali No. 12 Lohy Wali PulNoshera Road, Gujranwala (Male)","Chah TalianwalaNoshehra Road",164270505,,700,0,700,4,0,4
"",,"Chah TalianwalaNoshehra Road",164270506,,872,0,872,,,
"",,Chiragh Nagar,164270601,,213,0,213,,,
"",,Chiragh Nagar,164270602,,265,0,265,,,
"",,,,,2050,0,2050,,,
145,"Government Girls ElementarySchool  Street No. 5 Mominabad(Female)","Chah TalianwalaNoshehra Road",164270505,,0,481,481,0,3,3
"",,"Chah TalianwalaNoshehra Road",164270506,,0,605,605,,,
"",,Chiragh Nagar,164270601,,0,144,144,,,
"",,Chiragh Nagar,164270602,,0,198,198,,,
"",,,,,0,1428,1428,,,
146,"Adnan English High School(Pvt).Gali No. 12 Lohy Wali PulNoshera Road, Gujranwala (Male)",Chiragh Nagar,164270603,,219,0,219,4,0,4
"",,Momin Abad-B,164270604,,1202,0,1202,,,
"",,Momin Abad-B,164270605,,177,0,177,,,
"",,Momin Abad-B,164270606,,447,0,447,,,
"",,,,,2045,0,2045,,,
147,"Government Girls ElementarySchool  Street No. 5 Mominabad(Female)",Chiragh Nagar,164270603,,0,169,169,0,3,3
"",,Momin Abad-B,164270604,,0,890,890,,,
"",,Momin Abad-B,164270605,,0,106,106,,,
"",,Momin Abad-B,164270606,,0,368,368,,,
"",,,,,0,1533,1533,,,
148,"Government Girls Primary SchoolQila Sundar Qila Sunder Singh,Awan Chowk, Gujranwala (Male)",Rehmat Pura,164270703,,385,0,385,4,0,4
"",,Gulbarg Colony,164270704,,396,0,396,,,
"",,"Asmat UllahTown",164270705,,334,0,334,,,
"",,"Asmat UllahTown",164270708,,307,0,307,,,
"",,,,,1422,0,1422,,,
149,"Government Girls High SchoolNowshera Sansi, Gujranwala(Female)",Rehmat Pura,164270703,,0,267,267,0,2,2
Gulbarg Colony,164270704,,0,308,308,,,,,
"Asmat UllahTown",164270705,,0,231,231,,,,,
"Asmat UllahTown",164270708,,0,231,231,,,,,
"",,,0,1037,1037,,,,,
"Nai AbadiNoshehraSansi",164270801,,741,0,741,,,,,
Noshera Sansi,164270802,,350,0,350,,,,,
Noshera Sansi,164270803,,866,0,866,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Nai AbadiNoshehraSansi",164270808,,113,0,113,,,
"",,Noshera Sansi,164270809,,134,0,134,,,
"",,,,,2204,0,2204,,,
151,"Government Girls CommunityModel School, Noshera SansiGujranwala  (Female)","Nai AbadiNoshehraSansi",164270801,,0,456,456,0,3,3
"",,Noshera Sansi,164270802,,0,275,275,,,
"",,Noshera Sansi,164270803,,0,520,520,,,
"",,"Nai AbadiNoshehraSansi",164270808,,0,155,155,,,
"",,Noshera Sansi,164270809,,0,162,162,,,
"",,,,,0,1568,1568,,,
152,"Government Boys ElementarySchool Noshera Sansi Ajmal TownNear Bhatta Abadi (Male)","Ajmal Town/Gulbarg",164270804,,166,0,166,2,0,2
"",,Gulbarg Colony,164270806,,584,0,584,,,
"",,"Ajmal Town/Gulbarg",164270810,,217,0,217,,,
"",,Gulbarg Colony,164270812,,231,0,231,,,
"",,,,,1198,0,1198,,,
153,"Government Boys ElementarySchool Noshera Sansi Ajmal TownNear Bhatta Abadi (Male)","Qila Sundar SingAwan Chowk",164270805,,427,0,427,2,0,2
"",,Qila Sundar Sing,164270807,,439,0,439,,,
"",,"Qila Sundar SingAwan Chowk",164270811,,340,0,340,,,
"",,,,,1206,0,1206,,,
154,"Govt.Boys Primary School SunderSingh Qila Dhaki Palki Road NearAwan Chowk  (Female)","Ajmal Town/Gulbarg",164270804,,0,181,181,0,4,4
"Qila Sundar SingAwan Chowk",164270805,,0,308,308,,,,,
Gulbarg Colony,164270806,,0,408,408,,,,,
Qila Sundar Sing,164270807,,0,342,342,,,,,
"Ajmal Town/Gulbarg",164270810,,0,108,108,,,,,
"Qila Sundar SingAwan Chowk",164270811,,0,271,271,,,,,
Gulbarg Colony,164270812,,0,175,175,,,,,
"",,,0,1793,1793,,,,,
"Gali No.12Momin Abad- A",164280101,,568,0,568,,,,,
"Babar GeneralStore/ GalaHaroon wala",164280102,,321,0,321,,,,,
"Gali No.12Momin Abad- A",164280107,,189,0,189,,,,,
1,2,3,4,5,6,7,8,9,10,11
"",,"Babar GeneralStore/ GalaHaroon wala",164280108,,455,0,455,,,
"",,,,,1533,0,1533,,,
156,"Government F.D ModelElementary School Gali No. 14Noshera Road Gujranwala(Female)","Gali No.12Momin Abad- A",164280101,,0,360,360,0,2,2
"",,"Babar GeneralStore/ GalaHaroon wala",164280102,,0,228,228,,,
"",,"Gali No.12Momin Abad- A",164280107,,0,147,147,,,
"",,"Babar GeneralStore/ GalaHaroon wala",164280108,,0,291,291,,,
"",,,,,0,1026,1026,,,
