1,2,3,4,5,6,7,8,9,10,11,12,13
127,127,109,"GovernmentGirls PrimarySchool, ChakNo. 6/JB Gharbi(Female)",ChakNo 6/JB,150060310,,,,0,431,431,
"",,,,ChakNo 6/JB,150060311,,,,0,154,154,
"",,,,ChakNo 6/JB,150060312,,,,0,317,317,
"",,,,ChakNo 6/JB,150060313,,,,0,153,153,
"",,,,ChakNo 6/JB,150060314,,,,0,139,139,
"",,,,ChakNo 6/JB,150060328,,,,0,370,370,
"",,,,Total,,,,,0,1564,1564,0
128,128,109,"GovernmentGirlsElementary",ChakNo 6/JB,150060315,,,,460,326,786,
"",,,,ChakNo 6/JB,150060316,,,,404,302,706,
"",,,,Total,,,,,864,628,1492,2
129,129,109,"GovernmentBoys HighSchool, ChakNo. 8/JB Panj",ChakNo 8/JB,150060317,,,,276,0,276,
"",,,,ChakNo 8/JB,150060318,,,,174,0,174,
"",,,,ChakNo 8/JB,150060319,,,,664,0,664,
"",,,,Total,,,,,1114,0,1114,2
130,130,109,"GovernmentGirlsCommunityModel",ChakNo 8/JB,150060317,,,,0,173,173,
"",,,,ChakNo 8/JB,150060318,,,,0,102,102,
"",,,,ChakNo 8/JB,150060319,,,,0,502,502,
"",,,,Total,,,,,0,777,777,0
131,131,109,"GovernmentBoys HighSchool, Chak",ChakNo 8/JB,150060320,,,,938,0,938,
"",,,,ChakNo 8/JB,150060321,,,,386,0,386,
"",,,,Total,,,,,1324,0,1324,3
132,132,109,"GovernmentGirlsCommunity",ChakNo 8/JB,150060320,,,,0,663,663,
"",,,,ChakNo 8/JB,150060321,,,,0,310,310,
"",,,,Total,,,,,0,973,973,0
133,133,109,"Basic HealthCentre Shahbaz",ChakNo 8/JB,150060322,,,,351,279,630,
"",,,,Total,,,,,351,279,630,1
134,134,109,"Basic HealthCentre ShahbazNagar Chak No.8 JB (Male)",ChakNo 8/JB,150060323,,,,255,0,255,
"",,,,ChakNo 8/JB,150060324,,,,226,0,226,
"",,,,ChakNo 8/JB,150060325,,,,375,0,375,
"",,,,ChakNo 8/JB,150060329,,,,356,0,356,
"",,,,ChakNo 8/JB,150060330,,,,214,0,214,
"",,,,Total,,,,,1426,0,1426,3
135,135,109,"Basic HealthCentre ShahbazNagar Chak No.8 JB (Female)",ChakNo 8/JB,150060323,,,,0,151,151,
ChakNo 8/JB,150060324,,,,0,202,202,,,,,
ChakNo 8/JB,150060325,,,,0,204,204,,,,,
ChakNo 8/JB,150060329,,,,0,271,271,,,,,
ChakNo 8/JB,150060330,,,,0,247,247,,,,,
Total,,,,,0,1075,1075,0,,,,
ChakNo 108/JB,150060601,,,,427,0,427,,,,,
ChakNo 108/JB,150060602,,,,277,0,277,,,,,
ChakNo 108/JB,150060603,,,,624,0,624,,,,,
"",137,109,"GovernmentGirlsElementarySchool, Chak",ChakNo 108/JB,150060601,,,,0,341,341,
"",,,,ChakNo 108/JB,150060602,,,,0,218,218,
"",,,,ChakNo 108/JB,150060603,,,,0,540,540,
"",,,,Total,,,,,0,1099,1099,0
138,138,109,"GovernmentBoys HighSchool, Chak",ChakNo 115/JB,150060604,,,,310,0,310,
"",,,,ChakNo 115/JB,150060611,,,,333,0,333,
"",,,,Total,,,,,643,0,643,2
139,139,109,"GovernmentBoys HighSchool, Chak",ChakNo 115/JB,150060605,,,,377,0,377,
"",,,,ChakNo 115/JB,150060606,,,,722,0,722,
"",,,,Total,,,,,1099,0,1099,2
