"","Polling Station",Polling Station Name,Electoral Area,Block Code,"Male Voters","Female Voters","Total Voters",Male Booths,Female Booths,Total Booths,Booth Type
160,"Govt Boys Primary SchoolBalochan",Blochan,223040901,502,423,925,1,1,2,Combined
161,"Govt Boys Primary SchoolBasti Balochan",Blochan,223040902,681,596,1277,1,1,2,Combined
162,"Govt Girls Middle SchoolBolachan",Blochan,223040903,384,301,685,1,1,2,Combined
1,"Govt. Middle SchoolMakhdom Pur",Mohallah Gosia,220100104,384,0,384,2,0,2,Male
"",,Mohallah Fareed Abad,220100105,242,0,242,,,,
2,"Town CommitteeMakhdom Pur",Mohallah Gosia,220100104,0,289,289,0,2,2,Female
Mohallah Fareed Abad,220100105,0,157,157,,,,,,
"Near Miltri Camp Makhdompur",220100106,372,0,372,,,,,,
Old Lari Adda/Usman Town,220100107,583,0,583,,,,,,
4,"Govt. Primary SchoolGirls Community School","Near Miltri Camp Makhdompur",220100106,0,286,286,0,2,2,Female
"",,Old Lari Adda/Usman Town,220100107,0,397,397,,,,
"",,Tahir Colony,220100207,0,231,231,,,,
5,"Govt. Higher SecondarySchool Boys MakhdomPur","Mohallah Gojran wala/KochaDr. Rafique",220100101,609,0,609,2,0,2,Male
"",,"Pull Hamid Shah /MubarikAbad",220100206,528,0,528,,,,
6,"Govt. Higher SecondarySchool Boys MakhdomPur","Mohallah Gojran wala/KochaDr. Rafique",220100101,0,443,443,0,2,2,Female
"",,"Pull Hamid Shah /MubarikAbad",220100206,0,382,382,,,,
7,"Govt. Higher SecondarySchool Boys MakhdomPur",Local Bazar / Gali No-8,220100102,747,0,747,3,0,3,Male
"",,Local Bazar / Gali No-8,220100108,747,0,747,,,,
"",,"Kocha Mohammad Hussian/Peer Zikria",220100103,671,0,671,,,,
8,"Primary School No-2Makhdom Pur",Local Bazar / Gali No-8,220100102,0,543,543,0,2,2,Female
"",,Local Bazar / Gali No-8,220100108,0,543,543,,,,
"",,"Kocha Mohammad Hussian/Peer Zikria",220100103,0,482,482,,,,
9,"Govt. Higher SecondarySchool Boys MakhdomPur",Ansari Chok/Main Bazar,220100201,238,0,238,2,0,2,Male
"",,"Chok Rasheed Adil/Mohallah bari/Jhajri  wala",220100202,236,0,236,,,,
10,"Primary School Talem ulQuran",Ansari Chok/Main Bazar,220100201,0,189,189,0,2,2,Female
"",,"Chok Rasheed Adil/Mohallah bari/Jhajri  wala",220100202,0,170,170,,,,
11,Rural health Dispensary,Hospital Road,220100203,563,0,563,3,0,3,Male
"",,Railway Road/Makhdum Pur,220100204,267,0,267,,,,
"",,"Hospital Road /OfficerColony",220100205,621,0,621,,,,
12,"Govt. Girls HigherSecondary SchoolMakhdom Pur",Hospital Road,220100203,0,403,403,0,2,2,Female
"",,Railway Road/Makhdum Pur,220100204,0,181,181,,,,
"",,"Hospital Road /OfficerColony",220100205,0,489,489,,,,
13,"Govt .Boys Pry SchoolNo.2 Patti Sarkar",Makhdom Pur Pahoran,220050904,672,464,1136,1,1,2,Combined
14,"Govt .Boys Pry School3/AH",Chak No.3/AH,220050901,299,0,299,2,0,2,Male
"",,Chak No.3/AH,220050902,820,0,820,,,,
"",,Chak No.3/AH,220050903,820,0,820,,,,
15,"Govt .Girls Middle School3/AH",Chak No.3/AH,220050901,0,214,214,0,2,2,Female
"",,Chak No.3/AH,220050902,0,557,557,,,,
"",,Chak No.3/AH,220050903,0,557,557,,,,
16,"Govt .Boys Pry SchoolKot Abdullah",Kot Abdullah,220051001,816,722,1538,2,2,4,Combined
Kot Abdullah,220051002,816,722,1538,,,,,,
Kot Abdullah,220051003,570,423,993,,,,,,
18,"Govt .Boys High School,2/AH",Chak No.2/AH,220051006,613,423,1036,1,1,2,Combined
19,"Govt .Boys PrimarySchool, 6 A Waryam wala2/AH",Chak No.2/AH,220051005,442,259,701,1,1,2,Combined
20,"Govt .Boys Pry School,Chak No. 1/AH",Chak No.1/AH,220050804,536,412,948,2,1,3,Combined
"",,Chak No.1/AH,220050805,225,131,356,,,,
21,"Govt Girls High School,Chak No. 4/AH",Chak No.4/AH,220050801,782,553,1335,2,1,3,Combined
"",,Chak No.4/AH,220050802,782,553,1335,,,,
22,"Govt Girls High School,Chak No. 4/AH",Chak No.4/AH,220050803,465,273,738,1,1,2,Combined
23,"Govt .Boys Pry School,Chak No. 5/AH",Chak No.5/AH,220050806,675,502,1177,1,1,2,Combined
24,"Govt .Boys P/S Chak No.10/AH",Chak No.10/AH,220050701,697,493,1190,2,1,3,Combined
"",,Chak No.10/AH,220050702,697,493,1190,,,,
25,"Govt .Girls Pry School,Chak No.10/AH",Chak No.10/AH,220050703,394,298,692,1,1,2,Combined
26,"Govt .Boys PrySchool,6/AH",Chak No.6/AH,220050704,721,525,1246,2,1,3,Combined
"",,Chak No.6/AH,220050705,721,525,1246,,,,
27,"Govt .Boys PrySchool,7/V",Chak No.7/V,220050706,627,438,1065,1,1,2,Combined
"",,Chak No.7/V,220050707,627,438,1065,,,,
28,"Govt .Boys HighSchool,12/AH(Part-I)",Chak No.12/AH,220050504,584,465,1049,1,1,2,Combined
29,"Govt .Boys HighSchool,12/AH(Part-I)",Chak No.12/AH,220050503,349,281,630,1,1,2,Combined
30,"Govt .Boys High School,12/AH(Part-II)",Chak No.12/AH,220050505,318,228,546,2,1,3,Combined
"",,Chak No.12/AH,220050506,353,318,671,,,,
31,"Govt .Girls High School12/Ah",Chak No.12/AH,220050507,289,222,511,2,1,3,Combined
"",,Chak No.12/AH,220050508,461,331,792,,,,
32,"Govt .Girls ModelCommunity",Chak No.11/AH,220050501,428,310,738,2,2,4,Combined
"",,Chak No.11/AH,220050502,446,354,800,,,,
33,"Govt .Boys Pry School, 8 /V",Chak No.8/V,220050601,763,504,1267,2,1,3,Combined
34,"Govt . Pry School, 9/ V",Chak No.9/V,220050602,865,695,1560,2,2,4,Combined
35,"Govt .Boys Pry School18/AH",Chak No.18/AH,220051101,986,642,1628,2,1,3,Combined
"",,Chak No.18/AH,220051102,986,642,1628,,,,
36,"Govt .Boys Pry School,Rakh Makhdum Voni",Rakh Makhdoom Venoi,220051301,373,260,633,2,1,3,Combined
37,"Govt .Boys Pry School,Rakh Makhdum Voni",Rakh Makhdoom Venoi,220051302,472,349,821,2,1,3,Combined
38,"Govt .Girls Pry School,Rakh Makhdum Voni",Rakh Makhdoom Venoi,220051303,339,255,594,1,1,2,Combined
39,"Govt .Girls Pry School,Rakh Makhdum Voni",Rakh Makhdoom Venoi,220051304,298,211,509,2,2,4,Combined
40,"Govt .Boys Pry School,16/ V",Chak No.16/V,220050406,551,0,551,2,0,2,Male
Chak No.16/V,220050407,687,0,687,,,,,,
Chak No.16/V,220050406,0,439,439,,,,,,
42,"Govt .Boys MiddleSchool, Chak No.17/AH",Chak No.17-AH,220050403,583,411,994,1,1,2,Combined
43,"Govt .Boys MiddleSchool, Chak No.17/AH",Chak No.17-AH,220050404,406,295,701,1,1,2,Combined
"",,C   h  a  k   N  o.17-AH,220050405,195,177,372,,,,
44,"Govt .Girls Pry School,Chak No.19/ V",Chak No.19/V,220050401,107,90,197,2,1,3,Combined
"",,Chak No.19/V,220050402,639,560,1199,,,,
45,"Govt .Girls Pry School,15/ V",Chak No.15/V,220051202,42,33,75,1,1,2,Combined
"",,Chak No.15/V,220051203,561,371,932,,,,
46,"Govt .Girls Pry School,15/ V",Chak No.15/V,220051201,568,416,984,1,1,2,Combined
47,"Govt .Girls Pry School,15/ V  Sharki",Chak No.15/V,220051204,329,227,556,1,1,2,Combined
48,"Govt .Boys Pry School,11/8-R",Chak No.11/8R,220060208,543,434,977,2,1,3,Combined
"",,Chak No.11/8R,220060209,284,178,462,,,,
49,"Govt .Boys Pry School,11-A / 8R",Chak No.11A/8R,220060204,580,423,1003,1,1,2,Combined
"",,Chak No.11A/8R,220060205,580,423,1003,,,,
50,"Govt .Boys Pry School,11-A / 8R",Chak No.11A/8R,220060206,618,504,1122,1,1,2,Combined
"",,Chak No.11A/8R,220060207,618,504,1122,,,,
51,"Govt .Boys Pry School,11-B / 8R",Chak No.11B/8R,220060201,712,555,1267,2,1,3,Combined
"",,Chak No.11B/8R,220060202,712,555,1267,,,,
"",,Chak No.11B/8R,220060203,177,138,315,,,,
52,"Govt .Boys School, 8-A /8R",Chak No.8A/8R,220060101,458,356,814,1,1,2,Combined
53,"Govt .Boys Pry School 8-B/8-R",Chak No.8B/8R,220060102,474,344,818,1,1,2,Combined
54,"Govt Boys pry School,10-/8-R",Chak No.10/8R,220060103,790,647,1437,2,1,3,Combined
55,"Govt Boys High School14/8-R",Chak No.14/8R,220060107,344,227,571,1,1,2,Combined
"",,Chak No.14/8R,220060108,330,258,588,,,,
56,"Govt Boys High School14/8-R",Chak No.14/8R,220060106,426,369,795,1,1,2,Combined
57,"Govt  Girls PrySchool,14/8-R(East)",Chak No.14/8R,220060110,446,372,818,1,1,2,Combined
58,"Govt  Girls PrySchool,14/8-R(East)",Chak No.14/8R,220060109,639,562,1201,1,1,2,Combined
59,"Govt  Girls PrySchool,15/8-R",Chak No.15/8R,220060104,549,460,1009,2,1,3,Combined
"",,Chak No.15/8R,220060105,260,164,424,,,,
60,"Govt Boys Pry School13/8-R",Chak No.13/8R,220060403,803,0,803,2,0,2,Male
"",,Chak No.13/8R,220060404,803,0,803,,,,
"",,Chak No.13/8R,220060405,389,0,389,,,,
"",,Chak No.13/8R,220060406,389,0,389,,,,
61,"Govt Girls Pry School13/8-R",Chak No.13/8R,220060403,0,633,633,0,2,2,Female
"",,Chak No.13/8R,220060404,0,633,633,,,,
62,"Govt Girls Pry School13/8-R",Chak No.13/8R,220060405,0,357,357,0,2,2,Female
"",,Chak No.13/8R,220060406,0,357,357,,,,
63,"Govt Boys Pry School12/8-R",Chak No.12/8R,220060401,310,246,556,1,1,2,Combined
64,"Govt Girls Pry School,9/9-R",Chak No.9/9R,220060402,679,552,1231,1,1,2,Combined
Chak No.9/9R,220060407,679,552,1231,,,,,,
Chak No.5/9R,220060612,994,0,994,,,,,,
Chak No.5/9R,220060613,994,0,994,,,,,,
Chak No.5/9R,220060614,432,0,432,,,,,,
66,"Govt Girls  Pry School,5/9-R",Chak No.5/9R,220060614,0,381,381,0,2,2,Female
"",,Chak No.5/9R,220060612,0,915,915,,,,
67,"Govt Boys HighSchool,7/9-R",Chak No.7/9R,220060601,499,0,499,2,0,2,Male
"",,Chak No.7/9R,220060602,424,0,424,,,,
68,"Govt Boys HighSchool,7/9-R",Chak No.7/9R,220060603,312,0,312,2,0,2,Male
69,"Govt Boys HighSchool,7/9-R",Chak No.7/9R,220060604,813,694,1507,2,1,3,Combined
70,"Govt Girls HighSchool,7/9-R",Chak No.7/9R,220060601,0,425,425,0,2,2,Female
"",,Chak No.7/9R,220060602,0,328,328,,,,
"",,Chak No.7/9R,220060603,0,193,193,,,,
71,"Govt Boys pry School8/9-R",Chak No.8/9R,220060605,239,0,239,3,0,3,Male
"",,Chak No.8/9R,220060606,215,0,215,,,,
"",,Chak No.8/9R,220060607,252,0,252,,,,
"",,Chak No.8/9R,220060608,695,0,695,,,,
"",,Chak No.8/9R,220060609,695,0,695,,,,
"",,Chak No.8/9R,220060610,311,0,311,,,,
"",,Chak No.8/9R,220060611,62,0,62,,,,
72,"Govt .Girls Pry School8/9-R",Chak No.8/9R,220060608,0,576,576,0,2,2,Female
"",,Chak No.8/9R,220060609,0,576,576,,,,
"",,Chak No.8/9R,220060610,0,241,241,,,,
"",,Chak No.8/9R,220060611,0,39,39,,,,
73,"Govt .Girls Pry School8/9-R",Chak No.8/9R,220060605,0,145,145,0,2,2,Female
"",,Chak No.8/9R,220060606,0,142,142,,,,
"",,Chak No.8/9R,220060607,0,207,207,,,,
74,"Govt .Girls Middle School14/9-R(MiddlePort)",Chak No.14/9R,220060504,362,0,362,3,0,3,Male
"",,Chak No.14/9R,220060505,555,0,555,,,,
"",,Chak No.14/9R,220060507,618,0,618,,,,
"",,Chak No.14/9R,220060508,618,0,618,,,,
75,"Govt .Girls Middle School14/9-R(Pry Port",Chak No.14/9R,220060504,0,307,307,0,2,2,Female
"",,Chak No.14/9R,220060505,0,464,464,,,,
76,"Govt .Girls Middle School14/9-R(Pry Port",Chak No.14/9R,220060507,0,527,527,0,2,2,Female
"",,Chak No.14/9R,220060508,0,527,527,,,,
77,"Govt Boys High School14/9-R",Chak No.14/9R,220060506,279,205,484,1,1,2,Combined
"",,Chak No.14/9R,220060509,295,189,484,,,,
78,"Govt Boys Pry School15/9-R",Chak No.15/9R,220060501,774,683,1457,2,1,3,Combined
"",,Chak No.15/9R,220060502,774,683,1457,,,,
79,"Govt Boys Pry School15/9-R",Chak No.15/9R,220060503,190,133,323,1,1,2,Combined
80,"Govt .Boys Middle School13/9-R",Chak No.13/9R,220060512,373,300,673,1,1,2,Combined
81,"Govt .Boys Middle School13/9-R",Chak No.13/9R,220060510,989,732,1721,2,2,4,Combined
"",,Chak No.13/9R,220060511,989,732,1721,,,,
82,"Govt Boys Primary School18/9-R",Chak No.18/9R,220060302,548,381,929,2,1,3,Combined
"",,Chak No.3/9R,220060303,425,354,779,,,,
83,"Govt Girls Pry School 4/8-AR",Chak No.4/8AR,220060304,697,527,1224,2,1,3,Combined
84,"Govt Boys High School4/9-R",Chak No.6/9R,220060301,356,0,356,2,0,2,Male
Chak No.4/9R,220060310,958,0,958,,,,,,
Chak No.4/9R,220060311,958,0,958,,,,,,
Chak No.6/9R,220060301,0,323,323,,,,,,
Chak No.4/9R,220060310,0,799,799,,,,,,
86,"Govt Boys Middle School2/9-R",Chak No.2/9R,220060305,349,0,349,2,0,2,Male
"",,Chak No.2/9R,220060306,451,0,451,,,,
"",,Chak No.2/9R,220060307,241,0,241,,,,
87,"Govt Boys Middle School2/9-R",Chak No.2/9R,220060308,358,302,660,2,1,3,Combined
"",,Chak No.2/9R,220060309,346,291,637,,,,
88,"Govt Girls Middle School2/9-R",Chak No.2/9R,220060305,0,263,263,0,2,2,Female
"",,Chak No.2/9R,220060306,0,387,387,,,,
"",,Chak No.2/9R,220060307,0,188,188,,,,
89,"Govt Girls Primary School16/9-R",Chak No.16/9R,220060719,217,0,217,2,0,2,Male
"",,Chak No.16/9R,220060722,366,0,366,,,,
"",,Chak No.16/9R,220060723,236,0,236,,,,
"",,Chak No.16/9R,220060721,461,0,461,,,,
90,"Govt Girls Primary School16/9-R",Chak No.16/9R,220060720,556,433,989,1,1,2,Combined
91,"Govt Girls Primary School16/9-R",Chak No.16/9R,220060719,0,146,146,0,2,2,Female
"",,Chak No.16/9R,220060721,0,335,335,,,,
"",,Chak No.16/9R,220060722,0,296,296,,,,
"",,Chak No.16/9R,220060723,0,173,173,,,,
92,"Govt Boys Primary School17/9-R",Chak No.17/9R,220060716,1020,796,1816,1,1,2,Combined
93,"Govt Boys Primary School17/9-R",Chak No.17/9R,220060717,1020,796,1816,1,1,2,Combined
"",,Chak No.17/9R,220060718,92,59,151,,,,
94,"Govt Boys High School19/9-R  Proposed",Chak No.19/9R,220060711,709,529,1238,2,1,3,Combined
"",,Chak No.19/9R,220060712,709,529,1238,,,,
95,"Govt. Girls Middle School19/9-R (east) Proposed",Chak No.19/9R,220060701,432,0,432,3,0,3,Male
"",,Chak No.19/9R,220060702,964,0,964,,,,
"",,Chak No.19/9R,220060703,964,0,964,,,,
96,"Govt Girls High  School19/9-R Middle Portion",Chak No.19/9R,220060704,208,142,350,2,1,3,Combined
"",,Chak No.19/9R,220060705,406,253,659,,,,
"",,Chak No.19/9R,220060725,406,253,659,,,,
97,"Govt. Girls High School19/9-R (High Portion PartI",Chak No.19/9R,220060706,642,0,642,3,0,3,Male
"",,Chak No.19/9R,220060707,642,0,642,,,,
"",,Chak No.19/9R,220060708,593,0,593,,,,
"",,Chak No.19/9R,220060709,593,0,593,,,,
"",,Chak No.19/9R,220060710,324,0,324,,,,
"",,Chak No.19/9R,220060726,324,0,324,,,,
98,"Govt Girls High School19/9-R",Chak No.19/9R,220060706,0,394,394,0,2,2,Female
"",,Chak No.19/9R,220060707,0,394,394,,,,
"",,Chak No.19/9R,220060708,0,452,452,,,,
"",,Chak No.19/9R,220060709,0,452,452,,,,
"",,Chak No.19/9R,220060710,0,245,245,,,,
"",,Chak No.19/9R,220060726,0,245,245,,,,
99,"Govt Boys Primary School19/9-R",Chak No.19/9R,220060701,0,274,274,0,2,2,Female
"",,Chak No.19/9R,220060702,0,637,637,,,,
"",,Chak No.19/9R,220060703,0,637,637,,,,
100,Office of the U/C 19/9-R,Chak No.19/9R,220060713,364,0,364,2,0,2,Male
Chak No.19/9R,220060714,441,0,441,,,,,,
Chak No.19/9R,220060727,441,0,441,,,,,,
Chak No.19/9R,220060713,0,264,264,,,,,,
"",,Chak No.19/9R,220060727,0,333,333,,,,
102,"Govt. Pry. School 19/9-RTibba (Proposed)",Chak No.19/9R,220060715,554,398,952,1,1,2,Combined
103,"Govt Boys Middle SchoolBarewala",Baray Wala,223070201,530,454,984,2,1,3,Combined
"",,Baray Wala,223070202,219,151,370,,,,
104,"Govt Boys Middle SchoolHassan Pur",Attari,223070203,315,266,581,1,1,2,Combined
105,"Govt Boys Middle SchoolHassan Pur",Hassan Pur,223070206,501,424,925,1,1,2,Combined
106,"Govt Boys Primary SchoolAli Pur",Ali Pur,223070204,462,334,796,1,1,2,Combined
"",,Ali Pur,223070205,217,124,341,,,,
107,"Govt Girls Primary SchoolJahan Pur",Jahan Pur,223070503,175,140,315,2,1,3,Combined
"",,Jahan Pur,223070504,649,424,1073,,,,
"",,Jahan Pur,223070505,649,424,1073,,,,
108,"Govt Boys Primary SchoolNoor Pur",Noor Pur,223070506,321,239,560,2,1,3,Combined
"",,Noor Pur,223070507,668,461,1129,,,,
"",,Noor Pur,223070508,668,461,1129,,,,
109,"Govt Boys High SchoolRehana Sahu",Rehana Sahu,223070501,700,481,1181,2,1,3,Combined
"",,Rehana Sahu,223070502,700,481,1181,,,,
110,"Govt Boys Primary SchoolNehely Wala",Nehaly Wala,223070601,388,279,667,2,1,3,Combined
"",,Nehaly Wala,223070602,468,266,734,,,,
111,"Govt Boys Primary SchoolKalkan Wala  (P-I)",Kalnka Wala,223070603,764,0,764,3,0,3,Male
"",,Kalnka Wala,223070604,386,0,386,,,,
"",,Bhattian Wala,223070805,407,0,407,,,,
112,"Govt Boys Primary SchoolKalkan Wala   (P-II)",Kalnka Wala,223070603,0,481,481,0,2,2,Female
"",,Kalnka Wala,223070604,0,255,255,,,,
"",,Bhattian Wala,223070805,0,311,311,,,,
113,"Govt Boys High SchoolKot Wala (1 Portion)",Hussain Abad Awal,223070802,593,416,1009,2,1,3,Combined
114,"Govt Boys High SchoolKot Wala (1 Portion)",Hussain Abad Awal,223070801,364,254,618,2,1,3,Combined
Kot Wala,223070803,898,644,1542,,,,,,
116,"Govt Boys Primary SchoolJalil Pur",Jalil Pur,223070702,259,252,511,1,1,2,Combined
117,"Govt Girls Primary SchoolJalil Pur",Jalil Pur,223070703,1041,833,1874,1,1,2,Combined
118,"Govt Girls Primary SchoolJalil Pur",Jalil Pur,223070704,1041,833,1874,1,1,2,Combined
"",,Nonan Wala,223070705,117,77,194,,,,
119,"Govt Girls Primary SchoolHussain Abad Sani",Hussain Pur Sani,223070701,677,534,1211,1,1,2,Combined
120,"Govt Boys Primary SchoolMuhammad Pur Otar",Mohamamd Pur Utar,223070706,400,322,722,1,1,2,Combined
121,"Govt Boys Primary SchoolHattara",Hattran,223080901,348,256,604,1,1,2,Combined
"",,Hattran,223080903,221,137,358,,,,
122,"Govt Boys Primary SchoolHattara",Hattran,223080902,526,457,983,1,1,2,Combined
123,"Govt Boys Primary SchoolKot Malana",Kot Mallana,223080904,363,292,655,1,1,2,Combined
"",,Allah Hu,223080905,386,341,727,,,,
124,"Govt Boys Middle SchoolShahdat Kandle (I-Part)",Shahadat Kandlah,223081009,555,0,555,3,0,3,Male
"",,Shahadat Kandlah,223081010,216,0,216,,,,
"",,Shahadat Kandlah,223081011,417,0,417,,,,
"",,Shahadat Kandlah,223081012,127,0,127,,,,
"",,Shahadat Kandlah,223081013,62,0,62,,,,
"",,Shahadat Kandlah,223081014,92,0,92,,,,
"",,Shahadat Kandlah,223081015,199,0,199,,,,
125,"Govt Boys Middle SchoolShahdat Kandle (II Part )",Shahadat Kandlah,223081009,0,357,357,0,3,3,Female
"",,Shahadat Kandlah,223081010,0,140,140,,,,
"",,Shahadat Kandlah,223081011,0,305,305,,,,
"",,Shahadat Kandlah,223081012,0,71,71,,,,
"",,Shahadat Kandlah,223081013,0,18,18,,,,
"",,Shahadat Kandlah,223081014,0,86,86,,,,
"",,Shahadat Kandlah,223081015,0,147,147,,,,
126,"Govt Girls Middle SchoolJalla Pahore (I Portion )",Jallah Pahore,223081001,101,78,179,1,1,2,Combined
"",,Jallah Pahore,223081002,160,124,284,,,,
"",,Jallah Pahore,223081003,92,61,153,,,,
"",,Jallah Pahore,223081004,47,30,77,,,,
127,"Govt Girls Middle SchoolJalla Pahore (II Portion )",Jallah Pahore,223081005,201,144,345,2,1,3,Combined
"",,Jallah Pahore,223081006,98,56,154,,,,
"",,Jallah Pahore,223081007,622,431,1053,,,,
"",,Jallah Pahore,223081008,622,431,1053,,,,
"",,Jallah Pahore,223081016,622,431,1053,,,,
128,BHU Umid  Garh,Umeed Garh,223081201,227,0,227,3,0,3,Male
Umeed Garh,223081202,488,0,488,,,,,,
Umeed Garh,223081203,168,0,168,,,,,,
Umeed Garh,223081204,414,0,414,,,,,,
Umeed Garh,223081205,278,0,278,,,,,,
"",,Umeed Garh,223081202,0,386,386,,,,
"",,Umeed Garh,223081203,0,91,91,,,,
"",,Umeed Garh,223081204,0,256,256,,,,
"",,Umeed Garh,223081205,0,151,151,,,,
130,"Govt Boys Middle SchoolDin Pur",Deen Pur,223081206,342,218,560,2,1,3,Combined
"",,Deen Pur,223081207,533,358,891,,,,
131,"Govt Boys Middle SchoolGubind Garh",Gobind Garh,223081101,562,0,562,3,0,3,Male
"",,Gobind Garh,223081102,562,0,562,,,,
"",,Gobind Garh,223081103,333,0,333,,,,
"",,Gobind Garh,223081104,492,0,492,,,,
"",,Roshan Pur,223080101,234,0,234,,,,
132,"Govt Girls Primary SchoolGobind Garh",Gobind Garh,223081101,0,349,349,0,2,2,Female
"",,Gobind Garh,223081102,0,349,349,,,,
"",,Gobind Garh,223081103,0,262,262,,,,
"",,Gobind Garh,223081104,0,302,302,,,,
"",,Roshan Pur,223080101,0,179,179,,,,
133,"Govt Boys Primary SchoolBatian",Moza batian,223080201,155,102,257,2,1,3,Combined
"",,Moza batian,223080202,657,422,1079,,,,
134,"Govt Boys Primary SchoolShah Kareem AbdulHakeem",Shah Kareem,223110203,313,216,529,1,1,2,Combined
"",,Jungle Ali Chappa,223110108,654,478,1132,,,,
135,"Govt Boys MiddleSchoolNo-3 Abdul Hakim(P-I)",Nizam Abad,223110101,459,0,459,2,0,2,Male
Mubarik Abad,223110102,425,0,425,,,,,,
Namet Pura,223110104,197,0,197,,,,,,
Military Colony,223110105,27,0,27,,,,,,
Mujahid Abad,223110103,737,0,737,,,,,,
Mujahid Abad,223110107,737,0,737,,,,,,
petrol Pump,223110106,17,0,17,,,,,,
Shahb Town,223110201,123,0,123,,,,,,
137,"Govt. Girls CM PrimarySchool Ali ChappaShumali (P-I) AbdulHakeem",Nizam Abad,223110101,0,360,360,0,2,2,Female
"",,Mubarik Abad,223110102,0,327,327,,,,
"",,Namet Pura,223110104,0,181,181,,,,
"",,Military Colony,223110105,0,18,18,,,,
138,"Govt. Girls CM PrimarySchool Ali ChappaShumali (P-II) AbdulHakeem",Mujahid Abad,223110103,0,611,611,0,2,2,Female
"",,Mujahid Abad,223110107,0,611,611,,,,
"",,petrol Pump,223110106,0,14,14,,,,
"",,Shahb Town,223110201,0,61,61,,,,
"",,"Anayet Town, Basti Dogran",223110202,0,205,205,,,,
139,"Govt Boys Middle SchoolJinnah Colony AbdulHakim Near Ghalla MandiMiddle Portion","Chak Ali Chappa/BismillahTown",223110204,445,0,445,2,0,2,Male
"",,Afzal Town,223110205,178,0,178,,,,
"",,Afzal Town,223110206,687,0,687,,,,
"",,Afzal Town,223110208,687,0,687,,,,
140,"Govt Boys Middle SchoolJinnah Colony AbdulHakim Near Ghalla MandiMiddle Portion",Kachi Abadi,223110302,533,0,533,2,0,2,Male
"",,Crichtian Colony,223110303,246,0,246,,,,
141,"Govt. Boys High SchoolAbdul Hakeem (P-I)",Rehman Town,223110401,437,0,437,2,0,2,Male
"",,Basti Tareli,223110402,191,0,191,,,,
"",,Hospital Road,223110403,167,0,167,,,,
142,"Govt. Boys High SchoolAbdul Hakeem (P-I)",A Block,223110404,276,0,276,2,0,2,Male
Town Committee,223110405,482,0,482,,,,,,
Rail Bazar Shurqi,223110406,487,0,487,,,,,,
Nonar Pur,223110502,297,0,297,,,,,,
Chak Shiraja,223110504,966,0,966,,,,,,
144,"Govt. Boys High SchoolAbdul Hakeem (P-II)",Rail Bazar Ghurbu,223110501,345,284,639,1,1,2,Combined
145,"Govt. Boys High SchoolAbdul Hakeem (P-II)",Mohammadi Mohallah,223110503,544,470,1014,1,1,2,Combined
146,"Govt Girls HigherSecondry  School AbdulHakim 1st Portion",Rehman Town,223110401,0,372,372,0,2,2,Female
"",,Basti Tareli,223110402,0,174,174,,,,
"",,Hospital Road,223110403,0,167,167,,,,
"",,A Block,223110404,0,247,247,,,,
"",,Town Committee,223110405,0,409,409,,,,
"",,Rail Bazar Shurqi,223110406,0,462,462,,,,
147,"Govt Girls HigherSecondry  School AbdulHakim 3rd   Portion",Mohammadi Mohallah,223110503,0,470,470,0,2,2,Female
"",,Chak Shiraja,223110504,0,734,734,,,,
"",,Chak Shiraja,223110506,0,734,734,,,,
148,"Govt Girls Middle SchoolChristian Colony AbdulHakim 1st Portion",Afzal Town,223110205,0,149,149,0,3,3,Female
"",,Oad Colony,223110206,0,590,590,,,,
"",,Oad Colony,223110208,0,590,590,,,,
149,"Govt Girls Middle SchoolChristian Colony AbdulHakim Iind Portion",Kachi Abadi,223110302,0,449,449,0,3,3,Female
"",,Chichean Colony,223110303,0,242,242,,,,
150,"Govt Girls Middle SchoolNear Office E.N.T AbdulHakim 1st Portion",Mohallah Sabri,223110304,512,0,512,2,0,2,Male
Mohallah Shekhan Wala,223110305,366,0,366,,,,,,
Mohallah Pir Mubarik Shah,223110306,432,0,432,,,,,,
Mohallah Sabri,223110304,0,479,479,,,,,,
"",,,Mohallah Pir Mubarik Shah,223110306,0,373,373,,,,
"",152,"Office of MarketCommittee Abdul Hakim",Basti Qutab Pur,223110505,475,0,475,2,0,2,Male
"",,,Basti Bahawal Pur,223110601,651,0,651,,,,
"",153,"Office of MarketCommittee Abdul Hakim",Mohallah Farooq Azam,223110602,653,612,1255,2,1,3,Combined
"",,,Mohallah Farooq Azam,223110608,653,612,1255,,,,
"",154,"Office of MarketCommittee Abdul Hakim",Mohallah Eid Gah,223110603,209,0,209,2,0,2,Male
"",,,Basti Atari,223110604,610,0,610,,,,
"",155,"Govt Boys Middle SchoolNo-1 Abdul HakimMultan Road (1st Port)",Basti Qutab Pur,223110505,0,391,391,0,3,3,Female
"",,,Basti Bahawal Pur,223110601,0,556,556,,,,
"",,,Mohallah Eid Gah,223110603,0,164,164,,,,
"",,,Basti Atari,223110604,0,486,486,,,,
"",156,"Govt. Boys DegreeCollege Abdul Hakeem",Chah Sultan Thiraj,223110301,945,742,1687,2,2,4,Combined
"",,,Nawan Sheher,223110605,731,569,1300,,,,
"",157,"Govt. Boys DegreeCollege Abdul Hakeem",Nawan Sheher,223110606,731,569,1300,2,2,4,Combined
"",,,Nawan Sheher,223110607,731,569,1300,,,,
"",,,Shiraz Abad,223110207,233,189,422,,,,
