"","PollingStation",Polling Station Name,Electoral Area,Block Code,"MaleVoters","FemaleVoters","TotalVoters",Male Booths,Female Booths,Total Booths,Booth Type
"",33,"Govt Girls Primary Schoolsaee Mirali",Bati,223060906,342,271,613,1,1,2,Combined
Saee Mirali,223060907,195,142,337,,,,,,,
Noor Mirali,223060908,69,49,118,,,,,,,
Baregh Sargana,223061006,643,451,1094,,,,,,,
"",35,"Govt Boys Pry SchoolManzar Aabad BagarSargana",Baregh Sargana,223061003,580,514,1094,1,1,2,Combined
"",36,"Govt Girls Middle SchoolManzar Abad",Baregh Sargana,223061001,205,0,205,2,0,2,Male
"",,,Baregh Sargana,223061002,380,0,380,,,,
"",,,Baregh Sargana,223061004,305,0,305,,,,
"",,,Baregh Sargana,223061005,218,0,218,,,,
"",37,"Govt Girls Middle SchoolManzar Abad (IIndPortion)",Baregh Sargana,223061001,0,135,135,0,2,2,Female
"",,,Baregh Sargana,223061002,0,268,268,,,,
"",,,Baregh Sargana,223061004,0,215,215,,,,
"",,,Baregh Sargana,223061005,0,203,203,,,,
"",38,"Govt Girls Primary SchoolQaim Sahu",Qaim Sahu,223060304,208,146,354,1,1,2,Combined
"",,,Kaura Isra,223060305,330,298,628,,,,
"",,,Mohan pur,223060307,212,178,390,,,,
"",39,"Govt Boys Middle SchoolKot Gohar Muhammad",Kot Gohar Muhammad,223060301,421,0,421,2,0,2,Male
"",,,Kot Gohar Muhammad,223060302,460,0,460,,,,
"",,,Kot Gohar Muhammad,223060303,317,0,317,,,,
"",,,Manak Wala,223060306,161,0,161,,,,
"",40,"Govt.Girls MiddleSchool,Kot GhoarMuhammad",Kot Gohar Muhammad,223060301,0,325,325,0,2,2,Female
"",,,Kot Gohar Muhammad,223060302,0,389,389,,,,
"",,,Kot Gohar Muhammad,223060303,0,261,261,,,,
"",,,Manak Wala,223060306,0,119,119,,,,
"",41,"Govt.Higher Secondaryschool Jassokanwen.",Jassokawen.,223060410,129,101,230,1,1,2,Combined
"",,,Jassokawen.,223060411,137,99,236,,,,
"",,,Jassokawen.,223060412,92,72,164,,,,
"",,,Jassokawen.,223060413,396,324,720,,,,
"",42,"Govt.boys PrimarySchool,Choper Hatta..",Chopar Hatta,223060401,505,0,505,2,0,2,Male
"",,,Chopar Hatta,223060402,394,0,394,,,,
"",,,Chopar Hatta,223060403,109,0,109,,,,
"",,,Chopar Hatta,223060404,284,0,284,,,,
"",43,"Govt.Girls Pry.SchoolBasti Chopar Hatta",Chopar Hatta,223060401,0,453,453,0,2,2,Female
"",,,Chopar Hatta,223060402,0,290,290,,,,
"",,,Chopar Hatta,223060403,0,80,80,,,,
"",,,Chopar Hatta,223060404,0,238,238,,,,
"",44,"Govt.Boys Pry School.Nand Pur (1st Portion)",Nand Pur,223060405,493,0,493,2,0,2,Male
"",,,Nand Pur,223060406,243,0,243,,,,
"",,,Nand Pur,223060407,269,0,269,,,,
"",45,"Govt.Boys Pry School.Nand Pur (1st Portion)",Nand Pur,223060408,460,379,460,1,1,2,Combined
"",,,Nand Pur,223060409,111,69,111,,,,
"",46,"Govt.Boys Pry.SchoolNand Pur (2nd Portion)",Nand Pur,223060405,0,382,382,0,2,2,Female
"",,,Nand Pur,223060406,0,187,187,,,,
"",,,Nand Pur,223060407,0,174,174,,,,
"",47,"Govt.Girls Primary SchoolArjani Wala.",Arjani Wala,223060201,371,321,692,1,1,2,Combined
"",48,"Govt.Girls Primary SchoolArjani Wala.",Arjani Wala,223060202,527,459,986,1,1,2,Combined
"",49,"Govt.Boys High SchoolAulakh Sindhu.",Aulakh Sindhu,223060203,1078,782,1860,2,2,4,Combined
"",50,"Govt.Boys HigherSecondary  School SardarPur  (1st Portion) .",Sardar Pur,223050101,446,0,446,2,0,2,Male
Sardar Pur,223050102,509,0,509,,,,,,,
Sardar Pur,223050103,274,0,274,,,,,,,
Sardar Pur,223050104,192,0,192,,,,,,,
""
""
"",51,"Secondary  School SardarPur  (2nd Por) .",Sardar Pur,223050102,0,374,374,0,2,2,Female
"",,,Sardar Pur,223050103,0,233,233,,,,
"",,,Sardar Pur,223050104,0,163,163,,,,
"",52,"Govt.Girls High SchoolSardar Pur (1st Por) .",Sardar Pur,223050105,300,0,300,2,0,2,Male
"",,,Sardar Pur,223050106,487,0,487,,,,
"",53,"Govt.Girls High SchoolSardar Pur (3rd  Por)",Muhammad Pur Nasheb,223050107,492,350,842,1,1,2,Combined
"",54,"Govt.Girls High School,Sardar Pur (2nd por) .",Sardar Pur,223050105,0,207,207,0,2,2,Female
"",,,Sardar Pur,223050106,0,319,319,,,,
"",55,"Govt.Boys Pry.schoolKassi Jhendeer.",Kassi Jhendeer,223050201,699,606,1305,1,1,2,Combined
"",,,Kassi Jhendeer,223050202,699,606,1305,,,,
"",56,"Govt.Girls Primary SchoolChiragh Bella (BastiArain).",Chargh Bela,223050203,510,376,886,1,1,2,Combined
"",57,"Govt.Girls Primary SchoolChiragh Bella (Basti Arain)",Chargh Bela,223050204,690,587,1277,2,2,4,Combined
"",,,Chargh Bela,223050205,690,587,1277,,,,
"",58,"Govt.Boys Pry.SchoolChiragh Bella.(Toe Wala).",Baqar Abad,223050206,63,20,83,1,1,2,Combined
"",,,Charagh Wali,223050207,178,118,296,,,,
"",59,"Govt.Boys Pry SchoolChhapranwala.",Chhapran Wala,223050301,351,331,682,1,1,2,Combined
"",60,"Govt. Girls Pry. SchoolChhapranwala) Talib Sahu",Ahmad Pur,223050304,338,270,608,1,1,2,Combined
"",,,Jamal Pur,223050305,166,105,271,,,,
"",61,"Govt.Boys High School,Aujla",Aujla,223050302,570,380,950,2,1,3,Combined
"",,,Aujla,223050303,274,158,432,,,,
"",62,"Govt.Boys High SchoolMurad Man .",Murad man,223050401,251,0,251,2,0,2,Male
"",,,Murad man,223050402,251,0,251,,,,
"",,,Murad man,223050403,1063,0,1063,,,,
"",,,Murad man,223050404,1063,0,1063,,,,
"",63,"Govt.Girls Pry.SchoolMurad Man",Murad man,223050401,0,195,195,0,2,2,Female
"",,,Murad man,223050402,0,195,195,,,,
"",,,Murad man,223050403,0,821,821,,,,
