ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-189-DGKHAN-I,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-189-DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
"",,Total,,,,,480,370,850,,,
224,"Boys Middle School, Kohar Janubi(Combined) Part-II",BIRHAND,226020302,,,,14,13,27,1,1,2
"",,SOA-PARAHAGH,226020303,,,,160,127,287,,,
"",,LUNDI,226020304,,,,1,2,3,,,
"",,WIDADI,226020305,,,,97,64,161,,,
"",,CHANGALI,226020306,,,,27,23,50,,,
"",,KARAHA,226020307,,,,14,7,21,,,
"",,SATA,226020308,,,,44,34,78,,,
"",,HASNI,226020309,,,,45,11,56,,,
"",,ZABRAH,226020310,,,,84,64,148,,,
"",,Total,,,,,486,345,831,,,
225,"Boys Primary School, Gorrah(Combined)",UNDER KOWAN,226020401,,,,114,49,163,1,1,2
"",,GHORA-SHUMALI,226020402,,,,170,75,245,,,
"",,ASTAWA,226020403,,,,109,38,147,,,
"",,CHAPAR,226020404,,,,53,21,74,,,
"",,KHAKA KATCHI,226020405,,,,34,22,56,,,
"",,GHORA-JANUBI,226020406,,,,85,40,125,,,
"",,Total,,,,,565,245,810,,,
226,"Boys High School, Birot Mandwani(Combined)",BEROT MANWANI,226020502,,,,812,552,1364,2,1,3
"",,Total,,,,,812,552,1364,,,
227,"Boys Primary School,  Mandwani(Combined)",BEROT MANWANI,226020501,,,,632,438,1070,2,1,3
BEROT MANWANI,226020503,,,,69,42,111,,,,,
DHADACHI,226020510,,,,1,1,2,,,,,
GULKI,226020511,,,,10,5,15,,,,,
Total,,,,,712,486,1198,,,,,
THOKH BARI SHARQI,226020504,,,,6,5,11,,,,,
BAKHASHA BAND,226020505,,,,66,44,110,,,,,
PEIRI,226020506,,,,18,19,37,,,,,
RODO SHARQI,226020507,,,,94,81,175,,,,,
RODO GHARBI,226020508,,,,185,116,301,,,,,
GHARBUN,226020512,,,,7,3,10
KONKI BORH,226020513,,,,4,2,6
229,Girls H/S Barthi  (Combined),BARTHI SHUMALI,226050101,,,,500,500,1000,1,1,2
"",,Total,,,,,500,500,1000,,,
230,Girls H/S Barthi  (Combined),BARTHI SHUMALI,226050102,,,,569,514,1083,1,1,2
"",,Total,,,,,569,514,1083,,,
231,"Boys Primary School Jatu Kalat(Combined)",BARTHI JANUBI,226050103,,,,578,445,1023,1,1,2
"",,Total,,,,,578,445,1023,,,
232,"Boys M/S School, Choail  (Combined)",CHOIL,226050503,,,,470,443,913,1,1,2
"",,Total,,,,,470,443,913,,,
233,"Boys Primary School, Seemar(Combined)",SEMARH,226030703,,,,149,127,276,1,1,2
"",,Total,,,,,149,127,276,,,
234,"Girls Primary Schoo Sohardaf(Combined)",MAT,226050501,,,,300,300,600,1,1,2
"",,Total,,,,,300,300,600,,,
235,"Boys Primary School  sarati(Combined)",SARETI,226050504,,,,740,656,1396,2,1,3
"",,Total,,,,,740,656,1396,,,
236,"Boys Primary School Nalduf(Combined)",NALDUF,226050403,,,,173,157,330,2,1,3
"",,NALDUF,226050404,,,,220,168,388,,,
"",,NALDUF,226050405,,,,288,241,529,,,
"",,Total,,,,,681,566,1247,,,
237,"Boys Primary School Khund Bun(Combined)",KHAND BUN,226050408,,,,241,239,480,1,1,2
"",,Total,,,,,241,239,480,,,
238,"Boys Primary School Chhorr(Combined)",CHOUR,226050407,,,,169,144,313,1,1,2
"",,Total,,,,,169,144,313,,,
239,"Boys Middle School Gatts Raikh(Combined)",GATA REIKH,226050406,,,,257,197,454,1,1,2
