ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-189-DGKHAN-I,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-189-DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
Fatah Khan          2/2,225021003,,,,239,204,443,,,,,
"","Girls High School Tibi Qaisarani(Combined)",Tibbi Qaisrani    1/3,225030101,,,,400,300,700,1,1,2
"",,Total,,,,,400,300,700,,,
67,"Boys High School Tibi Qaisarani(Combined)",Tibbi Qaisrani    2/3,225030102,,,,753,581,1334,2,1,3
"",,Tibbi Qaisrani    2/3,225030103,,,,80,61,141,,,
"",,Tibbi Qaisrani    3/3,225030104,,,,45,31,76,,,
"",,Tibbi Qaisrani    3/3,225030116,,,,37,33,70,,,
"",,Total,,,,,915,706,1621,,,
68,"Boys Primary School Sheikh Gurda(Combined)",Sheikh Gurdah /1/2,225030105,,,,421,323,744,2,2,4
"",,Sheikh Gurdah /1/2,225030106,,,,197,191,388,,,
"",,Sheikh Gurdah 2/2,225030107,,,,157,149,306,,,
"",,Sheikh Gurdah 2/2,225030108,,,,143,108,251,,,
"",,Sheikh Gurdah 2/2,225030117,,,,176,127,303,,,
"",,Kotla Ali Shah,225030109,,,,36,32,68,,,
"",,Total,,,,,1130,930,2060,,,
69,"Boys Middle School, Bait Ladha(Combined)",Bait Laddah 1/2,225030110,,,,705,510,1215,2,2,4
"",,Bait Laddah 1/2,225030111,,,,77,51,128,,,
"",,Bait Laddah 1/2,225030112,,,,210,103,313,,,
"",,Bait Laddah 1/2,225030118,,,,210,210,420,,,
"",,Total,,,,,1202,874,2076,,,
70,"Boys Middle School, Bait Ladha(Combined)",Bait Laddah 2/2,225030113,,,,462,318,780,2,2,4
"",,Bait Laddah 2/2,225030114,,,,441,351,792,,,
"",,Thori,225030115,,,,83,57,140,,,
"",,Total,,,,,986,726,1712,,,
71,"Boys Primary School Litiri Janubi(Combined)",Litri Junubi 1/5,225030201,,,,571,431,1002,2,2,4
"",,Litri Junubi 1/5,225030207,,,,286,210,496,,,
"",,Litri Shumali  2/5,225030202,,,,297,221,518,,,
"",,Total,,,,,1154,862,2016,,,
72,"Boys Primary School Litri Shumali(Combined)",Litri Shumali  3/5,225030203,,,,452,372,824,1,1,2
"",,Litri Shumali  3/5,225030208,,,,136,94,230,,,
"",,Litri Shumali  4/5,225030204,,,,143,104,247,,,
"",,Total,,,,,731,570,1301,,,
73,"Boys Primary School Litri Shumali(Combined)",Litri Shumali  5/5,225030205,,,,463,380,843,2,1,3
"",,Litri Shumali  5/5,225030209,,,,463,380,843,,,
"",,Total,,,,,926,760,1686,,,
74,"Girls Primary School Basti Dhopha(Combined)",Nardlee,225030206,,,,143,118,261,2,1,3
Jhok Bandu,225030301,,,,198,142,340,,,,,
Chatri Mae Lohara,225030302,,,,370,319,689,,,,,
Jhok Bandu,225030303,,,,113,69,182,,,,,
Total,,,,,824,648,1472,,,,,
"(Combined)",Chorrhaki,225030404,,,,236,112,348,2,1,3
Total,,,,,718,317,1035,,,,
Tehmiana 1/2,225030402,,,,488,261,749,,,,
Tehmiana 2/2,225030403,,,,328,211,539,,,,
Tehmiana 2/2,225030405,,,,319,295,614,,,,
"","Boys Primary School Sheikh Ismail(Combined)",Rindwala             1/2,225030501,,,,84,44,128,1,1,2
"",,Rindwala               2/2,225030502,,,,0,0,0,,,
"",,Kotla Ismail,225030503,,,,357,295,652,,,
"",,Rakh Kotla Ismail,225030504,,,,7,6,13,,,
"",,Rakh Rind Wala,225030505,,,,6,8,14,,,
"",,Total,,,,,454,353,807,,,
78,"Boys High School Moor Jhangi(Combined)",More Jhangi 1/3,225030601,,,,394,377,771,2,2,4
"",,More Jhangi 2/3,225030602,,,,596,529,1125,,,
"",,More Jhangi 3/3,225030603,,,,213,138,351,,,
"",,Total,,,,,1203,1044,2247,,,
79,"Boys P/S  Rakh moor Jhangi(Combined)",Rakh More Jhangi    1/2,225030605,,,,146,124,270,1,1,2
"",,Rakh More Jhangi    2/2,225030606,,,,281,207,488,,,
"",,Bekhri,225030607,,,,160,120,280,,,
"",,Total,,,,,587,451,1038,,,
80,"Govt Boys .Primary School BastiLalani (Combined)",Rodhali 1/2,225030701,,,,275,179,454,1,1,2
"",,Rodhali 2/2,225030702,,,,253,103,356,,,
"",,Total,,,,,528,282,810,,,
81,"Boys Middle School, Lakhani Dawani(Combined)",Rakh Kithran Wala,225030703,,,,305,250,555,1,1,2
"",,Chatha Mae Gatha,225030704,,,,0,0,0,,,
"",,Kithran Wala,225030705,,,,0,0,0,,,
"",,Rakh Rodhali,225030706,,,,71,48,119,,,
"",,Rakh Chatha Mae Gatha,225030707,,,,151,89,240,,,
"",,Total,,,,,527,387,914,,,
82,"Girls Community Model School Pehar(Combined) Part-I",Peehar           1/5,225030801,,,,5,139,144,2,2,4
"",,Peehar           2/5,225030802,,,,367,272,639,,,
"",,Peehar           3/5,225030803,,,,92,70,162,,,
"",,Peehar             4/5,225030804,,,,211,216,427,,,
"",,Peehar             5/5,225030805,,,,227,150,377,,,
"",,Peehar           3/5,225030814,,,,45,38,83,,,
"",,Total,,,,,947,885,1832,,,
83,Boys High School Retra (Combined),Malkani              1/8,225030806,,,,487,367,854,1,1,2
"",,Malkani               2/8,225030807,,,,196,141,337,,,
"",,Total,,,,,683,508,1191,,,
84,"Boys Primary School Retra(Combined)",Malkani               3/8,225030808,,,,525,395,920,1,1,2
Malkani              4/8,225030809,,,,475,360,835,,,,,
Malkani               6/8,225030811,,,,260,161,421,,,,,
Total,,,,,525,395,920,,,,,
Malkani               5/8,225030810,,,,466,359,825,,,,,
Malkani                7/8,225030812,,,,366,258,624,,,,,
"",,Total,,,,,466,359,825,,,
86,"Boys P/S School Sharoo Wala(Combined)",Rakh Marri Gharbi,225030901,,,,209,171,380,1,1,2
Marri Gharbi 1/2,225030902,,,,328,285,613,,,,,
Marri Gharbi 2/2,225030903,,,,86,75,161,,,,,
Total,,,,,623,531,1154,,,,,
Marri Darmiyani 1/2,225030904,,,,326,275,601,,,,,
Marri Darmiyani 2/2,225030905,,,,253,234,487,,,,,
Marri Darmiyani 1/2,225030910,,,,140,134,274,,,,,
Mari Sharqi,225030604,,,,83,69,152,,,,,
88,"Boys Primary School Batkal(Combined)",Zoor Mae Hazara  1/3,225030906,,,,119,103,222,1,1,2
"",,Zoor Mae Hazara  2/3,225030907,,,,326,245,571,,,
"",,Zoor Mae Hazara  3/3,225030908,,,,67,56,123,,,
"",,Rakh Zoor,225030909,,,,178,166,344,,,
"",,Total,,,,,690,570,1260,,,
89,"Boys Primary School Khabar Wala(Combined)",Khabber Wala,225031001,,,,613,489,1102,1,1,2
"",,Total,,,,,613,489,1102,,,
90,"Boys Primary School Khabar Wala(Combined)",Khabber Wala,225031007,,,,300,248,548,1,1,2
"",,Khabber Wala,225031008,,,,209,149,358,,,
"",,Baghoon Wala,225031002,,,,68,51,119,,,
"",,Total,,,,,577,448,1025,,,
91,"Boys Primary School Patti Khar(Combined)",Baghoon Wala,225031003,,,,56,22,78,1,1,2
"",,Rahala,225031004,,,,163,132,295,,,
"",,Pati Khar,225031005,,,,201,198,399,,,
"",,Dag,225031006,,,,195,140,335,,,
"",,Total,,,,,615,492,1107,,,
92,"Boys Primary School Malik Pur(Combined)",Aqu Pur,225040101,,,,337,286,623,1,1,2
"",,Malik Pur,225040102,,,,434,382,816,,,
"",,Total,,,,,771,668,1439,,,
93,"Boys High School Bhambhan(Combined)",Bhumbhan 1/2,225040103,,,,745,609,1354,2,1,3
"",,Total,,,,,745,609,1354,,,
94,"Boys High School Bhambhan(Combined)",Bhumbhan 1/2,225040104,,,,257,233,490,1,1,2
"",,Bhumbhan 2/2,225040105,,,,279,250,529,,,
"",,Total,,,,,536,483,1019,,,
95,"Boys Primary School Hamal WaliShumali (Combined)",Hamal Wali,225040201,,,,67,75,142,1,1,2
"",,Rakh Hamal Wali,225040202,,,,96,98,194,,,
"",,Rakh Jhok Bodo,225040203,,,,239,208,447,,,
"",,Rakh Jhok Bodo,225040214,,,,139,98,237,,,
"",,Total,,,,,541,479,1020,,,
96,"Boys High School, Johk Bodo(Combined)",Jhok Bodo 1/10,225040204,,,,688,548,1236,1,1,2
"",,Jhok Bodo 1/10,225040215,,,,374,388,762,,,
"",,Total,,,,,688,548,1236,,,
97,"Boys High School, Johk Bodo(Combined)",Jhok Bodo 2/10,225040205,,,,627,450,1077,2,2,4
Jhok Bodo 6/10,225040209,,,,108,71,179,,,,,
Jhok Bodo 2/10,225040216,,,,280,203,483,,,,,
Total,,,,,1015,724,1739,,,,,
Jhok Bodo 4/10,225040207,,,,239,180,419,,,,,
Jhok Bodo 5/10,225040208,,,,150,108,258,,,,,
99,"Boys Primary School Ththa Leghari(Combined)",Jhok Bodo 7/10,225040210,,,,500,334,834,2,1,3
"",,Jhok Bodo 7/10,225040217,,,,386,294,680,,,
"",,Total,,,,,886,628,1514,,,
100,"Basic Health Unit, Jhook Bodo(Combined)",Jhok Bodo 3/10,225040206,,,,206,156,362,1,1,2
Jhok Bodo 8/10,225040211,,,,285,175,460,,,,,
Jhok Bodo 8/10,225040218,,,,138,157,295,,,,,
Total,,,,,629,488,1117,,,,,
Jhok Bodo 9/10,225040212,,,,252,183,435,,,,,
Jhok Bodo 9/10,225040219,,,,105,85,190,,,,,
Jhok Bodo 10/10,225040213,,,,276,190,466,,,,,
Jhok Bodo 10/10,225040220,,,,174,92,266,,,,,
"","Boys Middle School, Bahar Wali(Combined)",Kot Qaisrani 1/8,225040301,,,,429,326,755,2,1,3
"",,Kot Qaisrani 2/8,225040302,,,,245,192,437,,,
"",,Kot Qaisrani 1/8,225040317,,,,180,125,305,,,
"",,Total,,,,,854,643,1497,,,
103,"Boys High School, Kot Qaisrani(Combined)",Kot Qaisrani 3/8,225040303,,,,468,408,876,1,1,2
"",,Kot Qaisrani 3/8,225040318,,,,644,531,1175,,,
"",,Total,,,,,1112,939,2051,,,
104,"Boys Primary School No.2  KotQaisrani (Combined)",Kot Qaisrani 4/8,225040304,,,,378,277,655,2,2,4
"",,Kot Qaisrani 4/8,225040305,,,,313,263,576,,,
"",,Kot Qaisrani 4/8,225040319,,,,315,261,576,,,
"",,Kot Qaisrani 4/8,225040320,,,,341,203,544,,,
"",,Total,,,,,1347,1004,2351,,,
105,"Boys Primary School No.2  KotQaisrani (Combined)",Kot Qaisrani 5/8,225040306,,,,281,218,499,1,1,2
"",,Kot Qaisrani 5/8,225040307,,,,193,149,342,,,
"",,Kot Qaisrani 5/8,225040321,,,,203,185,388,,,
"",,Total,,,,,677,552,1229,,,
106,"Basic Health Unit Kot Qaisrani(Combined)",Kot Qaisrani 6/8,225040308,,,,427,361,788,2,2,4
"",,Kot Qaisrani 6/8,225040309,,,,429,312,741,,,
"",,Kot Qaisrani 6/8,225040310,,,,322,288,610,,,
"",,Total,,,,,1178,961,2139,,,
107,"Boys Primary School Shergarh(Combined)",Kot Qaisrani 7/8,225040311,,,,230,169,399,2,1,3
"",,Kot Qaisrani 7/8,225040312,,,,199,147,346,,,
"",,Kot Qaisrani 7/8,225040322,,,,194,140,334,,,
"",,Kot Qaisrani 7/8,225040323,,,,196,124,320,,,
"",,Total,,,,,819,580,1399,,,
108,"Boys Primary School Shelani Gharbi(Combined)",Kot Qaisrani 8/8,225040313,,,,265,178,443,2,2,4
"",,Kot Qaisrani 8/8,225040324,,,,198,150,348,,,
"",,Kot Qaisrani 8/8,225040325,,,,203,129,332,,,
"",,Rakh Berand,225040314,,,,247,204,451,,,
"",,Berand,225040315,,,,82,70,152,,,
"",,Rakh Kot Qaisrani,225040316,,,,87,41,128,,,
"",,Total,,,,,1082,772,1854,,,
109,"Boys Middle School, Mir Khar(Combined)",Jarah,225050101,,,,72,58,130,1,1,2
Mir Khar,225050102,,,,250,216,466,,,,,
Total,,,,,322,274,596,,,,,
Basti Naseer,225050103,,,,186,133,319,,,,,
Lakhu,225050104,,,,103,86,189,,,,,
Baloch Khan,225050105,,,,27,16,43,,,,,
Basti Shah,225050106,,,,14,12,26,,,,,
"",,Total,,,,,352,265,617,,,
111,"Boys Middle School, Nari Janubai(Combined)",Nari Junubi 1/4,225050201,,,,503,357,860,2,1,3
Nari Junubi  2/4,225050202,,,,339,269,608,,,,,
Total,,,,,842,626,1468,,,,,
Nari Junubi  3/4,225050203,,,,714,605,1319,,,,,
Nari Junubi  4/4,225050204,,,,468,396,864,,,,,
113,"Boys Primary School, Bolani(Combined)",Bolani Block 1/4,225050301,,,,679,679,1358,1,1,2
"",,Total,,,,,679,679,1358,,,
"",,Bolani Block 1/4,225050302,,,,225,206,431,1,1,2
"",,Bolani Block 4/4,225050305,,,,463,304,767,,,
"",,Total,,,,,688,510,1198,,,
114,"Boys Primary School,Bolani No.2(Basti Godar)  (Combined)",Bolani Block 2/4,225050303,,,,289,203,492,1,1,2
"",,Bolani Block 3/4,225050304,,,,149,66,215,,,
"",,Total,,,,,438,269,707,,,
115,"Boys Primary School, Malik Pur (JunPur) (Combined)",Kabeer Shah,225050306,,,,61,68,129,1,1,2
"",,Sadar Pur,225050307,,,,104,72,176,,,
"",,Jin Pur,225050308,,,,500,380,880,,,
"",,Total,,,,,665,520,1185,,,
116,"Boys Primary   Nari Shumali(Combined)",Nari Shumali          1/3,225050401,,,,357,257,614,1,1,2
"",,Nari Shumali          1/3,225050407,,,,308,197,505,,,
"",,Total,,,,,665,454,1119,,,
117,"Boys Primary   Nari Shumali(Combined)",Nari Shumali          2/3,225050402,,,,522,439,961,1,1,2
"",,Nari Shumali          3/3,225050403,,,,203,167,370,,,
"",,Total,,,,,725,606,1331,,,
118,"Boys Primary School Jat Wala(Combined)",Kachala         1/2,225050404,,,,147,116,263,2,1,3
"",,Kachala         1/2,225050408,,,,313,225,538,,,
"",,Kachala         2/2,225050405,,,,374,293,667,,,
"",,Total,,,,,834,634,1468,,,
119,"Boys Primary School Jat Wala(Combined)",Winne,225050406,,,,576,407,983,1,1,2
"",,Total,,,,,576,407,983,,,
120,"Boys Middle School Mangrotha Gharbi(Combined)",Mangrotha Sharqi  1/12,225060101,,,,469,416,885,1,1,2
"",,Total,,,,,469,416,885,,,
121,"Boys Middle School Mangrotha Gharbi(Combined)",Mangrotha Sharqi  2/12,225060102,,,,200,196,396,1,1,2
"",,Mangrotha Sharqi  2/12,225060116,,,,253,180,433,,,
"",,Total,,,,,453,376,829,,,
122,"Girls Middle School Mangrotha Gharbi(Combined)",Mangrotha Sharqi 3/12,225060104,,,,924,753,1677,2,1,3
Total,,,,,924,753,1677,,,,,
Mangrotha Sharqi  3/12,225060103,,,,324,257,581,,,,,
Mangrotha Sharqi 3/12,225060117,,,,327,357,684,,,,,
Mangrotha Sharqi 3/12,225060118,,,,343,226,569,,,,,
124,"Boys Primary School MangrothaGharbi No.2  (Combined)",Mangrotha Sharqi  4/12,225060105,,,,,,0,2,2,4
Total,,,,,0,0,0,,,,,
Mangrotha Sharqi  5/12,225060119,,,,55,58,113,,,,,
Mangrotha Sharqi 5/12,225060120,,,,62,54,116,,,,,
Mangrotha Sharqi 5/12,225060121,,,,55,51,106,,,,,
Mangrotha Sharqi 5/12,225060122,,,,66,56,122,,,,,
"","Boys High School Mangrotha Sharqi(Combined)",Mangrotha Sharqi  6/12,225060106,,,,336,308,644,1,1,2
"",,Mangrotha Sharqi 7/12,225060107,,,,243,228,471,,,
"",,Mangrotha Sharqi 7/12,225060108,,,,,,,,,
"",,Total,,,,,579,536,1115,,,
127,"Boys High School Manghroata Sharqi(Combined)",Mangrotha Sharqi  8/12,225060109,,,,252,216,468,2,2,4
"",,Mangrotha Sharqi  8/12,225060123,,,,240,200,440,,,
"",,Mangrotha Sharqi  9/12,225060110,,,,325,293,618,,,
"",,Total,,,,,817,709,1526,,,
128,"Girls High School Manghroata Sharqi(Combined)",Mangrotha Sharqi 12/12,225060113,,,,107,77,184,1,1,2
"",,Mangrotha Sharqi 12/12,225060125,,,,101,78,179,,,
"",,Total,,,,,208,155,363,,,
129,"Boys Primary School MangrothaSharqi No.2  (Combined)",Mangrotha Sharqi  10/12,225060124,,,,180,164,344,2,1,3
"",,Mangrotha Sharqi  10/12,225060111,,,,172,162,334,,,
"",,Mangrotha Sharqi  11/12,225060126,,,,194,244,438,,,
"",,Mangrotha Sharqi  11/12,225060112,,,,248,157,405,,,
"",,Total,,,,,794,727,1521,,,
130,"Boys Middle School Jhoke Koro(Combined)",Jhok Koro 1/2,225060114,,,,303,267,570,1,1,2
"",,Jhok Koro 2/2,225060115,,,,308,270,578,,,
"",,Total,,,,,611,537,1148,,,
131,"Boys Primary School, JhokeMohnaywali  (Combined)",Qazi Wala,225060201,,,,430,315,745,1,1,2
"",,Kokowah,225060202,,,,228,177,405,,,
"",,Pukhan,225060203,,,,294,212,506,,,
"",,Total,,,,,658,492,1150,,,
132,"Boys Middle School Mundrani(Combined)",Mundrani,225060401,,,,496,405,901,2,1,3
"",,Bindah,225060402,,,,473,380,853,,,
"",,Total,,,,,969,785,1754,,,
133,"Boy High  School, Sokar   (Combined)",Sokar               1/7,225060403,,,,208,153,361,2,2,4
"",,Sokar             2/7,225060404,,,,486,428,914,,,
"",,Sokar               1/7,225060411,,,,300,255,555,,,
"",,Total,,,,,994,836,1830,,,
134,Union Council Office Sokar,Sokar               3/7,225060405,,,,541,504,1045,1,1,2
"",,Total,,,,,541,504,1045,,,
135,"Boy High  School, Sokar Combined)",Sokar               4/7,225060406,,,,556,478,1034,2,1,3
"",,Sokar               4/7,225060412,,,,285,241,526,,,
"",,Total,,,,,841,719,1560,,,
136,"Boy High  School, Sokar  (Combined)",Sokar               5/7,225060407,,,,509,376,885,1,1,2
Sokar               5/7,225060413,,,,276,186,462,,,,,
Total,,,,,785,562,1347,,,,,
Sokar             7/7,225060410,,,,510,0,510
Sokar             7/7,225060409,,,,500,0,500
Sokar              6/8,225060414,,,,144,0,144
Sokar              6/9,225060415,,,,93,0,93
Sokar              6/10,225060416,,,,112,0,112
"","Girls High  School, Sokar   (Female)",Sokar              6/7,225060408,,,,0,124,124,0,2,2
"",,Sokar             7/7,225060410,,,,0,509,509,,,
"",,Sokar             7/7,225060409,,,,0,400,400,,,
"",,Sokar              6/8,225060414,,,,0,99,99,,,
"",,Sokar              6/9,225060415,,,,0,98,98,,,
"",,Sokar              6/10,225060416,,,,0,98,98,,,
"",,Total,,,,,0,1328,1328,,,
139,"Boys Primary School Dumra(Combined)",Domrah Janubi,225060501,,,,304,259,563,1,1,2
"",,Jhok  Chapri,225060502,,,,127,73,200,,,
"",,Total,,,,,431,332,763,,,
140,"Boys Middle School, Ashraf Abad(Combined)",Chak Jarrah,225060503,,,,82,60,142,1,1,2
"",,Ashraf,225060504,,,,216,182,398,,,
"",,Ara Khar Waddu,225060507,,,,209,160,369,,,
"",,Total,,,,,507,402,909,,,
141,"Girls Community Model SchoolSounra  (Combined)",Domrah Shumali,225060505,,,,196,160,356,1,1,2
"",,Soonrah,225060506,,,,474,420,894,,,
"",,Domrah Shumali,225060508,,,,96,62,158,,,
"",,Total,,,,,670,580,1250,,,
142,"Boys Primary School JhokeMehraywala  (Combined)",Basti Buzdar       1/4,225060601,,,,508,438,946,1,1,2
"",,Basti Buzdar      3/4,225060603,,,,331,322,653,,,
"",,Total,,,,,508,438,946,,,
143,"Girls High School Basti Buzdar(Combined)",Basti Buzdar      2/4,225060602,,,,558,524,1082,1,1,2
"",,Total,,,,,558,524,1082,,,
144,"Girls Primary School Basti Buzdar No2  (Combined)",Basti Buzdar       4/4,225060604,,,,449,387,836,1,1,2
"",,Beroot Mandwani,225060605,,,,0,2,2,,,
"",,Rakh Beroot Mandwani,225060606,,,,22,11,33,,,
"",,Basti Buzdar       4/4,225060607,,,,350,313,663,,,
"",,Total,,,,,821,713,1534,,,
145,"Boys High School, Douna  (Combined)",Doona 1/4,225060701,,,,643,445,1088,1,1,2
"",,Total,,,,,643,445,1088,,,
146,"Girls High School, Douna  (Combined)",Doona 1/4,225060702,,,,704,635,1339,1,1,2
"",,Total,,,,,704,635,1339,,,
147,"Boys High School, Douna  (Combined)",Doona 2/4,225060703,,,,326,286,612,1,1,2
"",,Doona 2/4,225060704,,,,681,544,1225,,,
"",,Total,,,,,1007,830,1837,,,
148,"Girls High School, Douna  (Combined)",Doona 3/4,225060707,,,,142,104,246,1,1,2
Doona 3/4,225060710,,,,99,101,200,,,,,
Doona 3/4,225060711,,,,95,89,184,,,,,
Total,,,,,336,294,630,,,,,
Basic Health Unit Douna  (Combined),Doona 4/4,225060706,,,,342,397,739,2,1,3
Total,,,,,709,557,1266,,,,
Jar Leghari,225060708,,,,616,568,1184,,,,
"","Girls Primary School Iqra Bohar(Combined)",Bohar                  1/4,225070101,,,,374,317,691,1,1,2
"",,Bohar                  1/4,225070102,,,,302,147,449,,,
"",,Bohar                  2/4,225070103,,,,301,268,569,,,
"",,Total,,,,,977,732,1709,,,
152,Boys High School Bohar  (Combined),Bohar                  2/4,225070104,,,,458,375,833,1,1,2
"",,Bohar                  2/4,225070105,,,,472,432,904,,,
"",,Total,,,,,930,807,1737,,,
153,Boys High School Bohar  (Combined),Bohar                  3/4,225070106,,,,423,310,733,1,1,2
"",,Bohar                 4/4,225070107,,,,309,275,584,,,
"",,Jhanger,225070108,,,,0,0,0,,,
"",,Total,,,,,732,585,1317,,,
154,Boys High School Bohar  (Combined),Bohar                  2/4,225070110,,,,486,323,809,1,1,2
"",,Total,,,,,486,323,809,,,
155,"Boy Primary School, Bechra(Combined)",Bichrah,225070109,,,,264,226,490,1,1,2
"",,Bichrah,225070111,,,,365,226,591,,,
"",,Total,,,,,629,452,1081,,,
156,"Girls High School Haro Sharqi(Combined)",Hairo Sharqi        1/2,225070201,,,,435,369,804,1,1,2
"",,Total,,,,,435,369,804,,,
157,"Girls High School Haro Sharqi(Combined)",Hairo Sharqi        1/2,225070202,,,,374,321,695,1,1,2
"",,Hairo Sharqi        2/2,225070203,,,,401,330,731,,,
"",,Total,,,,,775,651,1426,,,
158,"Girls Middle School, Haro Gharbi(Combined)",Hairo Gharbi,225070204,,,,396,334,730,2,2,4
"",,Hairo Gharbi,225070205,,,,350,308,658,,,
"",,Hairo Gharbi,225070209,,,,399,306,705,,,
"",,Total,,,,,1145,948,2093,,,
159,"Girls Primary School, Mahinda(Combined)",Mahindah,225070206,,,,296,205,501,1,1,2
"",,Langh,225070207,,,,298,184,482,,,
"",,Uttra,225070208,,,,46,32,78,,,
"",,Total,,,,,640,421,1061,,,
160,"Girls Primary School, Bakhri NaoBaramda    (Combined)",Kotla Mirani,225070301,,,,132,107,239,1,1,2
Bekhri Nau Bramdah,225070302,,,,233,286,519,,,,,
Nari Shah,225070303,,,,68,56,124,,,,,
Palwan Shumali,225070304,,,,62,56,118,,,,,
Wanghar Lal Shah,225070305,,,,26,24,50,,,,,
Jind Abdullah,225070306,,,,17,13,30,,,,,
Total,,,,,538,542,1080,,,,,
Basti Habib,225070401,,,,76,44,120,,,,,
Thulah  Chaki,225070403,,,,25,16,41
Markhawaee,225070404,,,,13,6,19
Bhayain Wali,225070405,,,,0,0,0
Sonhra Buchha,225070406,,,,1,0,1
Chak Jarrah,225070407,,,,5,4,9
Lal Shah,225070408,,,,42,38,80
Chak Sonhra Buchha,225070409,,,,95,71,166
"",,,,,15,19,34
"","Girls Primary School Basti Lalo(Combined)",Laloo,225070501,,,,225,207,432,2,1,3
"",,Eida Arain,225070502,,,,17,19,36,,,
"",,Bodoo Minhan,225070503,,,,51,21,72,,,
"",,Dairah Shah,225070504,,,,247,185,432,,,
"",,Langha,225070505,,,,42,14,56,,,
"",,Sajjan,225070506,,,,0,0,0,,,
"",,Laloo,225070507,,,,229,199,428,,,
"",,Total,,,,,811,645,1456,,,
163,"Girls Middle School, Tub  (Combined)",Tub 1/6,225070601,,,,182,155,337,1,1,2
"",,Jhok Mangla,225070609,,,,367,304,671,,,
"",,Total,,,,,549,459,1008,,,
164,"Girls Primary School, Hadwar(Combined)",Hadwar 1/2,225070607,,,,3,4,7,1,1,2
"",,Hadwar 1/2,225070617,,,,367,304,671,,,
"",,Hadwar 1/2,225070618,,,,10,7,17,,,
"",,Hadwar 1/2,225070619,,,,18,8,26,,,
"",,Total,,,,,398,323,721,,,
165,"Girls Middle School, Jhoke Bhutta(Combined)",Jhok Bhutta,225070610,,,,222,166,388,1,,1
"",,Jhok Bhutta,225070620,,,,226,156,382,,,
"",,Jhok Bhutta,225070621,,,,229,190,419,,,
"",,Total,,,,,677,512,1189,,,
166,"Girls Primary School, Kachal MouzaJhang  (Combined)",Jhang,225070611,,,,300,211,511,1,1,2
"",,Jhang,225070622,,,,301,235,536,,,
"",,Total,,,,,601,446,1047,,,
167,"Boys Primary School Makwal Kalan(Combined)",Makwal Kalan   1/4,225080101,,,,280,233,513,1,1,2
"",,Makwal Kalan   1/4,225080108,,,,261,203,464,,,
"",,Total,,,,,541,436,977,,,
168,"Boys High School Makwal Kalan(Combined)",Makwal Kalan   2/4,225080102,,,,129,107,236,1,1,2
"",,Makwal Kalan   2/4,225080109,,,,119,98,217,,,
"",,Makwal Kalan   2/4,225080110,,,,121,103,224,,,
"",,Makwal Kalan   2/4,225080111,,,,128,94,222,,,
"",,Total,,,,,497,402,899,,,
169,"Boys High School Makwal Kalan(Combined)",Makwal Kalan   3/4,225080103,,,,439,379,818,2,2,4
"",,Makwal Kalan   3/4,225080104,,,,418,371,789,,,
"",,Total,,,,,857,750,1607,,,
170,"Boys High School Makwal Kalan(Combined)",Makwal Kalan   3/4,225080105,,,,404,349,753,2,2,4
Makwal Kalan   3/4,225080106,,,,121,101,222,,,,,
Makwal Kalan   3/4,225080112,,,,413,306,719,,,,,
Total,,,,,938,756,1694,,,,,
Makwal Kalan   4/4,225080113,,,,340,264,604,,,,,
Wali (Combined),Makwal Kalan   4/4,225080115,,,,,,,,,
Total,,,,,595,511,1106,,,,
Gadi Sandila,225080107,,,,229,236,465,,,,
"","Girls Primary School Malana(Combined)",Drabhee,225080201,,,,147,152,299,1,1,2
"",,Malana,225080202,,,,297,205,502,,,
"",,Makwal Khurd,225080203,,,,21,34,55,,,
"",,Kotla Nazar Shah,225080204,,,,4,9,13,,,
"",,Drabhee,225080205,,,,123,86,209,,,
"",,Total,,,,,592,486,1078,,,
174,"Boys Middle School, Bindi(Combined)",Bindi 1/3,225080501,,,,639,543,1182,1,1,2
"",,Total,,,,,639,543,1182,,,
175,"Boys Middle School, Bindi(Combined)",Bindi 1/3,225080502,,,,611,462,1073,1,1,2
"",,Total,,,,,611,462,1073,,,
176,"Girls High School, Dera Shah(Combined)",Bindi 3/3,225080503,,,,317,257,574,1,1,2
"",,Bindi 3/3,225080504,,,,297,207,504,,,
"",,Bindi 3/3,225080513,,,,255,204,459,,,
"",,Total,,,,,869,668,1537,,,
177,"Girls High School, Dera Shah(Combined)",Bindi 2/3,225080505,,,,151,152,303,1,1,2
"",,Bindi 2/3,225080511,,,,153,104,257,,,
"",,Bindi 2/3,225080512,,,,148,144,292,,,
"",,Total,,,,,452,400,852,,,
178,"Boys Primary  School SheikhJawainda (Combined)",Diya,225080506,,,,84,58,142,1,1,2
"",,Palwan Janubi,225080507,,,,33,27,60,,,
"",,Jaboja,225080508,,,,14,11,25,,,
"",,Sheikh Jahondah,225080509,,,,1,1,2,,,
