"",Sr. No.,"No. and name of thePolling Station",In case of Rural Areas,In case of Urban Areas,"Serial No. ofvoters on theElectoral Rolls",Number of Voters,No. of Polling,,,,,,
"",,,Name of Electoral Area,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",17,"Govt. G/P/S KotlaKhurd Chak No.43/RB(Female)",Kotla Khurd Chak No. 43/RB,202010201,,,,0,349,349,0,3,3
"",,,Kotla Khurd Chak No. 43/RB,202010202,,,,0,342,342,,,
"",,,Kotla Khurd Chak No. 43/RB,202010203,,,,0,443,443,,,
"",,,Kotla Khurd Chak No. 43/RB,202010204,,,,0,27,27,,,
"",,,Kotla Khurd Chak No. 43/RB,202010213,,,,0,214,214,,,
"",Total,,,,0,1375,1375,0,3,3,,,
"",18,"Govt. B/E/S KotlaKalan Chak No. 43/RB(Male)",Kotla Kalan Chak No. 43/RB,202010205,,,,82,0,82,3,0,3
"",,,Kotla Kalan Chak No. 43/RB,202010214,,,,173,0,173,,,
"",,,Kotla Kalan Chak No. 43/RB,202010206,,,,599,0,599,,,
"",,,Kotla Kalan Chak No. 43/RB,202010207,,,,374,0,374,,,
"",,,Kotla Kalan Chak No. 43/RB,202010208,,,,193,0,193,,,
"",Total,,,,1421,0,1421,3,0,,,,
"",19,"Govt. B/E/S KotlaKalan Chak No. 43/RB(Female)",Kotla Kalan Chak No. 43/RB,202010205,,,,0,176,176,0,2,2
"",,,Kotla Kalan Chak No. 43/RB,202010214,,,,0,35,35,,,
"",,,Kotla Kalan Chak No. 43/RB,202010206,,,,0,388,388,,,
"",,,Kotla Kalan Chak No. 43/RB,202010207,,,,0,264,264,,,
"",,,Kotla Kalan Chak No. 43/RB,202010208,,,,0,135,135,,,
"",Total,,,,0,998,998,0,2,2,,,
"",20,"Govt. B/P/S Chak No.46 Chak Chatha(Male)",Chatha Chak No.46 Chak Chatha,202010209,,,,213,0,213,3,0,3
"",,,Chatha Chak No.46 Chak Chatha,202010210,,,,715,0,715,,,
"",,,Chatha Chak No.46 Chak Chatha,202010211,,,,555,0,555,,,
"",,,Chatha Chak No.46 Chak Chatha,202010212,,,,75,0,75,,,
"",,,Chatha Chak No.46 Chak Chatha,202010215,,,,53,0,53,,,
"",Total,,,,1611,0,1611,3,0,3,,,
"",21,"Govt. B/P/S Chak No.46 Chak Chatha(Female)",Chatha Chak No.46 Chak Chatha,202010209,,,,0,84,84,0,2,2
"",,,Chatha Chak No.46 Chak Chatha,202010210,,,,0,587,587,,,
"",,,Chatha Chak No.46 Chak Chatha,202010211,,,,0,431,431,,,
"",,,Chatha Chak No.46 Chak Chatha,202010212,,,,0,23,23,,,
"",,,Chatha Chak No.46 Chak Chatha,202010215,,,,0,58,58,,,
"",Total,,,,0,1183,1183,0,2,2,,,
"",22,"Govt. B/H/S Chak 42Marar  (Combined)",Marar Chak No.42,202010406,,,,521,357,878,2,1,3
"",,,Marar Chak No.42,202010407,,,,322,254,576,,,
"",Total,,,,843,611,1454,2,1,3,,,
"",23,"Govt. G/H/S 42 Marar(Male)",Marar Chak No.42,202010408,,,,289,0,289,2,0,2
Marar Chak No.42,202010409,,,,452,0,452,,,,,,
Marar Chak No.42,202010412,,,,290,0,290,,,,,,
"",24,"Govt. G/H/S 42 Marar(Female)",Marar Chak No.42,202010408,,,,0,277,277,0,2,2
"",,,Marar Chak No.42,202010409,,,,0,316,316,,,
